Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,4,P. Manning QB - DEN ,12.56,L. Miller RB - MIA ,12.70,G. Bernard RB - CIN ,5.30,A. Boldin WR - SF ,1.80,M. Floyd WR - LAC ,8.50,C. Fleener TE - IND ,24.70,S. Smith WR - BAL ,0.20,J. Tucker K - BAL ,15.00,Eagles DEF ,14.00,R. Rice RB ,0.00,B. Tate RB - PIT ,1.50,E. Decker WR - NYJ ,1.80,O. Daniels TE - BAL ,3.00,A. Blue RB - HOU ,0.60,Titans DEF ,4.00,94.76,Daniel,86.38
david,1,J. Flacco QB - BAL ,23.30,T. Richardson RB - IND ,1.20,A. Morris RB - WAS ,8.30,J. Nelson WR - GB ,11.30,M. Crabtree WR - SF ,1.00,G. Olsen TE - CAR ,5.90,G. Tate WR - DET ,8.90,B. Walsh K - MIN ,7.00,Buccaneers DEF ,9.00,K. Britt WR - STL ,1.30,T. Brady QB - NE ,17.70,A. Peterson RB - MIN ,0.00,D. Baldwin WR - SEA ,2.80,J. Matthews WR - PHI ,11.10,Patriots DEF ,3.00,75.90,alex,74.72
Daniel,6,D. Brees QB - NO ,30.28,A. Foster RB - HOU ,16.50,F. Jackson RB - BUF ,9.70,M. Austin WR - CLE ,8.60,R. White WR - ATL ,0.00,J. Cameron TE - CLE ,0.00,J. Jones WR - LV ,3.30,S. Hauschka K - SEA ,13.00,49ers DEF ,5.00,J. Forsett RB - BAL ,12.30,E. Royal WR - LAC ,12.10,H. Nicks WR - IND ,0.00,B. Hoyer QB - CLE ,3.68,M. Asiata RB - MIN ,5.70,Texans DEF ,12.00,86.38,Peter,94.76
alex,10,A. Rodgers QB - GB ,24.92,D. Robinson RB - JAC ,5.40,J. Hill RB - CIN ,5.20,J. Maclin WR - PHI ,10.80,M. Evans WR - TB ,4.90,J. Graham TE - NO ,0.00,T. Smith WR - BAL ,18.50,S. Janikowski K - LV ,0.00,Ravens DEF ,5.00,P. Burress WR ,0.00,R. Bush RB - DET ,0.00,M. Wallace WR - MIA ,6.90,R. Tannehill QB - MIA ,8.70,L. Donnell TE - NYG ,3.50,K. Benjamin WR - CAR ,5.60,74.72,david,75.90
Alessandro,5,A. Luck QB - IND ,32.80,M. Ingram RB - NO ,12.10,E. Lacy RB - GB ,11.50,B. Marshall WR - CHI ,4.20,M. Sanu WR - CIN ,3.34,M. Bennett TE - CHI ,10.90,R. Wayne WR - IND ,3.10,C. Sturgis K - MIA ,10.00,Bills DEF ,18.00,J. Edelman WR - NE ,4.80,J. Bell RB - DET ,22.70,L. Fitzgerald WR - ARI ,0.00,K. Orton QB - BUF ,7.60,C. Ivory RB - NYJ ,6.20,N. Novak K - LAC ,12.00,105.94,Greg,60.74
johnny,9,C. Kaepernick QB - SF ,2.54,D. McFadden RB - LV ,4.50,L. McCoy RB - PHI ,19.90,E. Sanders WR - DEN ,7.30,A. Jeffery WR - CHI ,19.10,C. Clay TE - MIA ,0.00,C. Shorts WR - JAC ,3.50,M. Bryant K - ATL ,17.00,Cardinals DEF ,8.00,D. Jackson WR - WAS ,14.40,T. Hilton WR - IND ,12.20,D. Allen TE - IND ,0.00,A. Davis QB - STL ,0.00,T. Austin WR - STL ,9.50,Z. Stacy RB - STL ,2.70,81.84,Peter,135.48
christian,11,P. Rivers QB - LAC ,27.22,J. Charles RB - KC ,11.90,I. Crowell RB - CLE ,4.40,P. Garcon WR - WAS ,0.90,J. Jones WR - ATL ,24.90,D. Walker TE - TEN ,0.60,A. Smith RB - ATL ,0.00,P. Dawson K - SF ,3.00,Lions DEF ,8.00,M. Ryan QB - ATL ,20.84,V. Davis TE - SF ,1.30,R. Woods WR - BUF ,7.10,L. Bell RB - PIT ,31.40,A. Hurns WR - JAC ,4.20,Rams DEF ,32.00,80.92,Raed,95.50
michael,8,M. Stafford QB - DET ,21.60,M. Lynch RB - SEA ,11.10,B. Rainey RB - TB ,5.20,R. Cobb WR - GB ,9.30,M. Floyd WR - ARI ,3.30,H. Miller TE - PIT ,8.20,K. Davis RB - KC ,0.00,S. Suisham K - PIT ,10.00,Broncos DEF ,13.00,S. Ridley RB - NE ,0.00,B. Roethlisberger QB - PIT ,28.20,D. Martin RB - TB ,12.10,T. Williams WR - DAL ,3.80,T. West RB - CLE ,1.60,Bears DEF ,3.00,81.70,Kevin,97.86
Kevin,2,T. Romo QB - DAL ,3.86,A. Ellington RB - ARI ,1.20,T. Mason RB - STL ,34.40,D. Thomas WR - DEN ,12.30,A. Green WR - CIN ,11.70,J. Witten TE - DAL ,0.80,R. Mathews RB - LAC ,10.60,C. Parkey K - PHI ,15.00,Dolphins DEF ,8.00,M. Sanchez QB - PHI ,21.48,R. Hillman RB - DEN ,0.00,M. Rivera TE - LV ,2.10,D. Hopkins WR - HOU ,37.80,A. Williams RB - NYG ,3.70,C. Sims RB - TB ,5.50,97.86,michael,81.70
Raed,7,J. Cutler QB - CHI ,15.10,L. Blount RB - NE ,5.80,S. Jackson RB - ATL ,10.10,D. Bryant WR - DAL ,7.30,B. LaFell WR - NE ,15.80,R. Gronkowski TE - NE ,9.80,D. Herron RB - IND ,13.60,D. Bailey K - DAL ,4.00,Colts DEF ,14.00,C. Newton QB - CAR ,14.66,S. Vereen RB - NE ,3.20,A. Gates TE - LAC ,8.30,A. Johnson WR - HOU ,9.30,L. Murray RB - LV ,0.00,M. Bryant WR - PIT ,2.30,95.50,christian,80.92
Peter,3,E. Manning QB - NYG ,9.88,R. Jennings RB - NYG ,21.40,C. Anderson RB - DEN ,24.50,C. Johnson WR - DET ,26.60,O. Beckham WR - NYG ,9.40,J. Thomas TE - DEN ,0.00,A. Brown WR - PIT ,23.70,S. Gostkowski K - NE ,3.00,Seahawks DEF ,17.00,F. Gore RB - SF ,3.60,R. Wilson QB - SEA ,16.94,J. Gray RB - NE ,0.40,K. Stills WR - NO ,22.20,S. Watkins WR - BUF ,1.10,J. McKinnon RB - MIN ,0.00,135.48,johnny,81.84
Greg,12,A. Dalton QB - CIN ,11.74,M. Forte RB - CHI ,5.80,B. Sankey RB - TEN ,4.20,M. Colston WR - NO ,7.60,C. Patterson WR - MIN ,0.00,Z. Ertz TE - PHI ,0.00,V. Jackson WR - TB ,2.40,A. Vinatieri K - IND ,7.00,Vikings DEF ,22.00,D. Murray RB - DAL ,17.30,W. Welker WR - DEN ,1.20,N. Foles QB - PHI ,0.00,B. Pierce RB - BAL ,1.60,J. Gordon WR - CLE ,7.50,T. Kelce TE - KC ,3.60,60.74,Alessandro,105.94
