Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,4,P. Manning QB - DEN ,15.46,A. Bradshaw RB - IND ,1.10,L. Miller RB - MIA ,9.80,A. Boldin WR - SF ,5.30,M. Floyd WR - LAC ,10.40,C. Fleener TE - IND ,14.40,A. Blue RB - HOU ,15.60,G. Gano K - CAR ,5.00,Dolphins DEF ,8.00,P. Harvin WR - NYJ ,0.00,E. Decker WR - NYJ ,0.00,O. Daniels TE - BAL ,0.00,S. Smith WR - BAL ,0.00,G. Bernard RB - CIN ,0.00,Eagles DEF ,-3.00,-,-,85.06,Greg,82.10
david,1,J. Flacco QB - BAL ,0.00,T. Richardson RB - IND ,2.10,A. Morris RB - WAS ,13.20,J. Nelson WR - GB ,16.90,M. Crabtree WR - SF ,14.50,G. Olsen TE - CAR ,6.10,G. Tate WR - DET ,4.90,B. Walsh K - MIN ,9.00,Buccaneers DEF ,22.00,K. Britt WR - STL ,18.80,T. Brady QB - NE ,14.08,A. Peterson RB - MIN ,0.00,D. Baldwin WR - SEA ,10.50,J. Matthews WR - PHI ,16.70,Patriots DEF ,4.00,-,-,88.70,Peter,71.32
Daniel,7,D. Brees QB - NO ,14.50,A. Foster RB - HOU ,0.00,F. Jackson RB - BUF ,0.00,M. Austin WR - CLE ,3.10,R. White WR - ATL ,13.50,J. Cameron TE - CLE ,0.00,J. Jones WR - LV ,3.50,S. Hauschka K - SEA ,8.00,49ers DEF ,16.00,J. Forsett RB - BAL ,0.00,E. Royal WR - LAC ,4.20,H. Nicks WR - IND ,7.50,B. Hoyer QB - CLE ,14.60,M. Asiata RB - MIN ,1.40,Texans DEF ,10.00,-,-,58.60,Raed,51.98
alex,10,A. Rodgers QB - GB ,28.84,D. Williams RB - CAR ,3.80,D. Robinson RB - JAC ,0.00,J. Maclin WR - PHI ,15.30,M. Wallace WR - MIA ,3.80,J. Graham TE - NO ,2.90,K. Benjamin WR - CAR ,16.90,S. Janikowski K - LV ,6.00,Ravens DEF ,0.00,T. Smith WR - BAL ,0.00,R. Bush RB - DET ,0.00,R. Tannehill QB - MIA ,16.80,L. Donnell TE - NYG ,11.40,M. Evans WR - TB ,34.90,J. Hill RB - CIN ,16.50,-,-,77.54,Kevin,108.34
Alessandro,5,A. Luck QB - IND ,19.62,M. Ingram RB - NO ,9.70,E. Lacy RB - GB ,23.40,B. Marshall WR - CHI ,21.00,M. Sanu WR - CIN ,2.30,M. Bennett TE - CHI ,2.90,J. Edelman WR - NE ,8.10,C. Sturgis K - MIA ,8.00,Bills DEF ,10.00,J. Bell RB - DET ,11.50,R. Wayne WR - IND ,9.10,L. Fitzgerald WR - ARI ,3.30,K. Orton QB - BUF ,7.92,C. Ivory RB - NYJ ,0.00,N. Novak K - LAC ,9.00,-,-,105.02,michael,75.42
johnny,9,C. Kaepernick QB - SF ,14.12,D. McFadden RB - LV ,2.10,L. McCoy RB - PHI ,10.60,E. Sanders WR - DEN ,16.20,A. Jeffery WR - CHI ,19.50,C. Clay TE - MIA ,3.10,C. Shorts WR - JAC ,0.00,M. Bryant K - ATL ,13.00,Cardinals DEF ,13.00,D. Jackson WR - WAS ,3.70,T. Hilton WR - IND ,2.40,D. Allen TE - IND ,0.00,A. Davis QB - STL ,0.00,T. Austin WR - STL ,2.10,Z. Stacy RB - STL ,0.00,-,-,91.62,christian,81.42
christian,12,P. Rivers QB - LAC ,11.62,J. Charles RB - KC ,27.80,L. Bell RB - PIT ,30.20,P. Garcon WR - WAS ,0.60,J. Jones WR - ATL ,5.90,D. Walker TE - TEN ,0.00,A. Smith RB - ATL ,0.30,--empty--,-,Lions DEF ,5.00,M. Ryan QB - ATL ,15.12,V. Davis TE - SF ,1.10,R. Woods WR - BUF ,1.50,I. Crowell RB - CLE ,7.10,A. Hurns WR - JAC ,0.00,P. Dawson K - SF ,10.00,Rams DEF ,10.00,81.42,johnny,91.62
michael,6,M. Stafford QB - DET ,5.32,M. Lynch RB - SEA ,12.50,B. Rainey RB - TB ,0.40,R. Cobb WR - GB ,12.90,M. Floyd WR - ARI ,17.40,H. Miller TE - PIT ,7.10,K. Davis RB - KC ,7.80,S. Suisham K - PIT ,9.00,Broncos DEF ,3.00,S. Ridley RB - NE ,0.00,B. Roethlisberger QB - PIT ,10.48,D. Martin RB - TB ,0.00,T. Williams WR - DAL ,0.00,T. West RB - CLE ,1.20,Bears DEF ,8.00,-,-,75.42,Alessandro,105.02
Kevin,2,M. Sanchez QB - PHI ,13.84,A. Ellington RB - ARI ,6.60,T. Mason RB - STL ,11.40,D. Thomas WR - DEN ,10.30,A. Green WR - CIN ,18.70,M. Rivera TE - LV ,4.00,B. Cooks WR - NO ,5.50,C. Parkey K - PHI ,8.00,Packers DEF ,30.00,R. Mathews RB - LAC ,7.50,T. Romo QB - DAL ,0.00,J. Witten TE - DAL ,0.00,R. Hillman RB - DEN ,0.00,D. Hopkins WR - HOU ,8.00,A. Williams RB - NYG ,0.60,-,-,108.34,alex,77.54
Raed,8,R. Griffin QB - WAS ,12.38,S. Vereen RB - NE ,7.70,S. Jackson RB - ATL ,4.70,B. LaFell WR - NE ,6.20,M. Bryant WR - PIT ,1.10,R. Gronkowski TE - NE ,13.10,A. Johnson WR - HOU ,6.80,D. Bailey K - DAL ,0.00,Colts DEF ,0.00,D. Bryant WR - DAL ,0.00,C. Newton QB - CAR ,18.68,J. Cutler QB - CHI ,23.30,A. Gates TE - LAC ,3.20,D. Sproles RB - PHI ,4.40,M. Ball RB - DEN ,0.00,-,-,51.98,Daniel,58.60
