Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,4,P. Manning QB - DEN ,29.60,A. Dixon RB - BUF ,6.20,L. Miller RB - MIA ,0.60,P. Harvin WR - NYJ ,5.60,S. Smith WR - BAL ,1.70,O. Daniels TE - BAL ,2.00,E. Decker WR - NYJ ,2.40,G. Gano K - CAR ,3.00,Cowboys DEF ,11.00,A. Bradshaw RB - IND ,0.00,M. Floyd WR - LAC ,0.00,R. Fitzpatrick QB - HOU ,0.00,K. Allen WR - LAC ,0.00,G. Bernard RB - CIN ,0.00,Eagles DEF ,31.00,-,-,62.10,Peter,103.88
david,1,J. Flacco QB - BAL ,10.56,T. Richardson RB - IND ,0.00,A. Morris RB - WAS ,0.00,J. Nelson WR - GB ,27.20,M. Crabtree WR - SF ,6.20,G. Olsen TE - CAR ,11.90,G. Tate WR - DET ,10.90,B. Walsh K - MIN ,0.00,Buccaneers DEF ,1.00,K. Britt WR - STL ,3.10,T. Brady QB - NE ,0.00,A. Peterson RB - MIN ,0.00,D. Baldwin WR - SEA ,3.10,J. Matthews WR - PHI ,25.80,Patriots DEF ,0.00,-,-,67.76,Kevin,64.64
Daniel,8,D. Brees QB - NO ,18.38,J. Forsett RB - BAL ,23.20,F. Jackson RB - BUF ,4.90,M. Austin WR - CLE ,4.80,R. White WR - ATL ,13.20,J. Cameron TE - CLE ,0.00,J. Jones WR - LV ,2.00,S. Hauschka K - SEA ,8.00,49ers DEF ,8.00,E. Royal WR - LAC ,0.00,A. Foster RB - HOU ,0.00,H. Nicks WR - IND ,0.00,B. Hoyer QB - CLE ,8.02,M. Asiata RB - MIN ,0.00,Texans DEF ,0.00,-,-,82.48,michael,90.82
alex,9,R. Tannehill QB - MIA ,10.28,D. Williams RB - CAR ,2.80,D. Robinson RB - JAC ,17.00,J. Maclin WR - PHI ,3.80,M. Wallace WR - MIA ,11.10,J. Graham TE - NO ,19.60,K. Benjamin WR - CAR ,19.00,S. Janikowski K - LV ,5.00,Ravens DEF ,13.00,T. Smith WR - BAL ,13.50,A. Rodgers QB - GB ,36.60,R. Bush RB - DET ,2.50,L. Donnell TE - NYG ,2.60,M. Evans WR - TB ,18.50,J. Hill RB - CIN ,4.10,-,-,101.58,christian,68.16
Alessandro,5,K. Orton QB - BUF ,14.66,M. Ingram RB - NO ,13.90,E. Lacy RB - GB ,17.80,B. Marshall WR - CHI ,17.20,M. Sanu WR - CIN ,2.00,M. Bennett TE - CHI ,4.50,L. Fitzgerald WR - ARI ,11.20,C. Sturgis K - MIA ,12.00,Bills DEF ,9.00,J. Edelman WR - NE ,0.00,J. Bell RB - DET ,8.10,R. Wayne WR - IND ,0.00,C. Ivory RB - NYJ ,5.10,A. Luck QB - IND ,0.00,N. Novak K - LAC ,0.00,-,-,102.26,johnny,104.80
johnny,11,C. Kaepernick QB - SF ,12.80,D. McFadden RB - LV ,3.60,L. McCoy RB - PHI ,7.70,E. Sanders WR - DEN ,19.20,A. Jeffery WR - CHI ,7.10,C. Clay TE - MIA ,4.50,C. Shorts WR - JAC ,11.90,M. Bryant K - ATL ,13.00,Cardinals DEF ,25.00,D. Jackson WR - WAS ,0.00,T. Hilton WR - IND ,0.00,D. Allen TE - IND ,0.00,A. Davis QB - STL ,6.64,T. Austin WR - STL ,3.00,Z. Stacy RB - STL ,0.00,-,-,104.80,Alessandro,102.26
christian,12,M. Ryan QB - ATL ,15.66,J. Charles RB - KC ,17.80,L. Bell RB - PIT ,6.90,J. Jones WR - ATL ,11.90,A. Hurns WR - JAC ,0.90,D. Walker TE - TEN ,3.70,A. Smith RB - ATL ,0.30,J. Tucker K - BAL ,3.00,Lions DEF ,8.00,P. Garcon WR - WAS ,0.00,V. Davis TE - SF ,0.80,P. Rivers QB - LAC ,0.00,R. Woods WR - BUF ,5.20,I. Crowell RB - CLE ,10.10,Rams DEF ,6.00,-,-,68.16,alex,101.58
michael,6,B. Roethlisberger QB - PIT ,13.72,M. Lynch RB - SEA ,40.30,B. Rainey RB - TB ,5.60,M. Floyd WR - ARI ,1.10,T. Williams WR - DAL ,0.00,H. Miller TE - PIT ,2.90,R. Cobb WR - GB ,11.20,S. Suisham K - PIT ,9.00,Broncos DEF ,7.00,M. Stafford QB - DET ,17.10,S. Ridley RB - NE ,0.00,D. Martin RB - TB ,0.00,K. Davis RB - KC ,-1.40,T. West RB - CLE ,15.40,Bears DEF ,4.00,-,-,90.82,Daniel,82.48
Kevin,2,C. Palmer QB - ARI ,7.74,R. Hillman RB - DEN ,2.20,A. Ellington RB - ARI ,10.20,D. Thomas WR - DEN ,10.80,A. Green WR - CIN ,2.30,J. Witten TE - DAL ,9.30,T. Mason RB - STL ,8.10,C. Parkey K - PHI ,9.00,Steelers DEF ,5.00,R. Mathews RB - LAC ,0.00,T. Romo QB - DAL ,21.84,J. Hunter WR - TEN ,1.70,D. Hopkins WR - HOU ,0.00,B. Cooks WR - NO ,15.00,A. Williams RB - NYG ,9.80,-,-,64.64,david,67.76
Raed,7,C. Newton QB - CAR ,12.84,S. Vereen RB - NE ,0.00,D. Sproles RB - PHI ,8.10,D. Bryant WR - DAL ,27.80,M. Bryant WR - PIT ,20.30,R. Gronkowski TE - NE ,0.00,R. Randle WR - NYG ,3.90,D. Bailey K - DAL ,9.00,Colts DEF ,0.00,B. LaFell WR - NE ,0.00,J. Cutler QB - CHI ,8.88,A. Gates TE - LAC ,0.00,A. Johnson WR - HOU ,0.00,R. Griffin QB - WAS ,0.00,M. Ball RB - DEN ,0.00,-,-,81.94,Greg,36.40
