Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,4,P. Manning QB - DEN ,23.44,A. Bradshaw RB - IND ,14.70,L. Miller RB - MIA ,9.90,S. Smith WR - BAL ,3.50,M. Floyd WR - LAC ,5.80,O. Daniels TE - BAL ,0.00,G. Bernard RB - CIN ,10.70,D. Carpenter K - BUF ,15.00,Browns DEF ,13.00,P. Harvin WR - NYJ ,5.00,A. Dixon RB - BUF ,4.40,E. Decker WR - NYJ ,4.00,R. Fitzpatrick QB - HOU ,14.28,K. Allen WR - LAC ,13.30,Eagles DEF ,2.00,-,-,96.04,Kevin,123.36
david,1,T. Brady QB - NE ,34.16,T. Richardson RB - IND ,0.00,A. Morris RB - WAS ,14.50,J. Nelson WR - GB ,2.50,D. Baldwin WR - SEA ,6.10,G. Olsen TE - CAR ,1.60,G. Tate WR - DET ,21.10,B. Walsh K - MIN ,7.00,Patriots DEF ,13.00,J. Flacco QB - BAL ,5.00,K. Britt WR - STL ,5.20,M. Crabtree WR - SF ,0.00,A. Peterson RB - MIN ,0.00,J. Matthews WR - PHI ,4.70,Buccaneers DEF ,5.00,-,-,99.96,Alessandro,129.60
Daniel,9,D. Brees QB - NO ,25.04,J. Forsett RB - BAL ,10.50,A. Foster RB - HOU ,35.30,E. Royal WR - LAC ,2.90,R. White WR - ATL ,6.60,J. Cameron TE - CLE ,4.00,F. Jackson RB - BUF ,0.00,S. Hauschka K - SEA ,9.00,Texans DEF ,7.00,H. Nicks WR - IND ,2.70,B. Hoyer QB - CLE ,15.10,M. Asiata RB - MIN ,2.70,M. Austin WR - CLE ,3.40,J. Jones WR - LV ,6.20,49ers DEF ,0.00,-,-,100.34,alex,67.02
alex,10,A. Rodgers QB - GB ,26.82,R. Bush RB - DET ,0.00,--empty--,-,T. Smith WR - BAL ,0.00,M. Wallace WR - MIA ,5.90,J. Graham TE - NO ,11.90,K. Benjamin WR - CAR ,9.40,S. Janikowski K - LV ,7.00,Ravens DEF ,6.00,J. Maclin WR - PHI ,30.70,D. Williams RB - CAR ,0.00,R. Tannehill QB - MIA ,14.64,L. Donnell TE - NYG ,0.00,D. Robinson RB - JAC ,11.80,M. Evans WR - TB ,7.80,J. Hill RB - CIN ,5.30,67.02,Daniel,100.34
Alessandro,5,A. Luck QB - IND ,28.60,M. Ingram RB - NO ,23.50,E. Lacy RB - GB ,18.20,B. Marshall WR - CHI ,3.50,M. Sanu WR - CIN ,15.20,M. Bennett TE - CHI ,15.50,J. Bell RB - DET ,6.10,N. Novak K - LAC ,3.00,Bills DEF ,16.00,J. Edelman WR - NE ,1.40,R. Wayne WR - IND ,0.00,A. Boldin WR - SF ,0.00,S. Jackson RB - ATL ,12.00,L. Fitzgerald WR - ARI ,22.00,C. Ivory RB - NYJ ,16.30,-,-,129.60,david,99.96
johnny,12,A. Davis QB - STL ,8.50,D. McFadden RB - LV ,6.50,L. McCoy RB - PHI ,9.70,E. Sanders WR - DEN ,30.60,A. Jeffery WR - CHI ,11.90,D. Allen TE - IND ,8.10,T. Hilton WR - IND ,21.50,M. Bryant K - ATL ,3.00,Cardinals DEF ,7.00,D. Jackson WR - WAS ,13.60,C. Clay TE - MIA ,0.10,C. Kaepernick QB - SF ,0.00,C. Shorts WR - JAC ,4.10,T. Austin WR - STL ,1.90,Z. Stacy RB - STL ,3.70,-,-,106.80,Greg,118.34
christian,11,M. Ryan QB - ATL ,15.72,J. Charles RB - KC ,21.10,L. Bell RB - PIT ,14.80,P. Garcon WR - WAS ,4.70,J. Jones WR - ATL ,5.80,D. Walker TE - TEN ,9.70,A. Smith RB - ATL ,0.50,J. Tucker K - BAL ,14.00,Lions DEF ,4.00,B. Hartline WR - MIA ,1.90,V. Davis TE - SF ,0.00,P. Rivers QB - LAC ,19.78,R. Woods WR - BUF ,11.00,I. Crowell RB - CLE ,0.90,Rams DEF ,3.00,-,-,90.32,Peter,106.86
michael,7,M. Stafford QB - DET ,19.90,M. Lynch RB - SEA ,6.40,D. Martin RB - TB ,2.60,R. Cobb WR - GB ,18.60,T. Williams WR - DAL ,6.90,L. Green TE - LAC ,0.90,M. Floyd WR - ARI ,0.00,S. Suisham K - PIT ,7.00,Broncos DEF ,6.00,R. Jennings RB - NYG ,0.00,S. Ridley RB - NE ,0.00,B. Roethlisberger QB - PIT ,46.78,B. Rainey RB - TB ,6.60,T. West RB - CLE ,2.10,Bears DEF ,-3.00,-,-,68.30,Raed,90.18
Kevin,3,T. Romo QB - DAL ,12.46,A. Ellington RB - ARI ,12.50,T. Mason RB - STL ,3.30,D. Thomas WR - DEN ,10.50,B. Cooks WR - NO ,21.80,J. Witten TE - DAL ,13.00,R. Hillman RB - DEN ,13.80,C. Parkey K - PHI ,10.00,Dolphins DEF ,26.00,R. Mathews RB - LAC ,0.00,A. Green WR - CIN ,0.00,C. Palmer QB - ARI ,21.16,J. Hunter WR - TEN ,9.10,D. Hopkins WR - HOU ,9.50,A. Williams RB - NYG ,0.00,-,-,123.36,Peter,96.04
Raed,6,J. Cutler QB - CHI ,21.68,S. Vereen RB - NE ,4.50,B. Oliver RB - LAC ,6.30,D. Bryant WR - DAL ,9.00,A. Johnson WR - HOU ,5.50,R. Gronkowski TE - NE ,32.90,K. Wright WR - TEN ,5.30,D. Bailey K - DAL ,5.00,Colts DEF ,0.00,C. Newton QB - CAR ,5.24,A. Gates TE - LAC ,17.40,D. Sproles RB - PHI ,0.00,R. Griffin QB - WAS ,0.00,R. Randle WR - NYG ,0.00,M. Ball RB - DEN ,0.00,-,-,90.18,michael,68.30
Peter,2,R. Wilson QB - SEA ,13.46,B. Tate RB - PIT ,9.40,J. McKinnon RB - MIN ,8.20,C. Johnson WR - DET ,0.00,A. Brown WR - PIT ,25.80,J. Thomas TE - DEN ,2.30,S. Watkins WR - BUF ,21.70,S. Gostkowski K - NE ,15.00,Seahawks DEF ,11.00,E. Manning QB - NYG ,0.00,F. Gore RB - SF ,0.00,B. Quick WR - STL ,1.00,B. Brown RB - BUF ,1.50,B. Cunningham RB - STL ,3.50,O. Beckham WR - NYG ,0.00,-,-,106.86,christian,90.32
Greg,8,N. Foles QB - PHI ,23.84,M. Forte RB - CHI ,24.80,D. Murray RB - DAL ,20.10,V. Jackson WR - TB ,1.30,C. Patterson WR - MIN ,9.60,Z. Ertz TE - PHI ,4.80,M. Colston WR - NO ,4.90,A. Vinatieri K - IND ,10.00,Vikings DEF ,19.00,A. Dalton QB - CIN ,20.04,W. Welker WR - DEN ,0.50,B. Pierce RB - BAL ,0.00,J. Gordon WR - CLE ,0.00,T. Kelce TE - KC ,4.50,B. Sankey RB - TEN ,6.00,-,-,118.34,johnny,106.80
