Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,3,P. Manning QB - DEN ,21.48,A. Bradshaw RB - IND ,11.90,G. Bernard RB - CIN ,21.70,P. Harvin WR - NYJ ,-0.10,K. Allen WR - LAC ,2.70,O. Daniels TE - BAL ,3.40,S. Smith WR - BAL ,17.00,D. Carpenter K - BUF ,2.00,Eagles DEF ,20.00,E. Decker WR - NYJ ,11.40,M. Floyd WR - LAC ,16.30,R. Fitzpatrick QB - HOU ,10.98,P. Thomas RB - NO ,0.00,L. Miller RB - MIA ,13.30,Chargers DEF ,1.00,100.08,christian,102.54
david,1,T. Brady QB - NE ,30.74,T. Richardson RB - IND ,10.10,A. Morris RB - WAS ,5.50,J. Nelson WR - GB ,16.70,M. Crabtree WR - SF ,10.90,G. Olsen TE - CAR ,12.20,G. Tate WR - DET ,4.40,B. Walsh K - MIN ,3.00,Patriots DEF ,11.00,J. Flacco QB - BAL ,32.24,K. Britt WR - STL ,3.90,A. Peterson RB - MIN ,0.00,D. Baldwin WR - SEA ,3.20,J. Matthews WR - PHI ,5.00,Buccaneers DEF ,-2.00,104.54,Greg,95.72
Daniel,9,D. Brees QB - NO ,0.00,J. Forsett RB - BAL ,11.10,A. Foster RB - HOU ,26.10,E. Royal WR - LAC ,10.90,R. White WR - ATL ,4.00,J. Cameron TE - CLE ,16.20,V. Cruz WR - NYG ,1.60,S. Hauschka K - SEA ,11.00,49ers DEF ,14.00,H. Nicks WR - IND ,1.80,B. Hoyer QB - CLE ,12.68,F. Jackson RB - BUF ,10.30,J. Jones WR - LV ,11.60,K. Stills WR - NO ,0.00,Texans DEF ,12.00,94.90,Peter,91.34
alex,12,A. Rodgers QB - GB ,25.96,C. Spiller RB - BUF ,-0.10,R. Bush RB - DET ,0.00,J. Maclin WR - PHI ,1.60,T. Smith WR - BAL ,17.10,L. Donnell TE - NYG ,0.60,K. Benjamin WR - CAR ,10.90,S. Janikowski K - LV ,4.00,Ravens DEF ,8.00,K. Moreno RB - MIA ,1.80,J. Graham TE - NO ,0.00,D. Williams RB - CAR ,0.00,M. Wallace WR - MIA ,12.70,R. Tannehill QB - MIA ,18.66,M. Evans WR - TB ,11.50,68.06,Raed,92.14
Alessandro,6,A. Luck QB - IND ,24.60,S. Jackson RB - ATL ,2.50,E. Lacy RB - GB ,4.00,B. Marshall WR - CHI ,11.30,M. Sanu WR - CIN ,18.00,M. Bennett TE - CHI ,7.20,R. Wayne WR - IND ,3.50,N. Novak K - LAC ,7.00,Bills DEF ,-2.00,J. Edelman WR - NE ,10.10,J. Bell RB - DET ,15.70,M. Ingram RB - NO ,0.00,A. Boldin WR - SF ,15.40,L. Fitzgerald WR - ARI ,15.80,C. Ivory RB - NYJ ,2.10,76.10,Kevin,82.80
johnny,11,C. Kaepernick QB - SF ,29.42,L. McCoy RB - PHI ,15.40,Z. Stacy RB - STL ,3.40,E. Sanders WR - DEN ,3.80,A. Jeffery WR - CHI ,13.60,D. Allen TE - IND ,4.90,T. Hilton WR - IND ,30.30,M. Bryant K - ATL ,11.00,Cardinals DEF ,17.00,D. McFadden RB - LV ,8.60,D. Jackson WR - WAS ,18.00,L. Blount RB - NE ,2.70,C. Clay TE - MIA ,3.50,C. Shorts WR - JAC ,8.30,T. Austin WR - STL ,5.10,128.82,michael,74.30
christian,10,M. Ryan QB - ATL ,12.74,L. Bell RB - PIT ,10.50,I. Crowell RB - CLE ,11.70,P. Garcon WR - WAS ,9.10,J. Jones WR - ATL ,6.90,D. Walker TE - TEN ,5.70,A. Smith RB - ATL ,12.90,J. Tucker K - BAL ,12.00,Lions DEF ,21.00,J. Charles RB - KC ,0.00,B. Hartline WR - MIA ,0.00,V. Davis TE - SF ,3.00,P. Rivers QB - LAC ,25.82,R. Woods WR - BUF ,15.80,Rams DEF ,2.00,102.54,Peter,100.08
michael,2,M. Stafford QB - DET ,11.50,S. Ridley RB - NE ,2.90,M. Lynch RB - SEA ,6.20,R. Cobb WR - GB ,11.90,T. Williams WR - DAL ,7.00,L. Green TE - LAC ,6.00,D. Martin RB - TB ,4.80,P. Dawson K - SF ,9.00,Broncos DEF ,15.00,R. Jennings RB - NYG ,0.00,B. Roethlisberger QB - PIT ,11.82,M. Floyd WR - ARI ,10.70,B. Rainey RB - TB ,4.20,T. West RB - CLE ,0.00,Bears DEF ,10.00,74.30,johnny,128.82
Kevin,4,T. Romo QB - DAL ,15.90,A. Ellington RB - ARI ,9.30,A. Williams RB - NYG ,5.90,D. Thomas WR - DEN ,18.40,D. Hopkins WR - HOU ,1.20,J. Witten TE - DAL ,8.40,J. Hunter WR - TEN ,7.70,C. Parkey K - PHI ,9.00,Packers DEF ,7.00,R. Mathews RB - LAC ,0.00,M. Asiata RB - MIN ,1.30,A. Green WR - CIN ,0.00,D. Brown RB - LAC ,0.00,K. Cousins QB - WAS ,16.16,B. Cooks WR - NO ,0.00,82.80,Alessandro,76.10
Raed,7,J. Cutler QB - CHI ,21.64,D. Sproles RB - PHI ,9.90,B. Oliver RB - LAC ,18.40,D. Bryant WR - DAL ,6.30,A. Johnson WR - HOU ,13.90,R. Gronkowski TE - NE ,9.40,K. Wright WR - TEN ,0.60,D. Bailey K - DAL ,14.00,Bengals DEF ,-2.00,C. Newton QB - CAR ,34.06,A. Gates TE - LAC ,8.70,M. Ball RB - DEN ,0.00,K. Robinson RB - NO ,0.00,A. Hurns WR - JAC ,1.80,Falcons DEF ,2.00,92.14,alex,68.06
