Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,4,P. Manning QB - DEN ,13.02,L. Miller RB - MIA ,5.70,G. Bernard RB - CIN ,10.30,S. Smith WR - BAL ,3.70,A. Boldin WR - SF ,2.30,C. Fleener TE - IND ,3.20,M. Floyd WR - LAC ,3.40,J. Tucker K - BAL ,8.00,Packers DEF ,6.00,B. Tate RB - PIT ,0.80,E. Decker WR - NYJ ,10.00,O. Daniels TE - BAL ,12.20,A. Blue RB - HOU ,2.60,Titans DEF ,6.00,Eagles DEF ,1.00,55.62,-,-
david,1,J. Flacco QB - BAL ,13.64,T. Richardson RB - IND ,4.10,A. Morris RB - WAS ,4.90,J. Nelson WR - GB ,5.50,M. Crabtree WR - SF ,1.90,G. Olsen TE - CAR ,11.00,G. Tate WR - DET ,10.30,B. Walsh K - MIN ,2.00,Buccaneers DEF ,6.00,K. Britt WR - STL ,6.50,T. Brady QB - NE ,19.28,A. Peterson RB - MIN ,0.00,D. Baldwin WR - SEA ,5.30,J. Matthews WR - PHI ,0.00,Patriots DEF ,18.00,59.34,Alessandro,86.68
Daniel,6,D. Brees QB - NO ,27.20,J. Forsett RB - BAL ,4.70,A. Foster RB - HOU ,11.70,R. White WR - ATL ,11.80,K. Allen WR - LAC ,1.80,J. Cameron TE - CLE ,0.40,P. Harvin WR - NYJ ,1.00,S. Hauschka K - SEA ,5.00,Texans DEF ,13.00,H. Nicks WR - IND ,10.40,B. Hoyer QB - CLE ,0.00,M. Asiata RB - MIN ,14.60,F. Jackson RB - BUF ,9.80,J. Jones WR - LV ,11.70,49ers DEF ,8.00,76.60,-,-
alex,10,A. Rodgers QB - GB ,6.10,D. Robinson RB - JAC ,0.00,J. Hill RB - CIN ,27.20,J. Maclin WR - PHI ,9.80,M. Evans WR - TB ,7.30,J. Graham TE - NO ,8.70,T. Smith WR - BAL ,1.60,S. Janikowski K - LV ,9.00,Ravens DEF ,20.00,P. Burress WR ,0.00,R. Bush RB - DET ,1.70,M. Wallace WR - MIA ,16.40,R. Tannehill QB - MIA ,15.94,L. Donnell TE - NYG ,1.10,K. Benjamin WR - CAR ,10.40,89.70,-,-
Alessandro,5,A. Luck QB - IND ,15.28,M. Ingram RB - NO ,11.90,E. Lacy RB - GB ,16.80,R. Wayne WR - IND ,0.40,M. Sanu WR - CIN ,0.40,M. Bennett TE - CHI ,5.60,J. Bell RB - DET ,10.30,C. Sturgis K - MIA ,9.00,Bills DEF ,17.00,J. Edelman WR - NE ,15.40,L. Fitzgerald WR - ARI ,3.00,K. Orton QB - BUF ,3.92,C. Ivory RB - NYJ ,8.60,N. Novak K - LAC ,4.00,-,-,86.68,david,59.34
johnny,9,C. Kaepernick QB - SF ,10.24,D. McFadden RB - LV ,1.30,L. McCoy RB - PHI ,6.50,E. Sanders WR - DEN ,5.30,A. Jeffery WR - CHI ,13.80,C. Clay TE - MIA ,5.90,C. Shorts WR - JAC ,7.60,M. Bryant K - ATL ,8.00,Cardinals DEF ,13.00,D. Jackson WR - WAS ,2.40,T. Hilton WR - IND ,5.00,D. Allen TE - IND ,7.60,A. Davis QB - STL ,0.00,T. Austin WR - STL ,2.20,Z. Stacy RB - STL ,0.00,71.64,-,-
christian,11,P. Rivers QB - LAC ,9.58,J. Charles RB - KC ,5.30,L. Bell RB - PIT ,23.90,P. Garcon WR - WAS ,3.60,J. Jones WR - ATL ,0.00,D. Walker TE - TEN ,9.30,A. Hurns WR - JAC ,7.00,P. Dawson K - SF ,1.00,Lions DEF ,9.00,M. Ryan QB - ATL ,21.10,A. Smith RB - ATL ,0.00,V. Davis TE - SF ,0.00,R. Woods WR - BUF ,2.20,I. Crowell RB - CLE ,2.70,Rams DEF ,5.00,68.68,Raed,108.56
michael,8,M. Stafford QB - DET ,10.32,M. Lynch RB - SEA ,15.80,B. Rainey RB - TB ,0.00,R. Cobb WR - GB ,11.10,M. Floyd WR - ARI ,5.50,H. Miller TE - PIT ,6.80,K. Davis RB - KC ,20.10,S. Suisham K - PIT ,9.00,Broncos DEF ,8.00,S. Ridley RB - NE ,0.00,B. Roethlisberger QB - PIT ,14.20,D. Martin RB - TB ,9.90,T. Williams WR - DAL ,1.90,T. West RB - CLE ,2.30,Bears DEF ,3.00,86.62,Greg,45.78
Kevin,2,T. Romo QB - DAL ,20.50,D. Sproles RB - PHI ,7.30,T. Mason RB - STL ,1.30,D. Thomas WR - DEN ,18.30,A. Green WR - CIN ,4.90,J. Witten TE - DAL ,6.90,D. Hopkins WR - HOU ,7.70,C. Parkey K - PHI ,9.00,Panthers DEF ,10.00,M. Sanchez QB - PHI ,6.08,R. Mathews RB - LAC ,0.00,A. Ellington RB - ARI ,0.00,M. Rivera TE - LV ,3.90,A. Williams RB - NYG ,5.30,D. Moncrief WR - IND ,0.00,85.90,Peter,99.02
Raed,7,J. Cutler QB - CHI ,13.76,L. Blount RB - NE ,8.40,L. Murray RB - LV ,7.60,D. Bryant WR - DAL ,29.40,B. LaFell WR - NE ,6.60,R. Gronkowski TE - NE ,15.60,D. Herron RB - IND ,7.20,D. Bailey K - DAL ,8.00,Colts DEF ,12.00,C. Newton QB - CAR ,0.00,S. Vereen RB - NE ,7.70,A. Gates TE - LAC ,11.40,A. Johnson WR - HOU ,0.00,S. Jackson RB - ATL ,5.70,M. Bryant WR - PIT ,3.10,108.56,christian,68.68
