Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,10,L. Jackson QB - BAL Q ,10.70,J. Robinson RB - NE ,0.00,N. Harris RB - PIT ,8.00,D. Metcalf WR - SEA ,1.20,A. St. Brown WR - DET ,0.40,T. Kelce TE - KC ,9.80,D. Harris RB - BUF ,1.00,D. Carlson K - LV ,10.00,Raiders DEF ,10.00,M. Thomas WR - NO IR ,0.00,J. Reynolds WR - DET ,0.80,D. Henderson RB ,0.00,D. Duvernay WR - BAL IR ,4.20,C. Akers RB - LA ,0.00,C. Hubbard RB - CAR ,13.30,-,-,51.10,Kevin,52.80
david,2,J. Burrow QB - CIN ,41.24,R. Mostert RB - MIA Q ,16.90,R. Stevenson RB - NE ,15.80,T. Boyd WR - CIN Q ,21.50,C. Sutton WR - DEN ,2.30,H. Hurst TE - CAR ,4.80,R. Moore WR - ARI IR ,3.10,N. Folk K - NE ,2.00,Buccaneers DEF ,1.00,K. Drake RB - BAL ,0.50,D. Cook RB - MIN ,0.00,A. Brown WR - PHI ,0.00,D. Knox TE - BUF ,0.00,A. Mattison RB - MIN ,0.00,G. Davis WR - BUF ,0.00,-,-,108.64,Jeremy,96.18
Ryan,3,J. Garoppolo QB - LV Q ,16.32,A. Ekeler RB - LAC ,24.70,S. Barkley RB - NYG ,13.50,D. Hopkins WR - ARI Q ,10.30,C. Godwin WR - TB ,4.50,D. Njoku TE - CLE ,7.10,K. Walker RB - SEA ,28.70,J. Myers K - SEA ,15.00,Packers DEF ,9.00,D. Waller TE - NYG ,0.00,C. Samuel WR - WAS ,7.90,J. Allen QB - BUF ,0.00,G. Wilson WR - NYJ ,2.40,G. Pickens WR - PIT ,12.10,R. White RB - TB ,3.20,E. Mitchell RB - SF Q ,0.00,129.12,Peter,111.92
alex,1,P. Mahomes QB - KC ,28.92,D. Henry RB - TEN ,13.80,J. Jacobs RB - LV ,33.50,C. Kirk WR - JAX Q ,10.10,D. Samuel WR - SF ,4.40,T. Hockenson TE - MIN ,4.80,L. Murray RB - BUF ,8.30,J. Tucker K - BAL ,13.00,Patriots DEF ,5.00,K. Cousins QB - MIN ,0.00,R. Woods WR - HOU ,2.60,O. Beckham WR - BAL Q ,0.00,J. Conner RB - ARI Q ,0.00,G. Edwards RB - BAL ,18.60,R. Bateman WR - BAL IR ,4.20,-,-,121.82,Daniel,111.90
Alessandro,7,D. Prescott QB - DAL ,12.28,L. Fournette RB - TB ,2.60,B. Hall RB - NYJ IR ,13.20,M. Pittman WR - IND ,3.80,J. Chase WR - CIN ,25.00,Z. Ertz TE - ARI IR ,4.10,T. Pollard RB - DAL Q ,10.90,B. Maher K - DAL ,6.00,Broncos DEF ,4.00,A. Rodgers QB - NYJ ,15.76,T. Lockett WR - SEA ,4.50,J. Goff QB - DET ,1.52,D. Foreman RB - CHI ,14.50,D. Mooney WR - CHI IR ,5.30,J. Jeudy WR - DEN ,9.60,C. Patterson RB - ATL ,0.00,81.88,Neil,70.46
Daniel,5,T. Brady QB - TB ,11.70,N. Hines RB - BUF ,4.30,T. Etienne RB - JAX ,17.90,D. Adams WR - LV ,9.50,J. Meyers WR - LV ,9.40,G. Kittle TE - SF ,15.80,T. McLaurin WR - WAS ,13.30,R. Bullock K - TEN ,13.00,Cardinals DEF ,17.00,C. Edmonds RB - TB ,1.70,M. Sanders RB - CAR ,0.00,J. Jefferson WR - MIN ,0.00,C. Claypool WR - CHI ,4.10,T. Bass K - BUF ,0.00,Bills DEF ,0.00,-,-,111.90,alex,121.82
Neil,11,K. Murray QB - ARI IR ,17.16,J. Mixon RB - CIN ,15.10,A. Gibson RB - WAS IR ,13.70,T. Hill WR - MIA ,7.20,A. Lazard WR - NYJ ,5.50,M. Andrews TE - BAL ,0.40,M. Carter RB - NYJ ,7.40,R. Succop K - TB ,3.00,49ers DEF ,1.00,A. Thielen WR - CAR ,0.00,M. Gallup WR - DAL Q ,0.00,D. Moore WR - CHI ,12.60,J. Dobbins RB - BAL ,0.00,T. Tagovailoa QB - MIA ,15.94,-,-,-,-,70.46,Alessandro,81.88
michael,4,J. Herbert QB - LAC Q ,17.12,C. Edwards-Helaire RB - KC IA ,9.20,B. Robinson RB - WAS Q ,8.60,A. Cooper WR - CLE ,7.40,M. Hardman WR - NYJ IR ,24.00,G. Everett TE - LAC ,6.30,D. Pierce RB - HOU IR ,11.70,Y. Koo K - ATL ,5.00,Cowboys DEF ,22.00,M. Stafford QB - LA IR ,0.00,S. Diggs WR - BUF ,0.00,T. Higbee TE - LA ,0.00,C. Kupp WR - LA IR ,0.00,D. Montgomery RB - DET ,12.20,K. Herbert RB - CHI ,14.70,-,-,111.32,Greg,69.24
Kevin,9,T. Lawrence QB - JAX ,18.70,A. Dillon RB - GB ,1.50,J. Taylor RB - IND IR ,8.50,C. Lamb WR - DAL ,6.60,R. Doubs WR - GB ,0.00,K. Pitts TE - ATL IR ,0.90,B. Cooks WR - DAL ,4.60,E. McPherson K - CIN ,5.00,Jets DEF ,7.00,K. Hunt RB - CLE ,6.80,J. Smith-Schuster WR - NE ,18.40,D. Singletary RB - HOU ,0.00,B. Aiyuk WR - SF ,8.20,K. Pickett QB - PIT ,10.28,Eagles DEF ,0.00,-,-,52.80,Peter,51.10
Jeremy,12,D. Jones QB - NYG ,28.78,E. Elliott RB - DAL ,17.70,C. McCaffrey RB - SF ,6.20,M. Evans WR - TB ,9.60,C. Olave WR - NO ,10.60,P. Freiermuth TE - PIT Q ,7.50,J. Waddle WR - MIA ,8.80,B. McManus K - DEN ,3.00,Chargers DEF ,4.00,M. Ingram RB - NO IR ,2.20,R. Wilson QB - DEN ,0.00,A. Robinson WR - PIT IR ,0.00,M. Gordon RB - KC ,5.00,J. Wilson RB - MIA ,5.40,D. Johnson WR - PIT ,4.50,M. Brown WR - ARI ,0.00,96.18,david,108.64
