Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,10,A. Rodgers QB - NYJ ,13.32,N. Harris RB - PIT ,9.50,B. Knight RB - NYJ ,1.30,D. Metcalf WR - SEA ,8.10,A. St. Brown WR - DET ,7.60,T. Kelce TE - KC ,11.30,J. Palmer WR - LAC ,1.60,D. Carlson K - LV ,4.00,Ravens DEF ,8.00,K. Cousins QB - MIN ,24.16,T. Hilton WR - DAL ,5.20,C. Moore WR - TEN ,2.50,L. Jackson QB - BAL Q ,0.00,D. Harris RB - BUF ,0.00,C. Hubbard RB - CAR ,12.50,-,-,64.72,Daniel,97.84
david,4,J. Burrow QB - CIN ,23.50,E. Elliott RB - DAL ,12.10,D. Cook RB - MIN ,7.70,A. Brown WR - PHI ,10.30,J. Waddle WR - MIA ,20.30,C. Kmet TE - CHI ,2.70,R. Stevenson RB - NE ,1.30,G. Joseph K - MIN ,11.00,Buccaneers DEF ,8.00,K. Drake RB - BAL ,0.00,T. Boyd WR - CIN Q ,2.10,A. Mattison RB - MIN ,1.70,G. Davis WR - BUF ,8.50,C. Akers RB - LA ,32.70,Commanders DEF ,1.00,-,-,96.90,alex,108.76
Ryan,2,J. Allen QB - BUF ,22.98,S. Barkley RB - NYG ,19.30,K. Walker RB - SEA ,10.50,D. Hopkins WR - ARI Q ,0.40,C. Godwin WR - TB ,6.30,D. Waller TE - NYG ,5.80,A. Ekeler RB - LAC ,19.90,B. Maher K - DAL ,16.00,Broncos DEF ,-4.00,J. Goff QB - DET ,25.70,D. Njoku TE - CLE ,1.40,G. Wilson WR - NYJ ,1.00,R. White RB - TB ,11.30,Jaguars DEF ,14.00,Chargers DEF ,20.00,-,-,97.18,Greg,90.96
alex,1,P. Mahomes QB - KC ,23.76,D. Henry RB - TEN ,16.60,J. Jacobs RB - LV ,5.00,C. Kirk WR - JAX Q ,2.60,D. Slayton WR - NYG ,7.90,T. Hockenson TE - MIN ,22.90,J. Conner RB - ARI Q ,18.00,J. Tucker K - BAL ,9.00,Browns DEF ,3.00,L. Murray RB - BUF ,6.00,D. Chark WR - CAR ,10.80,G. Edwards RB - BAL ,9.90,D. Samuel WR - SF ,0.00,J. Dotson WR - WAS ,13.60,Patriots DEF ,14.00,-,-,108.76,david,96.90
Alessandro,5,N. Foles QB - IND Q ,-0.28,L. Fournette RB - TB ,16.20,T. Pollard RB - DAL Q ,8.00,J. Chase WR - CIN ,5.90,C. Watson WR - GB ,4.90,--empty--,-,J. Jeudy WR - DEN ,11.70,--empty--,-,--empty--,-,C. Patterson RB - ATL ,3.10,T. Lockett WR - SEA ,0.00,D. Prescott QB - DAL ,27.98,D. Foreman RB - CHI ,22.50,J. Williams WR - DET ,0.00,B. Hall RB - NYJ IR ,0.00,-,-,46.42,-,-
Daniel,7,T. Brady QB - TB ,11.34,C. McCaffrey RB - SF ,11.80,M. Sanders RB - CAR ,5.10,M. Evans WR - TB ,2.90,J. Jefferson WR - MIN ,19.30,G. Kittle TE - SF ,24.00,C. Samuel WR - WAS ,11.40,T. Bass K - BUF ,2.00,Bills DEF ,10.00,S. Perine RB - DEN ,2.20,M. Gallup WR - DAL Q ,9.60,T. Conklin TE - NYJ ,3.40,J. Meyers WR - LV ,14.30,C. Claypool WR - CHI ,0.00,Jets DEF ,4.00,C. Edmonds RB - TB ,5.30,97.84,Peter,64.72
Neil,9,T. Tagovailoa QB - MIA ,10.40,J. Mixon RB - CIN ,10.80,A. Gibson RB - WAS IR ,3.10,T. Hill WR - MIA ,10.30,D. Moore WR - CHI ,15.10,M. Andrews TE - BAL ,4.50,J. Dobbins RB - BAL ,5.90,R. Succop K - TB ,13.00,Raiders DEF ,6.00,A. Thielen WR - CAR ,0.60,A. Lazard WR - NYJ ,6.10,D. Hilliard RB - TEN IR ,0.00,M. Carter RB - NYJ ,5.00,R. Gould K - SF ,13.00,49ers DEF ,7.00,K. Murray QB - ARI IR ,0.00,79.10,Kevin,99.26
michael,6,J. Herbert QB - LAC Q ,5.50,D. Montgomery RB - DET ,6.40,B. Robinson RB - WAS Q ,5.80,A. Cooper WR - CLE ,7.20,S. Diggs WR - BUF ,2.60,G. Everett TE - LAC ,0.00,J. McKinnon RB - KC ,9.80,Y. Koo K - ATL ,9.00,Cowboys DEF ,7.00,I. McKenzie WR - IND ,0.60,M. Hardman WR - NYJ IR ,0.00,C. Edwards-Helaire RB - KC IA ,0.00,K. Herbert RB - CHI ,0.30,D. Pierce RB - HOU IR ,0.00,C. Boswell K - PIT ,7.00,C. Kupp WR - LA IR ,0.00,53.30,-,-
Kevin,8,J. Fields QB - CHI Q ,9.86,D. Singletary RB - HOU ,18.50,A. Dillon RB - GB ,10.80,J. Smith-Schuster WR - NE ,2.70,C. Lamb WR - DAL ,24.00,E. Engram TE - JAX ,11.30,B. Aiyuk WR - SF ,8.10,E. McPherson K - CIN ,4.00,Eagles DEF ,10.00,B. Cooks WR - DAL ,9.40,K. Hunt RB - CLE ,2.20,T. Huntley QB - BAL ,13.20,D. Peoples-Jones WR - CLE ,0.20,J. Taylor RB - IND IR ,0.00,T. Lawrence QB - JAX ,18.26,K. Pitts TE - ATL IR ,0.00,99.26,Neil,79.10
Jeremy,11,D. Jones QB - NYG ,20.76,R. Mostert RB - MIA Q ,2.90,T. Etienne RB - JAX ,11.20,D. Adams WR - LV ,1.50,M. Brown WR - ARI ,5.80,P. Freiermuth TE - PIT Q ,6.60,T. McLaurin WR - WAS ,13.70,G. Zuerlein K - NYJ ,3.00,Vikings DEF ,7.00,M. Gordon RB - KC ,0.00,C. Sutton WR - DEN ,6.40,J. Wilson RB - MIA ,10.00,D. Johnson WR - PIT ,6.40,C. Olave WR - NO ,0.00,J. Warren RB - PIT ,3.00,-,-,72.46,-,-
