Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,10,K. Cousins QB - MIN ,27.00,T. Homer RB - CHI IR ,3.40,N. Harris RB - PIT ,11.00,D. Metcalf WR - SEA ,13.10,A. St. Brown WR - DET ,7.40,T. Kelce TE - KC ,7.10,J. Palmer WR - LAC ,5.30,D. Carlson K - LV ,12.00,Ravens DEF ,9.00,L. Jackson QB - BAL Q ,0.00,M. White QB - MIA Q ,10.72,D. Harris RB - BUF ,0.00,T. Jones RB - DEN ,0.20,D. Dallas RB - SEA ,0.00,B. Knight RB - NYJ ,13.70,-,-,95.30,alex,122.68
david,4,J. Burrow QB - CIN ,16.56,D. Cook RB - MIN ,7.60,R. Stevenson RB - NE ,1.00,A. Brown WR - PHI ,13.00,J. Waddle WR - MIA ,3.10,N. Fant TE - SEA ,0.00,E. Elliott RB - DAL ,14.10,J. Myers K - SEA ,6.00,Buccaneers DEF ,-2.00,K. Drake RB - BAL ,0.20,T. Boyd WR - CIN Q ,0.00,A. Mattison RB - MIN ,-0.10,G. Davis WR - BUF ,3.10,C. Kmet TE - CHI ,0.00,C. Akers RB - LA ,8.30,-,-,59.36,Alessandro,126.60
Ryan,2,J. Allen QB - BUF ,20.58,A. Ekeler RB - LAC ,16.40,S. Barkley RB - NYG ,4.80,C. Godwin WR - TB ,5.40,G. Wilson WR - NYJ ,7.80,G. Dulcich TE - DEN IR ,4.20,D. Hopkins WR - ARI Q ,5.90,B. Maher K - DAL ,11.00,Chiefs DEF ,15.00,D. Njoku TE - CLE ,11.70,M. Breida RB - NYG ,1.50,G. Pickens WR - PIT ,7.80,K. Walker RB - SEA ,0.00,R. White RB - TB ,5.70,Titans DEF ,-4.00,D. Waller TE - NYG ,0.00,91.08,michael,76.18
alex,1,P. Mahomes QB - KC ,19.78,D. Henry RB - TEN ,17.50,J. Jacobs RB - LV ,17.40,C. Kirk WR - JAX Q ,4.50,D. Samuel WR - SF ,10.40,T. Hockenson TE - MIN ,5.70,J. Conner RB - ARI Q ,17.40,J. Tucker K - BAL ,10.00,Patriots DEF ,20.00,L. Murray RB - BUF ,3.10,O. Beckham WR - BAL Q ,0.00,G. Edwards RB - BAL ,6.60,D. Slayton WR - NYG ,4.20,D. Duvernay WR - BAL IR ,0.00,Panthers DEF ,7.00,-,-,122.68,Peter,95.30
Alessandro,5,J. Goff QB - DET ,26.10,D. Foreman RB - CHI ,7.50,T. Pollard RB - DAL Q ,18.20,T. Lockett WR - SEA ,12.00,J. Chase WR - CIN ,18.50,H. Henry TE - NE ,7.00,J. Jeudy WR - DEN ,25.30,N. Folk K - NE ,11.00,Seahawks DEF ,1.00,C. Patterson RB - ATL ,0.00,D. Prescott QB - DAL ,13.66,L. Fournette RB - TB ,4.60,M. Pittman WR - IND ,0.00,J. Williams WR - DET ,10.10,C. Watson WR - GB ,0.00,-,-,126.60,david,59.36
Daniel,7,T. Brady QB - TB ,10.12,C. McCaffrey RB - SF ,27.30,M. Sanders RB - CAR ,27.50,M. Evans WR - TB ,4.40,J. Jefferson WR - MIN ,24.30,G. Kittle TE - SF ,2.80,M. Gallup WR - DAL Q ,4.00,T. Bass K - BUF ,8.00,Bills DEF ,12.00,C. Samuel WR - WAS ,0.00,S. Perine RB - DEN ,8.40,T. Conklin TE - NYJ ,2.80,J. Meyers WR - LV ,0.00,C. Claypool WR - CHI ,0.00,Jets DEF ,6.00,C. Edmonds RB - TB ,0.00,120.42,Greg,71.18
Neil,9,K. Murray QB - ARI IR ,0.66,J. Mixon RB - CIN ,10.60,M. Carter RB - NYJ ,0.00,T. Hill WR - MIA ,20.10,D. Moore WR - CHI ,0.60,M. Andrews TE - BAL ,1.70,A. Thielen WR - CAR ,12.50,R. Succop K - TB ,1.00,Raiders DEF ,7.00,A. Lazard WR - NYJ ,0.00,D. Hilliard RB - TEN IR ,0.00,T. Tagovailoa QB - MIA ,12.60,A. Gibson RB - WAS IR ,0.00,R. Gould K - SF ,5.00,49ers DEF ,10.00,J. Dobbins RB - BAL ,18.00,54.16,Jeremy,56.16
michael,6,J. Herbert QB - LAC Q ,19.48,J. McKinnon RB - KC ,25.40,D. Pierce RB - HOU IR ,11.80,A. Cooper WR - CLE ,4.20,S. Diggs WR - BUF ,3.70,G. Everett TE - LAC ,2.80,I. McKenzie WR - IND ,2.80,C. Boswell K - PIT ,2.00,Cowboys DEF ,4.00,D. Montgomery RB - DET ,0.00,M. Hardman WR - NYJ IR ,0.00,C. Edwards-Helaire RB - KC IA ,0.00,K. Herbert RB - CHI ,0.00,B. Robinson RB - WAS Q ,0.00,Y. Koo K - ATL ,0.00,C. Kupp WR - LA IR ,0.00,76.18,Ryan,91.08
Kevin,8,T. Lawrence QB - JAX ,33.42,K. Hunt RB - CLE ,1.20,D. Singletary RB - HOU ,4.30,C. Lamb WR - DAL ,3.30,B. Aiyuk WR - SF ,11.70,E. Engram TE - JAX ,28.20,J. Smith-Schuster WR - NE ,13.40,E. McPherson K - CIN ,5.00,Eagles DEF ,9.00,B. Cooks WR - DAL ,0.00,T. Huntley QB - BAL ,6.62,D. Peoples-Jones WR - CLE ,11.40,A. Dillon RB - GB ,0.00,J. Taylor RB - IND IR ,0.00,J. Fields QB - CHI Q ,0.00,K. Pitts TE - ATL IR ,0.00,109.52,Peter,33.26
Jeremy,11,D. Jones QB - NYG ,19.36,J. Wilson RB - MIA ,2.60,T. Etienne RB - JAX ,3.20,D. Adams WR - LV ,7.10,M. Brown WR - ARI ,3.40,P. Freiermuth TE - PIT Q ,9.30,D. Johnson WR - PIT ,8.20,G. Zuerlein K - NYJ ,4.00,Vikings DEF ,-1.00,M. Gordon RB - KC ,0.00,R. Mostert RB - MIA Q ,4.40,C. Sutton WR - DEN ,0.00,T. McLaurin WR - WAS ,0.00,C. Olave WR - NO ,0.00,J. Warren RB - PIT ,2.70,-,-,56.16,Neil,54.16
