Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,7,L. Jackson QB - BAL Q ,14.76,J. Robinson RB - NE ,3.90,N. Harris RB - PIT ,3.60,D. Metcalf WR - SEA ,12.80,A. St. Brown WR - DET ,1.80,T. Kelce TE - KC ,26.50,D. Harris RB - BUF ,1.20,D. Carlson K - LV ,15.00,Jaguars DEF ,5.00,M. Thomas WR - NO IR ,0.00,Z. Jones WR - JAX ,1.20,J. Reynolds WR - DET ,9.20,D. Henderson RB ,3.00,D. Duvernay WR - BAL IR ,7.80,C. Akers RB - LA ,3.30,-,-,84.56,Daniel,101.96
david,6,J. Burrow QB - CIN ,17.28,D. Cook RB - MIN ,24.10,R. Stevenson RB - NE ,17.50,C. Sutton WR - DEN ,7.40,A. Brown WR - PHI ,3.20,R. Tonyan TE - CHI ,2.30,G. Davis WR - BUF ,29.10,M. Gay K - IND ,4.00,Buccaneers DEF ,6.00,R. Mostert RB - MIA Q ,18.20,T. Boyd WR - CIN Q ,3.20,M. Boone RB - HOU IR ,8.50,D. Knox TE - BUF ,0.00,A. Mattison RB - MIN ,4.00,E. Moore WR - CLE ,1.10,-,-,110.88,Peter,92.94
Ryan,4,J. Allen QB - BUF ,37.16,A. Ekeler RB - LAC ,31.90,S. Barkley RB - NYG ,16.60,C. Samuel WR - WAS ,6.20,C. Godwin WR - TB ,6.30,D. Waller TE - NYG ,0.00,J. Wilson RB - MIA ,19.20,G. Joseph K - MIN ,3.00,Packers DEF ,3.00,D. Hopkins WR - ARI Q ,0.00,L. Thomas TE - WAS ,0.00,G. Wilson WR - NYJ ,2.70,G. Pickens WR - PIT ,8.30,K. Walker RB - SEA ,14.80,R. White RB - TB ,4.20,E. Mitchell RB - SF Q ,0.00,123.36,Jeremy,70.36
alex,1,P. Mahomes QB - KC ,30.48,D. Henry RB - TEN ,25.20,J. Jacobs RB - LV ,25.30,C. Kirk WR - JAX Q ,1.10,D. Samuel WR - SF ,9.20,T. Hockenson TE - MIN ,0.60,J. Conner RB - ARI Q ,6.30,J. Tucker K - BAL ,15.00,Vikings DEF ,4.00,R. Woods WR - HOU ,3.70,L. Murray RB - BUF ,0.00,D. Williams RB - ARI IR ,0.90,M. Gesicki TE - NE ,3.00,R. Bateman WR - BAL IR ,0.00,Patriots DEF ,22.00,-,-,117.18,michael,95.22
Alessandro,8,Z. Wilson QB - NYJ ,14.60,L. Fournette RB - TB ,25.90,B. Hall RB - NYJ IR ,25.70,J. Jeudy WR - DEN ,5.30,M. Pittman WR - IND ,5.90,Z. Ertz TE - ARI IR ,4.80,J. Chase WR - CIN ,5.00,B. Maher K - DAL ,10.00,Broncos DEF ,14.00,A. Rodgers QB - NYJ ,16.88,T. Lockett WR - SEA ,22.40,D. Prescott QB - DAL ,0.00,T. Pollard RB - DAL Q ,14.60,D. Mooney WR - CHI IR ,5.20,C. Huntley RB - ATL IR ,3.40,C. Patterson RB - ATL ,0.00,111.20,Kevin,50.64
Daniel,5,T. Brady QB - TB ,19.74,N. Hines RB - BUF ,0.80,M. Sanders RB - CAR ,6.40,D. Adams WR - LV ,24.40,J. Jefferson WR - MIN ,18.32,G. Kittle TE - SF ,2.70,T. McLaurin WR - WAS ,7.60,T. Bass K - BUF ,8.00,Bills DEF ,14.00,K. Cousins QB - MIN ,22.24,C. Edmonds RB - TB ,0.10,T. Conklin TE - NYJ ,0.00,J. Meyers WR - LV ,17.10,C. Claypool WR - CHI ,5.00,T. Etienne RB - JAX ,11.40,-,-,101.96,Peter,84.56
Neil,11,K. Murray QB - ARI IR ,16.20,J. Mixon RB - CIN ,8.80,A. Gibson RB - WAS IR ,3.90,T. Hill WR - MIA ,6.00,A. Lazard WR - NYJ ,9.50,M. Andrews TE - BAL ,14.90,J. Dobbins RB - BAL ,4.40,R. Succop K - TB ,7.00,49ers DEF ,15.00,A. Thielen WR - CAR ,2.70,M. Gallup WR - DAL Q ,4.40,D. Moore WR - CHI ,6.70,T. Tagovailoa QB - MIA ,0.00,M. Carter RB - NYJ ,15.30,-,-,-,-,85.70,Greg,93.36
michael,3,J. Herbert QB - LAC Q ,14.42,C. Edwards-Helaire RB - KC IA ,3.50,K. Gainwell RB - PHI ,2.00,S. Diggs WR - BUF ,16.20,C. Kupp WR - LA IR ,18.90,T. Higbee TE - LA ,4.60,A. Cooper WR - CLE ,13.60,Y. Koo K - ATL ,1.00,Cowboys DEF ,21.00,M. Stafford QB - LA IR ,10.32,G. Everett TE - LAC ,0.20,D. Montgomery RB - DET ,14.20,K. Herbert RB - CHI ,1.10,D. Pierce RB - HOU IR ,17.30,B. Robinson RB - WAS Q ,2.20,-,-,95.22,alex,117.18
Kevin,12,T. Lawrence QB - JAX ,10.34,K. Hunt RB - CLE ,11.70,A. Dillon RB - GB ,3.40,B. Cooks WR - DAL ,2.00,C. Lamb WR - DAL ,5.30,C. Otton TE - TB ,4.30,D. Singletary RB - HOU ,4.60,E. McPherson K - CIN ,5.00,Eagles DEF ,4.00,J. Smith-Schuster WR - NE ,3.30,J. Taylor RB - IND IR ,0.00,B. Aiyuk WR - SF ,5.80,K. Pitts TE - ATL IR ,0.00,R. Doubs WR - GB ,2.90,K. Pickett QB - PIT ,12.08,-,-,50.64,Alessandro,111.20
Jeremy,9,R. Wilson QB - DEN ,9.16,E. Elliott RB - DAL ,7.80,C. McCaffrey RB - SF ,16.40,M. Evans WR - TB ,8.10,C. Olave WR - NO ,11.40,P. Freiermuth TE - PIT Q ,1.20,M. Gordon RB - KC ,10.30,B. McManus K - DEN ,8.00,Dolphins DEF ,-2.00,M. Ingram RB - NO IR ,3.60,D. Njoku TE - CLE ,8.80,M. Brown WR - ARI ,13.80,D. Johnson WR - PIT ,6.00,J. Waddle WR - MIA ,2.30,J. Dotson WR - WAS ,0.00,J. Williams WR - DET ,0.00,70.36,Ryan,123.36
