Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,4,L. Jackson QB - BAL Q ,13.06,J. Robinson RB - NE ,2.90,N. Harris RB - PIT ,7.40,J. Reynolds WR - DET ,14.10,D. Metcalf WR - SEA ,14.90,T. Kelce TE - KC ,15.20,D. Harris RB - BUF ,14.40,D. Carlson K - LV ,14.00,Steelers DEF ,5.00,M. Thomas WR - NO IR ,0.00,D. Henderson RB ,3.90,G. Dortch WR - ARI ,0.60,D. Duvernay WR - BAL IR ,5.10,C. Akers RB - LA ,1.30,A. St. Brown WR - DET ,0.00,-,-,100.96,alex,153.16
david,8,J. Burrow QB - CIN ,20.08,D. Cook RB - MIN ,8.60,J. Williams RB - DEN IR ,2.70,C. Sutton WR - DEN ,11.20,A. Brown WR - PHI ,9.50,D. Knox TE - BUF ,4.00,G. Davis WR - BUF ,1.30,M. Gay K - IND ,9.00,Buccaneers DEF ,1.00,R. Mostert RB - MIA Q ,8.10,T. Boyd WR - CIN Q ,5.62,A. Mattison RB - MIN ,7.80,R. Stevenson RB - NE ,8.90,E. Moore WR - CLE ,5.50,S. Moore WR - KC ,3.10,-,-,67.38,Daniel,114.40
Ryan,5,J. Allen QB - BUF ,23.52,A. Ekeler RB - LAC ,28.90,S. Barkley RB - NYG ,16.20,B. Cooks WR - DAL ,11.70,G. Wilson WR - NYJ ,4.10,E. Engram TE - JAX ,1.60,J. Wilson RB - MIA ,13.40,G. Joseph K - MIN ,16.00,Packers DEF ,7.00,J. Jones WR - TB ,0.70,D. Hopkins WR - ARI Q ,0.00,K. Hunt RB - CLE ,6.80,C. Godwin WR - TB ,5.90,K. Walker RB - SEA ,2.40,R. White RB - TB ,9.60,E. Mitchell RB - SF Q ,0.00,122.42,Kevin,82.46
alex,1,P. Mahomes QB - KC ,23.36,D. Henry RB - TEN ,20.70,J. Jacobs RB - LV ,29.50,C. Kirk WR - JAX Q ,6.30,D. Samuel WR - SF ,17.70,T. Hockenson TE - MIN ,31.90,J. Conner RB - ARI Q ,7.70,J. Tucker K - BAL ,10.00,Vikings DEF ,6.00,R. Woods WR - HOU ,9.00,J. McKissic RB - WAS IR ,5.60,D. Williams RB - ARI IR ,1.90,M. Gesicki TE - NE ,2.30,R. Bateman WR - BAL IR ,1.70,Patriots DEF ,11.00,-,-,153.16,Peter,100.96
Alessandro,12,A. Rodgers QB - NYJ ,16.14,C. Patterson RB - ATL ,9.80,L. Fournette RB - TB ,11.40,M. Pittman WR - IND ,3.10,J. Chase WR - CIN ,8.10,Z. Ertz TE - ARI IR ,10.70,B. Hall RB - NYJ IR ,13.80,B. Maher K - DAL ,15.00,Broncos DEF ,2.00,T. Lockett WR - SEA ,7.10,D. Prescott QB - DAL ,0.00,D. Foreman RB - CHI ,0.20,T. Pollard RB - DAL Q ,0.80,J. Jeudy WR - DEN ,11.30,Z. Wilson QB - NYJ ,17.78,-,-,90.04,michael,92.80
Daniel,6,T. Brady QB - TB ,25.40,C. Edmonds RB - TB ,8.00,M. Sanders RB - CAR ,27.60,D. Adams WR - LV ,10.50,J. Jefferson WR - MIN ,21.00,G. Kittle TE - SF ,2.40,T. McLaurin WR - WAS ,1.50,T. Bass K - BUF ,11.00,Bills DEF ,7.00,K. Cousins QB - MIN ,12.92,N. Hines RB - BUF ,0.30,T. Conklin TE - NYJ ,5.20,J. Meyers WR - LV ,0.00,C. Claypool WR - CHI ,0.00,T. Etienne RB - JAX ,3.20,-,-,114.40,david,67.38
Neil,10,K. Murray QB - ARI IR ,22.88,J. Mixon RB - CIN ,13.40,A. Gibson RB - WAS IR ,6.30,A. Thielen WR - CAR ,7.20,T. Hill WR - MIA ,15.90,M. Andrews TE - BAL ,1.50,M. Carter RB - NYJ ,2.90,R. Succop K - TB ,7.00,49ers DEF ,21.00,M. Gallup WR - DAL Q ,8.40,A. Lazard WR - NYJ ,11.60,D. Moore WR - CHI ,6.10,J. Dobbins RB - BAL ,18.30,T. Tagovailoa QB - MIA ,2.40,-,-,-,-,98.08,Jeremy,115.98
michael,3,J. Herbert QB - LAC Q ,21.10,D. Singletary RB - HOU ,7.60,C. Edwards-Helaire RB - KC IA ,21.40,S. Diggs WR - BUF ,6.20,C. Kupp WR - LA IR ,12.20,D. Waller TE - NYG ,2.40,A. Cooper WR - CLE ,0.90,Y. Koo K - ATL ,11.00,Cowboys DEF ,10.00,M. Stafford QB - LA IR ,6.76,T. Higbee TE - LA ,7.30,G. Everett TE - LAC ,12.10,D. Montgomery RB - DET ,0.00,K. Herbert RB - CHI ,10.10,B. Robinson RB - WAS Q ,0.00,-,-,92.80,Alessandro,90.04
Kevin,11,M. Mariota QB - PHI IR ,3.86,J. Taylor RB - IND IR ,2.30,D. Pierce RB - HOU IR ,19.90,C. Samuel WR - WAS ,3.80,C. Lamb WR - DAL ,15.70,K. Pitts TE - ATL IR ,2.50,A. Dillon RB - GB ,8.40,E. McPherson K - CIN ,11.00,Eagles DEF ,15.00,C. Wentz QB - WAS ,7.30,J. Smith-Schuster WR - NE ,4.60,H. Renfrow WR - LV ,0.00,B. Aiyuk WR - SF ,3.70,T. Lawrence QB - JAX ,5.66,R. Doubs WR - GB ,8.70,-,-,82.46,Ryan,122.42
Jeremy,7,R. Wilson QB - DEN ,26.48,E. Elliott RB - DAL ,8.10,C. McCaffrey RB - SF ,16.80,M. Evans WR - TB ,22.30,C. Olave WR - NO ,12.70,D. Njoku TE - CLE ,4.70,J. Waddle WR - MIA ,3.90,B. McManus K - DEN ,5.00,Giants DEF ,16.00,M. Ingram RB - NO IR ,4.30,M. Gordon RB - KC ,-1.20,M. Brown WR - ARI ,14.80,D. Johnson WR - PIT ,2.20,P. Freiermuth TE - PIT Q ,8.50,J. Dotson WR - WAS ,10.30,J. Williams WR - DET ,0.00,115.98,Neil,98.08
Peter,9,J. Goff QB - DET ,33.22,A. Jones RB - GB ,11.50,R. Penny RB - PHI IR ,27.70,C. Davis WR - NYJ ,13.40,M. Williams WR - LAC Q ,12.00,L. Thomas TE - WAS ,1.90,A. Kamara RB - NO ,0.00,C. York K - CLE ,8.00,Chargers DEF ,8.00,A. Robinson WR - PIT IR ,0.70,J. McKinnon RB - KC ,0.00,D. Parker WR - NE ,8.40,D. Schultz TE - HOU ,0.00,K. Toney WR - KC ,0.00,T. Burks WR - TEN ,1.80,-,-,115.72,Greg,92.56
Greg,2,J. Hurts QB - PHI ,15.96,J. Williams RB - NO ,22.90,N. Chubb RB - CLE ,18.70,T. Higgins WR - CIN ,18.40,D. Smith WR - PHI ,1.70,D. Goedert TE - PHI ,7.20,D. London WR - ATL ,1.70,J. Elliott K - PHI ,5.00,Rams DEF ,1.00,K. Allen WR - LAC ,0.00,D. Carr QB - NO ,11.52,D. Swift RB - PHI ,0.00,K. Gainwell RB - PHI ,7.70,T. Allgeier RB - ATL ,10.40,I. Pacheco RB - KC ,6.30,-,-,92.56,Peter,115.72
