Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,12,M. Mariota QB - PHI IR ,17.74,D. Henderson RB ,9.20,N. Harris RB - PIT ,9.90,D. Metcalf WR - SEA ,7.10,A. St. Brown WR - DET ,12.10,T. Kelce TE - KC ,14.10,J. Palmer WR - LAC ,4.40,D. Carlson K - LV ,2.00,Falcons DEF ,1.00,M. Hollins WR - ATL ,1.80,L. Jackson QB - BAL Q ,0.00,D. Harris RB - BUF ,0.00,J. Robinson RB - NE ,0.00,C. Hubbard RB - CAR ,1.40,Ravens DEF ,0.00,M. Thomas WR - NO IR ,0.00,77.54,david,95.08
david,2,D. Jones QB - NYG ,18.28,D. Cook RB - MIN ,20.60,C. Akers RB - LA ,2.20,A. Brown WR - PHI ,0.70,J. Waddle WR - MIA ,6.60,C. Kmet TE - CHI ,19.40,G. Davis WR - BUF ,15.30,G. Gano K - NYG ,6.00,Buccaneers DEF ,6.00,E. Elliott RB - DAL ,0.00,K. Drake RB - BAL ,0.00,T. Boyd WR - CIN Q ,0.00,A. Mattison RB - MIN ,1.90,J. Burrow QB - CIN ,0.00,R. Stevenson RB - NE ,0.00,-,-,95.08,Peter,77.54
Ryan,3,J. Allen QB - BUF ,19.60,S. Barkley RB - NYG ,22.00,K. Walker RB - SEA ,7.20,D. Hopkins WR - ARI Q ,9.80,C. Godwin WR - TB ,13.10,E. Engram TE - JAX ,1.40,A. Ekeler RB - LAC ,6.30,B. Maher K - DAL ,4.00,Chiefs DEF ,6.00,J. Garoppolo QB - LV Q ,15.90,D. Njoku TE - CLE ,0.00,C. Samuel WR - WAS ,4.00,G. Wilson WR - NYJ ,0.00,G. Pickens WR - PIT ,11.50,R. White RB - TB ,10.50,D. Waller TE - NYG ,0.00,89.40,Greg,83.60
alex,1,P. Mahomes QB - KC ,31.14,D. Henry RB - TEN ,6.70,J. Jacobs RB - LV ,16.60,C. Kirk WR - JAX Q ,22.50,D. Samuel WR - SF ,5.10,T. Hockenson TE - MIN ,4.50,J. Conner RB - ARI Q ,20.60,R. Gould K - SF ,10.00,Raiders DEF ,3.00,L. Murray RB - BUF ,4.70,O. Beckham WR - BAL Q ,0.00,G. Edwards RB - BAL ,0.00,D. Duvernay WR - BAL IR ,0.00,J. Tucker K - BAL ,0.00,Patriots DEF ,0.00,-,-,120.14,Alessandro,83.90
Alessandro,9,D. Prescott QB - DAL ,19.20,C. Patterson RB - ATL ,2.00,D. Foreman RB - CHI ,19.00,D. Mooney WR - CHI IR ,5.70,J. Jeudy WR - DEN ,0.00,Z. Ertz TE - ARI IR ,1.20,T. Pollard RB - DAL Q ,18.80,J. Myers K - SEA ,6.00,Titans DEF ,12.00,T. Lockett WR - SEA ,10.20,L. Fournette RB - TB ,9.80,M. Pittman WR - IND ,5.30,J. Chase WR - CIN ,0.00,W. Robinson WR - NYG IR ,1.50,K. Williams RB - LA ,3.90,-,-,83.90,alex,120.14
Daniel,4,T. Brady QB - TB ,16.02,C. McCaffrey RB - SF ,13.70,M. Sanders RB - CAR ,5.40,M. Evans WR - TB ,5.40,J. Jefferson WR - MIN ,25.30,G. Kittle TE - SF ,2.10,C. Claypool WR - CHI ,0.80,T. Bass K - BUF ,12.00,Bills DEF ,8.00,C. Edmonds RB - TB ,0.90,N. Hines RB - BUF ,0.90,T. Conklin TE - NYJ ,0.00,J. Meyers WR - LV ,0.00,C. Huntley RB - ATL IR ,3.20,Jets DEF ,0.00,-,-,88.72,Neil,68.50
Neil,8,T. Tagovailoa QB - MIA ,23.40,D. Hilliard RB - TEN IR ,0.80,A. Gibson RB - WAS IR ,11.80,T. Hill WR - MIA ,10.40,D. Moore WR - CHI ,2.90,D. Knox TE - BUF ,5.70,A. Lazard WR - NYJ ,4.50,R. Succop K - TB ,3.00,49ers DEF ,6.00,A. Thielen WR - CAR ,4.90,J. Mixon RB - CIN ,0.00,M. Andrews TE - BAL ,0.00,K. Murray QB - ARI IR ,0.00,J. Dobbins RB - BAL ,0.00,M. Carter RB - NYJ ,0.00,-,-,68.50,Daniel,88.72
michael,6,J. Herbert QB - LAC Q ,12.04,K. Herbert RB - CHI ,5.70,D. Pierce RB - HOU IR ,10.20,S. Diggs WR - BUF ,12.80,C. Kupp WR - LA IR ,-0.10,G. Everett TE - LAC ,2.30,A. Cooper WR - CLE ,3.20,Y. Koo K - ATL ,3.00,Cowboys DEF ,5.00,M. Stafford QB - LA IR ,0.00,D. Montgomery RB - DET ,4.40,M. Hardman WR - NYJ IR ,0.00,C. Edwards-Helaire RB - KC IA ,0.00,B. Robinson RB - WAS Q ,14.60,Packers DEF ,5.00,-,-,54.14,Jeremy,100.08
Kevin,7,J. Fields QB - CHI Q ,39.38,D. Singletary RB - HOU ,14.70,J. Taylor RB - IND IR ,22.30,J. Smith-Schuster WR - NE ,3.30,C. Lamb WR - DAL ,27.00,K. Pitts TE - ATL IR ,2.80,B. Aiyuk WR - SF ,6.40,R. Bullock K - TEN ,5.00,Eagles DEF ,7.00,B. Cooks WR - DAL ,4.20,K. Hunt RB - CLE ,1.90,A. Dillon RB - GB ,6.50,T. Lawrence QB - JAX ,20.96,G. Dulcich TE - DEN IR ,1.10,E. McPherson K - CIN ,0.00,-,-,127.88,Peter,67.80
Jeremy,10,K. Cousins QB - MIN ,15.48,J. Wilson RB - MIA ,20.30,T. Etienne RB - JAX ,7.30,D. Adams WR - LV ,18.60,C. Olave WR - NO ,4.00,P. Freiermuth TE - PIT Q ,3.60,T. McLaurin WR - WAS ,12.80,G. Joseph K - MIN ,9.00,Giants DEF ,9.00,M. Gordon RB - KC ,7.00,R. Mostert RB - MIA Q ,14.70,C. Sutton WR - DEN ,6.60,M. Valdes-Scantling WR - KC ,12.00,D. Johnson WR - PIT ,6.30,J. Warren RB - PIT ,7.70,M. Brown WR - ARI ,0.00,100.08,michael,54.14
Peter,11,G. Smith QB - SEA ,19.20,A. Kamara RB - NO ,4.50,A. Jones RB - GB ,21.60,D. Carter WR - LV Q ,12.40,A. Pierce WR - IND ,0.00,T. Hill TE - NO ,0.10,E. Benjamin RB - NO ,0.00,W. Lutz K - NO ,4.00,Dolphins DEF ,6.00,D. Byrd WR - CAR ,5.80,C. Davis WR - NYJ ,0.00,M. Williams WR - LAC Q ,0.00,D. Schultz TE - HOU ,11.40,K. Toney WR - KC ,15.00,J. Cook RB - BUF ,2.20,D. Watson QB - CLE ,0.00,67.80,Kevin,127.88
Greg,5,J. Hurts QB - PHI ,21.80,J. Williams RB - NO ,11.90,N. Chubb RB - CLE ,12.10,D. Smith WR - PHI ,7.90,R. Moore WR - ARI IR ,9.40,D. Goedert TE - PHI ,6.30,D. Swift RB - PHI ,7.20,H. Butker K - KC ,3.00,Broncos DEF ,4.00,K. Allen WR - LAC ,0.00,D. Carr QB - NO ,17.92,T. Higgins WR - CIN ,0.00,T. Allgeier RB - ATL ,0.30,D. London WR - ATL ,9.80,I. Pacheco RB - KC ,6.20,-,-,83.60,Ryan,89.40
