Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,11,L. Jackson QB - BAL Q ,21.82,D. Henderson RB ,3.00,N. Harris RB - PIT ,5.96,J. Reynolds WR - DET ,1.40,A. St. Brown WR - DET ,6.90,G. Dulcich TE - DEN IR ,8.70,D. Harris RB - BUF ,5.20,D. Carlson K - LV ,0.00,Colts DEF ,5.00,T. Kelce TE - KC ,0.00,M. Thomas WR - NO IR ,0.00,D. Metcalf WR - SEA ,11.50,J. Robinson RB - NE ,1.70,C. Akers RB - LA ,0.00,C. Hubbard RB - CAR ,0.00,-,-,57.98,Alessandro,136.94
david,2,J. Burrow QB - CIN ,13.48,D. Cook RB - MIN ,20.10,R. Stevenson RB - NE ,14.30,A. Brown WR - PHI ,33.60,G. Davis WR - BUF ,3.50,H. Hurst TE - CAR ,4.20,J. Waddle WR - MIA ,22.60,G. Gano K - NYG ,7.00,Buccaneers DEF ,3.00,E. Elliott RB - DAL ,0.00,K. Drake RB - BAL ,12.70,T. Boyd WR - CIN Q ,9.80,D. Knox TE - BUF ,7.00,A. Mattison RB - MIN ,10.00,E. Moore WR - CLE ,0.00,-,-,121.78,Ryan,93.92
Ryan,5,J. Allen QB - BUF ,17.62,S. Barkley RB - NYG ,12.20,K. Walker RB - SEA ,11.20,D. Hopkins WR - ARI Q ,21.90,C. Godwin WR - TB ,7.50,E. Engram TE - JAX ,11.50,G. Pickens WR - PIT ,0.00,J. Sanders K - MIA ,7.00,Bengals DEF ,5.00,D. Waller TE - NYG ,0.00,D. Njoku TE - CLE ,0.00,C. Samuel WR - WAS ,7.90,A. Ekeler RB - LAC ,0.00,G. Wilson WR - NYJ ,11.50,R. White RB - TB ,4.30,E. Mitchell RB - SF Q ,0.00,93.92,david,121.78
alex,1,K. Cousins QB - MIN ,23.48,D. Henry RB - TEN ,36.80,J. Jacobs RB - LV ,5.40,R. Woods WR - HOU ,0.60,C. Kirk WR - JAX Q ,4.00,T. Hockenson TE - MIN ,8.00,G. Edwards RB - BAL ,6.50,J. Tucker K - BAL ,9.00,Patriots DEF ,9.00,L. Murray RB - BUF ,11.90,O. Beckham WR - BAL Q ,0.00,J. Conner RB - ARI Q ,0.00,P. Mahomes QB - KC ,0.00,D. Samuel WR - SF ,0.00,R. Bateman WR - BAL IR ,0.00,-,-,102.78,Jeremy,82.50
Alessandro,7,J. Goff QB - DET ,17.64,L. Fournette RB - TB ,11.80,D. Foreman RB - CHI ,31.80,J. Jeudy WR - DEN ,12.30,M. Pittman WR - IND ,5.30,Z. Ertz TE - ARI IR ,9.40,T. Pollard RB - DAL Q ,32.70,B. Maher K - DAL ,7.00,Titans DEF ,9.00,A. Rodgers QB - NYJ ,15.22,T. Lockett WR - SEA ,10.30,D. Prescott QB - DAL ,25.40,D. Mooney WR - CHI IR ,7.00,J. Chase WR - CIN ,0.00,K. Williams RB - LA ,0.00,C. Patterson RB - ATL ,0.00,136.94,Peter,57.98
Daniel,6,T. Brady QB - TB ,17.10,M. Sanders RB - CAR ,13.80,T. Etienne RB - JAX ,22.20,D. Adams WR - LV ,0.20,J. Jefferson WR - MIN ,9.80,G. Kittle TE - SF ,9.90,J. Meyers WR - LV ,12.00,T. Bass K - BUF ,9.00,Bills DEF ,5.00,C. Edmonds RB - TB ,1.40,N. Hines RB - BUF ,10.90,T. McLaurin WR - WAS ,10.60,C. Claypool WR - CHI ,8.54,R. Bullock K - TEN ,5.00,Jets DEF ,8.00,-,-,99.00,Greg,106.20
Neil,8,K. Murray QB - ARI IR ,24.64,J. Mixon RB - CIN ,5.90,A. Gibson RB - WAS IR ,13.70,T. Hill WR - MIA ,19.50,D. Moore WR - CHI ,21.50,M. Andrews TE - BAL ,3.30,M. Carter RB - NYJ ,6.10,R. Succop K - TB ,10.00,49ers DEF ,3.00,A. Thielen WR - CAR ,6.70,M. Gallup WR - DAL Q ,4.90,A. Lazard WR - NYJ ,0.00,J. Dobbins RB - BAL ,0.00,T. Tagovailoa QB - MIA ,29.18,-,-,-,-,107.64,Kevin,84.92
michael,3,M. Stafford QB - LA IR ,17.38,D. Pierce RB - HOU IR ,11.10,B. Robinson RB - WAS Q ,2.00,S. Diggs WR - BUF ,16.80,C. Kupp WR - LA IR ,14.90,T. Higbee TE - LA ,1.50,A. Cooper WR - CLE ,17.10,Y. Koo K - ATL ,13.00,Cowboys DEF ,11.00,G. Everett TE - LAC ,0.00,D. Montgomery RB - DET ,5.50,M. Hardman WR - NYJ IR ,0.00,C. Edwards-Helaire RB - KC IA ,0.00,J. Herbert QB - LAC Q ,0.00,K. Herbert RB - CHI ,15.90,-,-,104.78,Peter,99.86
Kevin,10,T. Lawrence QB - JAX ,6.82,D. Singletary RB - HOU ,8.30,J. Taylor RB - IND IR ,5.60,C. Lamb WR - DAL ,13.80,B. Aiyuk WR - SF ,14.10,K. Pitts TE - ATL IR ,14.00,B. Cooks WR - DAL ,7.30,E. McPherson K - CIN ,1.00,Eagles DEF ,14.00,K. Hunt RB - CLE ,7.20,J. Smith-Schuster WR - NE ,0.00,A. Dillon RB - GB ,6.30,J. Fields QB - CHI Q ,26.04,R. Doubs WR - GB ,12.20,W. Robinson WR - NYG IR ,1.50,-,-,84.92,Neil,107.64
Jeremy,12,D. Jones QB - NYG ,9.04,R. Mostert RB - MIA Q ,6.70,C. McCaffrey RB - SF ,32.26,M. Evans WR - TB ,12.30,C. Olave WR - NO ,5.20,P. Freiermuth TE - PIT Q ,5.70,C. Sutton WR - DEN ,1.30,B. McManus K - DEN ,3.00,Broncos DEF ,7.00,M. Ingram RB - NO IR ,0.20,R. Wilson QB - DEN ,13.78,M. Gordon RB - KC ,11.20,J. Wilson RB - MIA ,3.50,D. Johnson WR - PIT ,3.50,K. Shakir WR - BUF ,0.00,M. Brown WR - ARI ,0.00,82.50,alex,102.78
