Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,10,K. Cousins QB - MIN ,7.90,N. Harris RB - PIT ,18.30,B. Knight RB - NYJ ,4.40,D. Metcalf WR - SEA ,0.30,A. St. Brown WR - DET ,6.20,T. Kelce TE - KC ,4.30,J. Palmer WR - LAC ,0.00,D. Carlson K - LV ,12.00,Ravens DEF ,3.00,A. Rodgers QB - NYJ ,16.56,T. Hilton WR - DAL ,5.00,C. Moore WR - TEN ,2.10,L. Jackson QB - BAL Q ,0.00,D. Harris RB - BUF ,4.90,C. Hubbard RB - CAR ,6.50,-,-,56.40,Neil,93.00
david,4,J. Burrow QB - CIN ,0.00,D. Cook RB - MIN ,4.40,R. Stevenson RB - NE ,5.10,A. Brown WR - PHI ,15.70,J. Waddle WR - MIA ,5.20,C. Kmet TE - CHI ,8.70,E. Elliott RB - DAL ,9.70,G. Joseph K - MIN ,5.00,Buccaneers DEF ,8.00,K. Drake RB - BAL ,0.00,T. Boyd WR - CIN Q ,0.00,A. Mattison RB - MIN ,4.50,G. Davis WR - BUF ,0.00,C. Akers RB - LA ,13.30,Commanders DEF ,5.00,-,-,61.80,Greg,69.26
Ryan,2,J. Allen QB - BUF ,0.00,S. Barkley RB - NYG ,5.30,K. Walker RB - SEA ,14.20,C. Godwin WR - TB ,12.00,G. Wilson WR - NYJ ,1.80,D. Njoku TE - CLE ,2.10,A. Ekeler RB - LAC ,28.10,B. Maher K - DAL ,9.00,Giants DEF ,14.00,D. Hopkins WR - ARI Q ,0.00,D. Waller TE - NYG ,13.20,T. Allgeier RB - ATL ,15.50,H. Haskins RB - TEN ,5.30,Jaguars DEF ,17.00,Chargers DEF ,9.00,-,-,86.50,alex,91.12
alex,1,P. Mahomes QB - KC ,24.52,J. Conner RB - ARI Q ,11.00,J. Jacobs RB - LV ,15.50,C. Kirk WR - JAX Q ,2.10,J. Dotson WR - WAS ,3.70,T. Hockenson TE - MIN ,5.90,Z. Moss RB - IND ,7.40,J. Tucker K - BAL ,9.00,Patriots DEF ,12.00,L. Murray RB - BUF ,7.20,D. Henry RB - TEN ,0.00,D. Chark WR - CAR ,5.60,D. Samuel WR - SF ,0.00,D. London WR - ATL ,4.70,Browns DEF ,13.00,-,-,91.12,Ryan,86.50
Alessandro,5,D. Prescott QB - DAL ,14.38,C. Patterson RB - ATL ,14.40,L. Fournette RB - TB ,4.70,J. Chase WR - CIN ,0.00,C. Watson WR - GB ,1.10,T. Higbee TE - LA ,1.10,J. Jeudy WR - DEN ,3.80,J. Myers K - SEA ,11.00,Cardinals DEF ,4.00,T. Lockett WR - SEA ,1.50,D. Foreman RB - CHI ,3.50,T. Pollard RB - DAL Q ,0.00,B. Hall RB - NYJ IR ,0.00,-,-,-,-,-,-,54.48,michael,94.58
Daniel,7,T. Brady QB - TB ,39.68,C. McCaffrey RB - SF ,25.30,M. Sanders RB - CAR ,6.10,M. Evans WR - TB ,40.70,J. Jefferson WR - MIN ,1.50,G. Kittle TE - SF ,8.30,C. Samuel WR - WAS ,0.60,T. Bass K - BUF ,0.00,Bills DEF ,0.00,S. Perine RB - DEN ,0.00,M. Gallup WR - DAL Q ,3.90,T. Conklin TE - NYJ ,8.00,J. Meyers WR - LV ,10.90,C. Claypool WR - CHI ,0.00,Jets DEF ,4.00,C. Edmonds RB - TB ,7.30,122.18,Kevin,69.00
Neil,9,J. Goff QB - DET ,22.40,J. Mixon RB - CIN ,0.00,J. Dobbins RB - BAL ,9.30,T. Hill WR - MIA ,11.70,D. Moore WR - CHI ,17.70,M. Andrews TE - BAL ,10.00,A. Lazard WR - NYJ ,5.90,R. Gould K - SF ,13.00,49ers DEF ,3.00,A. Thielen WR - CAR ,1.60,D. Hilliard RB - TEN IR ,0.00,A. Gibson RB - WAS IR ,0.00,M. Carter RB - NYJ ,0.50,R. Succop K - TB ,3.00,Raiders DEF ,-2.00,K. Murray QB - ARI IR ,0.00,93.00,Peter,56.40
michael,6,J. Herbert QB - LAC Q ,16.68,D. Montgomery RB - DET ,3.60,B. Robinson RB - WAS Q ,8.70,A. Cooper WR - CLE ,22.50,S. Diggs WR - BUF ,0.00,G. Everett TE - LAC ,7.50,J. McKinnon RB - KC ,17.60,Y. Koo K - ATL ,8.00,Cowboys DEF ,10.00,I. McKenzie WR - IND ,0.00,M. Hardman WR - NYJ IR ,0.00,C. Edwards-Helaire RB - KC IA ,0.00,K. Herbert RB - CHI ,3.10,D. Pierce RB - HOU IR ,0.00,C. Boswell K - PIT ,12.00,C. Kupp WR - LA IR ,0.00,94.58,Alessandro,54.48
Kevin,8,J. Fields QB - CHI Q ,16.20,D. Singletary RB - HOU ,0.00,A. Dillon RB - GB ,10.10,J. Smith-Schuster WR - NE ,2.10,C. Lamb WR - DAL ,10.00,E. Engram TE - JAX ,2.90,B. Aiyuk WR - SF ,17.70,E. McPherson K - CIN ,0.00,Eagles DEF ,10.00,B. Cooks WR - DAL ,3.90,K. Hunt RB - CLE ,-0.10,T. Huntley QB - BAL ,9.60,D. Peoples-Jones WR - CLE ,7.30,J. Taylor RB - IND IR ,0.00,T. Lawrence QB - JAX ,4.48,K. Pitts TE - ATL IR ,0.00,69.00,Daniel,122.18
Jeremy,11,D. Jones QB - NYG ,36.18,R. Mostert RB - MIA Q ,15.10,T. Etienne RB - JAX ,20.00,D. Adams WR - LV ,27.30,M. Brown WR - ARI ,6.10,P. Freiermuth TE - PIT Q ,3.60,T. McLaurin WR - WAS ,3.70,G. Zuerlein K - NYJ ,6.00,Vikings DEF ,-3.00,M. Gordon RB - KC ,0.00,C. Sutton WR - DEN ,4.40,J. Wilson RB - MIA ,7.60,D. Johnson WR - PIT ,3.50,C. Olave WR - NO ,4.20,J. Warren RB - PIT ,9.80,-,-,114.98,Peter,106.08
