Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,8,L. Jackson QB - BAL Q ,16.10,J. Robinson RB - NE ,5.50,N. Harris RB - PIT ,10.90,D. Metcalf WR - SEA ,3.40,D. Duvernay WR - BAL IR ,1.40,T. Kelce TE - KC ,11.20,D. Henderson RB ,11.20,C. McLaughlin K - TB ,8.00,Jaguars DEF ,-1.00,M. Thomas WR - NO IR ,0.00,J. Reynolds WR - DET ,0.00,D. Harris RB - BUF ,0.00,C. Akers RB - LA ,0.00,A. St. Brown WR - DET ,0.00,D. Carlson K - LV ,0.00,-,-,66.70,Peter,74.12
david,4,J. Burrow QB - CIN ,32.50,D. Cook RB - MIN ,14.30,R. Stevenson RB - NE ,21.10,C. Sutton WR - DEN ,1.40,A. Brown WR - PHI ,12.70,H. Hurst TE - CAR ,2.10,G. Davis WR - BUF ,13.40,M. Gay K - IND ,6.00,Buccaneers DEF ,3.00,R. Mostert RB - MIA Q ,4.80,T. Boyd WR - CIN Q ,6.60,M. Boone RB - HOU IR ,0.40,D. Knox TE - BUF ,9.70,A. Mattison RB - MIN ,0.30,E. Moore WR - CLE ,0.00,-,-,106.50,Alessandro,91.34
Ryan,5,J. Allen QB - BUF ,26.36,A. Ekeler RB - LAC ,14.30,S. Barkley RB - NYG ,15.50,C. Samuel WR - WAS ,0.60,C. Godwin WR - TB ,9.50,E. Engram TE - JAX ,4.00,J. Wilson RB - MIA ,0.50,G. Joseph K - MIN ,4.00,Packers DEF ,2.00,D. Hopkins WR - ARI Q ,0.00,D. Waller TE - NYG ,0.00,G. Wilson WR - NYJ ,0.80,G. Pickens WR - PIT ,2.80,K. Walker RB - SEA ,17.00,R. White RB - TB ,2.30,E. Mitchell RB - SF Q ,0.00,76.76,Neil,98.38
alex,1,P. Mahomes QB - KC ,19.62,L. Murray RB - BUF ,6.40,D. Jackson RB - IND ,18.10,C. Kirk WR - JAX Q ,6.80,D. Samuel WR - SF ,9.00,W. Dissly TE - SEA IR ,1.20,R. Gage WR - TB Q ,2.00,J. Tucker K - BAL ,8.00,Patriots DEF ,13.00,R. Woods WR - HOU ,0.00,D. Henry RB - TEN ,0.00,J. Conner RB - ARI Q ,0.00,J. Jacobs RB - LV ,0.00,T. Hockenson TE - MIN ,0.00,R. Bateman WR - BAL IR ,0.00,G. Edwards RB - BAL ,0.00,84.12,Greg,63.50
Alessandro,10,A. Rodgers QB - NYJ ,11.84,L. Fournette RB - TB ,16.10,B. Hall RB - NYJ IR ,18.10,T. Lockett WR - SEA ,1.70,J. Chase WR - CIN ,25.20,Z. Ertz TE - ARI IR ,7.00,J. Jeudy WR - DEN ,5.40,B. Maher K - DAL ,5.00,Bengals DEF ,1.00,D. Prescott QB - DAL ,0.00,T. Pollard RB - DAL Q ,5.20,D. Mooney WR - CHI IR ,6.80,M. Pittman WR - IND ,13.40,Broncos DEF ,5.00,C. Patterson RB - ATL ,0.00,-,-,91.34,david,106.50
Daniel,3,T. Brady QB - TB ,13.72,M. Sanders RB - CAR ,13.20,T. Etienne RB - JAX ,10.80,J. Meyers WR - LV ,6.00,J. Jefferson WR - MIN ,10.70,G. Kittle TE - SF ,8.30,T. McLaurin WR - WAS ,5.20,T. Bass K - BUF ,6.00,Bills DEF ,8.00,K. Cousins QB - MIN ,16.50,D. Adams WR - LV ,0.00,C. Edmonds RB - TB ,3.10,N. Hines RB - BUF ,0.00,T. Conklin TE - NYJ ,1.70,C. Claypool WR - CHI ,16.40,-,-,81.92,Jeremy,80.52
Neil,9,K. Murray QB - ARI IR ,14.88,J. Mixon RB - CIN ,12.80,A. Gibson RB - WAS IR ,5.30,T. Hill WR - MIA ,17.70,A. Lazard WR - NYJ ,13.60,M. Andrews TE - BAL ,16.60,J. Dobbins RB - BAL ,1.50,R. Succop K - TB ,14.00,49ers DEF ,2.00,A. Thielen WR - CAR ,11.60,M. Gallup WR - DAL Q ,1.80,D. Moore WR - CHI ,0.70,T. Tagovailoa QB - MIA ,0.00,M. Carter RB - NYJ ,4.70,-,-,-,-,98.38,Ryan,76.76
michael,6,J. Herbert QB - LAC Q ,8.42,C. Edwards-Helaire RB - KC IA ,3.30,K. Herbert RB - CHI ,7.40,S. Diggs WR - BUF ,20.80,C. Kupp WR - LA IR ,9.70,G. Everett TE - LAC ,2.90,D. Montgomery RB - DET ,8.00,Y. Koo K - ATL ,4.00,Cowboys DEF ,4.00,M. Stafford QB - LA IR ,11.82,A. Cooper WR - CLE ,10.40,T. Higbee TE - LA ,0.70,K. Gainwell RB - PHI ,2.50,D. Pierce RB - HOU IR ,0.00,B. Robinson RB - WAS Q ,12.00,-,-,68.52,Kevin,74.70
Kevin,12,T. Lawrence QB - JAX ,24.90,K. Hunt RB - CLE ,1.20,A. Dillon RB - GB ,5.20,C. Lamb WR - DAL ,7.70,R. Doubs WR - GB ,2.10,K. Pitts TE - ATL IR ,7.90,D. Singletary RB - HOU ,10.70,E. McPherson K - CIN ,8.00,Eagles DEF ,7.00,B. Cooks WR - DAL ,0.00,J. Smith-Schuster WR - NE ,17.30,I. Smith TE - CIN ,6.70,J. Taylor RB - IND IR ,0.00,B. Aiyuk WR - SF ,20.30,K. Pickett QB - PIT ,8.28,-,-,74.70,michael,68.52
Jeremy,11,D. Jones QB - NYG ,13.52,E. Elliott RB - DAL ,14.60,C. McCaffrey RB - SF ,15.80,M. Evans WR - TB ,4.20,M. Brown WR - ARI ,6.80,D. Njoku TE - CLE ,5.80,M. Gordon RB - KC ,0.80,B. McManus K - DEN ,12.00,Chargers DEF ,7.00,M. Ingram RB - NO IR ,5.70,R. Wilson QB - DEN ,13.82,D. Johnson WR - PIT ,3.60,J. Waddle WR - MIA ,10.90,P. Freiermuth TE - PIT Q ,0.00,C. Olave WR - NO ,0.00,-,-,80.52,Daniel,81.92
Peter,7,G. Smith QB - SEA ,12.68,A. Kamara RB - NO ,12.40,A. Jones RB - GB ,4.40,M. Williams WR - LAC Q ,1.70,A. Pierce WR - IND ,10.90,T. Hill TE - NO ,4.54,E. Benjamin RB - NO ,6.50,W. Lutz K - NO ,14.00,Bears DEF ,7.00,T. Coleman RB - SF ,0.30,C. Wentz QB - WAS ,4.16,C. Davis WR - NYJ ,5.20,D. Schultz TE - HOU ,0.00,K. Toney WR - KC ,0.00,J. Cook RB - BUF ,0.80,T. Burks WR - TEN ,0.00,74.12,Peter,66.70
Greg,2,J. Hurts QB - PHI ,16.90,N. Chubb RB - CLE ,7.00,T. Allgeier RB - ATL ,5.10,I. McKenzie WR - IND ,0.90,D. London WR - ATL ,4.00,D. Goedert TE - PHI ,2.20,D. Smith WR - PHI ,10.40,G. Gano K - NYG ,6.00,Rams DEF ,11.00,K. Allen WR - LAC ,0.00,D. Carr QB - NO ,0.00,J. Williams RB - NO ,0.00,T. Higgins WR - CIN ,4.70,D. Swift RB - PHI ,0.00,I. Pacheco RB - KC ,1.80,-,-,63.50,alex,84.12
