Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,10,K. Cousins QB - MIN ,34.40,N. Harris RB - PIT ,14.60,B. Knight RB - NYJ ,2.30,D. Metcalf WR - SEA ,5.50,A. St. Brown WR - DET ,8.20,T. Kelce TE - KC ,10.50,J. Palmer WR - LAC ,4.90,D. Carlson K - LV ,6.00,Ravens DEF ,7.00,A. Rodgers QB - NYJ ,10.86,T. Hilton WR - DAL ,0.00,C. Moore WR - TEN ,4.20,L. Jackson QB - BAL Q ,0.00,D. Harris RB - BUF ,0.00,C. Hubbard RB - CAR ,6.70,-,-,93.40,Jeremy,61.30
david,4,J. Burrow QB - CIN ,24.80,E. Elliott RB - DAL ,13.10,D. Cook RB - MIN ,23.00,A. Brown WR - PHI ,18.10,J. Waddle WR - MIA ,17.40,C. Kmet TE - CHI ,2.50,R. Stevenson RB - NE ,22.80,J. Myers K - SEA ,9.00,Commanders DEF ,1.00,K. Drake RB - BAL ,0.00,T. Boyd WR - CIN Q ,9.50,A. Mattison RB - MIN ,0.10,G. Davis WR - BUF ,5.60,C. Akers RB - LA ,10.00,Buccaneers DEF ,3.00,-,-,131.70,Alessandro,78.04
Ryan,2,J. Allen QB - BUF ,35.86,A. Ekeler RB - LAC ,13.00,S. Barkley RB - NYG ,18.00,C. Godwin WR - TB ,14.30,G. Wilson WR - NYJ ,9.80,G. Dulcich TE - DEN IR ,1.10,D. Hopkins WR - ARI Q ,6.00,B. Maher K - DAL ,12.00,Chiefs DEF ,3.00,D. Njoku TE - CLE ,2.80,G. Pickens WR - PIT ,5.30,K. Walker RB - SEA ,7.90,R. White RB - TB ,4.30,J. Mason RB - SF ,6.40,Titans DEF ,8.00,D. Waller TE - NYG ,10.80,113.06,-,-
alex,1,P. Mahomes QB - KC ,32.74,L. Murray RB - BUF ,20.20,G. Edwards RB - BAL ,5.50,O. Beckham WR - BAL Q ,0.00,D. Samuel WR - SF ,0.00,T. Hockenson TE - MIN ,5.30,D. Chark WR - CAR ,1.80,J. Tucker K - BAL ,5.00,Browns DEF ,14.00,D. Henry RB - TEN ,22.30,J. Conner RB - ARI Q ,15.10,C. Kirk WR - JAX Q ,9.20,J. Jacobs RB - LV ,11.00,D. Slayton WR - NYG ,2.30,Patriots DEF ,11.00,-,-,84.54,-,-
Alessandro,5,D. Prescott QB - DAL ,20.24,D. Foreman RB - CHI ,0.90,T. Pollard RB - DAL Q ,10.60,T. Lockett WR - SEA ,6.80,J. Chase WR - CIN ,12.00,H. Henry TE - NE ,0.90,C. Watson WR - GB ,4.60,N. Folk K - NE ,12.00,Broncos DEF ,10.00,C. Patterson RB - ATL ,11.20,J. Goff QB - DET ,14.08,L. Fournette RB - TB ,7.40,J. Jeudy WR - DEN ,7.60,J. Williams WR - DET ,0.00,P. Strong RB - NE ,3.70,-,-,78.04,david,131.70
Daniel,7,T. Brady QB - TB ,16.58,C. McCaffrey RB - SF ,19.80,M. Sanders RB - CAR ,0.90,M. Evans WR - TB ,8.30,J. Jefferson WR - MIN ,18.30,G. Kittle TE - SF ,21.30,C. Samuel WR - WAS ,4.50,T. Bass K - BUF ,6.00,Bills DEF ,1.00,S. Perine RB - DEN ,2.40,M. Gallup WR - DAL Q ,0.20,T. Conklin TE - NYJ ,0.90,J. Meyers WR - LV ,2.70,C. Claypool WR - CHI ,0.00,Jets DEF ,1.00,C. Edmonds RB - TB ,0.00,96.68,-,-
Neil,9,T. Tagovailoa QB - MIA ,18.06,J. Mixon RB - CIN ,5.40,A. Gibson RB - WAS IR ,2.70,T. Hill WR - MIA ,12.90,D. Moore WR - CHI ,13.30,M. Andrews TE - BAL ,3.10,J. Dobbins RB - BAL ,12.80,R. Succop K - TB ,5.00,Raiders DEF ,9.00,A. Thielen WR - CAR ,10.10,A. Lazard WR - NYJ ,0.70,D. Hilliard RB - TEN IR ,0.00,M. Carter RB - NYJ ,3.10,R. Gould K - SF ,3.00,49ers DEF ,9.00,K. Murray QB - ARI IR ,0.00,82.26,Peter,57.52
michael,6,J. Herbert QB - LAC Q ,8.72,D. Montgomery RB - DET ,21.10,B. Robinson RB - WAS Q ,10.70,A. Cooper WR - CLE ,5.80,S. Diggs WR - BUF ,5.70,G. Everett TE - LAC ,4.20,J. McKinnon RB - KC ,26.20,Y. Koo K - ATL ,4.00,Cowboys DEF ,6.00,I. McKenzie WR - IND ,2.40,M. Hardman WR - NYJ IR ,0.00,C. Edwards-Helaire RB - KC IA ,0.00,K. Herbert RB - CHI ,0.00,D. Pierce RB - HOU IR ,0.00,C. Boswell K - PIT ,8.00,C. Kupp WR - LA IR ,0.00,92.42,Greg,115.60
Kevin,8,J. Fields QB - CHI Q ,23.58,D. Singletary RB - HOU ,7.00,J. Taylor RB - IND IR ,1.30,C. Lamb WR - DAL ,12.70,B. Aiyuk WR - SF ,1.90,E. Engram TE - JAX ,6.20,J. Smith-Schuster WR - NE ,6.80,E. McPherson K - CIN ,8.00,Eagles DEF ,9.00,B. Cooks WR - DAL ,0.00,K. Hunt RB - CLE ,2.70,T. Huntley QB - BAL ,5.02,D. Peoples-Jones WR - CLE ,9.10,A. Dillon RB - GB ,19.10,T. Lawrence QB - JAX ,26.82,K. Pitts TE - ATL IR ,0.00,76.48,-,-
Jeremy,11,D. Jones QB - NYG ,9.90,R. Mostert RB - MIA Q ,15.60,T. Etienne RB - JAX ,10.70,D. Adams WR - LV ,2.80,C. Olave WR - NO ,5.30,P. Freiermuth TE - PIT Q ,0.00,T. McLaurin WR - WAS ,7.00,G. Zuerlein K - NYJ ,5.00,Vikings DEF ,5.00,M. Gordon RB - KC ,0.00,C. Sutton WR - DEN ,0.00,J. Wilson RB - MIA ,0.00,M. Brown WR - ARI ,1.90,D. Johnson WR - PIT ,10.00,J. Warren RB - PIT ,10.90,-,-,61.30,Peter,93.40
