Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,4,D. Brees QB - NO ,7.04,T. Rawls RB - SEA ,23.80,R. Kelley RB - WAS ,6.30,J. Nelson WR - GB ,17.80,D. Hopkins WR - HOU ,11.80,A. Gates TE - LAC ,3.70,T. Hightower RB - NO ,0.90,W. Lutz K - NO ,7.00,Patriots DEF ,12.00,T. Pryor WR - CLE ,0.00,C. Beasley WR - DAL ,2.30,S. Watkins WR - BUF ,3.80,I. Crowell RB - CLE ,0.00,D. Prescott QB - DAL ,11.26,Falcons DEF ,3.00,90.34,Ryan,109.34
david,8,C. Palmer QB - ARI ,23.90,L. Murray RB - LV ,22.50,D. Freeman RB - ATL ,22.50,D. Thomas WR - DEN ,6.10,M. Floyd WR - NE ,7.80,T. Eifert TE - CIN ,8.50,E. Rogers WR - PIT ,1.80,C. Sturgis K - PHI ,2.00,Bills DEF ,-4.00,R. Mathews RB - PHI ,0.00,B. LaFell WR - CIN ,15.50,K. Rudolph TE - MIN ,4.50,A. Jeffery WR - CHI ,0.00,C. Wentz QB - PHI ,12.62,C. Coleman WR - CLE ,0.00,91.10,alex,96.46
Ryan,1,M. Stafford QB - DET ,23.84,L. Bell RB - PIT ,16.20,M. Gordon RB - LAC ,19.80,J. Jones WR - ATL ,11.30,M. Thomas WR - NO ,4.20,E. Ebron TE - DET ,3.80,S. Ware RB - KC ,17.20,D. Bailey K - DAL ,5.00,Packers DEF ,8.00,D. Murray RB - TEN ,0.00,A. Green WR - CIN ,0.00,D. Williams RB - PIT ,0.00,J. Winston QB - TB ,15.30,S. Diggs WR - MIN ,5.90,Vikings DEF ,8.00,109.34,Peter,90.34
alex,2,T. Brady QB - NE ,14.86,L. McCoy RB - BUF ,19.10,E. Elliott RB - DAL ,16.50,B. Cooks WR - NO ,7.70,T. Hill WR - KC ,7.20,J. Graham TE - SEA ,12.30,L. Fitzgerald WR - ARI ,7.80,J. Tucker K - BAL ,10.00,Panthers DEF ,1.00,S. Smith WR - BAL ,5.30,M. Gillislee RB - BUF ,16.90,J. Reed TE - WAS ,0.00,B. Bortles QB - JAX ,10.14,T. Yeldon RB - JAX ,8.20,Dolphins DEF ,0.00,96.46,david,91.10
Alessandro,10,M. Ryan QB - ATL ,16.18,J. Stewart RB - CAR ,3.30,M. Asiata RB - MIN ,2.70,M. Crabtree WR - LV ,13.40,K. Benjamin WR - CAR ,1.80,C. Fleener TE - NO ,8.60,J. Crowder WR - WAS ,10.20,M. Bryant K - ATL ,12.00,Cardinals DEF ,6.00,K. Britt WR - LA ,12.70,R. Matthews WR - TEN ,0.00,K. Wright WR - TEN ,0.00,C. Michael RB - GB ,1.90,M. Mariota QB - TEN ,0.00,-,-,74.18,Greg,77.88
Daniel,11,R. Wilson QB - SEA ,15.98,T. Riddick RB - DET ,7.70,J. White RB - NE ,3.50,J. Landry WR - MIA ,8.60,D. Adams WR - GB ,1.70,R. Gronkowski TE - NE ,0.00,M. Wallace WR - BAL ,5.90,M. Crosby K - GB ,3.00,Steelers DEF ,9.00,J. Charles RB - KC ,0.00,D. Pitta TE - BAL ,19.00,E. Sanders WR - DEN ,3.20,E. Manning QB - NYG ,11.70,K. Stills WR - MIA ,2.10,M. Jones RB - WAS ,0.00,55.38,Peter,118.12
Neil,6,B. Roethlisberger QB - PIT ,17.56,F. Gore RB - IND ,7.90,C. Hyde RB - SF ,9.80,D. Bryant WR - DAL ,14.40,T. Hilton WR - IND ,14.60,T. Kelce TE - KC ,14.00,A. Robinson WR - JAX ,3.10,S. Gostkowski K - NE ,14.00,Seahawks DEF ,8.00,T. Taylor QB - BUF ,12.64,C. Ivory RB - JAX ,0.00,J. Matthews WR - PHI ,0.00,W. Snead WR - NO ,3.80,P. Perkins RB - NYG ,3.80,P. Barber RB - TB ,0.60,103.36,Raed,86.16
michael,12,A. Dalton QB - CIN ,22.18,M. Forte RB - NYJ ,7.90,T. Gurley RB - LA ,4.70,K. Aiken WR - BAL ,4.10,J. Brown WR - ARI ,0.00,D. Walker TE - TEN ,0.00,T. West RB - BAL ,18.80,C. Santos K - KC ,3.00,Broncos DEF ,17.00,J. Maclin WR - KC ,0.00,Z. Miller TE - CHI ,0.00,P. Rivers QB - LAC ,14.80,D. Martin RB - TB ,12.80,J. McKinnon RB - MIN ,11.50,Ravens DEF ,15.00,77.68,Kevin,77.40
Kevin,9,D. Carr QB - LV ,20.80,J. Starks RB - GB ,0.10,L. Miller RB - HOU ,1.80,M. Evans WR - TB ,5.80,D. Moncrief WR - IND ,8.60,C. Brate TE - TB ,14.60,T. Williams WR - LAC ,10.70,J. Lambo K - LAC ,3.00,Buccaneers DEF ,12.00,C. Kaepernick QB - SF ,2.16,R. Cobb WR - GB ,7.90,M. Jones WR - DET ,0.00,T. Coleman RB - ATL ,4.90,K. Dixon RB - BAL ,7.70,W. Smallwood RB - PHI ,1.90,77.40,michael,77.68
Raed,7,A. Rodgers QB - GB ,15.96,B. Powell RB - NYJ ,0.30,J. Howard RB - CHI ,29.70,B. Marshall WR - NYJ ,4.30,A. Brown WR - PIT ,11.40,C. Fiedorowicz TE - HOU ,4.40,J. Edelman WR - NE ,10.10,G. Gano K - CAR ,1.00,Chiefs DEF ,9.00,M. Bennett TE - NE ,0.40,T. Benjamin WR - LAC ,2.40,T. Siemian QB - DEN ,0.00,C. Meredith WR - CHI ,6.70,D. Henry RB - TEN ,0.00,Chargers DEF ,3.00,86.16,Neil,103.36
Peter,3,A. Luck QB - IND ,29.72,L. Blount RB - NE ,14.80,D. Johnson RB - ARI ,29.50,D. Baldwin WR - SEA ,6.50,A. Cooper WR - LV ,11.90,J. Witten TE - DAL ,0.00,D. Booker RB - DEN ,9.70,A. Vinatieri K - IND ,13.00,Eagles DEF ,3.00,G. Tate WR - DET ,20.50,D. Lewis RB - NE ,3.80,R. Tannehill QB - MIA ,7.04,A. Hurns WR - JAX ,0.00,C. Prosise RB - SEA ,0.00,B. McManus K - DEN ,8.00,118.12,Daniel,55.38
Greg,5,C. Newton QB - CAR ,12.48,J. Hill RB - CIN ,10.50,J. Ajayi RB - MIA ,8.70,D. Jackson WR - WAS ,5.90,O. Beckham WR - NYG ,10.00,G. Olsen TE - CAR ,3.00,R. Jennings RB - NYG ,11.30,S. Hauschka K - SEA ,16.00,Rams DEF ,0.00,E. Royal WR - CHI ,0.00,J. Thomas TE - JAX ,0.00,M. Ingram RB - NO ,5.30,D. Sproles RB - PHI ,10.90,K. Cousins QB - WAS ,16.84,T. Austin WR - LA ,0.00,77.88,Alessandro,74.18
