Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,1,D. Brees QB - NO ,25.94,C. Anderson RB - DEN ,4.10,I. Crowell RB - CLE ,7.90,J. Nelson WR - GB ,22.10,D. Hopkins WR - HOU ,5.60,J. Thomas TE - JAX ,1.30,D. Parker WR - MIA ,11.10,S. Janikowski K - LV ,7.00,Dolphins DEF ,7.00,G. Tate WR - DET ,3.20,V. Jackson WR - TB ,3.70,F. Whittaker RB - CAR ,5.60,A. Hurns WR - JAX ,4.00,M. Mariota QB - TEN ,4.76,T. Rawls RB - SEA ,0.00,92.04,alex,85.66
david,8,C. Palmer QB - ARI ,3.48,R. Mathews RB - PHI ,-0.50,D. Freeman RB - ATL ,26.70,D. Thomas WR - DEN ,14.00,A. Green WR - CIN ,7.70,K. Rudolph TE - MIN ,13.00,M. Floyd WR - NE ,6.50,B. Walsh K ,6.00,Seahawks DEF ,3.00,J. Flacco QB - BAL ,11.76,B. Powell RB - NYJ ,5.10,T. Eifert TE - CIN ,0.00,N. Agholor WR - PHI ,2.10,C. Coleman WR - CLE ,0.00,J. Doctson WR - WAS ,0.00,79.88,Daniel,65.62
Ryan,2,M. Stafford QB - DET ,26.50,D. Murray RB - TEN ,21.50,M. Gordon RB - LAC ,13.80,J. Jones WR - ATL ,1.60,S. Diggs WR - MIN ,4.00,E. Ebron TE - DET ,6.90,S. Ware RB - KC ,6.30,D. Bailey K - DAL ,7.00,Vikings DEF ,26.00,C. Fleener TE - NO ,16.90,A. Jeffery WR - CHI ,7.00,J. Gordon WR - CLE ,0.00,L. Bell RB - PIT ,0.00,L. Murray RB - LV ,9.80,D. Washington RB - DET ,3.50,113.60,Alessandro,87.90
alex,4,B. Bortles QB - JAX ,11.46,L. McCoy RB - BUF ,23.60,E. Elliott RB - DAL ,16.00,L. Fitzgerald WR - ARI ,6.00,B. Cooks WR - NO ,1.90,J. Reed TE - WAS ,5.60,W. Fuller WR - HOU ,3.10,J. Tucker K - BAL ,15.00,Panthers DEF ,3.00,A. Foster RB - MIA ,0.00,J. Graham TE - SEA ,14.00,M. Asiata RB - MIN ,1.90,T. Brady QB - NE ,0.00,S. Smith WR - BAL ,8.70,V. Cruz WR - NYG ,7.00,85.66,Peter,92.04
Alessandro,12,M. Ryan QB - ATL ,19.90,C. Michael RB - GB ,23.10,E. Lacy RB - GB ,10.50,K. Benjamin WR - CAR ,0.00,Q. Enunwa WR - NYJ ,3.70,D. Allen TE - IND ,3.50,M. Crabtree WR - LV ,10.20,S. Gostkowski K - NE ,9.00,Cardinals DEF ,8.00,J. Stewart RB - CAR ,0.00,C. Ivory RB - JAX ,2.30,J. Doyle TE - IND ,6.50,S. Watkins WR - BUF ,0.00,J. Winston QB - TB ,27.50,K. Drake RB - MIA ,4.80,87.90,Ryan,113.60
Daniel,10,R. Wilson QB - SEA ,14.02,D. Williams RB - PIT ,4.40,T. Riddick RB - DET ,4.80,M. Wallace WR - BAL ,3.90,J. Landry WR - MIA ,19.60,R. Gronkowski TE - NE ,0.00,M. Jones RB - WAS ,7.90,M. Crosby K - GB ,10.00,Texans DEF ,1.00,J. Charles RB - KC ,0.00,E. Sanders WR - DEN ,23.70,A. Boldin WR - DET ,8.20,E. Manning QB - NYG ,14.00,L. Donnell TE - NYG ,1.10,L. Treadwell WR - MIN ,0.00,65.62,david,79.88
Neil,7,B. Roethlisberger QB - PIT ,6.98,F. Gore RB - IND ,14.30,C. Hyde RB - SF ,24.50,D. Bryant WR - DAL ,10.00,A. Robinson WR - JAX ,17.70,T. Kelce TE - KC ,14.90,T. Hilton WR - IND ,23.40,C. Catanzaro K - ARI ,6.00,Packers DEF ,5.00,J. Forsett RB - DEN ,3.20,T. Taylor QB - BUF ,16.36,J. Matthews WR - PHI ,7.90,J. White RB - NE ,1.40,W. Snead WR - NO ,0.00,K. White WR - CHI ,6.20,122.78,Greg,126.08
michael,11,P. Rivers QB - LAC ,11.24,M. Forte RB - NYJ ,6.40,T. Gurley RB - LA ,20.00,J. Maclin WR - KC ,3.50,J. Brown WR - ARI ,7.00,Z. Miller TE - CHI ,19.80,J. McKinnon RB - MIN ,6.70,C. Santos K - KC ,6.00,Broncos DEF ,9.00,D. Woodhead RB - LAC ,0.00,A. Dalton QB - CIN ,10.24,D. Walker TE - TEN ,0.00,K. Aiken WR - BAL ,0.50,D. Martin RB - TB ,0.00,T. West RB - BAL ,5.30,89.64,Peter,96.24
Kevin,3,D. Carr QB - LV ,11.86,L. Miller RB - HOU ,10.70,C. Sims RB - TB ,18.40,R. Cobb WR - GB ,3.30,M. Evans WR - TB ,19.20,D. Pitta TE - BAL ,4.20,M. Jones WR - DET ,34.50,N. Novak K - HOU ,0.00,Cowboys DEF ,6.00,G. Bernard RB - CIN ,4.40,D. Moncrief WR - IND ,0.00,T. Lockett WR - SEA ,0.00,T. Coleman RB - ATL ,26.90,T. Williams WR - LAC ,6.90,S. Shepard WR - NYG ,13.30,108.16,Raed,99.00
Raed,5,A. Rodgers QB - GB ,26.40,C. Artis-Payne RB - CAR ,5.80,D. Henry RB - TEN ,4.50,A. Brown WR - PIT ,14.00,T. Benjamin WR - LAC ,6.20,A. Gates TE - LAC ,0.00,E. Decker WR - NYJ ,3.10,G. Gano K - CAR ,4.00,Chiefs DEF ,35.00,M. Bennett TE - NE ,1.60,J. Edelman WR - NE ,5.20,B. Marshall WR - NYJ ,2.70,M. Wheaton WR - PIT ,0.20,D. Johnson RB - CLE ,8.10,D. Booker RB - DEN ,2.50,99.00,Kevin,108.16
