Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,2,D. Brees QB - NO ,21.02,T. Hightower RB - NO ,5.50,I. Crowell RB - CLE ,5.30,J. Nelson WR - GB ,18.60,T. Pryor WR - CLE ,4.80,A. Gates TE - LAC ,12.30,D. Hopkins WR - HOU ,4.80,W. Lutz K - NO ,5.00,Texans DEF ,12.00,J. Rodgers RB - TB ,0.00,C. Beasley WR - DAL ,3.30,C. West RB - KC ,1.00,T. Rawls RB - SEA ,0.00,D. Prescott QB - DAL ,18.76,R. Kelley RB - WAS ,9.50,89.32,Peter,118.94
david,8,C. Palmer QB - ARI ,14.64,R. Mathews RB - PHI ,27.90,D. Freeman RB - ATL ,8.10,D. Thomas WR - DEN ,14.70,A. Jeffery WR - CHI ,4.70,T. Eifert TE - CIN ,9.60,M. Floyd WR - NE ,10.10,C. Sturgis K - PHI ,10.00,Falcons DEF ,4.00,B. LaFell WR - CIN ,0.90,K. Rudolph TE - MIN ,12.90,L. Murray RB - LV ,0.00,C. Wentz QB - PHI ,8.24,C. Coleman WR - CLE ,1.70,Bills DEF ,0.00,103.74,Kevin,82.20
Ryan,1,J. Winston QB - TB ,18.48,D. Murray RB - TEN ,26.00,L. Bell RB - PIT ,25.40,A. Green WR - CIN ,12.80,J. Jones WR - ATL ,13.50,C. Fiedorowicz TE - HOU ,2.60,M. Gordon RB - LAC ,13.20,D. Bailey K - DAL ,13.00,Vikings DEF ,3.00,M. Stafford QB - DET ,0.00,D. Williams RB - PIT ,0.00,S. Ware RB - KC ,7.20,E. Ebron TE - DET ,0.00,S. Diggs WR - MIN ,16.40,M. Thomas WR - NO ,0.00,127.98,michael,87.74
alex,3,T. Brady QB - NE ,11.34,J. Langford RB - CHI ,2.60,E. Elliott RB - DAL ,38.90,S. Smith WR - BAL ,12.00,T. Montgomery RB - GB ,2.00,J. Graham TE - SEA ,4.80,L. Fitzgerald WR - ARI ,13.20,J. Tucker K - BAL ,8.00,Panthers DEF ,6.00,L. McCoy RB - BUF ,0.00,M. Gillislee RB - BUF ,0.00,J. Reed TE - WAS ,4.10,B. Bortles QB - JAX ,17.70,B. Cooks WR - NO ,15.80,T. Hill WR - KC ,10.10,98.84,Neil,96.62
Alessandro,11,M. Ryan QB - ATL ,12.68,J. Stewart RB - CAR ,3.90,C. Michael RB - GB ,2.60,R. Matthews WR - TEN ,12.30,K. Benjamin WR - CAR ,6.40,C. Fleener TE - NO ,2.60,K. Britt WR - LA ,10.90,M. Bryant K - ATL ,9.00,Cardinals DEF ,6.00,M. Crabtree WR - LV ,0.00,M. Asiata RB - MIN ,7.50,B. Quick WR - LA ,1.60,K. Wright WR - TEN ,6.80,J. Crowder WR - WAS ,10.40,M. Mariota QB - TEN ,27.80,66.38,Daniel,62.00
Daniel,10,E. Manning QB - NYG ,18.00,C. Thompson RB - WAS ,1.60,M. Jones RB - WAS ,0.00,J. Landry WR - MIA ,5.30,D. Adams WR - GB ,15.60,R. Gronkowski TE - NE ,5.60,M. Wallace WR - BAL ,5.90,M. Crosby K - GB ,7.00,Chargers DEF ,3.00,J. Charles RB - KC ,0.00,E. Sanders WR - DEN ,5.40,R. Wilson QB - SEA ,26.52,T. Riddick RB - DET ,0.00,K. Stills WR - MIA ,10.70,-,-,62.00,Alessandro,66.38
Neil,9,B. Roethlisberger QB - PIT ,30.42,C. Ivory RB - JAX ,4.10,C. Hyde RB - SF ,1.40,D. Bryant WR - DAL ,17.60,A. Robinson WR - JAX ,18.70,T. Kelce TE - KC ,5.10,J. Matthews WR - PHI ,7.30,S. Gostkowski K - NE ,6.00,Seahawks DEF ,6.00,T. Taylor QB - BUF ,0.00,F. Gore RB - IND ,0.00,T. Hilton WR - IND ,0.00,W. Snead WR - NO ,16.70,P. Perkins RB - NYG ,3.10,P. Barber RB - TB ,3.80,96.62,alex,98.84
michael,12,P. Rivers QB - LAC ,17.04,M. Forte RB - NYJ ,10.90,T. Gurley RB - LA ,7.20,K. Aiken WR - BAL ,1.50,J. Brown WR - ARI ,4.00,D. Walker TE - TEN ,18.40,T. West RB - BAL ,7.70,C. Santos K - KC ,12.00,Broncos DEF ,9.00,D. Woodhead RB - LAC ,0.00,J. Maclin WR - KC ,0.00,Z. Miller TE - CHI ,3.20,A. Dalton QB - CIN ,11.66,D. Martin RB - TB ,10.60,J. McKinnon RB - MIN ,3.30,87.74,Ryan,127.98
Kevin,7,C. Keenum QB - LA ,7.70,L. Miller RB - HOU ,8.30,G. Bernard RB - CIN ,3.60,M. Evans WR - TB ,6.60,T. Williams WR - LAC ,18.50,C. Brate TE - TB ,14.40,R. Cobb WR - GB ,3.10,J. Lambo K - LAC ,6.00,Ravens DEF ,14.00,J. Starks RB - GB ,10.40,M. Jones WR - DET ,0.00,D. Carr QB - LV ,0.00,D. Moncrief WR - IND ,0.00,T. Coleman RB - ATL ,0.00,J. Nelson WR - ARI ,0.90,82.20,david,103.74
Raed,6,A. Rodgers QB - GB ,27.54,C. Artis-Payne RB - CAR ,0.00,J. Howard RB - CHI ,8.00,B. Marshall WR - NYJ ,1.50,A. Brown WR - PIT ,20.40,M. Bennett TE - NE ,10.20,C. Meredith WR - CHI ,11.00,G. Gano K - CAR ,5.00,Chiefs DEF ,13.00,J. Edelman WR - NE ,7.90,E. Decker WR - NYJ ,0.00,T. Benjamin WR - LAC ,0.00,D. Johnson RB - CLE ,3.10,T. Siemian QB - DEN ,14.82,D. Henry RB - TEN ,3.10,96.64,Greg,95.54
