Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,1,D. Brees QB - NO ,24.72,I. Crowell RB - CLE ,6.70,C. West RB - KC ,7.40,J. Nelson WR - GB ,15.40,T. Pryor WR - CLE ,10.70,A. Gates TE - LAC ,13.50,T. Hightower RB - NO ,16.20,W. Lutz K - NO ,11.00,Cowboys DEF ,8.00,J. Rodgers RB - TB ,0.00,C. Beasley WR - DAL ,11.60,D. Hopkins WR - HOU ,0.00,T. Rawls RB - SEA ,0.00,D. Prescott QB - DAL ,23.88,R. Kelley RB - WAS ,0.00,113.62,Raed,63.28
david,10,C. Wentz QB - PHI ,10.16,L. Murray RB - LV ,30.70,D. Freeman RB - ATL ,10.50,D. Thomas WR - DEN ,5.60,Q. Enunwa WR - NYJ ,2.50,K. Rudolph TE - MIN ,6.10,C. Coleman WR - CLE ,4.10,C. Sturgis K - PHI ,11.00,Bills DEF ,3.00,R. Mathews RB - PHI ,7.50,B. LaFell WR - CIN ,0.00,C. Palmer QB - ARI ,0.00,M. Floyd WR - NE ,0.00,A. Jeffery WR - CHI ,0.00,T. Eifert TE - CIN ,0.00,83.66,Neil,84.56
Ryan,2,J. Winston QB - TB ,21.54,D. Murray RB - TEN ,14.00,L. Bell RB - PIT ,7.00,J. Jones WR - ATL ,17.10,S. Diggs WR - MIN ,9.20,E. Ebron TE - DET ,9.20,M. Gordon RB - LAC ,32.10,A. Vinatieri K - IND ,7.00,Vikings DEF ,3.00,M. Stafford QB - DET ,14.76,A. Green WR - CIN ,0.00,D. Williams RB - PIT ,0.10,S. Ware RB - KC ,0.00,C. Fiedorowicz TE - HOU ,0.00,M. Thomas WR - NO ,19.30,120.14,Daniel,70.38
alex,4,B. Bortles QB - JAX ,21.48,L. McCoy RB - BUF ,12.00,E. Elliott RB - DAL ,21.70,B. Cooks WR - NO ,6.60,T. Montgomery RB - GB ,9.10,J. Graham TE - SEA ,22.30,T. Hill WR - KC ,3.20,J. Tucker K - BAL ,7.00,Eagles DEF ,4.00,T. Brady QB - NE ,0.00,S. Smith WR - BAL ,6.70,L. Fitzgerald WR - ARI ,0.00,M. Gillislee RB - BUF ,9.60,J. Reed TE - WAS ,0.00,J. Langford RB - CHI ,0.00,107.38,Alessandro,81.66
Alessandro,12,M. Ryan QB - ATL ,27.76,J. Stewart RB - CAR ,4.20,C. Michael RB - GB ,6.10,M. Crabtree WR - LV ,2.70,K. Benjamin WR - CAR ,7.60,C. Fleener TE - NO ,4.20,M. Asiata RB - MIN ,4.10,M. Bryant K - ATL ,15.00,Panthers DEF ,10.00,K. Britt WR - LA ,10.90,R. Matthews WR - TEN ,18.30,B. Quick WR - LA ,4.80,J. Crowder WR - WAS ,0.00,M. Mariota QB - TEN ,25.92,Cardinals DEF ,0.00,81.66,alex,107.38
Daniel,7,R. Wilson QB - SEA ,26.28,C. Thompson RB - WAS ,0.00,T. Riddick RB - DET ,7.60,J. Landry WR - MIA ,3.30,D. Adams WR - GB ,10.10,R. Gronkowski TE - NE ,0.00,K. Stills WR - MIA ,1.10,M. Crosby K - GB ,8.00,Chargers DEF ,14.00,J. Charles RB - KC ,0.00,E. Sanders WR - DEN ,4.70,E. Manning QB - NYG ,21.88,M. Wallace WR - BAL ,18.40,M. Jones RB - WAS ,0.00,-,-,70.38,Ryan,120.14
Neil,9,B. Roethlisberger QB - PIT ,18.86,B. Powell RB - NYJ ,5.10,F. Gore RB - IND ,19.10,D. Bryant WR - DAL ,1.90,A. Robinson WR - JAX ,13.60,T. Kelce TE - KC ,5.80,T. Hilton WR - IND ,8.20,D. Bailey K - DAL ,5.00,Seahawks DEF ,7.00,T. Taylor QB - BUF ,25.86,J. Matthews WR - PHI ,8.80,C. Hyde RB - SF ,0.00,W. Snead WR - NO ,3.60,S. Gostkowski K - NE ,0.00,Steelers DEF ,5.00,84.56,david,83.66
michael,11,P. Rivers QB - LAC ,18.70,M. Forte RB - NYJ ,15.70,T. Gurley RB - LA ,7.40,J. Maclin WR - KC ,0.00,K. Aiken WR - BAL ,0.90,D. Walker TE - TEN ,10.20,T. West RB - BAL ,2.70,C. Santos K - KC ,15.00,Broncos DEF ,1.00,D. Woodhead RB - LAC ,0.00,Z. Miller TE - CHI ,0.00,A. Dalton QB - CIN ,0.00,D. Martin RB - TB ,0.00,J. McKinnon RB - MIN ,0.80,J. Brown WR - ARI ,0.00,71.60,Greg,90.20
Kevin,6,D. Carr QB - LV ,7.66,A. Smith RB - TB ,3.20,D. Harris RB - SF ,18.20,M. Evans WR - TB ,27.00,D. Moncrief WR - IND ,11.50,D. Pitta TE - BAL ,1.40,M. Jones WR - DET ,0.50,J. Lambo K - LAC ,13.00,Ravens DEF ,11.00,R. Cobb WR - GB ,7.40,L. Miller RB - HOU ,0.00,G. Bernard RB - CIN ,0.00,T. Coleman RB - ATL ,0.00,T. Yeldon RB - JAX ,10.50,T. Williams WR - LAC ,12.50,93.46,Peter,60.44
Raed,8,A. Rodgers QB - GB ,26.18,C. Artis-Payne RB - CAR ,0.00,J. Howard RB - CHI ,0.00,B. Marshall WR - NYJ ,4.60,A. Brown WR - PIT ,14.50,M. Bennett TE - NE ,0.00,C. Meredith WR - CHI ,0.00,G. Gano K - CAR ,7.00,Chiefs DEF ,11.00,J. Edelman WR - NE ,0.00,E. Decker WR - NYJ ,0.00,T. Benjamin WR - LAC ,0.50,D. Johnson RB - CLE ,4.60,T. Siemian QB - DEN ,15.32,D. Henry RB - TEN ,0.00,63.28,Peter,113.62
