Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,2,C. Stroud QB - HOU ,12.92,D. Henry RB - TEN ,4.20,K. Walker RB - SEA ,13.50,D. Hopkins WR - TEN ,7.20,D. Adams WR - LV ,24.60,G. Kittle TE - SF Q ,2.90,D. Metcalf WR - SEA ,10.60,L. Havrisik K ,2.00,Broncos DEF ,7.00,C. Godwin WR - TB ,14.10,B. Mayfield QB - TB ,16.26,E. Mitchell RB - SF ,14.00,T. McBride TE - ARI ,4.80,B. Robinson RB - WAS ,7.60,J. Hall QB - MIN IA ,-0.92,-,-,84.92,Neil,109.70
david,4,J. Fields QB - CHI View News ,25.22,J. Mixon RB - CIN ,14.70,J. Cook RB - BUF ,4.40,J. Jefferson WR - MIN ,5.90,A. St. Brown WR - DET ,16.10,D. Goedert TE - PHI ,10.70,T. Chandler RB - MIN ,6.40,B. McManus K - JAX ,14.00,Cowboys DEF ,6.00,D. Foreman RB - CHI IA ,0.00,C. Sutton WR - DEN Q ,0.00,K. Gainwell RB - PHI ,2.68,P. Freiermuth TE - PIT ,4.40,R. Doubs WR - GB Q ,2.80,Saints DEF ,14.00,-,-,103.42,alex,68.60
Ryan,7,J. Goff QB - DET ,10.84,E. Elliott RB - NE ,10.50,A. Kamara RB - NO IA ,4.90,C. Kupp WR - LA IA ,8.70,P. Nacua WR - LA ,13.70,S. LaPorta TE - DET Q ,8.40,G. Wilson WR - NYJ Q ,4.90,B. Aubrey K - DAL ,10.00,Texans DEF ,21.00,D. Johnson WR - PIT ,7.60,A. Mattison RB - MIN ,3.00,J. Love QB - GB ,28.44,E. Moore WR - CLE ,12.10,T. Allgeier RB - ATL ,14.80,J. Ford RB - CLE ,24.10,-,-,92.94,Kevin,63.18
alex,3,B. Purdy QB - SF IA ,17.60,A. Ekeler RB - LAC ,3.00,J. Gibbs RB - DET ,4.30,M. Evans WR - TB ,7.00,C. Ridley WR - JAX ,3.90,E. Engram TE - JAX ,6.00,G. Edwards RB - BAL ,10.80,R. Patterson K - CLE ,7.00,49ers DEF ,9.00,O. Beckham WR - BAL IA ,3.30,D. Schultz TE - HOU ,1.90,A. Dillon RB - GB IA ,2.70,K. Herbert RB - CHI ,18.90,W. Levis QB - TEN IA ,-1.36,Dolphins DEF ,-1.00,-,-,68.60,david,103.42
Alessandro,11,J. Allen QB - BUF ,21.16,T. Spears RB - TEN ,2.90,D. Achane RB - MIA ,19.70,T. Hill WR - MIA ,7.60,M. Pittman WR - IND ,4.60,J. Johnson TE - NO ,15.00,N. Brown WR - HOU IA ,0.80,K. Fairbairn K - HOU ,16.00,Bears DEF ,11.00,C. Okonkwo TE - TEN ,3.40,Z. Flowers WR - BAL IA ,16.60,J. McLaughlin RB - DEN Q ,6.20,J. Sanders K - MIA ,7.00,Raiders DEF ,1.00,A. Richardson QB - IND IR ,0.00,-,-,98.76,Peter,115.30
Daniel,5,J. Hurts QB - PHI Q ,19.18,J. Conner RB - ARI ,25.30,K. Williams RB - LA IA ,28.10,D. Robinson WR - LA ,7.20,A. Brown WR - PHI Q ,5.30,D. Njoku TE - CLE ,11.40,T. Etienne RB - JAX ,23.80,H. Butker K - KC ,21.00,Eagles DEF ,5.00,M. Mariota QB - PHI ,0.00,A. Cooper WR - CLE IA ,0.00,A. Jones RB - GB ,13.00,K. Murray QB - ARI ,23.68,K. Osborn WR - MIN ,0.00,Colts DEF ,3.00,C. Kirk WR - JAX IA ,0.00,146.28,Greg,108.34
Neil,1,D. Prescott QB - DAL ,20.30,D. Montgomery RB - DET ,12.50,T. Pollard RB - DAL ,4.90,D. Moore WR - CHI ,21.90,D. Samuel WR - SF ,13.20,J. Ferguson TE - DAL ,3.30,B. Robinson RB - ATL ,8.60,J. Elliott K - PHI ,7.00,Jaguars DEF ,18.00,A. Lazard WR - NYJ IA ,0.00,T. Hockenson TE - MIN IR ,0.00,M. Brown WR - ARI IR ,0.00,J. Dotson WR - WAS ,0.00,T. Bass K - BUF ,9.00,Patriots DEF ,9.00,K. Cousins QB - MIN IR ,0.00,109.70,Peter,84.92
michael,10,T. Tagovailoa QB - MIA ,14.88,R. Mostert RB - MIA IA ,0.00,D. Singletary RB - HOU ,8.60,G. Davis WR - BUF Q ,2.10,J. Chase WR - CIN ,4.10,K. Pitts TE - ATL ,0.50,J. Addison WR - MIN ,2.80,J. Myers K - SEA ,11.00,Chargers DEF ,3.00,R. Wilson QB - DEN View News ,0.00,K. Allen WR - LAC IA ,0.00,K. Hunt RB - CLE ,9.10,S. Perine RB - DEN ,2.60,I. Pacheco RB - KC ,22.50,Bills DEF ,17.00,L. Musgrave TE - GB ,0.00,46.98,Jeremy,101.90
Kevin,9,M. Stafford QB - LA IA ,12.58,C. McCaffrey RB - SF IA ,9.10,D. Swift RB - PHI IA ,6.60,N. Collins WR - HOU ,8.70,C. Olave WR - NO ,2.60,G. Everett TE - LAC Q ,3.70,T. Higgins WR - CIN IA ,1.90,E. McPherson K - CIN ,5.00,Browns DEF ,13.00,L. Murray RB - BUF IA ,0.00,A. Gibson RB - WAS ,3.60,J. Reed WR - GB ,20.90,J. Downs WR - IND ,5.30,R. Rice WR - KC IA ,12.70,Z. Charbonnet RB - SEA ,4.10,J. Herbert QB - LAC IR ,0.00,63.18,Ryan,92.94
Jeremy,8,G. Smith QB - SEA ,16.90,S. Barkley RB - NYG ,5.80,N. Harris RB - PIT ,24.20,S. Diggs WR - BUF ,3.10,J. Meyers WR - LV ,5.60,I. Likely TE - BAL ,16.20,T. McLaurin WR - WAS ,12.10,M. Gay K - IND ,11.00,Chiefs DEF ,7.00,T. Lockett WR - SEA ,1.00,M. Sanders RB - CAR ,2.20,R. Stevenson RB - NE IR ,0.00,S. Howell QB - WAS ,6.66,R. Shaheed WR - NO ,1.40,Vikings DEF ,1.00,M. Andrews TE - BAL IR ,0.00,101.90,michael,46.98
