Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,5,D. Watson QB - CLE IR ,21.16,D. Henry RB - TEN ,2.00,K. Walker RB - SEA ,27.60,D. Adams WR - LV ,29.20,D. Metcalf WR - SEA ,11.20,G. Kittle TE - SF Q ,9.00,B. Robinson RB - WAS ,7.00,D. Carlson K - LV ,4.00,Browns DEF ,12.00,M. Stafford QB - LA IA ,11.46,G. Smith QB - SEA ,15.44,C. Godwin WR - TB ,5.20,T. Atwell WR - LA ,13.20,T. Allgeier RB - ATL ,2.90,Q. Johnston WR - LAC ,1.00,-,-,123.16,Kevin,79.40
david,4,J. Fields QB - CHI View News ,10.66,J. Mixon RB - CIN ,13.00,J. Cook RB - BUF ,11.20,J. Jefferson WR - MIN ,20.90,A. St. Brown WR - DET ,10.60,D. Goedert TE - PHI ,4.10,R. Johnson RB - CHI ,4.90,J. Sanders K - MIA ,10.00,Cowboys DEF ,1.00,S. Perine RB - DEN ,2.40,C. Sutton WR - DEN Q ,11.10,D. Singletary RB - HOU ,4.50,D. Mooney WR - CHI IA ,0.00,E. Moore WR - CLE ,2.80,T. Burks WR - TEN ,0.50,-,-,86.36,Ryan,98.32
Ryan,8,J. Goff QB - DET ,18.02,A. Mattison RB - MIN ,12.50,J. Ford RB - CLE ,17.10,G. Wilson WR - NYJ Q ,4.80,P. Nacua WR - LA ,7.20,S. LaPorta TE - DET Q ,14.40,A. Dillon RB - GB IA ,3.30,B. Aubrey K - DAL ,10.00,Chiefs DEF ,11.00,A. Kamara RB - NO IA ,0.00,D. Johnson WR - PIT ,0.00,J. Burrow QB - CIN IR ,8.16,E. Mitchell RB - SF ,4.40,R. Shaheed WR - NO ,6.00,J. Smith-Njigba WR - SEA ,1.00,C. Kupp WR - LA IA ,0.00,98.32,david,86.36
alex,6,T. Lawrence QB - JAX ,14.36,G. Edwards RB - BAL ,5.10,J. Gibbs RB - DET ,8.20,M. Williams WR - LAC IR ,18.10,C. Ridley WR - JAX ,4.00,E. Engram TE - JAX ,6.70,M. Evans WR - TB ,12.00,N. Folk K - TEN ,3.00,49ers DEF ,8.00,M. Thomas WR - NO IR ,5.00,A. Ekeler RB - LAC ,0.00,D. Harris RB - BUF IR ,1.50,K. Herbert RB - CHI ,1.50,D. Kincaid TE - BUF ,0.30,J. Reed WR - GB ,6.30,-,-,79.46,Peter,57.68
Alessandro,9,J. Allen QB - BUF ,21.32,D. Cook RB - BAL ,2.90,K. Miller RB - NO ,3.40,T. Hill WR - MIA ,21.70,M. Pittman WR - IND ,7.70,M. Andrews TE - BAL IR ,3.50,Z. Flowers WR - BAL IA ,5.00,T. Bass K - BUF ,15.00,Steelers DEF ,11.00,D. Hopkins WR - TEN ,4.80,M. Breida RB - NYG ,7.80,J. Hill RB - BAL ,0.00,T. McLaurin WR - WAS ,4.10,D. Pierce RB - HOU ,11.90,T. Spears RB - TEN ,0.90,J. Wilson RB - MIA ,0.00,91.52,michael,169.02
Daniel,3,J. Hurts QB - PHI Q ,19.88,J. Conner RB - ARI ,17.60,T. Etienne RB - JAX ,13.80,C. Kirk WR - JAX IA ,11.40,A. Brown WR - PHI Q ,13.10,D. Njoku TE - CLE ,2.00,K. Williams RB - LA IA ,6.50,H. Butker K - KC ,11.00,Eagles DEF ,12.00,A. Jones RB - GB ,0.00,J. Smith-Schuster WR - NE IR ,0.50,J. Reynolds WR - DET ,0.00,M. Hardman WR - KC ,0.00,Z. Moss RB - IND ,20.50,J. Jeudy WR - DEN ,8.10,K. Murray QB - ARI ,0.00,107.28,Greg,87.78
Neil,1,K. Cousins QB - MIN IR ,25.68,T. Pollard RB - DAL ,12.10,B. Robinson RB - ATL ,6.00,D. Samuel WR - SF ,19.10,J. Dotson WR - WAS ,2.10,T. Hockenson TE - MIN IR ,5.80,D. Moore WR - CHI ,10.10,J. Elliott K - PHI ,11.00,Patriots DEF ,9.00,D. Prescott QB - DAL ,14.36,A. Lazard WR - NYJ IA ,3.90,R. Penny RB - PHI ,0.00,M. Brown WR - ARI IR ,12.10,D. Montgomery RB - DET ,0.00,J. Johnson TE - NO ,1.20,-,-,100.88,Jeremy,50.18
michael,2,T. Tagovailoa QB - MIA ,28.36,R. Mostert RB - MIA IA ,38.20,R. Stevenson RB - NE IR ,6.20,J. Chase WR - CIN ,14.10,J. Waddle WR - MIA IA ,0.00,K. Pitts TE - ATL ,3.70,K. Allen WR - LAC IA ,29.46,J. Myers K - SEA ,17.00,Bills DEF ,32.00,R. Wilson QB - DEN View News ,14.24,O. Beckham WR - BAL IA ,0.00,G. Davis WR - BUF Q ,9.30,J. Williams WR - DET IA ,0.00,I. Pacheco RB - KC ,13.80,J. Mingo WR - CAR IR ,2.10,-,-,169.02,Alessandro,91.52
Kevin,7,J. Herbert QB - LAC IR ,31.30,C. McCaffrey RB - SF IA ,17.90,M. Sanders RB - CAR ,12.20,N. Collins WR - HOU ,3.40,C. Olave WR - NO ,10.40,T. Hill TE - NO ,2.10,T. Higgins WR - CIN IA ,2.10,C. Dicker K - LAC ,4.00,Jaguars DEF ,-4.00,Z. Ertz TE - DET Q ,0.60,K. Bourne WR - NE IR ,4.60,D. Swift RB - PHI IA ,13.80,D. London WR - ATL ,3.10,A. Richardson QB - IND IR ,0.00,Z. Charbonnet RB - SEA ,4.50,-,-,79.40,Peter,123.16
Jeremy,10,D. Jones QB - NYG IR ,3.98,S. Barkley RB - NYG ,0.00,N. Harris RB - PIT ,6.50,T. Lockett WR - SEA ,5.40,S. Diggs WR - BUF ,11.10,D. Waller TE - NYG ,2.00,J. Addison WR - MIN ,5.20,Y. Koo K - ATL ,6.00,Saints DEF ,10.00,A. Cooper WR - CLE IA ,17.60,J. Meyers WR - LV ,8.50,J. Love QB - GB ,24.26,A. Gibson RB - WAS ,0.40,R. Doubs WR - GB Q ,13.30,D. Achane RB - MIA ,49.30,-,-,50.18,Neil,100.88
