Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,6,G. Smith QB - SEA ,8.20,D. Henry RB - TEN ,23.38,K. Walker RB - SEA ,13.90,D. Adams WR - LV ,7.50,T. Atwell WR - LA ,2.40,G. Kittle TE - SF Q ,0.90,D. Metcalf WR - SEA ,9.40,B. Maher K - LA ,15.00,Browns DEF ,4.00,M. Stafford QB - LA IA ,16.16,L. Murray RB - BUF IA ,5.60,D. Watson QB - CLE IR ,0.00,C. Godwin WR - TB ,11.40,B. Robinson RB - WAS ,11.10,Q. Johnston WR - LAC ,1.80,-,-,84.68,Neil,102.46
david,2,J. Fields QB - CHI View News ,27.90,J. Mixon RB - CIN ,7.60,J. Cook RB - BUF ,13.70,J. Jefferson WR - MIN ,20.50,A. St. Brown WR - DET ,11.60,D. Goedert TE - PHI ,2.50,A. Thielen WR - CAR ,8.20,J. Sanders K - MIA ,2.00,Cowboys DEF ,27.00,S. Perine RB - DEN ,3.50,C. Sutton WR - DEN Q ,8.70,E. Moore WR - CLE ,0.00,T. Burks WR - TEN ,0.00,R. Johnson RB - CHI ,1.50,M. Mims WR - DEN ,4.70,-,-,121.00,Alessandro,113.40
Ryan,8,J. Burrow QB - CIN IR ,4.70,A. Mattison RB - MIN ,9.80,J. Ford RB - CLE ,4.50,G. Wilson WR - NYJ Q ,6.00,P. Nacua WR - LA ,22.30,S. LaPorta TE - DET Q ,5.60,A. Kamara RB - NO IA ,8.40,B. Aubrey K - DAL ,12.00,Chiefs DEF ,5.00,J. Goff QB - DET ,11.40,C. Kupp WR - LA IA ,0.00,A. Dillon RB - GB IA ,1.10,E. Mitchell RB - SF ,0.00,R. Shaheed WR - NO ,3.30,J. Smith-Njigba WR - SEA ,0.50,D. Johnson WR - PIT ,0.00,78.30,Peter,72.62
alex,7,T. Lawrence QB - JAX ,16.48,K. Herbert RB - CHI ,18.20,J. Gibbs RB - DET ,5.10,M. Evans WR - TB ,4.00,C. Ridley WR - JAX ,9.80,E. Engram TE - JAX ,5.90,J. Palmer WR - LAC Q ,7.70,N. Folk K - TEN ,11.00,49ers DEF ,2.00,M. Thomas WR - NO IR ,5.30,A. Ekeler RB - LAC ,0.00,G. Edwards RB - BAL ,4.90,C. Edwards-Helaire RB - KC ,1.30,D. Kincaid TE - BUF ,2.70,J. Reed WR - GB ,7.50,-,-,80.18,Jeremy,96.94
Alessandro,10,J. Allen QB - BUF ,36.50,M. Breida RB - NYG ,7.80,D. Pierce RB - HOU ,10.80,T. Hill WR - MIA ,7.20,M. Pittman WR - IND ,3.50,M. Andrews TE - BAL IR ,20.00,T. McLaurin WR - WAS ,14.60,T. Bass K - BUF ,14.00,Steelers DEF ,-1.00,D. Hopkins WR - TEN ,6.30,D. Cook RB - BAL ,1.80,Z. Flowers WR - BAL IA ,5.00,T. Spears RB - TEN ,5.80,R. Rice WR - KC IA ,3.20,K. Miller RB - NO ,0.80,J. Wilson RB - MIA ,0.00,113.40,david,121.00
Daniel,4,J. Hurts QB - PHI Q ,24.16,J. Conner RB - ARI ,5.60,T. Etienne RB - JAX ,7.20,C. Kirk WR - JAX IA ,8.40,A. Brown WR - PHI Q ,29.50,D. Njoku TE - CLE ,4.60,K. Williams RB - LA IA ,24.70,H. Butker K - KC ,11.00,Eagles DEF ,5.00,A. Jones RB - GB ,1.40,J. Smith-Schuster WR - NE IR ,1.40,J. Reynolds WR - DET ,6.90,Z. Moss RB - IND ,9.00,J. Jeudy WR - DEN ,5.20,P. Freiermuth TE - PIT ,0.70,K. Murray QB - ARI ,0.00,120.16,Kevin,125.78
Neil,1,K. Cousins QB - MIN IR ,9.56,D. Montgomery RB - DET ,32.10,B. Robinson RB - ATL ,13.70,D. Moore WR - CHI ,19.10,D. Samuel WR - SF ,0.60,T. Hockenson TE - MIN IR ,2.40,T. Pollard RB - DAL ,6.00,J. Elliott K - PHI ,16.00,Patriots DEF ,3.00,D. Prescott QB - DAL ,14.34,A. Lazard WR - NYJ IA ,12.10,R. Penny RB - PHI ,0.00,M. Brown WR - ARI IR ,9.60,J. Johnson TE - NO ,0.00,J. Dotson WR - WAS ,8.70,-,-,102.46,Peter,84.68
michael,3,T. Tagovailoa QB - MIA ,13.98,R. Mostert RB - MIA IA ,2.50,I. Pacheco RB - KC ,21.80,J. Chase WR - CIN ,7.30,J. Waddle WR - MIA IA ,4.60,K. Pitts TE - ATL ,2.10,K. Allen WR - LAC IA ,9.20,J. Myers K - SEA ,6.00,Bills DEF ,9.00,R. Wilson QB - DEN View News ,22.22,O. Beckham WR - BAL IA ,0.00,G. Davis WR - BUF Q ,12.10,R. Stevenson RB - NE IR ,4.00,J. Williams WR - DET IA ,0.00,J. Mingo WR - CAR IR ,0.00,-,-,76.48,Greg,108.94
Kevin,5,J. Herbert QB - LAC IR ,23.38,C. McCaffrey RB - SF IA ,41.70,D. Swift RB - PHI IA ,13.90,N. Collins WR - HOU ,28.80,C. Olave WR - NO ,0.40,J. Ferguson TE - DAL ,7.70,T. Higgins WR - CIN IA ,1.90,E. McPherson K - CIN ,3.00,Bengals DEF ,5.00,M. Sanders RB - CAR ,3.20,D. London WR - ATL ,8.80,T. Dell WR - HOU IR ,2.90,J. Downs WR - IND ,3.40,A. Richardson QB - IND IR ,29.60,Z. Charbonnet RB - SEA ,4.00,K. Mitchell RB - BAL IR ,0.00,125.78,Daniel,120.16
Jeremy,9,J. Love QB - GB ,17.64,N. Harris RB - PIT ,10.30,D. Achane RB - MIA ,24.00,A. Cooper WR - CLE IA ,1.60,S. Diggs WR - BUF ,30.00,D. Waller TE - NYG ,2.10,J. Meyers WR - LV ,3.30,D. Hopkins K - CLE IA ,5.00,Saints DEF ,3.00,J. McKinnon RB - KC IR ,0.70,T. Lockett WR - SEA ,5.40,S. Barkley RB - NYG ,0.00,D. Jones QB - NYG IR ,8.72,R. Doubs WR - GB Q ,9.50,J. Addison WR - MIN ,0.00,-,-,96.94,alex,80.18
