Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,4,C. Stroud QB - HOU ,43.80,D. Henry RB - TEN ,16.20,K. Walker RB - SEA ,1.70,D. Adams WR - LV ,3.40,D. Metcalf WR - SEA ,5.00,T. McBride TE - ARI ,2.20,B. Robinson RB - WAS ,10.70,D. Hopkins K - CLE IA ,9.00,Browns DEF ,23.00,D. Hopkins WR - TEN ,6.50,D. Watson QB - CLE IR ,18.96,C. Godwin WR - TB ,1.60,G. Kittle TE - SF Q ,0.00,R. Freeman RB - LA ,3.20,J. Smith-Njigba WR - SEA ,6.30,-,-,115.00,Alessandro,74.32
david,2,D. Carr QB - NO ,16.74,J. Mixon RB - CIN ,12.80,J. Cook RB - BUF ,3.90,A. Thielen WR - CAR ,2.90,T. Dell WR - HOU IR ,23.60,D. Goedert TE - PHI ,5.00,K. Osborn WR - MIN ,1.70,J. Sanders K - MIA ,2.00,Cowboys DEF ,2.00,C. Sutton WR - DEN Q ,0.00,J. Fields QB - CHI View News ,0.00,A. St. Brown WR - DET ,0.00,T. Atwell WR - LA ,1.30,K. Gainwell RB - PHI ,8.30,R. Johnson RB - CHI ,1.50,J. Jefferson WR - MIN ,0.00,70.64,michael,57.52
Ryan,10,J. Burrow QB - CIN IR ,22.32,A. Kamara RB - NO IA ,7.00,J. Ford RB - CLE ,7.70,C. Kupp WR - LA IA ,4.80,G. Wilson WR - NYJ Q ,6.00,J. Ferguson TE - DAL ,15.10,D. Henderson RB ,3.50,B. Aubrey K - DAL ,7.00,Falcons DEF ,9.00,J. Goff QB - DET ,0.00,D. Johnson WR - PIT ,15.00,A. Mattison RB - MIN ,15.30,T. Allgeier RB - ATL ,9.00,S. LaPorta TE - DET Q ,0.00,P. Nacua WR - LA ,3.20,-,-,82.42,Neil,75.16
alex,5,W. Levis QB - TEN IA ,8.68,A. Ekeler RB - LAC ,19.00,G. Edwards RB - BAL ,17.20,M. Evans WR - TB ,8.70,M. Thomas WR - NO IR ,0.00,D. Schultz TE - HOU ,17.00,A. Dillon RB - GB IA ,4.30,B. Grupe K - NO ,8.00,Chargers DEF ,27.00,E. Engram TE - JAX ,0.00,C. Ridley WR - JAX ,0.00,J. Palmer WR - LAC Q ,0.00,B. Purdy QB - SF IA ,0.00,J. Gibbs RB - DET ,0.00,49ers DEF ,0.00,K. Herbert RB - CHI ,0.00,109.88,Daniel,85.98
Alessandro,7,J. Allen QB - BUF ,24.72,D. Foreman RB - CHI IA ,8.30,K. Ingram RB - KC ,0.80,T. Hill WR - MIA ,4.50,T. McLaurin WR - WAS ,7.30,M. Andrews TE - BAL IR ,8.00,R. Rice WR - KC IA ,7.70,K. Fairbairn K - HOU ,6.00,Steelers DEF ,7.00,L. Fournette RB - BUF ,0.00,M. Pittman WR - IND ,6.40,D. Pierce RB - HOU ,0.00,Z. Flowers WR - BAL IA ,1.10,T. Spears RB - TEN ,2.20,Q. Johnston WR - LAC ,1.60,-,-,74.32,Peter,115.00
Daniel,3,J. Hurts QB - PHI Q ,25.88,A. Jones RB - GB ,13.90,Z. Moss RB - IND ,2.60,A. Brown WR - PHI Q ,12.60,D. Douglas WR - NE ,5.50,D. Njoku TE - CLE ,8.60,D. Chark WR - CAR ,6.90,H. Butker K - KC ,3.00,Eagles DEF ,7.00,J. Conner RB - ARI ,0.00,J. Reynolds WR - DET ,0.00,C. Kirk WR - JAX IA ,0.00,T. Etienne RB - JAX ,0.00,K. Williams RB - LA IA ,0.00,E. Demercado RB - ARI ,0.00,K. Murray QB - ARI ,0.00,85.98,alex,109.88
Neil,1,D. Prescott QB - DAL ,28.36,T. Pollard RB - DAL ,6.30,B. Robinson RB - ATL ,3.90,M. Brown WR - ARI IR ,2.40,J. Dotson WR - WAS ,12.90,T. Hockenson TE - MIN IR ,6.90,D. Moore WR - CHI ,2.40,J. Elliott K - PHI ,4.00,Patriots DEF ,8.00,K. Cousins QB - MIN IR ,0.00,A. Lazard WR - NYJ IA ,1.80,R. Penny RB - PHI ,0.80,D. Montgomery RB - DET ,0.00,D. Samuel WR - SF ,0.00,J. Johnson TE - NO ,8.90,-,-,75.16,Ryan,82.42
michael,11,T. Tagovailoa QB - MIA ,12.42,R. Mostert RB - MIA IA ,14.50,I. Pacheco RB - KC ,6.60,K. Allen WR - LAC IA ,7.70,J. Chase WR - CIN ,4.10,K. Pitts TE - ATL ,5.60,D. Singletary RB - HOU ,2.60,J. Myers K - SEA ,3.00,Bills DEF ,1.00,R. Wilson QB - DEN View News ,0.00,G. Davis WR - BUF Q ,0.00,J. Waddle WR - MIA IA ,5.40,J. Williams WR - DET IA ,0.00,J. Addison WR - MIN ,5.20,R. Patterson K - CLE ,0.00,-,-,57.52,david,70.64
Kevin,9,J. Herbert QB - LAC IR ,7.14,D. Swift RB - PHI IA ,7.40,A. Gibson RB - WAS ,7.60,N. Collins WR - HOU ,11.40,C. Olave WR - NO ,10.60,L. Thomas TE - WAS ,3.10,T. Higgins WR - CIN IA ,11.00,E. McPherson K - CIN ,6.00,Commanders DEF ,3.00,C. McCaffrey RB - SF IA ,0.00,M. Sanders RB - CAR ,6.10,E. Mitchell RB - SF ,0.00,D. London WR - ATL ,0.00,J. Downs WR - IND ,1.00,Z. Charbonnet RB - SEA ,1.30,-,-,67.24,Jeremy,106.70
Jeremy,6,S. Howell QB - WAS ,17.70,S. Barkley RB - NYG ,11.30,R. Stevenson RB - NE IR ,18.90,T. Lockett WR - SEA ,3.20,S. Diggs WR - BUF ,16.60,D. Kincaid TE - BUF ,6.10,A. Cooper WR - CLE IA ,19.90,M. Prater K - ARI ,0.00,Saints DEF ,13.00,D. Waller TE - NYG ,0.00,J. Hill RB - BAL ,4.00,J. Meyers WR - LV ,11.50,N. Harris RB - PIT ,13.60,R. Doubs WR - GB Q ,3.60,R. Shaheed WR - NO ,2.20,D. Achane RB - MIA ,0.00,106.70,Kevin,67.24
Peter,12,P. Mahomes QB - KC IA ,15.80,J. Taylor RB - IND ,12.90,B. Hall RB - NYJ ,6.00,C. Lamb WR - DAL ,17.10,C. Watson WR - GB IA ,3.70,C. Kmet TE - CHI Q ,17.50,C. Hubbard RB - CAR ,6.70,J. Tucker K - BAL ,13.00,Jets DEF ,5.00,B. Cooks WR - DAL ,0.70,J. Smith TE - ATL ,16.00,J. Kelley RB - LAC ,2.20,J. Williams RB - DEN ,0.00,K. Toney WR - KC IA ,1.80,-,-,-,-,97.70,Greg,98.38
Greg,8,L. Jackson QB - BAL IA ,11.48,J. Jacobs RB - LV IA ,21.80,R. White RB - TB ,23.90,D. Smith WR - PHI IA ,11.10,G. Pickens WR - PIT ,-0.10,T. Kelce TE - KC IA ,1.40,K. Hunt RB - CLE ,9.80,T. Bass K - BUF ,4.00,Ravens DEF ,15.00,T. Hill TE - NO ,16.62,C. Akers RB - MIN IR ,3.80,B. Aiyuk WR - SF ,0.00,J. Warren RB - PIT ,11.30,J. McLaughlin RB - DEN Q ,0.00,J. Moody K - SF ,0.00,-,-,98.38,Peter,97.70
