Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,8,D. Watson QB - CLE IR ,11.60,D. Henry RB - TEN ,15.50,K. Walker RB - SEA ,17.40,D. Adams WR - LV ,14.40,D. Metcalf WR - SEA ,7.50,G. Kittle TE - SF Q ,3.00,T. Allgeier RB - ATL ,4.80,D. Carlson K - LV ,4.00,Browns DEF ,7.00,G. Smith QB - SEA ,23.12,C. Godwin WR - TB ,5.80,H. Hurst TE - CAR IR ,2.00,T. Atwell WR - LA ,8.20,B. Robinson RB - WAS ,26.90,Q. Johnston WR - LAC ,0.70,-,-,85.20,Ryan,83.68
david,2,J. Fields QB - CHI View News ,14.74,J. Mixon RB - CIN ,9.50,J. Cook RB - BUF ,15.90,J. Jefferson WR - MIN ,13.90,A. St. Brown WR - DET ,8.20,D. Goedert TE - PHI ,2.20,S. Perine RB - DEN ,2.40,J. Sanders K - MIA ,6.00,Cowboys DEF ,15.00,C. Sutton WR - DEN Q ,6.60,D. Singletary RB - HOU ,2.40,D. Mooney WR - CHI IA ,0.00,E. Moore WR - CLE ,4.10,T. Burks WR - TEN ,7.60,R. Johnson RB - CHI ,4.20,-,-,87.84,Greg,83.08
Ryan,11,J. Burrow QB - CIN IR ,15.38,N. Chubb RB - CLE IR ,6.40,A. Mattison RB - MIN ,1.90,G. Wilson WR - NYJ Q ,14.30,P. Nacua WR - LA ,15.10,S. LaPorta TE - DET Q ,6.30,A. Dillon RB - GB IA ,6.30,B. Aubrey K - DAL ,18.00,Broncos DEF ,0.00,A. Kamara RB - NO IA ,0.00,D. Johnson WR - PIT ,0.00,C. Hubbard RB - CAR ,5.00,E. Mitchell RB - SF ,0.00,R. Shaheed WR - NO ,6.30,J. Smith-Njigba WR - SEA ,3.40,C. Kupp WR - LA IA ,0.00,83.68,Peter,85.20
alex,5,T. Lawrence QB - JAX ,9.24,G. Edwards RB - BAL ,12.20,J. Gibbs RB - DET ,5.60,M. Williams WR - LAC IR ,8.60,C. Ridley WR - JAX ,3.20,E. Engram TE - JAX ,5.70,M. Evans WR - TB ,23.10,N. Folk K - TEN ,9.00,49ers DEF ,5.00,C. Patterson RB - ATL ,0.00,M. Thomas WR - NO IR ,5.50,A. Ekeler RB - LAC ,0.00,D. Harris RB - BUF IR ,9.30,K. Herbert RB - CHI ,5.80,D. Kincaid TE - BUF ,4.30,-,-,81.64,Kevin,111.00
Alessandro,9,J. Allen QB - BUF ,23.66,D. Cook RB - BAL ,-0.80,D. Pierce RB - HOU ,3.50,D. Hopkins WR - TEN ,4.00,T. Hill WR - MIA ,10.00,M. Andrews TE - BAL IR ,10.50,Z. Flowers WR - BAL IA ,6.80,T. Bass K - BUF ,8.00,Dolphins DEF ,9.00,D. Schultz TE - HOU ,3.40,J. Hill RB - BAL ,5.30,T. McLaurin WR - WAS ,11.40,M. Pittman WR - IND ,5.60,D. Jackson RB - NYG ,0.00,T. Spears RB - TEN ,5.50,J. Wilson RB - MIA ,0.00,74.66,Jeremy,121.54
Daniel,4,J. Hurts QB - PHI Q ,25.22,J. Conner RB - ARI ,16.60,T. Etienne RB - JAX ,4.20,C. Kirk WR - JAX IA ,10.96,A. Brown WR - PHI Q ,2.90,D. Njoku TE - CLE ,2.80,Z. Moss RB - IND ,16.70,H. Butker K - KC ,5.00,Eagles DEF ,9.00,A. Jones RB - GB ,0.00,J. Smith-Schuster WR - NE IR ,2.80,M. Hardman WR - KC ,0.60,J. Jeudy WR - DEN ,2.50,K. Williams RB - LA IA ,22.00,K. Murray QB - ARI ,0.00,-,-,93.38,Neil,130.16
Neil,1,K. Cousins QB - MIN IR ,28.56,D. Montgomery RB - DET ,11.40,B. Robinson RB - ATL ,17.20,D. Moore WR - CHI ,10.40,D. Samuel WR - SF ,16.10,T. Hockenson TE - MIN IR ,18.60,T. Pollard RB - DAL ,12.90,J. Elliott K - PHI ,12.00,Patriots DEF ,3.00,D. Prescott QB - DAL ,19.60,A. Lazard WR - NYJ IA ,2.30,R. Penny RB - PHI ,1.40,M. Brown WR - ARI IR ,11.40,J. Johnson TE - NO ,1.30,J. Dotson WR - WAS ,2.20,-,-,130.16,Daniel,93.38
michael,6,T. Tagovailoa QB - MIA ,12.26,R. Mostert RB - MIA IA ,24.70,R. Stevenson RB - NE IR ,12.00,J. Chase WR - CIN ,3.10,J. Waddle WR - MIA IA ,8.40,K. Pitts TE - ATL ,1.50,K. Allen WR - LAC IA ,23.10,J. Myers K - SEA ,7.00,Bills DEF ,10.00,R. Wilson QB - DEN View News ,25.92,O. Beckham WR - BAL IA ,2.90,G. Davis WR - BUF Q ,15.20,J. Williams WR - DET IA ,0.00,I. Pacheco RB - KC ,7.00,J. Mingo WR - CAR IR ,2.60,-,-,102.06,Peter,59.80
Kevin,3,J. Herbert QB - LAC IR ,22.20,C. McCaffrey RB - SF IA ,19.50,M. Sanders RB - CAR ,4.70,T. Higgins WR - CIN IA ,20.90,N. Collins WR - HOU ,20.60,L. Musgrave TE - GB ,2.50,C. Olave WR - NO ,8.60,E. McPherson K - CIN ,6.00,Bengals DEF ,6.00,K. Bourne WR - NE IR ,2.90,D. Swift RB - PHI IA ,24.10,P. Freiermuth TE - PIT ,0.20,D. London WR - ATL ,12.70,A. Richardson QB - IND IR ,17.74,Z. Charbonnet RB - SEA ,3.00,-,-,111.00,alex,81.64
Jeremy,7,D. Jones QB - NYG IR ,30.74,S. Barkley RB - NYG ,21.20,N. Harris RB - PIT ,4.30,T. Lockett WR - SEA ,17.90,S. Diggs WR - BUF ,6.60,D. Waller TE - NYG ,7.60,J. Addison WR - MIN ,13.20,Y. Koo K - ATL ,13.00,Saints DEF ,7.00,A. Cooper WR - CLE IA ,9.00,J. Meyers WR - LV ,0.00,J. Love QB - GB ,20.34,A. Gibson RB - WAS ,5.30,R. Doubs WR - GB Q ,3.00,D. Achane RB - MIA ,0.90,-,-,121.54,Alessandro,74.66
