Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,9,G. Smith QB - SEA ,13.76,K. Walker RB - SEA ,11.10,B. Robinson RB - WAS ,8.30,D. Adams WR - LV ,5.70,C. Godwin WR - TB ,6.60,G. Kittle TE - SF Q ,8.00,J. Smith-Njigba WR - SEA ,12.30,B. Maher K - LA ,3.00,Seahawks DEF ,8.00,L. Murray RB - BUF IA ,2.80,D. Henry RB - TEN ,0.00,D. Watson QB - CLE IR ,-1.80,R. Freeman RB - LA ,6.60,D. Metcalf WR - SEA ,0.00,C. Stroud QB - HOU ,0.00,-,-,76.76,Peter,90.76
david,1,M. Stafford QB - LA IA ,14.04,J. McKinnon RB - KC IR ,2.60,J. Cook RB - BUF ,16.20,K. Osborn WR - MIN ,4.70,A. St. Brown WR - DET ,10.20,D. Goedert TE - PHI ,13.70,C. Sutton WR - DEN Q ,13.60,J. Sanders K - MIA ,5.00,Commanders DEF ,9.00,A. Thielen WR - CAR ,0.00,J. Mixon RB - CIN ,0.00,J. Fields QB - CHI View News ,0.00,R. Johnson RB - CHI ,0.00,T. Dell WR - HOU IR ,0.00,Cowboys DEF ,0.00,J. Jefferson WR - MIN ,0.00,89.04,Kevin,72.86
Ryan,7,J. Goff QB - DET ,9.36,A. Kamara RB - NO IA ,17.30,J. Ford RB - CLE ,15.40,C. Kupp WR - LA IA ,4.90,P. Nacua WR - LA ,15.40,S. LaPorta TE - DET Q ,5.20,A. Mattison RB - MIN ,4.20,B. Grupe K - NO ,10.00,Buccaneers DEF ,8.00,E. Elliott RB - NE ,9.10,D. Johnson WR - PIT ,7.90,J. Burrow QB - CIN IR ,0.00,A. Dillon RB - GB IA ,9.50,T. Allgeier RB - ATL ,11.20,G. Wilson WR - NYJ Q ,0.00,-,-,89.76,Greg,114.08
alex,10,B. Purdy QB - SF IA ,12.78,A. Ekeler RB - LAC ,4.60,J. Gibbs RB - DET ,18.60,M. Evans WR - TB ,14.20,C. Ridley WR - JAX ,0.50,E. Engram TE - JAX ,4.50,M. Thomas WR - NO IR ,10.20,B. McManus K - JAX ,7.00,49ers DEF ,2.00,D. Schultz TE - HOU ,0.00,G. Edwards RB - BAL ,20.40,D. Singletary RB - HOU ,0.00,A. Gibson RB - WAS ,3.10,T. Lawrence QB - JAX ,18.06,J. Palmer WR - LAC Q ,13.30,K. Herbert RB - CHI ,0.00,74.38,Neil,56.52
Alessandro,4,J. Allen QB - BUF ,24.30,D. Foreman RB - CHI IA ,30.00,J. Wilson RB - MIA ,0.40,T. Hill WR - MIA ,14.80,Z. Flowers WR - BAL IA ,7.50,M. Andrews TE - BAL IR ,18.30,R. Rice WR - KC IA ,12.00,T. Bass K - BUF ,5.00,Jaguars DEF ,9.00,C. Samuel WR - WAS ,2.50,T. McLaurin WR - WAS ,9.00,M. Pittman WR - IND ,14.30,D. Pierce RB - HOU ,0.00,J. Mason RB - SF ,0.00,T. Spears RB - TEN ,0.00,-,-,121.30,Daniel,108.06
Daniel,3,J. Hurts QB - PHI Q ,23.26,A. Jones RB - GB ,5.70,T. Etienne RB - JAX ,19.70,C. Kirk WR - JAX IA ,13.00,A. Brown WR - PHI Q ,19.70,D. Njoku TE - CLE ,5.40,J. Reynolds WR - DET ,4.30,H. Butker K - KC ,7.00,Eagles DEF ,10.00,Z. Ertz TE - DET Q ,1.90,J. Conner RB - ARI ,0.00,Z. Moss RB - IND ,6.20,J. Jeudy WR - DEN ,6.40,K. Williams RB - LA IA ,0.00,E. Demercado RB - ARI ,7.50,K. Murray QB - ARI ,0.00,108.06,Alessandro,121.30
Neil,2,K. Cousins QB - MIN IR ,21.02,B. Robinson RB - ATL ,0.30,--empty--,-,D. Moore WR - CHI ,5.40,J. Dotson WR - WAS ,4.30,T. Hockenson TE - MIN IR ,8.60,M. Brown WR - ARI IR ,4.90,J. Elliott K - PHI ,7.00,Patriots DEF ,5.00,D. Prescott QB - DAL ,0.00,A. Lazard WR - NYJ IA ,0.00,R. Penny RB - PHI ,0.00,D. Montgomery RB - DET ,0.00,T. Pollard RB - DAL ,0.00,D. Samuel WR - SF ,0.00,J. Johnson TE - NO ,0.00,56.52,alex,74.38
michael,6,T. Tagovailoa QB - MIA ,10.34,R. Mostert RB - MIA IA ,5.10,I. Pacheco RB - KC ,12.00,G. Davis WR - BUF Q ,0.60,J. Addison WR - MIN ,24.30,K. Pitts TE - ATL ,4.70,K. Allen WR - LAC IA ,5.50,R. Patterson K - CLE ,0.00,Bills DEF ,2.00,R. Wilson QB - DEN View News ,13.86,J. Chase WR - CIN ,0.00,J. Waddle WR - MIA IA ,6.30,J. Williams WR - DET IA ,0.00,J. Mingo WR - CAR IR ,0.00,J. Myers K - SEA ,8.00,-,-,64.54,Jeremy,81.56
Kevin,8,J. Herbert QB - LAC IR ,10.86,C. McCaffrey RB - SF IA ,19.60,D. Swift RB - PHI IA ,7.50,D. London WR - ATL ,5.40,C. Olave WR - NO ,5.70,M. Mayer TE - LV IR ,1.30,J. Downs WR - IND ,18.50,D. Carlson K - LV ,6.00,Lions DEF ,-2.00,M. Sanders RB - CAR ,0.00,T. Higgins WR - CIN IA ,0.00,N. Collins WR - HOU ,0.00,E. Mitchell RB - SF ,-0.10,W. Robinson WR - NYG ,2.20,Z. Charbonnet RB - SEA ,0.00,-,-,72.86,david,89.04
Jeremy,5,S. Howell QB - WAS ,9.46,S. Barkley RB - NYG ,15.80,R. Stevenson RB - NE IR ,8.50,S. Diggs WR - BUF ,11.80,J. Meyers WR - LV ,11.00,D. Waller TE - NYG ,15.80,A. Cooper WR - CLE IA ,2.20,M. Prater K - ARI ,3.00,Saints DEF ,4.00,T. Lockett WR - SEA ,3.80,J. Hill RB - BAL ,4.80,J. Love QB - GB ,15.30,N. Harris RB - PIT ,12.80,R. Doubs WR - GB Q ,9.00,R. Shaheed WR - NO ,3.20,D. Achane RB - MIA ,0.00,81.56,michael,64.54
Peter,11,P. Mahomes QB - KC IA ,35.86,J. Taylor RB - IND ,18.00,J. Williams RB - DEN ,9.60,K. Toney WR - KC IA ,1.30,C. Watson WR - GB IA ,2.70,C. Kmet TE - CHI Q ,0.00,K. Bourne WR - NE IR ,10.30,J. Tucker K - BAL ,8.00,Colts DEF ,5.00,B. Cooks WR - DAL ,0.00,C. Lamb WR - DAL ,0.00,J. Kelley RB - LAC ,13.50,C. Hubbard RB - CAR ,0.00,B. Hall RB - NYJ ,0.00,Jets DEF ,0.00,-,-,90.76,Peter,76.76
Greg,12,L. Jackson QB - BAL IA ,33.88,J. Jacobs RB - LV IA ,4.10,R. White RB - TB ,9.90,B. Aiyuk WR - SF ,5.70,D. Smith WR - PHI IA ,4.90,T. Kelce TE - KC IA ,23.90,G. Pickens WR - PIT ,10.70,J. Moody K - SF ,7.00,Ravens DEF ,14.00,H. Henry TE - NE IR ,2.70,K. Hunt RB - CLE ,15.10,C. Akers RB - MIN IR ,6.10,S. Moore WR - KC IR ,1.50,J. Warren RB - PIT ,9.10,J. McLaughlin RB - DEN Q ,4.60,-,-,114.08,Ryan,89.76
