Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,4,C. Stroud QB - HOU ,30.86,D. Henry RB - TEN ,19.60,B. Robinson RB - WAS ,6.40,D. Adams WR - LV ,7.30,D. Metcalf WR - SEA ,3.20,G. Kittle TE - SF Q ,1.90,D. Hopkins WR - TEN ,4.90,D. Hopkins K - CLE IA ,6.00,Broncos DEF ,16.00,C. Godwin WR - TB ,4.50,R. Freeman RB - LA ,13.70,E. Mitchell RB - SF ,3.60,T. McBride TE - ARI ,6.00,K. Walker RB - SEA ,0.00,J. Smith-Njigba WR - SEA ,4.10,-,-,96.16,alex,77.00
david,3,J. Fields QB - CHI View News ,10.58,J. Mixon RB - CIN ,6.00,J. Cook RB - BUF ,10.00,A. St. Brown WR - DET ,9.50,T. Dell WR - HOU IR ,12.20,H. Henry TE - NE IR ,0.00,A. Thielen WR - CAR ,0.20,C. Santos K - CHI ,14.00,Cowboys DEF ,16.00,C. Sutton WR - DEN Q ,6.10,D. Goedert TE - PHI ,0.00,T. Conklin TE - NYJ ,3.30,K. Gainwell RB - PHI ,3.60,T. Chandler RB - MIN ,1.10,R. Johnson RB - CHI ,7.50,J. Jefferson WR - MIN ,0.00,78.48,Jeremy,88.50
Ryan,11,J. Goff QB - DET ,18.18,A. Kamara RB - NO IA ,11.90,J. Ford RB - CLE ,7.90,G. Wilson WR - NYJ Q ,10.40,P. Nacua WR - LA ,2.70,S. LaPorta TE - DET Q ,12.70,D. Douglas WR - NE ,4.90,B. Aubrey K - DAL ,9.00,Vikings DEF ,11.00,E. Elliott RB - NE ,5.20,C. Kupp WR - LA IA ,1.80,D. Johnson WR - PIT ,5.00,A. Mattison RB - MIN ,6.30,T. Allgeier RB - ATL ,6.40,Buccaneers DEF ,4.00,-,-,88.68,Neil,146.74
alex,2,J. Dobbs QB - MIN ,4.50,A. Ekeler RB - LAC ,4.40,J. Gibbs RB - DET ,7.30,M. Evans WR - TB ,19.00,C. Ridley WR - JAX ,16.90,D. Schultz TE - HOU ,0.20,G. Edwards RB - BAL ,3.70,R. Patterson K - CLE ,0.00,Dolphins DEF ,21.00,O. Beckham WR - BAL IA ,3.40,E. Engram TE - JAX ,4.90,A. Dillon RB - GB IA ,8.10,K. Herbert RB - CHI ,3.80,B. Purdy QB - SF IA ,10.46,49ers DEF ,14.00,J. Palmer WR - LAC Q ,0.00,77.00,Peter,96.16
Alessandro,10,J. Allen QB - BUF ,39.66,T. Spears RB - TEN ,0.70,K. Mitchell RB - BAL IR ,8.90,T. Hill WR - MIA ,16.40,M. Pittman WR - IND ,10.70,D. Kincaid TE - BUF ,3.80,Z. Flowers WR - BAL IA ,18.20,C. Dicker K - LAC ,4.00,Steelers DEF ,10.00,A. Cooper WR - CLE IA ,1.60,G. Everett TE - LAC Q ,10.30,N. Brown WR - HOU IA ,0.00,D. Pierce RB - HOU ,1.80,D. Achane RB - MIA ,0.00,Z. Ertz TE - DET Q ,0.00,-,-,112.36,michael,87.22
Daniel,6,J. Hurts QB - PHI Q ,34.50,J. Conner RB - ARI ,3.20,T. Etienne RB - JAX ,8.60,C. Kirk WR - JAX IA ,8.90,A. Brown WR - PHI Q ,9.70,D. Njoku TE - CLE ,5.90,K. Williams RB - LA IA ,32.40,H. Butker K - KC ,7.00,Eagles DEF ,2.00,A. Jones RB - GB ,0.00,J. Reynolds WR - DET ,7.50,K. Murray QB - ARI ,20.44,Z. Moss RB - IND ,7.00,P. Freiermuth TE - PIT ,12.00,Colts DEF ,11.00,-,-,112.20,Kevin,97.78
Neil,1,D. Prescott QB - DAL ,32.24,D. Montgomery RB - DET ,15.10,T. Pollard RB - DAL ,16.30,D. Moore WR - CHI ,11.40,D. Samuel WR - SF ,15.40,T. Hockenson TE - MIN IR ,11.00,B. Robinson RB - ATL ,24.30,J. Elliott K - PHI ,9.00,Patriots DEF ,12.00,A. Lazard WR - NYJ IA ,0.00,M. Brown WR - ARI IR ,8.80,J. Ferguson TE - DAL ,3.50,J. Dotson WR - WAS ,5.20,T. Bass K - BUF ,9.00,Jaguars DEF ,4.00,K. Cousins QB - MIN IR ,0.00,146.74,Ryan,88.68
michael,8,T. Tagovailoa QB - MIA ,7.82,R. Mostert RB - MIA IA ,21.40,I. Pacheco RB - KC ,20.90,K. Allen WR - LAC IA ,8.60,J. Chase WR - CIN ,8.10,K. Pitts TE - ATL ,2.20,D. Singletary RB - HOU ,7.20,J. Myers K - SEA ,9.00,Bills DEF ,2.00,R. Wilson QB - DEN View News ,16.76,K. Hunt RB - CLE ,2.20,S. Perine RB - DEN ,12.60,G. Davis WR - BUF Q ,16.50,L. Musgrave TE - GB ,0.00,J. Addison WR - MIN ,3.90,-,-,87.22,Alessandro,112.36
Kevin,7,J. Herbert QB - LAC IR ,13.38,C. McCaffrey RB - SF IA ,25.90,Z. Charbonnet RB - SEA ,5.80,N. Collins WR - HOU ,16.40,C. Olave WR - NO ,11.40,L. Thomas TE - WAS ,1.50,D. Swift RB - PHI IA ,8.40,B. McManus K - JAX ,12.00,Browns DEF ,3.00,T. Higgins WR - CIN IA ,0.00,A. Gibson RB - WAS ,3.70,D. London WR - ATL ,9.10,J. Reed WR - GB ,11.00,J. Downs WR - IND ,4.30,R. Rice WR - KC IA ,16.70,-,-,97.78,Daniel,112.20
Jeremy,5,S. Howell QB - WAS ,17.30,S. Barkley RB - NYG ,5.20,R. Stevenson RB - NE IR ,16.70,S. Diggs WR - BUF ,13.40,T. McLaurin WR - WAS ,5.00,I. Likely TE - BAL ,4.00,N. Harris RB - PIT ,15.90,M. Gay K - IND ,9.00,Chiefs DEF ,2.00,T. Lockett WR - SEA ,3.00,J. Meyers WR - LV ,14.10,C. Otton TE - TB ,4.50,R. Shaheed WR - NO ,0.90,Saints DEF ,5.00,M. Andrews TE - BAL IR ,0.00,-,-,88.50,david,78.48
