Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,3,C. Stroud QB - HOU ,19.04,D. Henry RB - TEN ,2.00,K. Walker RB - SEA ,18.70,D. Hopkins WR - TEN ,2.70,D. Metcalf WR - SEA ,9.80,G. Kittle TE - SF Q ,17.60,B. Robinson RB - WAS ,21.70,D. Hopkins K - CLE IA ,13.00,Raiders DEF ,8.00,D. Adams WR - LV ,8.60,D. Watson QB - CLE IR ,16.22,C. Godwin WR - TB ,5.40,R. Freeman RB - LA ,0.00,T. McBride TE - ARI ,13.10,J. Smith-Njigba WR - SEA ,5.30,-,-,112.54,Greg,98.82
david,4,G. Smith QB - SEA ,24.06,J. Mixon RB - CIN ,10.50,J. Cook RB - BUF ,10.00,A. Thielen WR - CAR ,4.20,A. St. Brown WR - DET ,22.50,H. Henry TE - NE IR ,2.10,T. Dell WR - HOU IR ,12.90,Y. Koo K - ATL ,5.00,Cowboys DEF ,8.00,C. Sutton WR - DEN Q ,9.30,D. Goedert TE - PHI ,0.00,J. Fields QB - CHI View News ,0.00,T. Atwell WR - LA ,0.00,K. Gainwell RB - PHI ,0.00,R. Johnson RB - CHI ,3.20,J. Jefferson WR - MIN ,0.00,99.26,alex,125.74
Ryan,11,J. Burrow QB - CIN IR ,19.88,A. Kamara RB - NO IA ,11.50,A. Mattison RB - MIN ,3.30,D. Johnson WR - PIT ,1.70,G. Wilson WR - NYJ Q ,9.30,S. LaPorta TE - DET Q ,4.00,J. Ford RB - CLE ,10.90,B. Aubrey K - DAL ,7.00,Seahawks DEF ,5.00,E. Elliott RB - NE ,8.80,J. Goff QB - DET ,21.12,C. Kupp WR - LA IA ,0.00,D. Henderson RB ,0.00,T. Allgeier RB - ATL ,3.80,P. Nacua WR - LA ,0.00,-,-,72.58,michael,126.62
alex,2,B. Purdy QB - SF IA ,23.84,A. Ekeler RB - LAC ,17.50,G. Edwards RB - BAL ,8.80,M. Evans WR - TB ,20.30,C. Ridley WR - JAX ,2.00,D. Schultz TE - HOU ,7.10,J. Gibbs RB - DET ,23.20,B. Grupe K - NO ,3.00,49ers DEF ,20.00,M. Thomas WR - NO IR ,0.90,E. Engram TE - JAX ,1.20,J. Dobbs QB - MIN ,25.12,A. Dillon RB - GB IA ,8.10,K. Herbert RB - CHI ,0.00,Dolphins DEF ,0.00,J. Palmer WR - LAC Q ,0.00,125.74,david,99.26
Alessandro,10,J. Allen QB - BUF ,14.38,D. Foreman RB - CHI IA ,15.20,K. Mitchell RB - BAL IR ,12.60,T. McLaurin WR - WAS ,3.30,M. Pittman WR - IND ,8.40,M. Andrews TE - BAL IR ,4.40,D. Douglas WR - NE ,8.40,M. Gay K - IND ,6.00,Steelers DEF ,6.00,T. Hill WR - MIA ,0.00,L. Fournette RB - BUF ,0.00,D. Pierce RB - HOU ,0.00,Z. Flowers WR - BAL IA ,7.30,T. Spears RB - TEN ,6.00,R. Rice WR - KC IA ,0.00,-,-,78.68,Neil,131.76
Daniel,6,K. Murray QB - ARI ,17.26,A. Jones RB - GB ,5.40,T. Etienne RB - JAX ,4.40,J. Reynolds WR - DET ,1.50,C. Kirk WR - JAX IA ,8.40,D. Njoku TE - CLE ,5.80,J. Conner RB - ARI ,7.30,B. McManus K - JAX ,3.00,Colts DEF ,16.00,A. Brown WR - PHI Q ,0.00,Z. Moss RB - IND ,0.20,J. Hurts QB - PHI Q ,0.00,E. Demercado RB - ARI ,0.00,H. Butker K - KC ,0.00,Eagles DEF ,0.00,K. Williams RB - LA IA ,0.00,69.06,Jeremy,97.98
Neil,1,D. Prescott QB - DAL ,39.86,D. Montgomery RB - DET ,17.60,B. Robinson RB - ATL ,16.60,D. Moore WR - CHI ,5.90,D. Samuel WR - SF ,11.90,T. Hockenson TE - MIN IR ,19.40,T. Pollard RB - DAL ,5.50,G. Joseph K - MIN ,9.00,Patriots DEF ,6.00,A. Lazard WR - NYJ IA ,1.70,M. Brown WR - ARI IR ,2.80,J. Johnson TE - NO ,0.20,J. Ferguson TE - DAL ,8.60,J. Dotson WR - WAS ,0.00,J. Elliott K - PHI ,0.00,K. Cousins QB - MIN IR ,0.00,131.76,Alessandro,78.68
michael,8,R. Wilson QB - DEN View News ,18.72,S. Perine RB - DEN ,4.30,D. Singletary RB - HOU ,22.10,K. Allen WR - LAC IA ,29.50,J. Chase WR - CIN ,18.40,K. Pitts TE - ATL ,3.00,G. Davis WR - BUF Q ,7.60,J. Myers K - SEA ,17.00,Bills DEF ,6.00,R. Mostert RB - MIA IA ,0.00,T. Tagovailoa QB - MIA ,0.00,J. Waddle WR - MIA IA ,0.00,J. Williams WR - DET IA ,1.80,I. Pacheco RB - KC ,0.00,J. Addison WR - MIN ,6.90,-,-,126.62,Ryan,72.58
Kevin,7,J. Herbert QB - LAC IR ,28.42,C. McCaffrey RB - SF IA ,14.20,A. Gibson RB - WAS ,11.50,N. Brown WR - HOU IA ,17.20,C. Olave WR - NO ,15.40,L. Thomas TE - WAS ,4.00,D. London WR - ATL ,3.60,E. McPherson K - CIN ,11.00,Browns DEF ,13.00,T. Higgins WR - CIN IA ,0.00,D. Swift RB - PHI IA ,0.00,N. Collins WR - HOU ,0.00,E. Mitchell RB - SF ,2.30,J. Downs WR - IND ,4.00,Z. Charbonnet RB - SEA ,6.20,-,-,118.32,Peter,106.72
Jeremy,5,S. Howell QB - WAS ,24.18,S. Barkley RB - NYG ,6.10,R. Stevenson RB - NE IR ,10.20,A. Cooper WR - CLE IA ,9.80,S. Diggs WR - BUF ,3.40,D. Kincaid TE - BUF ,11.10,T. Lockett WR - SEA ,15.20,M. Prater K - ARI ,17.00,Saints DEF ,1.00,D. Waller TE - NYG ,0.00,J. Hill RB - BAL ,0.70,J. Meyers WR - LV ,2.10,N. Harris RB - PIT ,15.60,R. Doubs WR - GB Q ,9.10,R. Shaheed WR - NO ,2.40,D. Achane RB - MIA ,0.00,97.98,Daniel,69.06
