Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,8,B. Mayfield QB - CLE IR ,9.30,E. Elliott RB - DAL Q ,20.30,C. Edwards-Helaire RB - KC ,17.40,A. Thielen WR - MIN IR ,4.60,O. Beckham WR - LA O ,3.10,D. Waller TE - LV ,11.00,T. Lockett WR - SEA ,2.40,C. McLaughlin K - CLE ,8.00,Broncos DEF ,3.00,R. Tannehill QB - TEN ,18.82,C. Beasley WR - BUF ,1.60,K. Drake RB - LV Q ,0.20,J. Conner RB - ARI ,18.60,B. Edwards WR - LV ,0.40,T. Lance QB - SF ,20.38,-,-,79.10,Alessandro,82.52
david,9,R. Wilson QB - DEN ,22.56,S. Barkley RB - NYG ,24.60,Z. Moss RB - BUF ,12.10,A. Robinson WR - LA ,6.30,A. Cooper WR - CLE ,12.90,N. Fant TE - SEA ,10.60,J. Taylor RB - IND ,17.40,T. Bass K - BUF ,16.00,Football Team DEF ,6.00,D. Freeman RB - BAL Q ,0.40,S. Shepard WR - NYG IR ,0.00,T. Boyd WR - CIN ,11.80,R. Anderson WR - CAR ,4.90,J. Smith-Schuster WR - KC ,1.10,P. Lindsay RB - MIA ,-0.10,Z. Ertz TE - ARI ,6.00,128.46,michael,94.54
Ryan,3,M. Stafford QB - LA ,19.30,N. Chubb RB - CLE ,10.50,D. Swift RB - DET ,4.90,D. Adams WR - LV ,6.40,D. Metcalf WR - SEA ,12.50,M. Andrews TE - BAL ,6.70,C. Carson RB - SEA IR ,3.10,M. Gay K - LA ,8.00,Titans DEF ,3.00,K. Golladay WR - NYG ,11.60,S. Michel RB - LA ,-0.90,D. Mooney WR - CHI ,13.50,T. Jones RB - NO ,0.50,R. Bateman WR - BAL ,0.00,J. Fields QB - CHI ,7.26,J. Wilson RB - SF Q ,0.00,74.40,Neil,61.96
alex,6,K. Murray QB - ARI ,22.62,A. Kamara RB - NO ,12.00,C. Edmonds RB - MIA ,13.90,D. Hopkins WR - ARI IR ,6.70,M. Brown WR - ARI ,15.10,L. Thomas TE - WAS IR ,0.00,D. Singletary RB - BUF ,8.60,G. Zuerlein K - NYJ ,6.00,Ravens DEF ,11.00,R. Gronkowski TE - TB ,0.00,M. Ingram RB - NO Q ,2.40,L. Bell RB ,1.10,W. Fuller WR - MIA IR ,0.60,Z. Pascal WR - PHI ,4.40,Cardinals DEF ,5.00,J. Jeudy WR - DEN ,0.00,95.92,Daniel,101.32
Alessandro,7,J. Allen QB - BUF ,20.02,D. Cook RB - MIN ,4.40,J. Williams RB - DEN ,5.90,C. Kupp WR - LA ,6.40,J. Jefferson WR - MIN ,14.40,T. Hockenson TE - DET IR ,4.20,D. Smith WR - PHI ,12.20,G. Gano K - NYG ,6.00,Buccaneers DEF ,9.00,K. Cousins QB - MIN ,10.12,L. Murray RB - BAL ,11.90,A. Brown WR - PHI ,0.00,Q. Cephus WR - DET IR ,8.30,M. Carter RB - NYJ ,9.40,K. Gainwell RB - PHI ,14.90,J. Landry WR - CLE ,0.00,82.52,Peter,79.10
Daniel,1,A. Rodgers QB - GB ,24.12,A. Ekeler RB - LAC ,26.50,M. Gaskin RB - MIA ,0.30,D. Moore WR - CAR ,23.90,C. Ridley WR - ATL NFI-R ,8.00,R. Tonyan TE - GB IR ,0.80,M. Gordon RB - DEN ,6.70,Y. Koo K - ATL ,6.00,Steelers DEF ,5.00,J. Cook TE - LAC ,13.00,E. Sanders WR - BUF ,8.10,J. Jones WR - TEN ,0.00,J. Gordon WR - KC ,0.00,C. Samuel WR - WAS Q ,1.90,A. Mattison RB - MIN ,2.00,T. Tagovailoa QB - MIA ,0.00,101.32,alex,95.92
Neil,11,T. Brady QB - TB ,11.06,J. Williams RB - DET ,6.60,M. Sanders RB - PHI ,4.70,S. Diggs WR - BUF ,11.40,C. Lamb WR - DAL ,1.30,K. Pitts TE - ATL ,5.00,A. Jones RB - GB ,7.90,H. Butker K - KC ,6.00,Colts DEF ,8.00,N. Agholor WR - NE ,5.90,J. Burrow QB - CIN ,22.32,T. Higgins WR - CIN ,0.00,A. Dillon RB - GB Q ,9.70,J. Waddle WR - MIA ,3.30,Patriots DEF ,2.00,-,-,61.96,Ryan,74.40
michael,2,L. Jackson QB - BAL Q ,19.44,D. Henry RB - TEN ,23.70,D. Montgomery RB - CHI ,22.60,K. Allen WR - LAC ,3.60,M. Williams WR - LAC ,1.10,M. Gesicki TE - MIA ,11.70,M. Jones WR - JAX ,2.40,J. Tucker K - BAL ,11.00,Rams DEF ,-1.00,R. Woods WR - TEN IR ,10.80,J. White RB - NE IR ,0.00,D. Parker WR - NE ,13.70,L. Fournette RB - TB ,13.90,T. Lawrence QB - JAX ,17.76,G. Everett TE - LAC ,0.00,-,-,94.54,david,128.46
Kevin,10,J. Herbert QB - LAC ,21.28,K. Hunt RB - CLE Q ,14.60,J. Robinson RB - JAX IR ,19.60,A. Brown WR Q ,6.30,J. Chase WR - CIN ,7.70,T. Higbee TE - LA IR ,3.60,A. Gibson RB - WAS ,13.50,B. McManus K - DEN ,1.00,Bills DEF ,23.00,J. McKissic RB - WAS IR ,11.90,J. Meyers WR - NE ,8.80,D. Henderson RB - LA ,11.60,H. Renfrow WR - LV ,10.50,B. Aiyuk WR - SF ,1.50,M. Callaway WR - NO ,7.40,M. Gallup WR - DAL Q ,0.00,110.58,Greg,141.62
Jeremy,4,J. Hurts QB - PHI Q ,28.18,D. Harris RB - NE ,2.60,N. Harris RB - PIT ,15.10,C. Godwin WR - TB IR ,5.50,D. Samuel WR - SF ,27.70,T. Kelce TE - KC ,2.30,C. Sutton WR - DEN ,4.70,R. Succop K - TB ,12.00,Saints DEF ,2.00,P. Barber RB - LV ,0.00,N. Hines RB - IND ,-0.90,J. Jacobs RB - LV ,5.70,M. Pittman WR - IND ,5.90,C. Claypool WR - PIT ,0.00,R. Moore WR - ARI ,3.70,-,-,100.08,Peter,86.72
Peter,12,D. Prescott QB - DAL ,27.02,T. Williams RB - BAL ,0.00,C. Hubbard RB - CAR ,7.10,B. Cooks WR - HOU Q ,4.70,T. McLaurin WR - WAS ,24.30,G. Kittle TE - SF ,4.00,M. Davis RB - ATL Q ,8.60,M. Prater K - ARI ,15.00,Panthers DEF ,-4.00,D. Carr QB - LV ,14.44,C. Davis WR - NYJ IR ,17.10,C. McCaffrey RB - CAR IR ,0.00,T. Pollard RB - DAL ,6.70,E. Mitchell RB - SF ,0.00,M. Thomas WR - NO PUP ,0.00,-,-,86.72,Jeremy,100.08
Greg,5,P. Mahomes QB - KC ,31.72,C. Patterson RB - ATL ,29.60,J. Mixon RB - CIN ,12.70,M. Evans WR - TB ,7.50,T. Hill WR - MIA ,36.60,D. Goedert TE - PHI ,11.60,T. Sermon RB - SF ,8.90,D. Carlson K - LV ,2.00,Bengals DEF ,1.00,M. Ryan QB - IND ,29.02,T. Patrick WR - DEN ,3.90,R. Jones RB - KC Q ,8.50,C. Kirk WR - JAX ,0.50,D. Johnson WR - PIT ,15.20,H. Ruggs WR ,6.00,-,-,141.62,Kevin,110.58
