Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,11,D. Carr QB - LV ,12.36,E. Elliott RB - DAL Q ,4.70,C. Edwards-Helaire RB - KC ,8.20,A. Thielen WR - MIN IR ,0.00,T. Lockett WR - SEA ,12.80,T. Higbee TE - LA IR ,4.80,J. Conner RB - ARI ,17.10,M. Gay K - LA ,13.00,Chiefs DEF ,17.00,R. Tannehill QB - TEN ,0.00,J. Garoppolo QB - SF Q ,15.96,D. Waller TE - LV ,0.00,T. Coleman RB - NYJ ,7.70,K. Golladay WR - NYG ,3.70,V. Jefferson WR - LA ,10.10,-,-,89.96,Ryan,91.80
david,5,R. Wilson QB - DEN ,16.74,J. Jacobs RB - LV ,15.00,J. Taylor RB - IND ,24.30,A. Cooper WR - CLE ,4.10,C. Godwin WR - TB IR ,15.20,N. Fant TE - SEA ,3.30,D. Freeman RB - BAL Q ,15.70,T. Bass K - BUF ,3.00,Cowboys DEF ,17.00,J. Cook TE - LAC ,2.90,C. Beasley WR - BUF ,1.10,J. Crowder WR - BUF Q ,6.20,S. Shepard WR - NYG IR ,0.00,T. Boyd WR - CIN ,8.50,Z. Moss RB - BUF ,3.30,-,-,114.34,alex,87.82
Ryan,2,M. Stafford QB - LA ,24.00,M. Ingram RB - NO Q ,2.60,S. Michel RB - LA ,18.90,D. Metcalf WR - SEA ,6.00,B. Aiyuk WR - SF ,5.50,M. Andrews TE - BAL ,5.00,M. Breida RB - NYG ,0.80,G. Zuerlein K - NYJ ,11.00,Colts DEF ,18.00,D. Adams WR - LV ,0.00,N. Chubb RB - CLE ,0.00,D. Hilliard RB - TEN ,0.00,D. Swift RB - DET ,0.00,Panthers DEF ,0.00,Broncos DEF ,4.00,-,-,91.80,Peter,89.96
alex,10,K. Murray QB - ARI ,30.82,R. Burkhead RB - HOU ,4.50,D. Singletary RB - BUF ,3.60,D. Hopkins WR - ARI IR ,9.20,M. Brown WR - ARI ,5.50,R. Gronkowski TE - TB ,17.80,A. Green WR - ARI ,1.40,E. McPherson K - CIN ,4.00,Cardinals DEF ,11.00,C. Newton QB - CAR ,0.00,Z. Ertz TE - ARI ,1.00,J. Landry WR - CLE ,0.00,A. Kamara RB - NO ,0.00,K. Bourne WR - NE ,0.30,Ravens DEF ,2.00,C. Edmonds RB - MIA ,0.00,87.82,david,114.34
Alessandro,1,J. Allen QB - BUF ,11.70,B. Scott RB - PHI ,0.00,J. Williams RB - DEN ,23.80,C. Kupp WR - LA ,18.90,J. Jefferson WR - MIN ,24.60,T. Hockenson TE - DET IR ,10.90,D. Smith WR - PHI ,1.50,G. Joseph K - MIN ,9.00,Buccaneers DEF ,11.00,D. Booker RB - NYG ,5.40,D. Cook RB - MIN ,0.00,D. Foreman RB - CAR ,0.00,T. Johnson RB - NYJ ,1.50,M. Carter RB - NYJ ,0.00,E. Moore WR - NYJ COV ,14.60,A. Brown WR - PHI ,0.00,111.40,Greg,105.66
Daniel,6,K. Cousins QB - MIN ,20.20,A. Ekeler RB - LAC ,12.40,M. Gaskin RB - MIA ,4.90,E. Sanders WR - BUF ,2.20,R. Gage WR - TB ,11.00,D. Knox TE - BUF ,1.40,A. Mattison RB - MIN ,18.40,Y. Koo K - ATL ,5.00,Steelers DEF ,10.00,A. Rodgers QB - GB ,0.00,M. Gordon RB - DEN ,0.00,C. Uzomah TE - NYJ ,2.00,D. Moore WR - CAR ,0.00,C. Ridley WR - ATL NFI-R ,0.00,Falcons DEF ,7.00,J. Jones WR - TEN ,0.00,85.50,Peter,92.72
Neil,7,T. Brady QB - TB ,28.62,J. Williams RB - DET ,8.00,M. Sanders RB - PHI ,14.20,C. Lamb WR - DAL ,12.20,J. Waddle WR - MIA ,9.00,K. Pitts TE - ATL ,4.80,S. Diggs WR - BUF ,5.10,H. Butker K - KC ,12.00,Patriots DEF ,8.00,H. Henry TE - NE ,0.00,A. Jones RB - GB ,0.00,T. Higgins WR - CIN ,19.80,A. Dillon RB - GB Q ,0.00,R. Stevenson RB - NE ,7.80,R. Gould K - SF ,7.00,-,-,101.92,Jeremy,78.14
michael,3,L. Jackson QB - BAL Q ,17.62,L. Fournette RB - TB ,15.20,D. Montgomery RB - CHI ,20.10,K. Allen WR - LAC ,17.40,D. Mooney WR - CHI ,2.70,M. Gesicki TE - MIA ,4.60,M. Williams WR - LAC ,11.00,N. Folk K - NE ,6.00,Rams DEF ,10.00,M. Jones WR - JAX ,1.10,R. Woods WR - TEN IR ,0.00,L. Murray RB - BAL ,3.50,O. Beckham WR - LA O ,8.80,B. Mayfield QB - CLE IR ,0.00,Titans DEF ,0.00,D. Henry RB - TEN ,0.00,104.62,Kevin,84.68
Kevin,9,J. Herbert QB - LAC ,25.28,J. Robinson RB - JAX IR ,1.50,A. Gibson RB - WAS ,17.10,H. Renfrow WR - LV ,10.20,J. Chase WR - CIN ,5.20,P. Freiermuth TE - PIT ,4.60,L. Thomas TE - WAS IR ,10.80,J. Tucker K - BAL ,7.00,Bills DEF ,3.00,C. Hyde RB - JAX IR ,6.30,J. McKissic RB - WAS IR ,0.00,K. Hunt RB - CLE Q ,0.00,M. Gallup WR - DAL Q ,9.60,D. Henderson RB - LA ,0.00,N. Westbrook-Ikhine WR - TEN ,0.00,A. Brown WR Q ,0.00,84.68,michael,104.62
Jeremy,8,T. Heinicke QB - WAS ,14.84,S. Barkley RB - NYG ,7.40,N. Harris RB - PIT ,10.70,M. Pittman WR - IND ,11.00,C. Claypool WR - PIT ,5.40,T. Kelce TE - KC ,2.70,D. Harris RB - NE ,17.10,R. Succop K - TB ,6.00,Saints DEF ,3.00,A. Robinson WR - LA ,0.00,K. Drake RB - LV Q ,0.80,C. Sutton WR - DEN ,1.50,D. Samuel WR - SF ,0.00,J. Hurts QB - PHI Q ,0.00,R. Moore WR - ARI ,1.00,-,-,78.14,Neil,101.92
Peter,12,D. Prescott QB - DAL ,11.22,T. Pollard RB - DAL ,13.40,E. Mitchell RB - SF ,14.40,B. Cooks WR - HOU Q ,5.40,T. McLaurin WR - WAS ,2.20,G. Kittle TE - SF ,30.60,C. Davis WR - NYJ IR ,1.50,M. Prater K - ARI ,9.00,Eagles DEF ,5.00,D. Schultz TE - DAL ,4.30,D. Harris WR - NO ,15.90,C. Hubbard RB - CAR ,0.00,K. Toney WR - NYG Q ,0.00,Dolphins DEF ,9.00,C. McCaffrey RB - CAR IR ,0.00,-,-,92.72,Daniel,85.50
Greg,4,P. Mahomes QB - KC ,12.56,C. Patterson RB - ATL ,9.60,J. Mixon RB - CIN ,9.40,T. Hill WR - MIA ,2.20,D. Johnson WR - PIT ,22.50,D. Goedert TE - PHI ,22.50,M. Evans WR - TB ,9.90,D. Carlson K - LV ,11.00,Vikings DEF ,6.00,T. Patrick WR - DEN ,0.90,C. Kirk WR - JAX ,0.40,F. Moreau TE - LV ,3.40,J. Burrow QB - CIN ,16.60,K. Gainwell RB - PHI ,14.70,Packers DEF ,0.00,-,-,105.66,Alessandro,111.40
