Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,10,D. Jones QB - NYG IR ,4.82,J. Conner RB - ARI ,9.70,C. Edwards-Helaire RB - KC ,2.40,A. Thielen WR - MIN IR ,4.00,T. Lockett WR - SEA ,5.70,D. Waller TE - LV ,4.50,E. Elliott RB - DAL Q ,23.20,N. Folk K - NE ,17.00,Broncos DEF ,3.00,R. Tannehill QB - TEN ,13.98,C. Beasley WR - BUF ,0.50,O. Beckham WR - LA O ,2.00,J. Crowder WR - BUF Q ,4.40,K. Drake RB - LV Q ,1.10,T. Lance QB - SF ,14.58,-,-,74.32,Daniel,126.16
david,11,R. Wilson QB - DEN ,9.08,S. Barkley RB - NYG ,0.90,J. Taylor RB - IND ,28.90,A. Robinson WR - LA ,3.20,A. Cooper WR - CLE ,12.00,N. Fant TE - SEA ,2.00,Z. Moss RB - BUF ,9.20,T. Bass K - BUF ,8.00,Cowboys DEF ,11.00,K. Cousins QB - MIN ,13.40,D. Freeman RB - BAL Q ,3.50,S. Shepard WR - NYG IR ,0.00,T. Boyd WR - CIN ,2.40,R. Anderson WR - CAR ,3.00,J. Smith-Schuster WR - KC ,0.60,-,-,84.28,Jeremy,114.12
Ryan,3,M. Stafford QB - LA ,16.50,A. Collins RB - SEA IR ,7.20,D. Swift RB - DET ,16.40,D. Adams WR - LV ,28.60,D. Metcalf WR - SEA ,21.80,M. Andrews TE - BAL ,30.70,N. Chubb RB - CLE ,23.00,M. Gay K - LA ,8.00,Vikings DEF ,9.00,K. Golladay WR - NYG ,0.00,C. Carson RB - SEA IR ,0.00,S. Michel RB - LA ,10.50,S. Darnold QB - CAR ,6.08,D. Mooney WR - CHI ,3.50,R. Bateman WR - BAL ,0.00,J. Wilson RB - SF Q ,0.00,161.20,Kevin,177.02
alex,7,K. Murray QB - ARI ,13.66,A. Kamara RB - NO ,24.20,C. Edmonds RB - MIA ,1.40,D. Hopkins WR - ARI IR ,14.70,M. Brown WR - ARI ,24.50,A. Hooper TE - TEN ,2.00,D. Singletary RB - BUF ,2.30,G. Zuerlein K - NYJ ,14.00,Ravens DEF ,4.00,R. Gronkowski TE - TB ,0.00,A. Green WR - ARI ,1.30,M. Ingram RB - NO Q ,4.10,L. Thomas TE - WAS IR ,0.00,W. Fuller WR - MIA IR ,0.00,Cardinals DEF ,8.00,J. Jeudy WR - DEN ,0.00,100.76,michael,144.68
Alessandro,8,J. Allen QB - BUF ,36.50,D. Cook RB - MIN ,0.00,M. Carter RB - NYJ ,11.80,C. Kupp WR - LA ,9.20,J. Jefferson WR - MIN ,12.40,T. Hockenson TE - DET IR ,2.20,A. Brown WR - PHI ,3.80,G. Joseph K - MIN ,17.00,Buccaneers DEF ,8.00,L. Murray RB - BAL ,3.00,S. Perine RB - CIN ,14.30,Q. Cephus WR - DET IR ,3.80,J. Williams RB - DEN ,8.60,K. Gainwell RB - PHI ,2.40,D. Smith WR - PHI ,7.70,J. Landry WR - CLE ,0.00,100.90,Neil,115.54
Daniel,1,A. Rodgers QB - GB ,19.76,M. Gordon RB - DEN ,4.30,A. Ekeler RB - LAC ,27.90,E. Sanders WR - BUF ,17.40,D. Moore WR - CAR ,3.80,D. Knox TE - BUF ,17.70,A. Mattison RB - MIN ,19.30,Y. Koo K - ATL ,11.00,Steelers DEF ,5.00,J. Jones WR - TEN ,0.00,J. Gordon WR - KC ,1.10,C. Samuel WR - WAS Q ,0.80,R. Tonyan TE - GB IR ,0.80,C. Ridley WR - ATL NFI-R ,0.00,M. Gaskin RB - MIA ,21.90,-,-,126.16,Peter,74.32
Neil,9,T. Brady QB - TB ,39.74,A. Jones RB - GB ,10.90,M. Sanders RB - PHI ,5.10,T. Higgins WR - CIN ,5.20,C. Lamb WR - DAL ,14.80,K. Pitts TE - ATL ,17.90,S. Diggs WR - BUF ,6.90,H. Butker K - KC ,10.00,Patriots DEF ,5.00,N. Agholor WR - NE ,3.20,J. Williams RB - DET ,6.50,J. Burrow QB - CIN ,18.34,A. Dillon RB - GB Q ,13.90,J. Waddle WR - MIA ,3.30,Colts DEF ,3.00,-,-,115.54,Alessandro,100.90
michael,2,L. Jackson QB - BAL Q ,43.88,D. Henry RB - TEN ,31.00,L. Fournette RB - TB ,17.00,K. Allen WR - LAC ,7.50,M. Williams WR - LAC ,28.50,M. Gesicki TE - MIA ,4.30,M. Jones WR - JAX ,2.50,J. Tucker K - BAL ,3.00,Rams DEF ,7.00,R. Woods WR - TEN IR ,15.00,J. White RB - NE IR ,0.00,D. Parker WR - NE ,0.00,G. Everett TE - LAC ,0.00,D. Montgomery RB - CHI ,0.00,T. Lawrence QB - JAX ,21.72,-,-,144.68,alex,100.76
Kevin,6,J. Herbert QB - LAC ,42.82,D. Henderson RB - LA ,15.90,J. Robinson RB - JAX IR ,20.70,A. Brown WR Q ,24.40,J. Chase WR - CIN ,21.90,T. Higbee TE - LA IR ,7.40,K. Hunt RB - CLE Q ,20.90,R. Blankenship K - IND IR ,6.00,Bills DEF ,17.00,J. McKissic RB - WAS IR ,0.70,J. Meyers WR - NE ,5.60,H. Renfrow WR - LV ,5.60,L. Shenault WR - JAX ,5.80,B. Aiyuk WR - SF ,3.20,A. Gibson RB - WAS ,19.20,M. Gallup WR - DAL Q ,0.00,177.02,Ryan,161.20
Jeremy,4,J. Hurts QB - PHI Q ,22.92,D. Harris RB - NE ,9.80,N. Harris RB - PIT ,20.20,C. Godwin WR - TB IR ,7.00,D. Samuel WR - SF ,13.10,T. Kelce TE - KC ,11.70,D. Williams RB - ATL ,14.40,R. Succop K - TB ,9.00,Saints DEF ,6.00,N. Hines RB - IND ,1.80,C. Sutton WR - DEN ,18.00,J. Jacobs RB - LV ,12.70,M. Pittman WR - IND ,14.90,C. Claypool WR - PIT ,19.00,R. Moore WR - ARI ,9.70,-,-,114.12,david,84.28
Peter,12,D. Prescott QB - DAL ,20.68,M. Davis RB - ATL Q ,10.10,C. Hubbard RB - CAR ,13.40,B. Cooks WR - HOU Q ,2.30,T. McLaurin WR - WAS ,4.60,D. Schultz TE - DAL ,7.90,C. Davis WR - NYJ IR ,4.50,M. Prater K - ARI ,5.00,Chargers DEF ,-3.00,D. Carr QB - LV ,7.24,C. McCaffrey RB - CAR IR ,0.00,G. Kittle TE - SF ,0.00,T. Pollard RB - DAL ,10.30,T. Williams RB - BAL ,2.10,E. Mitchell RB - SF ,6.20,M. Thomas WR - NO PUP ,0.00,65.48,Greg,92.98
Greg,5,P. Mahomes QB - KC ,18.98,C. Patterson RB - ATL ,11.40,J. Mixon RB - CIN ,9.50,M. Evans WR - TB ,23.30,D. Johnson WR - PIT ,13.20,D. Goedert TE - PHI ,2.80,T. Hill WR - MIA ,7.80,D. Carlson K - LV ,3.00,Raiders DEF ,3.00,M. Ryan QB - IND ,21.58,T. Patrick WR - DEN ,8.90,R. Jones RB - KC Q ,3.60,C. Kirk WR - JAX ,5.00,H. Ruggs WR ,5.10,T. Sermon RB - SF ,0.70,-,-,92.98,Peter,65.48
