Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,11,T. Heinicke QB - WAS ,9.28,E. Elliott RB - DAL Q ,11.90,J. Conner RB - ARI ,7.10,A. Thielen WR - MIN IR ,18.80,T. Lockett WR - SEA ,3.50,D. Waller TE - LV ,5.90,D. Williams RB - KC ,20.90,N. Folk K - NE ,3.00,Broncos DEF ,1.00,T. Hilton WR - IND ,8.00,R. Tannehill QB - TEN ,12.94,J. McKinnon RB - KC ,1.50,J. Crowder WR - BUF Q ,0.00,M. Callaway WR - NO ,0.00,T. Lance QB - SF ,0.00,C. Edwards-Helaire RB - KC ,0.00,81.38,Neil,114.78
david,9,K. Cousins QB - MIN ,28.52,Z. Moss RB - BUF ,3.90,J. Taylor RB - IND ,27.80,A. Cooper WR - CLE ,5.50,L. Shenault WR - JAX ,5.40,N. Fant TE - SEA ,15.70,A. Robinson WR - LA ,5.30,T. Bass K - BUF ,13.00,Cowboys DEF ,11.00,R. Wilson QB - DEN ,0.00,D. Freeman RB - BAL Q ,11.30,S. Shepard WR - NYG IR ,7.60,T. Boyd WR - CIN ,0.70,R. Anderson WR - CAR ,7.10,S. Barkley RB - NYG ,0.00,-,-,116.12,Greg,98.08
Ryan,3,M. Stafford QB - LA ,25.24,A. Collins RB - SEA IR ,15.80,D. Swift RB - DET ,12.70,D. Adams WR - LV ,8.90,D. Metcalf WR - SEA ,5.80,M. Andrews TE - BAL ,12.80,D. Mooney WR - CHI ,10.50,M. Gay K - LA ,8.00,Vikings DEF ,9.00,K. Golladay WR - NYG ,0.00,S. Michel RB - LA ,4.20,N. Chubb RB - CLE ,0.00,S. Darnold QB - CAR ,15.08,D. Johnson RB - CLE ,0.90,R. Bateman WR - BAL ,2.90,C. Carson RB - SEA IR ,0.00,108.74,Peter,91.80
alex,5,K. Murray QB - ARI ,25.76,C. Edmonds RB - MIA ,5.00,D. Singletary RB - BUF ,4.30,D. Hopkins WR - ARI IR ,17.50,M. Brown WR - ARI ,3.50,Z. Ertz TE - ARI ,8.90,A. Green WR - ARI ,13.90,G. Zuerlein K - NYJ ,11.00,Cardinals DEF ,12.00,R. Gronkowski TE - TB ,0.00,M. Ingram RB - NO Q ,8.10,L. Thomas TE - WAS IR ,0.00,W. Fuller WR - MIA IR ,0.00,A. Kamara RB - NO ,0.00,Ravens DEF ,11.00,J. Jeudy WR - DEN ,0.00,101.86,Jeremy,99.20
Alessandro,7,J. Allen QB - BUF ,28.72,D. Cook RB - MIN ,20.30,K. Herbert RB - CHI ,17.20,C. Kupp WR - LA ,25.00,J. Jefferson WR - MIN ,6.00,T. Hockenson TE - DET IR ,7.40,D. Smith WR - PHI ,3.10,C. McLaughlin K - CLE ,2.00,Buccaneers DEF ,4.00,L. Murray RB - BAL ,11.60,D. Booker RB - NYG ,6.90,A. Brown WR - PHI ,9.10,J. Williams RB - DEN ,6.80,M. Carter RB - NYJ ,0.00,K. Gainwell RB - PHI ,0.10,J. Landry WR - CLE ,0.00,113.72,Kevin,97.20
Daniel,2,A. Rodgers QB - GB ,23.70,M. Gordon RB - DEN ,7.30,A. Ekeler RB - LAC ,5.50,E. Sanders WR - BUF ,9.10,D. Moore WR - CAR ,5.90,D. Knox TE - BUF ,4.50,M. Gaskin RB - MIA ,1.40,G. Gano K - NYG ,3.00,Steelers DEF ,8.00,J. Jones WR - TEN ,5.90,R. Tonyan TE - GB IR ,1.00,C. Ridley WR - ATL NFI-R ,0.00,D. Jones QB - NYG IR ,4.08,A. Mattison RB - MIN ,1.00,Y. Koo K - ATL ,0.00,-,-,68.40,michael,137.38
Neil,8,T. Brady QB - TB ,17.98,A. Jones RB - GB ,17.00,J. Williams RB - DET ,0.90,T. Higgins WR - CIN ,4.40,C. Lamb WR - DAL ,27.10,H. Henry TE - NE ,8.50,S. Diggs WR - BUF ,14.90,H. Butker K - KC ,9.00,Colts DEF ,15.00,M. Sanders RB - PHI ,6.60,J. Burrow QB - CIN ,22.84,A. Dillon RB - GB Q ,5.90,K. Pitts TE - ATL ,0.00,J. Waddle WR - MIA ,19.00,Patriots DEF ,3.00,-,-,114.78,Peter,81.38
michael,1,L. Jackson QB - BAL Q ,11.78,D. Henry RB - TEN ,33.60,L. Fournette RB - TB ,24.70,R. Woods WR - TEN IR ,9.10,M. Williams WR - LAC ,2.70,M. Gesicki TE - MIA ,11.50,M. Jones WR - JAX ,16.00,J. Tucker K - BAL ,12.00,Rams DEF ,16.00,K. Allen WR - LAC ,5.00,O. Beckham WR - LA O ,7.90,D. Parker WR - NE ,0.00,G. Everett TE - LAC ,4.00,D. Montgomery RB - CHI ,0.00,T. Lawrence QB - JAX ,15.86,J. White RB - NE IR ,0.00,137.38,Daniel,68.40
Kevin,10,J. Herbert QB - LAC ,11.00,D. Henderson RB - LA ,22.70,J. Robinson RB - JAX IR ,16.10,A. Brown WR Q ,15.30,J. Chase WR - CIN ,9.70,T. Higbee TE - LA IR ,3.60,K. Hunt RB - CLE Q ,7.80,E. McPherson K - CIN ,10.00,Bills DEF ,1.00,J. Winston QB - NO IR ,0.00,J. McKissic RB - WAS IR ,11.00,J. Meyers WR - NE ,6.40,H. Renfrow WR - LV ,3.60,B. Aiyuk WR - SF ,0.00,A. Gibson RB - WAS ,2.40,M. Gallup WR - DAL Q ,0.00,97.20,Alessandro,113.72
Jeremy,4,J. Hurts QB - PHI Q ,25.00,J. Jacobs RB - LV ,14.20,N. Harris RB - PIT ,18.70,C. Godwin WR - TB IR ,4.30,C. Claypool WR - PIT ,1.70,T. Kelce TE - KC ,9.90,C. Sutton WR - DEN ,15.40,B. McManus K - DEN ,6.00,Dolphins DEF ,4.00,D. Williams RB - ATL ,0.00,D. Harris RB - NE ,16.80,D. Samuel WR - SF ,0.00,M. Pittman WR - IND ,3.80,R. Moore WR - ARI ,2.60,Saints DEF ,0.00,-,-,99.20,alex,101.86
