Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,10,J. Garoppolo QB - SF Q ,13.80,E. Elliott RB - DAL Q ,13.20,C. Edwards-Helaire RB - KC ,7.00,V. Jefferson WR - LA ,3.30,A. St. Brown WR - DET ,15.50,T. Conklin TE - NYJ ,0.70,J. Conner RB - ARI ,7.00,M. Gay K - LA ,10.00,49ers DEF ,9.00,R. Tannehill QB - TEN ,9.92,A. Thielen WR - MIN IR ,0.00,D. Waller TE - LV ,0.00,T. Coleman RB - NYJ ,5.00,D. Johnson RB - CLE ,1.50,J. Jeudy WR - DEN ,0.00,T. Lockett WR - SEA ,0.00,79.50,alex,51.38
david,7,R. Wilson QB - DEN ,4.24,J. Jacobs RB - LV ,9.40,J. Taylor RB - IND ,23.00,A. Cooper WR - CLE ,0.80,C. Godwin WR - TB IR ,4.90,N. Fant TE - SEA ,5.70,D. Freeman RB - BAL Q ,2.40,T. Bass K - BUF ,7.00,Cowboys DEF ,16.00,J. Cook TE - LAC ,3.20,C. Beasley WR - BUF ,3.50,J. Crowder WR - BUF Q ,4.00,S. Shepard WR - NYG IR ,1.50,T. Boyd WR - CIN ,15.60,Z. Moss RB - BUF ,0.00,-,-,73.44,-,-
Ryan,3,M. Stafford QB - LA ,15.46,S. Michel RB - LA ,11.50,N. Chubb RB - CLE ,15.30,D. Adams WR - LV ,10.40,B. Aiyuk WR - SF ,3.60,M. Andrews TE - BAL ,25.60,D. Metcalf WR - SEA ,5.20,G. Zuerlein K - NYJ ,9.00,Broncos DEF ,4.00,M. Ingram RB - NO Q ,1.80,D. Parker WR - NE ,12.80,J. Wilson RB - SF Q ,17.90,D. Hilliard RB - TEN ,5.90,D. Swift RB - DET ,0.00,Chargers DEF ,4.00,-,-,100.06,Neil,69.56
alex,11,K. Murray QB - ARI ,12.58,D. Johnson RB - HOU ,2.70,A. Kamara RB - NO ,3.10,A. Green WR - ARI ,6.40,K. Bourne WR - NE ,6.30,R. Gronkowski TE - TB ,2.90,Z. Ertz TE - ARI ,7.40,R. Gould K - SF ,7.00,Cardinals DEF ,3.00,M. Brown RB - MIA IR ,0.00,D. Johnson RB - BUF ,24.70,C. Edmonds RB - MIA ,5.30,M. Brown WR - ARI ,4.30,D. Singletary RB - BUF ,15.60,Ravens DEF ,2.00,J. Landry WR - CLE ,0.00,51.38,Peter,79.50
Alessandro,1,J. Allen QB - BUF ,20.80,D. Cook RB - MIN ,9.10,J. Williams RB - DEN ,8.10,C. Kupp WR - LA ,25.70,J. Jefferson WR - MIN ,10.70,A. Okwuegbunam TE - DEN ,5.80,D. Foreman RB - CAR ,13.50,G. Joseph K - MIN ,5.00,Buccaneers DEF ,6.00,S. Perine RB - CIN ,4.30,B. Berrios WR - NYJ IR ,9.60,K. Osborn WR - MIN ,2.10,M. Carter RB - NYJ ,2.00,E. Moore WR - NYJ COV ,0.00,D. Smith WR - PHI ,4.00,A. Brown WR - PHI ,0.00,104.70,-,-
Daniel,4,A. Rodgers QB - GB ,23.82,M. Gordon RB - DEN ,6.10,A. Ekeler RB - LAC ,14.20,D. Moore WR - CAR ,6.80,R. Gage WR - TB ,15.10,D. Knox TE - BUF ,3.80,M. Gaskin RB - MIA ,5.40,Y. Koo K - ATL ,7.00,Vikings DEF ,13.00,E. Sanders WR - BUF ,0.00,J. Jones WR - TEN ,0.00,K. Cousins QB - MIN ,10.48,L. Bell RB ,0.00,A. Mattison RB - MIN ,0.00,Steelers DEF ,16.00,C. Ridley WR - ATL NFI-R ,0.00,95.22,Greg,90.40
Neil,6,T. Brady QB - TB ,4.76,A. Jones RB - GB ,13.00,R. Stevenson RB - NE ,4.00,S. Diggs WR - BUF ,9.50,C. Lamb WR - DAL ,5.00,K. Pitts TE - ATL ,7.70,M. Sanders RB - PHI ,14.60,H. Butker K - KC ,8.00,Patriots DEF ,3.00,H. Henry TE - NE ,19.70,J. Williams RB - DET ,0.00,T. Higgins WR - CIN ,2.30,A. Dillon RB - GB Q ,9.50,J. Waddle WR - MIA ,0.00,Seahawks DEF ,7.00,-,-,69.56,Ryan,100.06
michael,2,L. Jackson QB - BAL Q ,0.00,L. Fournette RB - TB ,6.70,D. Montgomery RB - CHI ,6.30,M. Williams WR - LAC ,4.90,D. Mooney WR - CHI ,6.60,C. Kmet TE - CHI ,7.10,M. Jones WR - JAX ,1.40,R. Bullock K - TEN ,7.00,Titans DEF ,4.00,K. Allen WR - LAC ,13.80,O. Beckham WR - LA O ,0.70,J. Howard RB - PHI ,6.90,M. Gesicki TE - MIA ,4.30,N. Folk K - NE ,5.00,Rams DEF ,9.00,D. Henry RB - TEN ,0.00,44.00,-,-
Kevin,9,J. Herbert QB - LAC ,23.04,J. Robinson RB - JAX IR ,14.80,A. Gibson RB - WAS ,12.50,H. Renfrow WR - LV ,3.20,J. Chase WR - CIN ,0.30,P. Freiermuth TE - PIT ,3.70,D. Henderson RB - LA ,2.70,J. Tucker K - BAL ,6.00,Bills DEF ,7.00,C. Hyde RB - JAX IR ,0.00,J. McKissic RB - WAS IR ,0.00,K. Hunt RB - CLE Q ,0.00,M. Gallup WR - DAL Q ,3.20,R. Penny RB - SEA ,4.40,N. Westbrook-Ikhine WR - TEN ,3.20,A. Brown WR Q ,0.00,73.24,Peter,87.68
Jeremy,8,T. Hill QB - NO Q ,9.46,S. Barkley RB - NYG ,5.40,N. Harris RB - PIT ,2.60,D. Samuel WR - SF ,14.90,C. Claypool WR - PIT ,1.90,T. Kelce TE - KC ,31.10,C. Sutton WR - DEN ,1.20,R. Succop K - TB ,0.00,Saints DEF ,18.00,A. Robinson WR - LA ,0.00,K. Drake RB - LV Q ,0.00,D. Harris RB - NE ,0.00,M. Pittman WR - IND ,0.70,J. Hurts QB - PHI Q ,27.64,R. Moore WR - ARI ,1.00,-,-,84.56,-,-
Peter,12,D. Prescott QB - DAL ,10.58,T. Pollard RB - DAL ,8.70,C. Hubbard RB - CAR ,4.10,B. Cooks WR - HOU Q ,22.20,T. McLaurin WR - WAS ,5.10,G. Kittle TE - SF ,9.30,D. Schultz TE - DAL ,12.70,M. Prater K - ARI ,6.00,Dolphins DEF ,9.00,G. Igwebuike RB - DET ,-0.90,D. Harris WR - NO ,0.00,K. Toney WR - NYG Q ,0.00,E. Mitchell RB - SF ,0.00,Eagles DEF ,3.00,C. McCaffrey RB - CAR IR ,0.00,-,-,87.68,Kevin,73.24
Greg,5,P. Mahomes QB - KC ,31.60,C. Patterson RB - ATL ,2.30,J. Mixon RB - CIN ,6.00,T. Hill WR - MIA ,20.80,D. Johnson WR - PIT ,4.80,D. Goedert TE - PHI ,13.50,M. Evans WR - TB ,1.40,D. Carlson K - LV ,10.00,Packers DEF ,0.00,M. Davis RB - ATL Q ,2.10,T. Patrick WR - DEN ,10.20,C. Clement RB - DAL ,0.00,C. Kirk WR - JAX ,15.40,J. Burrow QB - CIN ,12.78,K. Gainwell RB - PHI ,0.00,-,-,90.40,Daniel,95.22
