Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,10,J. Garoppolo QB - SF Q ,0.00,E. Elliott RB - DAL Q ,3.00,C. Edwards-Helaire RB - KC ,0.00,V. Jefferson WR - LA ,6.30,A. St. Brown WR - DET ,27.40,T. Conklin TE - NYJ ,4.70,J. Conner RB - ARI ,0.00,M. Gay K - LA ,2.00,49ers DEF ,9.00,R. Tannehill QB - TEN ,13.50,A. Thielen WR - MIN IR ,0.00,D. Waller TE - LV ,0.00,T. Coleman RB - NYJ ,0.00,D. Johnson RB - CLE ,1.40,J. Jeudy WR - DEN ,0.00,T. Lockett WR - SEA ,9.10,52.40,Peter,84.24
david,7,R. Wilson QB - DEN ,27.84,J. Jacobs RB - LV ,14.00,J. Taylor RB - IND ,17.40,A. Cooper WR - CLE ,7.80,T. Boyd WR - CIN ,9.60,N. Fant TE - SEA ,15.20,D. Freeman RB - BAL Q ,7.70,T. Bass K - BUF ,3.00,Cowboys DEF ,1.00,J. Cook TE - LAC ,0.00,C. Beasley WR - BUF ,4.20,J. Crowder WR - BUF Q ,0.00,S. Shepard WR - NYG IR ,0.00,C. Godwin WR - TB IR ,0.00,Z. Moss RB - BUF ,3.90,-,-,103.54,Jeremy,108.56
Ryan,3,M. Stafford QB - LA ,14.26,R. Jones RB - KC Q ,2.70,S. Michel RB - LA ,15.90,D. Adams WR - LV ,19.60,D. Metcalf WR - SEA ,24.90,M. Andrews TE - BAL ,8.90,N. Chubb RB - CLE ,5.80,G. Zuerlein K - NYJ ,2.00,Colts DEF ,6.00,D. Parker WR - NE ,4.60,J. Wilson RB - SF Q ,0.00,C. Reynolds RB - DET ,1.30,D. Swift RB - DET ,3.90,Chiefs DEF ,3.00,Chargers DEF ,13.00,-,-,100.06,Alessandro,67.40
alex,11,K. Murray QB - ARI ,22.92,A. Kamara RB - NO ,16.00,C. Edmonds RB - MIA ,8.20,J. Landry WR - CLE ,4.90,K. Bourne WR - NE ,9.30,R. Gronkowski TE - TB ,11.50,D. Singletary RB - BUF ,23.00,R. Gould K - SF ,11.00,Bears DEF ,21.00,A. Green WR - ARI ,7.40,R. Burkhead RB - HOU ,7.90,Z. Ertz TE - ARI ,4.10,D. Johnson RB - BUF ,6.50,M. Brown WR - ARI ,0.80,Cardinals DEF ,3.00,D. Johnson RB - HOU ,0.00,127.82,Kevin,161.26
Alessandro,1,J. Allen QB - BUF ,20.90,D. Cook RB - MIN ,1.30,J. Williams RB - DEN ,3.20,C. Kupp WR - LA ,15.50,J. Jefferson WR - MIN ,5.80,G. Everett TE - LAC ,3.60,A. Brown WR - PHI ,4.10,E. McPherson K - CIN ,10.00,Buccaneers DEF ,3.00,D. Ogunbowale RB - HOU ,12.80,B. Scott RB - PHI ,20.60,F. Moreau TE - LV ,0.90,M. Carter RB - NYJ ,6.30,J. Patterson RB - WAS ,15.80,G. Joseph K - MIN ,6.00,-,-,67.40,Ryan,100.06
Daniel,4,A. Rodgers QB - GB ,20.32,M. Gordon RB - DEN ,7.20,A. Ekeler RB - LAC ,17.20,D. Moore WR - CAR ,2.90,R. Gage WR - TB ,5.00,D. Knox TE - BUF ,0.00,D. Foreman RB - CAR ,19.20,Y. Koo K - ATL ,7.00,Giants DEF ,6.00,K. Cousins QB - MIN ,0.00,L. Bell RB ,5.50,J. Jackson RB - LAC ,6.10,M. Gaskin RB - MIA ,2.30,A. Mattison RB - MIN ,1.30,Vikings DEF ,-4.00,J. Jones WR - TEN ,0.00,84.82,michael,91.60
Neil,6,T. Brady QB - TB ,28.40,A. Jones RB - GB ,10.60,A. Dillon RB - GB Q ,20.30,S. Diggs WR - BUF ,5.20,T. Higgins WR - CIN ,6.20,K. Pitts TE - ATL ,6.90,C. Lamb WR - DAL ,5.10,H. Butker K - KC ,7.00,Patriots DEF ,12.00,H. Henry TE - NE ,3.70,J. Williams RB - DET ,10.40,M. Sanders RB - PHI ,0.00,J. Waddle WR - MIA ,4.70,Seahawks DEF ,5.00,R. Stevenson RB - NE ,22.70,-,-,101.70,Greg,87.46
michael,2,D. Carr QB - LV ,10.20,J. Howard RB - PHI ,2.60,D. Montgomery RB - CHI ,18.10,K. Allen WR - LAC ,10.40,M. Williams WR - LAC ,12.30,M. Gesicki TE - MIA ,5.10,O. Beckham WR - LA O ,9.90,N. Folk K - NE ,8.00,Titans DEF ,15.00,M. Jones WR - JAX ,4.60,L. Jackson QB - BAL Q ,0.00,C. Kmet TE - CHI ,2.50,D. Mooney WR - CHI ,12.90,R. Bullock K - TEN ,10.00,Rams DEF ,13.00,D. Henry RB - TEN ,0.00,91.60,Daniel,84.82
Kevin,9,T. Lance QB - SF ,19.06,R. Penny RB - SEA ,30.50,D. Williams RB - KC ,22.70,H. Renfrow WR - LV ,13.60,J. Chase WR - CIN ,46.60,P. Freiermuth TE - PIT ,2.20,A. Brown WR Q ,2.60,J. Tucker K - BAL ,13.00,Bills DEF ,11.00,T. Higbee TE - LA IR ,6.90,K. Hunt RB - CLE Q ,0.00,M. Gallup WR - DAL Q ,9.60,J. Herbert QB - LAC ,17.68,A. Gibson RB - WAS ,0.00,D. Smith WR - PHI ,5.40,J. Robinson RB - JAX IR ,0.00,161.26,alex,127.82
Jeremy,8,J. Hurts QB - PHI Q ,12.96,S. Barkley RB - NYG ,10.20,N. Harris RB - PIT ,26.60,D. Samuel WR - SF ,14.20,C. Claypool WR - PIT ,1.70,C. Uzomah TE - NYJ ,3.20,D. Harris RB - NE ,16.70,R. Succop K - TB ,8.00,Saints DEF ,15.00,T. Kelce TE - KC ,8.40,K. Drake RB - LV Q ,0.00,T. Hill QB - NO Q ,17.38,C. Sutton WR - DEN ,6.00,M. Pittman WR - IND ,4.70,R. Moore WR - ARI ,0.00,-,-,108.56,david,103.54
