Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,5,D. Jones QB - NYG IR ,16.54,K. Drake RB - LV Q ,5.70,C. Edwards-Helaire RB - KC ,14.90,A. Thielen WR - MIN IR ,11.00,T. Lockett WR - SEA ,3.10,D. Waller TE - LV ,5.40,E. Elliott RB - DAL Q ,23.60,N. Folk K - NE ,7.00,Broncos DEF ,19.00,R. Tannehill QB - TEN ,21.48,C. Beasley WR - BUF ,9.80,O. Beckham WR - LA O ,8.70,J. Conner RB - ARI ,17.30,L. Shenault WR - JAX ,4.80,T. Lance QB - SF ,6.10,-,-,106.24,alex,82.34
david,11,R. Wilson QB - DEN ,16.62,S. Barkley RB - NYG ,15.40,J. Taylor RB - IND ,7.20,A. Robinson WR - LA ,2.70,S. Shepard WR - NYG IR ,1.60,N. Fant TE - SEA ,1.50,A. Cooper WR - CLE ,2.60,T. Bass K - BUF ,13.00,Football Team DEF ,-4.00,D. Freeman RB - BAL Q ,0.80,T. Boyd WR - CIN ,9.60,R. Anderson WR - CAR ,0.80,J. Smith-Schuster WR - KC ,2.50,P. Lindsay RB - MIA ,0.50,Z. Moss RB - BUF ,15.10,Z. Ertz TE - ARI ,11.30,56.62,Daniel,77.64
Ryan,3,M. Stafford QB - LA ,29.52,N. Chubb RB - CLE ,8.40,D. Swift RB - DET ,16.70,D. Adams WR - LV ,19.20,D. Metcalf WR - SEA ,16.70,M. Andrews TE - BAL ,10.90,C. Carson RB - SEA IR ,14.20,M. Gay K - LA ,10.00,Browns DEF ,16.00,K. Golladay WR - NYG ,6.40,S. Michel RB - LA ,7.90,D. Mooney WR - CHI ,0.90,T. Jones RB - NO ,2.20,J. Fields QB - CHI ,3.92,E. Moore WR - NYJ COV ,2.20,R. Bateman WR - BAL ,0.00,141.62,Alessandro,96.92
alex,4,K. Murray QB - ARI ,18.54,A. Kamara RB - NO ,17.80,C. Edmonds RB - MIA ,7.50,D. Hopkins WR - ARI IR ,2.10,M. Brown WR - ARI ,5.30,R. Gronkowski TE - TB ,5.50,D. Singletary RB - BUF ,2.60,G. Zuerlein K - NYJ ,5.00,Cardinals DEF ,18.00,L. Thomas TE - WAS IR ,8.20,W. Fuller WR - MIA IR ,4.00,Z. Pascal WR - PHI ,3.10,T. Johnson RB - NYJ ,2.30,J. Patrick RB - BAL ,0.00,Ravens DEF ,3.00,J. Jeudy WR - DEN ,0.00,82.34,Peter,106.24
Alessandro,7,J. Allen QB - BUF ,37.22,L. Murray RB - BAL ,2.80,J. Williams RB - DEN ,10.20,A. Brown WR - PHI ,0.30,J. Jefferson WR - MIN ,17.80,T. Hockenson TE - DET IR ,1.00,C. Kupp WR - LA ,21.60,G. Gano K - NYG ,6.00,Buccaneers DEF ,0.00,K. Cousins QB - MIN ,25.12,D. Cook RB - MIN ,0.00,Q. Cephus WR - DET IR ,0.80,M. Carter RB - NYJ ,2.90,K. Gainwell RB - PHI ,3.40,D. Smith WR - PHI ,2.80,J. Landry WR - CLE ,0.00,96.92,Ryan,141.62
Daniel,2,A. Rodgers QB - GB ,18.04,A. Ekeler RB - LAC ,16.70,M. Gaskin RB - MIA ,7.40,J. Jones WR - TEN ,4.70,C. Ridley WR - ATL NFI-R ,6.10,R. Tonyan TE - GB IR ,0.60,A. Mattison RB - MIN ,17.10,Y. Koo K - ATL ,5.00,Steelers DEF ,2.00,J. Cook TE - LAC ,2.70,E. Sanders WR - BUF ,21.40,J. Gordon WR - KC ,0.00,M. Gordon RB - DEN ,14.10,D. Moore WR - CAR ,12.50,T. Tagovailoa QB - MIA ,0.00,C. Samuel WR - WAS Q ,0.00,77.64,david,56.62
Neil,8,T. Brady QB - TB ,30.68,A. Jones RB - GB ,15.60,M. Sanders RB - PHI ,5.50,S. Diggs WR - BUF ,6.20,C. Lamb WR - DAL ,6.50,K. Pitts TE - ATL ,3.50,T. Higgins WR - CIN ,0.00,H. Butker K - KC ,6.00,Patriots DEF ,3.00,N. Agholor WR - NE ,1.70,J. Williams RB - DET ,12.70,J. Smith TE - NE ,0.40,J. Burrow QB - CIN ,17.58,A. Dillon RB - GB Q ,2.60,J. Waddle WR - MIA ,5.80,-,-,76.98,Greg,91.00
michael,1,L. Jackson QB - BAL Q ,19.28,D. Henry RB - TEN ,16.40,D. Montgomery RB - CHI ,5.50,K. Allen WR - LAC ,11.00,M. Williams WR - LAC ,26.20,G. Everett TE - LAC ,5.40,M. Jones WR - JAX ,6.20,J. Tucker K - BAL ,17.00,Rams DEF ,3.00,R. Woods WR - TEN IR ,3.80,J. White RB - NE IR ,0.60,D. Parker WR - NE ,4.20,L. Fournette RB - TB ,3.40,M. Gesicki TE - MIA ,8.60,T. Lawrence QB - JAX ,7.46,-,-,109.98,Peter,75.52
Kevin,9,J. Herbert QB - LAC ,30.84,K. Hunt RB - CLE Q ,21.50,A. Gibson RB - WAS ,16.40,K. Osborn WR - MIN ,2.60,J. Chase WR - CIN ,18.50,T. Higbee TE - LA IR ,10.00,J. Robinson RB - JAX IR ,19.40,R. Blankenship K - IND IR ,10.00,Bills DEF ,7.00,M. Ingram RB - NO Q ,2.00,A. Brown WR Q ,0.00,J. Meyers WR - NE ,9.40,D. Henderson RB - LA ,0.00,B. Aiyuk WR - SF ,10.50,M. Callaway WR - NO ,10.10,M. Gallup WR - DAL Q ,0.00,136.24,Jeremy,92.74
Jeremy,6,J. Hurts QB - PHI Q ,20.54,D. Harris RB - NE ,1.10,N. Harris RB - PIT ,14.20,C. Godwin WR - TB IR ,13.60,D. Samuel WR - SF ,5.20,T. Kelce TE - KC ,10.40,C. Sutton WR - DEN ,3.70,R. Succop K - TB ,6.00,Saints DEF ,18.00,N. Hines RB - IND ,13.90,R. Gage WR - TB ,0.00,J. Jacobs RB - LV ,0.00,M. Pittman WR - IND ,7.30,C. Claypool WR - PIT ,9.60,R. Moore WR - ARI ,0.40,-,-,92.74,Kevin,136.24
