Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,11,T. Siemian QB - CHI ,15.96,E. Elliott RB - DAL Q ,9.60,J. Conner RB - ARI ,35.30,A. Thielen WR - MIN IR ,6.60,J. Crowder WR - BUF Q ,3.80,D. Waller TE - LV ,9.20,D. Williams RB - KC ,7.70,M. Badgley K - IND ,9.00,49ers DEF ,1.00,T. Lockett WR - SEA ,0.00,D. Johnson RB - HOU ,4.00,J. Wilson RB - SF Q ,0.00,T. Tagovailoa QB - MIA ,0.00,M. Callaway WR - NO ,8.50,T. Lance QB - SF ,0.00,C. Edwards-Helaire RB - KC ,0.00,98.16,Jeremy,80.18
david,10,D. Carr QB - LV ,10.34,J. Jacobs RB - LV ,9.50,J. Taylor RB - IND ,32.00,C. Beasley WR - BUF ,3.30,A. Cooper WR - CLE ,3.70,J. Cook TE - LAC ,6.80,Z. Moss RB - BUF ,2.40,T. Bass K - BUF ,6.00,Cowboys DEF ,3.00,D. Freeman RB - BAL Q ,14.30,S. Shepard WR - NYG IR ,0.00,T. Boyd WR - CIN ,1.10,R. Anderson WR - CAR ,0.20,C. Godwin WR - TB IR ,0.00,N. Fant TE - SEA ,0.00,R. Wilson QB - DEN ,0.00,77.04,Neil,60.48
Ryan,2,M. Stafford QB - LA ,13.06,A. Peterson RB - SEA O ,8.60,N. Chubb RB - CLE ,28.30,D. Adams WR - LV ,4.20,K. Golladay WR - NYG ,2.80,M. Andrews TE - BAL ,4.40,R. Bateman WR - BAL ,5.20,M. Gay K - LA ,12.00,Raiders DEF ,6.00,A. Collins RB - SEA IR ,0.00,S. Michel RB - LA ,8.60,D. Metcalf WR - SEA ,0.00,D. Swift RB - DET ,0.00,B. Aiyuk WR - SF ,12.70,K. Herbert RB - CHI ,1.30,C. Carson RB - SEA IR ,0.00,84.56,Daniel,74.80
alex,8,T. Taylor QB - NYG ,5.90,A. Kamara RB - NO ,16.40,C. Edmonds RB - MIA ,0.30,M. Brown WR - ARI ,11.60,J. Jeudy WR - DEN ,6.90,Z. Ertz TE - ARI ,2.70,B. Scott RB - PHI ,4.00,G. Zuerlein K - NYJ ,0.00,Cardinals DEF ,12.00,R. Gronkowski TE - TB ,0.00,A. Green WR - ARI ,0.00,D. Hopkins WR - ARI IR ,0.00,K. Murray QB - ARI ,0.00,D. Singletary RB - BUF ,5.90,Ravens DEF ,-1.00,W. Fuller WR - MIA IR ,0.00,59.80,Alessandro,80.16
Alessandro,3,J. Allen QB - BUF ,9.56,D. Booker RB - NYG ,12.20,D. Cook RB - MIN ,12.20,C. Kupp WR - LA ,9.50,J. Jefferson WR - MIN ,14.00,T. Conklin TE - NYJ ,4.50,A. Brown WR - PHI ,4.20,G. Joseph K - MIN ,7.00,Panthers DEF ,7.00,J. Landry WR - CLE ,1.10,T. Hockenson TE - DET IR ,0.00,J. Williams RB - DEN ,11.10,M. Carter RB - NYJ ,8.60,D. Smith WR - PHI ,17.60,Buccaneers DEF ,0.00,-,-,80.16,alex,59.80
Daniel,6,J. Love QB - GB ,11.90,A. Ekeler RB - LAC ,8.20,M. Gaskin RB - MIA ,9.70,E. Sanders WR - BUF ,6.50,D. Moore WR - CAR ,4.60,C. Uzomah TE - NYJ ,2.40,M. Gordon RB - DEN ,15.50,Y. Koo K - ATL ,9.00,Steelers DEF ,7.00,J. Jones WR - TEN ,3.50,C. Ridley WR - ATL NFI-R ,0.00,R. Gage WR - TB ,6.40,D. Knox TE - BUF ,0.00,A. Mattison RB - MIN ,0.30,Falcons DEF ,3.00,A. Rodgers QB - GB ,0.00,74.80,Ryan,84.56
Neil,9,J. Burrow QB - CIN ,7.38,A. Jones RB - GB ,5.30,A. Dillon RB - GB Q ,9.00,S. Diggs WR - BUF ,8.50,C. Lamb WR - DAL ,2.30,K. Pitts TE - ATL ,6.20,T. Higgins WR - CIN ,7.80,H. Butker K - KC ,9.00,Colts DEF ,5.00,T. Brady QB - TB ,0.00,H. Henry TE - NE ,7.90,J. Williams RB - DET ,0.00,N. Hines RB - IND ,16.80,J. Waddle WR - MIA ,8.30,Patriots DEF ,20.00,M. Sanders RB - PHI ,0.00,60.48,david,77.04
michael,1,L. Jackson QB - BAL Q ,30.64,J. Howard RB - PHI ,13.10,T. Johnson RB - NYJ ,10.10,K. Allen WR - LAC ,10.40,R. Woods WR - TEN IR ,10.40,M. Gesicki TE - MIA ,5.40,M. Williams WR - LAC ,5.80,N. Folk K - NE ,6.00,Rams DEF ,5.00,M. Jones WR - JAX ,2.10,L. Murray RB - BAL ,0.00,O. Beckham WR - LA O ,0.00,D. Henry RB - TEN ,0.00,L. Fournette RB - TB ,0.00,D. Mooney WR - CHI ,17.60,D. Montgomery RB - CHI ,8.00,96.84,Greg,85.76
Kevin,5,J. Herbert QB - LAC ,31.64,C. Hyde RB - JAX IR ,5.30,D. Henderson RB - LA ,5.80,H. Renfrow WR - LV ,10.90,J. Chase WR - CIN ,2.90,T. Higbee TE - LA IR ,5.10,J. Meyers WR - NE ,0.80,E. McPherson K - CIN ,4.00,Bills DEF ,8.00,A. Brown WR Q ,0.00,C. Wentz QB - WAS ,24.18,J. McKissic RB - WAS IR ,0.00,M. Gallup WR - DAL Q ,0.00,J. Robinson RB - JAX IR ,0.00,A. Gibson RB - WAS ,0.00,K. Hunt RB - CLE Q ,0.00,74.44,Peter,53.38
Jeremy,4,J. Hurts QB - PHI Q ,16.68,D. Harris RB - NE ,9.30,N. Harris RB - PIT ,13.80,C. Sutton WR - DEN ,2.90,D. Samuel WR - SF ,6.30,T. Kelce TE - KC ,12.80,M. Pittman WR - IND ,12.40,R. Bullock K - TEN ,4.00,Saints DEF ,2.00,A. Robinson WR - LA ,6.80,D. Williams RB - ATL ,0.00,K. Drake RB - LV Q ,10.00,T. Smith WR - NO ,5.30,C. Claypool WR - PIT ,4.30,R. Moore WR - ARI ,2.50,S. Barkley RB - NYG ,0.00,80.18,Peter,98.16
