Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,8,R. Tannehill QB - TEN ,14.58,E. Elliott RB - DAL Q ,15.70,K. Drake RB - LV Q ,5.50,A. Thielen WR - MIN IR ,9.90,T. Lockett WR - SEA ,23.80,D. Waller TE - LV ,6.50,C. Edwards-Helaire RB - KC ,2.60,R. Gould K - SF ,5.00,Broncos DEF ,9.00,C. Beasley WR - BUF ,3.60,O. Beckham WR - LA O ,0.00,J. Goff QB - DET ,18.44,J. Conner RB - ARI ,2.60,L. Shenault WR - JAX ,-0.30,T. Lance QB - SF ,0.00,-,-,92.58,Ryan,82.62
david,9,R. Wilson QB - DEN ,23.32,S. Barkley RB - NYG ,6.90,J. Taylor RB - IND ,5.30,A. Robinson WR - LA ,8.40,A. Cooper WR - CLE ,2.40,N. Fant TE - SEA ,9.30,R. Anderson WR - CAR ,3.80,T. Bass K - BUF ,5.00,Football Team DEF ,3.00,D. Freeman RB - BAL Q ,2.90,S. Shepard WR - NYG IR ,8.50,T. Boyd WR - CIN ,7.30,J. Smith-Schuster WR - KC ,10.40,P. Lindsay RB - MIA ,8.40,Z. Ertz TE - ARI ,0.60,-,-,67.42,alex,116.30
Ryan,7,M. Stafford QB - LA ,17.22,C. Carson RB - SEA IR ,15.10,N. Chubb RB - CLE ,15.80,A. Brown WR Q ,1.70,D. Metcalf WR - SEA ,5.30,M. Andrews TE - BAL ,5.70,D. Swift RB - DET ,7.80,M. Gay K - LA ,9.00,Browns DEF ,5.00,K. Hunt RB - CLE Q ,5.30,K. Golladay WR - NYG ,3.80,T. Jones RB - NO ,0.70,J. Fields QB - CHI ,3.50,J. Chase WR - CIN ,11.40,E. Moore WR - NYJ COV ,4.70,R. Bateman WR - BAL ,0.00,82.62,Peter,92.58
alex,1,K. Murray QB - ARI ,35.10,A. Kamara RB - NO ,3.00,C. Edmonds RB - MIA ,7.50,D. Hopkins WR - ARI IR ,11.40,M. Brown WR - ARI ,17.30,R. Gronkowski TE - TB ,15.90,D. Singletary RB - BUF ,15.10,G. Zuerlein K - NYJ ,10.00,Cardinals DEF ,1.00,L. Bell RB ,0.00,L. Thomas TE - WAS IR ,4.50,J. Winston QB - NO IR ,8.34,W. Fuller WR - MIA IR ,0.00,T. Johnson RB - NYJ ,5.00,Ravens DEF ,3.00,J. Jeudy WR - DEN ,0.00,116.30,david,67.42
Alessandro,6,J. Allen QB - BUF ,16.66,D. Cook RB - MIN ,14.80,J. Williams RB - DEN ,7.40,A. Brown WR - PHI ,4.30,J. Jefferson WR - MIN ,12.50,T. Hockenson TE - DET IR ,12.60,C. Kupp WR - LA ,27.80,C. Boswell K - PIT ,7.00,Buccaneers DEF ,19.00,L. Murray RB - BAL ,9.60,J. Landry WR - CLE ,0.90,D. Booker RB - NYG ,1.10,M. Carter RB - NYJ ,8.80,K. Gainwell RB - PHI ,5.20,D. Smith WR - PHI ,1.60,-,-,122.06,Greg,76.02
Daniel,3,A. Rodgers QB - GB ,26.80,A. Ekeler RB - LAC ,13.50,M. Gaskin RB - MIA ,4.60,J. Jones WR - TEN ,12.80,C. Ridley WR - ATL NFI-R ,12.30,R. Tonyan TE - GB IR ,11.20,M. Gordon RB - DEN ,6.90,Y. Koo K - ATL ,5.00,Steelers DEF ,2.00,J. Cook TE - LAC ,2.80,E. Sanders WR - BUF ,4.80,D. Moore WR - CAR ,13.90,A. Mattison RB - MIN ,2.80,T. Tagovailoa QB - MIA ,0.52,T. Marshall WR - CAR IR ,1.70,C. Samuel WR - WAS Q ,0.00,95.10,Peter,73.98
Neil,5,T. Brady QB - TB ,29.64,A. Jones RB - GB ,35.50,M. Sanders RB - PHI ,5.90,S. Diggs WR - BUF ,12.00,C. Lamb WR - DAL ,9.40,K. Pitts TE - ATL ,7.30,T. Higgins WR - CIN ,10.00,H. Butker K - KC ,5.00,Patriots DEF ,19.00,N. Agholor WR - NE ,2.10,J. Williams RB - DET ,3.70,J. Smith TE - NE ,2.80,J. Burrow QB - CIN ,10.28,A. Dillon RB - GB Q ,2.60,J. Waddle WR - MIA ,2.80,-,-,133.74,Jeremy,113.40
michael,2,L. Jackson QB - BAL Q ,32.26,D. Henry RB - TEN ,41.70,D. Montgomery RB - CHI ,7.90,R. Woods WR - TEN IR ,7.00,M. Williams WR - LAC ,15.10,G. Everett TE - LAC ,0.30,M. Jones WR - JAX ,11.50,J. Tucker K - BAL ,6.00,Rams DEF ,8.00,K. Allen WR - LAC ,10.80,J. White RB - NE IR ,12.50,D. Parker WR - NE ,4.20,L. Fournette RB - TB ,7.60,M. Gesicki TE - MIA ,4.10,T. Lawrence QB - JAX ,6.82,-,-,129.76,Kevin,91.32
Kevin,12,J. Herbert QB - LAC ,14.72,D. Henderson RB - LA ,14.20,A. Gibson RB - WAS ,7.30,D. Adams WR - LV ,12.10,J. Meyers WR - NE ,3.80,T. Higbee TE - LA IR ,0.80,J. Robinson RB - JAX IR ,6.40,R. Blankenship K - IND IR ,10.00,Bills DEF ,22.00,M. Ingram RB - NO Q ,4.00,S. Watkins WR - GB ,4.40,P. Barber RB - LV ,3.20,K. Raymond WR - DET ,1.80,B. Aiyuk WR - SF ,0.60,M. Callaway WR - NO ,0.80,M. Gallup WR - DAL Q ,0.00,91.32,michael,129.76
Jeremy,4,J. Hurts QB - PHI Q ,21.80,D. Harris RB - NE ,12.40,N. Harris RB - PIT ,14.10,C. Godwin WR - TB IR ,12.20,D. Samuel WR - SF ,10.10,T. Kelce TE - KC ,16.90,C. Sutton WR - DEN ,15.90,R. Succop K - TB ,6.00,Saints DEF ,4.00,N. Hines RB - IND ,2.20,R. Gage WR - TB ,2.80,J. Jacobs RB - LV ,0.00,M. Pittman WR - IND ,12.30,C. Claypool WR - PIT ,6.70,R. Moore WR - ARI ,17.40,-,-,113.40,Neil,133.74
