Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,11,R. Tannehill QB - TEN ,9.22,E. Elliott RB - DAL Q ,6.80,J. Conner RB - ARI ,15.90,A. Thielen WR - MIN IR ,14.20,T. Lockett WR - SEA ,11.50,D. Waller TE - LV ,11.60,J. Wilson RB - SF Q ,5.80,Z. Gonzalez K - CAR IR ,3.00,Titans DEF ,0.00,T. Hilton WR - IND ,2.60,J. Garoppolo QB - SF Q ,15.64,D. Johnson RB - HOU ,3.40,D. Williams RB - KC ,2.60,V. Jefferson WR - LA ,0.00,T. Lance QB - SF ,0.40,C. Edwards-Helaire RB - KC ,13.60,78.02,Greg,87.60
david,5,R. Wilson QB - DEN ,8.48,J. Jacobs RB - LV ,6.10,J. Taylor RB - IND ,50.40,C. Beasley WR - BUF ,2.30,C. Godwin WR - TB IR ,13.20,J. Cook TE - LAC ,2.80,D. Freeman RB - BAL Q ,14.00,T. Bass K - BUF ,1.00,Cowboys DEF ,8.00,D. Carr QB - LV ,8.60,A. Cooper WR - CLE ,0.00,S. Shepard WR - NYG IR ,0.00,T. Boyd WR - CIN ,6.30,N. Fant TE - SEA ,0.00,Z. Moss RB - BUF ,0.50,-,-,106.28,Peter,71.04
Ryan,1,J. Fields QB - CHI ,3.46,N. Chubb RB - CLE ,20.40,D. Swift RB - DET ,19.60,D. Adams WR - LV ,23.50,D. Metcalf WR - SEA ,3.10,M. Andrews TE - BAL ,7.30,M. Ingram RB - NO Q ,9.30,C. McLaughlin K - CLE ,1.00,Browns DEF ,8.00,M. Stafford QB - LA ,0.00,A. Collins RB - SEA IR ,3.60,S. Michel RB - LA ,0.00,D. Johnson RB - CLE ,2.60,B. Aiyuk WR - SF ,14.50,R. Bateman WR - BAL ,2.90,C. Carson RB - SEA IR ,0.00,95.66,Jeremy,91.28
alex,10,T. Tagovailoa QB - MIA ,17.52,A. Peterson RB - SEA O ,4.40,D. Singletary RB - BUF ,4.30,A. Green WR - ARI ,7.80,J. Landry WR - CLE ,10.20,Z. Ertz TE - ARI ,20.80,R. Gronkowski TE - TB ,7.10,C. Boswell K - PIT ,13.00,Ravens DEF ,9.00,D. Hopkins WR - ARI IR ,0.00,A. Kamara RB - NO ,0.00,M. Brown WR - ARI ,0.00,K. Murray QB - ARI ,0.00,J. Jeudy WR - DEN ,0.00,Cardinals DEF ,8.00,C. Edmonds RB - MIA ,0.00,94.12,Kevin,82.58
Alessandro,2,J. Allen QB - BUF ,16.16,D. Cook RB - MIN ,19.50,M. Carter RB - NYJ ,6.50,J. Jefferson WR - MIN ,29.20,D. Smith WR - PHI ,6.10,T. Hockenson TE - DET IR ,5.10,A. Brown WR - PHI ,4.80,G. Joseph K - MIN ,10.00,Buccaneers DEF ,12.00,D. Booker RB - NYG ,2.00,C. Kupp WR - LA ,0.00,D. Foreman RB - CAR ,4.00,D. Arnold TE - JAX IR ,0.00,J. Williams RB - DEN ,0.00,E. Moore WR - NYJ COV ,21.60,-,-,109.36,michael,98.04
Daniel,6,A. Rodgers QB - GB ,33.50,A. Ekeler RB - LAC ,35.50,M. Gaskin RB - MIA ,15.60,E. Sanders WR - BUF ,2.60,D. Moore WR - CAR ,11.00,D. Knox TE - BUF ,8.00,R. Gage WR - TB ,4.90,Y. Koo K - ATL ,0.00,Steelers DEF ,0.00,K. Cousins QB - MIN ,25.24,M. Gordon RB - DEN ,0.00,C. Uzomah TE - NYJ ,0.90,C. Ridley WR - ATL NFI-R ,0.00,A. Mattison RB - MIN ,0.50,Falcons DEF ,6.00,J. Jones WR - TEN ,0.00,111.10,Neil,93.58
Neil,9,T. Brady QB - TB ,19.28,A. Dillon RB - GB Q ,9.70,R. Stevenson RB - NE ,7.50,S. Diggs WR - BUF ,14.30,C. Lamb WR - DAL ,1.40,K. Pitts TE - ATL ,2.90,T. Higgins WR - CIN ,1.50,H. Butker K - KC ,9.00,Patriots DEF ,28.00,H. Henry TE - NE ,2.50,A. Jones RB - GB ,0.00,J. Williams RB - DET ,1.10,M. Sanders RB - PHI ,7.40,J. Burrow QB - CIN ,9.02,J. Waddle WR - MIA ,12.60,-,-,93.58,Daniel,111.10
michael,3,B. Mayfield QB - CLE IR ,7.94,L. Fournette RB - TB ,7.40,D. Montgomery RB - CHI ,6.70,K. Allen WR - LAC ,11.20,D. Mooney WR - CHI ,18.10,M. Gesicki TE - MIA ,5.00,M. Williams WR - LAC ,15.70,N. Folk K - NE ,15.00,49ers DEF ,11.00,M. Jones WR - JAX ,5.20,R. Woods WR - TEN IR ,0.00,L. Murray RB - BAL ,3.30,O. Beckham WR - LA O ,0.00,L. Jackson QB - BAL Q ,0.00,Rams DEF ,0.00,D. Henry RB - TEN ,0.00,98.04,Alessandro,109.36
Kevin,8,J. Herbert QB - LAC ,34.28,J. Robinson RB - JAX IR ,9.80,A. Gibson RB - WAS ,7.50,M. Gallup WR - DAL Q ,4.40,H. Renfrow WR - LV ,3.50,P. Freiermuth TE - PIT ,7.10,J. Chase WR - CIN ,10.00,J. Tucker K - BAL ,10.00,Bills DEF ,-4.00,A. Brown WR Q ,0.00,C. Wentz QB - WAS ,10.04,T. Higbee TE - LA IR ,0.00,J. McKissic RB - WAS IR ,5.00,J. Meyers WR - NE ,3.90,D. Henderson RB - LA ,0.00,K. Hunt RB - CLE Q ,0.00,82.58,alex,94.12
Jeremy,7,J. Hurts QB - PHI Q ,30.78,D. Harris RB - NE ,6.50,N. Harris RB - PIT ,11.90,D. Samuel WR - SF ,15.40,M. Pittman WR - IND ,2.30,T. Kelce TE - KC ,13.80,S. Barkley RB - NYG ,5.60,R. Bullock K - TEN ,1.00,Saints DEF ,4.00,B. Bolden RB - LV ,1.60,A. Robinson WR - LA ,0.00,K. Drake RB - LV Q ,2.90,C. Sutton WR - DEN ,0.00,C. Claypool WR - PIT ,9.40,R. Moore WR - ARI ,5.10,-,-,91.28,Ryan,95.66
Peter,12,D. Prescott QB - DAL ,2.64,C. McCaffrey RB - CAR IR ,17.90,T. Pollard RB - DAL ,7.00,B. Cooks WR - HOU Q ,1.80,T. McLaurin WR - WAS ,16.30,G. Kittle TE - SF ,9.40,E. Mitchell RB - SF ,0.00,M. Prater K - ARI ,5.00,Eagles DEF ,11.00,C. Davis WR - NYJ IR ,3.50,D. Schultz TE - DAL ,5.30,D. Harris WR - NO ,1.10,C. Hubbard RB - CAR ,0.00,K. Toney WR - NYG Q ,4.00,Dolphins DEF ,5.00,-,-,71.04,david,106.28
