Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,3,K. Cousins QB - MIN ,35.50,J. Mixon RB - CIN ,8.70,R. Penny RB - SEA ,3.00,O. Beckham WR - NYG ,5.10,B. Cooks WR - LA ,15.90,J. Reed TE - WAS ,3.50,J. Smith-Schuster WR - PIT ,18.10,C. Boswell K - PIT ,3.00,Ravens DEF ,-1.00,J. Cook TE - LV ,4.90,M. Stafford QB - DET ,24.68,C. Hogan WR - NE ,16.20,C. Anderson RB - LA ,3.10,D. Freeman RB - ATL ,0.00,K. Cole WR - JAX ,17.60,-,-,91.80,Ryan,70.84
david,10,C. Newton QB - CAR ,27.60,L. McCoy RB - BUF ,6.80,J. Ajayi RB - PHI ,8.70,D. Hopkins WR - HOU ,17.00,R. Woods WR - LA ,8.10,Z. Ertz TE - PHI ,9.40,D. Jackson WR - TB ,18.90,M. Bryant K - ATL ,7.00,Patriots DEF ,3.00,D. Amendola WR - MIA ,3.20,J. Edelman WR - NE ,0.00,M. Wallace WR - PHI ,0.00,M. Sanu WR - ATL ,1.50,G. Bernard RB - CIN ,4.20,J. Allen RB - BAL ,10.40,-,-,106.50,alex,107.36
Ryan,8,R. Wilson QB - SEA ,14.74,L. Miller RB - HOU ,7.00,J. Conner RB - PIT ,14.50,J. Jones WR - ATL ,6.40,K. Stills WR - MIA ,1.70,R. Seals-Jones TE - ARI ,1.70,S. Barkley RB - NYG ,10.80,B. McManus K - DEN ,8.00,Eagles DEF ,6.00,D. Baldwin WR - SEA ,0.00,Q. Enunwa WR - NYJ ,9.20,T. Coleman RB - ATL ,12.50,P. Barber RB - TB ,2.90,K. Golladay WR - DET ,14.90,M. Breida RB - SF ,21.90,-,-,70.84,Peter,91.80
alex,1,J. Goff QB - LA ,18.36,M. Lynch RB - LV ,12.80,E. Elliott RB - DAL ,14.70,A. Green WR - CIN ,24.90,T. Hill WR - KC ,15.00,E. Ebron TE - IND ,8.60,R. Cobb WR - GB ,3.00,J. Tucker K - BAL ,7.00,Vikings DEF ,3.00,G. Olsen TE - CAR ,0.00,D. Martin RB - LV ,2.40,D. Carr QB - LV ,15.52,C. Meredith WR - NO ,0.00,C. Davis WR - TEN ,5.50,C. Carson RB - SEA ,2.40,-,-,107.36,david,106.50
Alessandro,2,R. Fitzpatrick QB - TB ,31.98,C. Thompson RB - WAS ,9.30,A. Kamara RB - NO ,11.90,D. Thomas WR - HOU ,1.80,K. Allen WR - LAC ,6.70,J. Doyle TE - IND ,2.00,A. Thielen WR - MIN ,19.10,S. Gostkowski K - NE ,8.00,Jaguars DEF ,5.00,M. Ingram RB - NO ,0.00,C. Wentz QB - PHI ,0.00,J. Doctson WR - WAS ,3.70,G. Allison WR - GB ,6.40,E. Engram TE - NYG ,12.70,P. Lindsay RB - DEN ,11.10,-,-,95.78,Greg,55.46
Daniel,11,B. Roethlisberger QB - PIT ,40.98,R. Burkhead RB - NE ,2.20,T. Riddick RB - DET ,4.70,M. Crabtree WR - BAL ,5.60,M. Jones WR - DET ,11.40,T. Kelce TE - KC ,22.90,D. Pettis WR - SF ,3.50,G. Zuerlein K - LA ,0.00,Saints DEF ,6.00,D. Sproles RB - PHI ,0.00,J. Gordon WR - NE ,0.00,L. Bell RB - PIT ,0.00,P. Richardson WR - WAS ,6.30,D. Prescott QB - DAL ,14.90,W. Fuller WR - HOU ,17.30,-,-,97.28,Peter,98.04
Neil,7,D. Brees QB - NO ,17.62,T. Gurley RB - LA ,29.30,J. Howard RB - CHI ,6.80,M. Evans WR - TB ,12.30,A. Robinson WR - CHI ,8.30,D. Njoku TE - CLE ,2.00,R. Freeman RB - DEN ,8.80,G. Gano K - CAR ,8.00,Chargers DEF ,10.00,S. Watkins WR - KC ,13.10,K. Benjamin WR - KC ,7.90,D. Johnson RB - CLE ,1.00,O. Howard TE - TB ,15.60,J. Williams RB - GB ,7.10,S. Michel RB - NE ,4.10,-,-,103.12,Jeremy,104.72
michael,9,P. Rivers QB - LAC ,22.74,I. Crowell RB - NYJ ,3.90,C. McCaffrey RB - CAR ,13.90,L. Fitzgerald WR - ARI ,2.80,A. Brown WR - PIT ,6.70,J. Graham TE - GB ,9.50,B. Powell RB - NYJ ,14.00,R. Gould K - SF ,12.00,Panthers DEF ,1.00,D. Bryant WR - NO ,0.00,F. Gore RB - MIA ,4.40,A. Luck QB - IND ,11.36,A. Jeffery WR - PHI ,0.00,T. Eifert TE - CIN ,2.30,J. White RB - NE ,8.40,-,-,86.54,Kevin,102.44
Kevin,4,P. Mahomes QB - KC ,38.84,K. Hunt RB ,14.00,D. Cook RB - MIN ,9.00,G. Tate WR - PHI ,11.80,T. Hilton WR - IND ,14.30,G. Kittle TE - SF ,2.20,D. Lewis RB - TEN ,4.30,H. Butker K - KC ,6.00,Broncos DEF ,2.00,A. Morris RB - SF ,8.00,C. Hyde RB - JAX ,11.00,J. Garoppolo QB - SF ,16.64,C. Kupp WR - LA ,6.30,M. Williams WR - LAC ,8.70,Bears DEF ,17.00,-,-,102.44,michael,86.54
Jeremy,5,D. Watson QB - HOU ,22.80,T. Yeldon RB - JAX ,7.10,D. Henry RB - TEN ,5.92,S. Diggs WR - MIN ,26.90,M. Thomas WR - NO ,18.90,K. Rudolph TE - MIN ,7.20,J. Landry WR - CLE ,6.90,W. Lutz K - NO ,7.00,Texans DEF ,2.00,J. Nelson WR - LV ,3.00,B. Marshall WR ,4.40,A. Smith QB - WAS ,13.08,L. Fournette RB - JAX ,0.00,M. Mack RB - IND ,3.60,J. Wilkins RB - IND ,6.40,-,-,104.72,Neil,103.12
