Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,4,K. Cousins QB - MIN ,20.36,D. Freeman RB - ATL ,5.00,J. Mixon RB - CIN ,20.90,O. Beckham WR - NYG ,11.00,B. Cooks WR - LA ,9.30,J. Reed TE - WAS ,10.80,J. Smith-Schuster WR - PIT ,11.90,C. Boswell K - PIT ,3.00,Ravens DEF ,17.00,J. Cook TE - LV ,18.00,M. Stafford QB - DET ,8.04,C. Hogan WR - NE ,1.10,C. Anderson RB - LA ,3.50,K. Cole WR - JAX ,5.40,R. Penny RB - SEA ,4.30,109.26,david,75.34
david,11,C. Newton QB - CAR ,18.24,L. McCoy RB - BUF ,2.10,J. Ajayi RB - PHI ,20.20,D. Hopkins WR - HOU ,7.10,R. Woods WR - LA ,4.30,Z. Ertz TE - PHI ,4.80,D. Amendola WR - MIA ,2.60,M. Bryant K - ATL ,8.00,Patriots DEF ,8.00,D. Jackson WR - TB ,26.60,J. Edelman WR - NE ,0.00,M. Wallace WR - PHI ,0.00,M. Sanu WR - ATL ,1.80,G. Bernard RB - CIN ,0.90,J. Allen RB - BAL ,9.20,75.34,Peter,109.26
Ryan,3,R. Wilson QB - SEA ,20.42,L. Miller RB - HOU ,10.90,S. Barkley RB - NYG ,18.80,J. Jones WR - ATL ,18.00,D. Baldwin WR - SEA ,0.00,D. Walker TE - TEN ,5.20,J. Conner RB - PIT ,29.20,M. Prater K - DET ,5.00,Eagles DEF ,10.00,K. Stills WR - MIA ,22.60,Q. Enunwa WR - NYJ ,12.30,T. Coleman RB - ATL ,10.50,R. Anderson WR - NYJ ,9.20,P. Barber RB - TB ,6.90,M. Breida RB - SF ,5.10,117.52,Greg,91.18
alex,1,J. Goff QB - LA ,17.22,M. Lynch RB - LV ,10.90,E. Elliott RB - DAL ,14.60,R. Cobb WR - GB ,20.20,T. Hill WR - KC ,35.30,G. Olsen TE - CAR ,3.30,A. Green WR - CIN ,13.20,J. Tucker K - BAL ,11.00,Vikings DEF ,18.00,D. Martin RB - LV ,1.70,D. Carr QB - LV ,6.22,C. Meredith WR - NO ,0.00,C. Davis WR - TEN ,6.20,C. Carson RB - SEA ,5.90,R. Jones RB - TB ,0.00,143.72,Peter,114.84
Alessandro,2,N. Foles QB - PHI ,4.08,C. Thompson RB - WAS ,18.80,A. Kamara RB - NO ,34.10,D. Thomas WR - HOU ,12.30,K. Allen WR - LAC ,16.80,J. Doyle TE - IND ,4.00,A. Thielen WR - MIN ,10.20,S. Gostkowski K - NE ,9.00,Jaguars DEF ,13.00,M. Ingram RB - NO ,0.00,D. Parker WR - MIA ,0.00,K. Dixon RB - BAL ,10.40,C. Wentz QB - PHI ,0.00,J. Doctson WR - WAS ,1.10,E. Engram TE - NYG ,1.80,122.28,Jeremy,84.44
Daniel,12,B. Roethlisberger QB - PIT ,9.00,R. Burkhead RB - NE ,6.90,T. Riddick RB - DET ,3.50,M. Crabtree WR - BAL ,9.80,M. Jones WR - DET ,5.40,T. Kelce TE - KC ,0.60,J. Gordon WR - NE ,7.70,G. Zuerlein K - LA ,17.00,Saints DEF ,-4.00,D. Sproles RB - PHI ,3.20,L. Bell RB - PIT ,0.00,P. Richardson WR - WAS ,2.20,D. Prescott QB - DAL ,8.70,W. Fuller WR - HOU ,0.00,D. Moore WR - CAR ,0.30,55.90,Kevin,91.94
Neil,5,D. Brees QB - NO ,33.56,T. Gurley RB - LA ,20.70,J. Howard RB - CHI ,10.70,M. Evans WR - TB ,20.70,A. Robinson WR - CHI ,6.10,O. Howard TE - TB ,5.40,R. Freeman RB - DEN ,7.10,G. Gano K - CAR ,4.00,Chargers DEF ,-3.00,S. Watkins WR - KC ,2.10,K. Benjamin WR - KC ,1.00,D. Johnson RB - CLE ,2.50,D. Njoku TE - CLE ,1.30,J. Williams RB - GB ,4.70,S. Michel RB - NE ,0.00,105.26,michael,101.36
michael,8,A. Luck QB - IND ,19.46,I. Crowell RB - NYJ ,22.20,C. McCaffrey RB - CAR ,7.50,L. Fitzgerald WR - ARI ,7.60,A. Brown WR - PIT ,15.30,J. Graham TE - GB ,0.80,B. Powell RB - NYJ ,6.50,R. Gould K - SF ,10.00,Panthers DEF ,12.00,D. Bryant WR - NO ,0.00,P. Rivers QB - LAC ,30.96,F. Gore RB - MIA ,6.10,A. Jeffery WR - PHI ,0.00,T. Eifert TE - CIN ,4.40,J. White RB - NE ,11.60,101.36,Neil,105.26
Kevin,6,J. Garoppolo QB - SF ,9.04,K. Hunt RB ,4.90,D. Cook RB - MIN ,7.50,G. Tate WR - PHI ,13.90,T. Hilton WR - IND ,10.60,G. Kittle TE - SF ,9.00,D. Lewis RB - TEN ,17.00,H. Butker K - KC ,8.00,Broncos DEF ,12.00,A. Morris RB - SF ,1.80,C. Hyde RB - JAX ,12.50,J. Crowder WR - WAS ,3.20,C. Kupp WR - LA ,12.80,P. Mahomes QB - KC ,28.34,M. Williams WR - LAC ,8.10,91.94,Daniel,55.90
Jeremy,10,D. Watson QB - HOU ,11.04,D. Henry RB - TEN ,3.10,L. Fournette RB - JAX ,5.50,S. Diggs WR - MIN ,11.10,M. Thomas WR - NO ,22.00,K. Rudolph TE - MIN ,7.10,J. Landry WR - CLE ,10.60,W. Lutz K - NO ,6.00,Texans DEF ,8.00,J. Nelson WR - LV ,2.30,T. Montgomery RB - BAL ,2.80,T. Yeldon RB - JAX ,12.90,D. Booker RB - DEN ,1.50,M. Mack RB - IND ,0.00,M. Gallup WR - DAL ,0.90,84.44,Alessandro,122.28
Peter,7,A. Rodgers QB - GB ,24.94,M. Gordon RB - LAC ,18.60,A. Collins RB - BAL ,5.90,D. Adams WR - GB ,14.80,N. Agholor WR - PHI ,5.50,T. Burton TE - CHI ,1.50,A. Peterson RB - WAS ,20.60,M. Crosby K - GB ,6.00,Rams DEF ,17.00,P. Garcon WR - SF ,2.10,V. McDonald TE - PIT ,0.00,J. Brown WR - BAL ,10.50,A. Jones RB - GB ,0.00,A. Ekeler RB - LAC ,18.60,K. Johnson RB - DET ,3.70,114.84,alex,143.72
Greg,9,T. Brady QB - NE ,21.28,D. Johnson RB - ARI ,12.70,K. Drake RB - MIA ,6.60,M. Goodwin WR - SF ,0.00,A. Cooper WR - DAL ,1.80,R. Gronkowski TE - NE ,16.30,E. Sanders WR - DEN ,19.50,J. Elliott K - PHI ,4.00,Steelers DEF ,9.00,R. Matthews WR - NYJ ,0.00,A. Hurns WR - DAL ,2.00,T. Lockett WR - SEA ,11.90,D. Funchess WR - CAR ,4.10,S. Shepard WR - NYG ,4.80,T. Cohen RB - CHI ,4.10,91.18,Ryan,117.52
