Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,2,K. Cousins QB - MIN ,20.66,L. Miller RB - HOU ,19.30,R. Mostert RB - SF ,1.80,O. Beckham WR - NYG ,13.60,J. Smith-Schuster WR - PIT ,3.30,J. Cook TE - LV ,13.40,B. Cooks WR - LA ,8.30,C. Parkey K - CHI ,6.00,Steelers DEF ,7.00,M. Stafford QB - DET ,17.00,A. Blue RB - HOU ,4.20,T. Coleman RB - ATL ,0.00,T. Boyd WR - CIN ,19.60,E. McGuire RB - NYJ ,0.00,K. Coutee WR - HOU ,0.00,93.36,Kevin,77.62
david,3,C. Newton QB - CAR ,27.96,L. McCoy RB - BUF ,9.50,M. Mack RB - IND ,26.90,D. Hopkins WR - HOU ,20.20,R. Woods WR - LA ,7.00,Z. Ertz TE - PHI ,8.60,J. Edelman WR - NE ,11.70,G. Gano K - CAR ,14.00,Patriots DEF ,20.00,D. Jackson WR - TB ,13.20,D. Amendola WR - MIA ,9.42,M. Sanu WR - ATL ,0.00,G. Bernard RB - CIN ,0.00,J. Allen RB - BAL ,7.80,M. Bryant K - ATL ,0.00,145.86,Alessandro,121.24
Ryan,6,J. Winston QB - TB ,8.84,J. Mixon RB - CIN ,25.80,J. Conner RB - PIT ,33.20,D. Baldwin WR - SEA ,2.60,K. Golladay WR - DET ,1.20,D. Njoku TE - CLE ,0.00,S. Barkley RB - NYG ,11.10,G. Zuerlein K - LA ,7.00,Colts DEF ,1.00,J. Jones WR - ATL ,0.00,R. Wilson QB - SEA ,23.42,J. Reed TE - WAS ,3.80,M. Breida RB - SF ,4.20,T. Smith WR - NO ,1.80,N. Chubb RB - CLE ,7.50,90.74,alex,95.60
alex,1,J. Goff QB - LA ,26.50,P. Barber RB - TB ,14.50,C. Carson RB - SEA ,18.40,A. Green WR - CIN ,13.60,T. Hill WR - KC ,7.00,E. Ebron TE - IND ,9.70,D. Martin RB - LV ,6.90,J. Tucker K - BAL ,3.00,Ravens DEF ,-4.00,L. Blount RB - DET ,2.60,R. Cobb WR - GB ,4.00,J. Gordon WR - NE ,4.20,E. Elliott RB - DAL ,0.00,I. Smith RB - ATL ,0.00,Chargers DEF ,0.00,95.60,Ryan,90.74
Alessandro,4,C. Wentz QB - PHI ,22.64,A. Kamara RB - NO ,19.60,P. Lindsay RB - DEN ,17.20,D. Thomas WR - HOU ,3.00,A. Thielen WR - MIN ,15.80,O. Howard TE - TB ,12.80,M. Ingram RB - NO ,9.20,S. Gostkowski K - NE ,13.00,Jaguars DEF ,8.00,C. Thompson RB - WAS ,2.20,K. Allen WR - LAC ,0.00,T. Gabriel WR - CHI ,5.20,J. James TE - PIT ,0.90,G. Allison WR - GB ,1.40,-,-,121.24,david,145.86
Daniel,12,B. Roethlisberger QB - PIT ,16.88,F. Gore RB - MIA ,5.80,C. Ivory RB - BUF ,4.50,M. Crabtree WR - BAL ,3.10,M. Jones WR - DET ,23.70,T. Kelce TE - KC ,13.90,W. Fuller WR - HOU ,18.40,J. Lambo K - JAX ,16.00,Vikings DEF ,2.00,L. Bell RB - PIT ,0.00,P. Richardson WR - WAS ,4.10,M. Davis RB - SEA ,3.50,D. Prescott QB - DAL ,0.00,C. Davis WR - TEN ,0.00,Saints DEF ,15.00,104.28,Greg,85.26
Neil,7,D. Brees QB - NO ,6.80,T. Gurley RB - LA ,27.50,J. Williams RB - GB ,6.90,S. Watkins WR - KC ,22.70,M. Evans WR - TB ,23.90,V. McDonald TE - PIT ,4.70,J. Howard RB - CHI ,14.10,D. Bailey K - MIN ,2.00,Eagles DEF ,7.00,M. Ryan QB - ATL ,0.00,J. Doyle TE - IND ,13.00,A. Robinson WR - CHI ,0.00,R. Freeman RB - DEN ,0.00,S. Michel RB - NE ,0.00,M. Prater K - DET ,2.00,115.60,Peter,96.84
michael,10,A. Luck QB - IND ,23.36,J. White RB - NE ,15.40,I. Crowell RB - NYJ ,3.80,A. Brown WR - PIT ,19.40,A. Jeffery WR - PHI ,3.50,J. Graham TE - GB ,2.10,C. McCaffrey RB - CAR ,17.60,R. Gould K - SF ,7.00,Seahawks DEF ,10.00,B. Powell RB - NYJ ,0.00,L. Fitzgerald WR - ARI ,18.20,P. Rivers QB - LAC ,0.00,A. Hooper TE - ATL ,0.00,C. Kirk WR - ARI ,10.20,Panthers DEF ,8.00,102.16,Jeremy,114.96
Kevin,5,P. Mahomes QB - KC ,26.02,J. Richard RB - LV ,6.40,K. Hunt RB ,14.60,G. Tate WR - PHI ,5.30,T. Hilton WR - IND ,3.40,G. Kittle TE - SF ,5.70,C. Godwin WR - TB ,5.20,H. Butker K - KC ,6.00,Bears DEF ,5.00,D. Lewis RB - TEN ,0.00,C. Hyde RB - JAX ,1.10,C. Kupp WR - LA ,0.00,D. Cook RB - MIN ,0.00,M. Williams WR - LAC ,0.00,R. Jones RB - TB ,0.10,77.62,Peter,93.36
Jeremy,9,D. Watson QB - HOU ,30.96,L. Murray RB - MIN ,15.50,T. Yeldon RB - JAX ,9.00,S. Diggs WR - MIN ,17.90,M. Thomas WR - NO ,8.10,G. Olsen TE - CAR ,11.60,J. Landry WR - CLE ,3.90,W. Lutz K - NO ,14.00,Texans DEF ,4.00,J. Nelson WR - LV ,1.40,K. Rudolph TE - MIN ,3.90,W. Smallwood RB - PHI ,12.60,D. Henry RB - TEN ,0.00,L. Fournette RB - JAX ,0.00,B. Mayfield QB - CLE ,14.10,114.96,michael,102.16
Peter,8,A. Rodgers QB - GB ,15.94,A. Peterson RB - WAS ,25.60,K. Johnson RB - DET ,9.10,D. Adams WR - GB ,13.30,J. Brown WR - BAL ,2.80,T. Burton TE - CHI ,1.80,A. Collins RB - BAL ,10.30,D. Hopkins K - WAS ,10.00,Cardinals DEF ,8.00,M. Gordon RB - LAC ,0.00,M. Trubisky QB - CHI ,21.90,A. Jones RB - GB ,14.60,A. Ekeler RB - LAC ,0.00,C. Ridley WR - ATL ,0.00,Rams DEF ,7.00,96.84,Neil,115.60
Greg,11,T. Brady QB - NE ,13.76,D. Johnson RB - ARI ,10.00,T. Cohen RB - CHI ,17.00,E. Sanders WR - DEN ,5.10,T. Lockett WR - SEA ,10.70,R. Gronkowski TE - NE ,4.30,S. Shepard WR - NYG ,3.40,J. Elliott K - PHI ,6.00,Redskins DEF ,15.00,C. Hogan WR - NE ,4.90,D. Funchess WR - CAR ,2.70,A. Cooper WR - DAL ,0.00,K. Drake RB - MIA ,21.50,C. Clement RB - PHI ,0.50,N. Hines RB - IND ,8.50,85.26,Daniel,104.28
