Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,2,M. Stafford QB - DET ,13.40,L. Miller RB - HOU ,10.80,T. Coleman RB - ATL ,8.50,O. Beckham WR - NYG ,14.50,B. Cooks WR - LA ,10.70,J. Cook TE - LV ,9.10,T. Boyd WR - CIN ,7.10,M. Bryant K - ATL ,15.00,Chargers DEF ,0.00,F. Gore RB - MIA ,0.00,K. Cousins QB - MIN ,16.98,A. Blue RB - HOU ,4.60,E. McGuire RB - NYJ ,0.00,J. Smith-Schuster WR - PIT ,10.40,T. Smith WR - NO ,21.70,89.10,Greg,50.26
david,3,C. Newton QB - CAR ,24.48,M. Mack RB - IND ,12.90,J. Adams RB - PHI ,13.20,D. Hopkins WR - HOU ,9.60,R. Woods WR - LA ,13.20,Z. Ertz TE - PHI ,1.50,G. Tate WR - PHI ,4.00,G. Gano K - CAR ,1.00,Falcons DEF ,2.00,L. McCoy RB - BUF ,0.00,J. Edelman WR - NE ,0.00,M. Sanu WR - ATL ,5.90,G. Bernard RB - CIN ,2.50,J. Allen RB - BAL ,0.20,Patriots DEF ,0.00,81.88,Peter,101.98
Ryan,5,D. Brees QB - NO ,30.52,J. Conner RB - PIT ,4.90,S. Barkley RB - NYG ,33.20,J. Jones WR - ATL ,17.80,K. Golladay WR - DET ,17.30,E. Engram TE - NYG ,6.60,J. Mixon RB - CIN ,11.20,G. Zuerlein K - LA ,12.00,Titans DEF ,-4.00,L. Fitzgerald WR - ARI ,14.30,J. Landry WR - CLE ,0.00,D. Johnson RB - CLE ,0.00,D. Njoku TE - CLE ,0.00,N. Chubb RB - CLE ,0.00,Jaguars DEF ,9.00,129.52,Jeremy,107.62
alex,1,J. Goff QB - LA ,37.12,E. Elliott RB - DAL ,26.10,C. Carson RB - SEA ,12.30,A. Humphries WR - TB ,12.00,T. Hill WR - KC ,35.50,E. Ebron TE - IND ,0.00,D. Martin RB - LV ,5.80,J. Tucker K - BAL ,12.00,Ravens DEF ,1.00,A. Green WR - CIN ,0.00,R. Fitzpatrick QB - TB ,8.08,J. Gordon WR - NE ,0.00,J. Reed TE - WAS ,13.10,P. Barber RB - TB ,17.00,I. Smith RB - ATL ,2.20,141.82,Kevin,113.02
Alessandro,4,C. Wentz QB - PHI ,0.84,A. Kamara RB - NO ,16.80,P. Lindsay RB - DEN ,22.60,K. Allen WR - LAC ,15.00,A. Thielen WR - MIN ,8.60,O. Howard TE - TB ,7.80,D. Thomas WR - HOU ,0.00,C. Parkey K - CHI ,9.00,Steelers DEF ,9.00,M. Ingram RB - NO ,22.30,B. Marshall WR ,0.00,C. Thompson RB - WAS ,0.00,T. Gabriel WR - CHI ,6.90,D. Westbrook WR - JAX ,1.90,S. Gostkowski K - NE ,0.00,89.64,michael,81.44
Daniel,11,B. Roethlisberger QB - PIT ,20.66,M. Davis RB - SEA ,5.00,D. Henry RB - TEN ,4.60,M. Crabtree WR - BAL ,0.70,C. Davis WR - TEN ,2.90,T. Kelce TE - KC ,18.70,T. Riddick RB - DET ,3.00,B. Maher K - DAL ,12.00,Vikings DEF ,8.00,M. Jones WR - DET ,0.00,M. Goodwin WR - SF ,0.00,L. Bell RB - PIT ,0.00,T. Montgomery RB - BAL ,0.50,D. Prescott QB - DAL ,14.82,Saints DEF ,13.00,75.56,Neil,85.24
Neil,7,M. Ryan QB - ATL ,13.74,T. Gurley RB - LA ,9.40,J. Howard RB - CHI ,6.50,M. Evans WR - TB ,24.00,A. Robinson WR - CHI ,3.90,J. Doyle TE - IND ,4.30,S. Watkins WR - KC ,0.40,M. Prater K - DET ,10.00,Colts DEF ,13.00,R. Wilson QB - SEA ,17.60,V. McDonald TE - PIT ,8.70,R. Freeman RB - DEN ,9.00,S. Michel RB - NE ,0.00,C. Sutton WR - DEN ,7.80,Broncos DEF ,7.00,85.24,Daniel,75.56
michael,10,P. Rivers QB - LAC ,21.64,J. Richard RB - LV ,9.30,C. McCaffrey RB - CAR ,11.00,A. Brown WR - PIT ,17.70,T. Williams WR - LAC ,2.20,J. Graham TE - GB ,1.30,A. Jeffery WR - PHI ,3.30,K. Fairbairn K - HOU ,13.00,Panthers DEF ,2.00,B. Powell RB - NYJ ,0.00,A. Luck QB - IND ,23.88,J. White RB - NE ,0.00,I. Crowell RB - NYJ ,0.00,A. Hooper TE - ATL ,2.70,Giants DEF ,11.00,81.44,Alessandro,89.64
Kevin,6,P. Mahomes QB - KC ,37.92,D. Lewis RB - TEN ,3.20,K. Hunt RB ,17.10,D. Jackson WR - TB ,3.80,T. Hilton WR - IND ,27.50,R. Seals-Jones TE - ARI ,0.50,D. Cook RB - MIN ,-1.00,H. Butker K - KC ,9.00,Bears DEF ,15.00,S. Ware RB - KC ,0.00,M. Mariota QB - TEN ,3.10,C. Godwin WR - TB ,5.00,J. Reynolds WR - LA ,14.00,G. Kittle TE - SF ,0.00,A. Miller WR - CHI ,8.40,113.02,alex,141.82
Jeremy,9,D. Watson QB - HOU ,9.02,W. Smallwood RB - PHI ,-0.40,L. Fournette RB - JAX ,20.10,S. Diggs WR - MIN ,18.60,M. Thomas WR - NO ,15.20,G. Olsen TE - CAR ,6.90,D. Baldwin WR - SEA ,11.20,W. Lutz K - NO ,12.00,Texans DEF ,15.00,K. Rudolph TE - MIN ,1.30,L. Murray RB - MIN ,0.50,T. Yeldon RB - JAX ,3.20,M. Breida RB - SF ,0.00,B. Mayfield QB - CLE ,0.00,R. Penny RB - SEA ,4.60,107.62,Ryan,129.52
Peter,8,A. Rodgers QB - GB ,21.58,M. Gordon RB - LAC ,15.60,A. Jones RB - GB ,22.30,D. Adams WR - GB ,16.60,J. Brown WR - BAL ,2.30,T. Burton TE - CHI ,0.90,K. Johnson RB - DET ,15.70,D. Hopkins K - WAS ,3.00,Cardinals DEF ,4.00,A. Peterson RB - WAS ,17.10,A. Collins RB - BAL ,7.80,M. Trubisky QB - CHI ,14.90,A. Ekeler RB - LAC ,6.90,C. Ridley WR - ATL ,3.70,Rams DEF ,21.00,101.98,david,81.88
Greg,12,B. Bortles QB - JAX ,3.86,D. Johnson RB - ARI ,15.40,T. Cohen RB - CHI ,3.00,E. Sanders WR - DEN ,6.20,A. Cooper WR - DAL ,3.60,B. Watson TE - NO ,0.00,S. Shepard WR - NYG ,2.20,M. Crosby K - GB ,6.00,Redskins DEF ,10.00,R. Gronkowski TE - NE ,0.00,T. Brady QB - NE ,0.00,T. Lockett WR - SEA ,7.20,D. Funchess WR - CAR ,3.90,N. Agholor WR - PHI ,0.00,K. Drake RB - MIA ,0.00,50.26,Peter,89.10
