Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,2,K. Cousins QB - MIN ,17.54,L. Miller RB - HOU ,15.90,T. Coleman RB - ATL ,14.20,O. Beckham WR - NYG ,20.20,T. Boyd WR - CIN ,2.70,R. Seals-Jones TE - ARI ,1.20,B. Cooks WR - LA ,13.10,R. Succop K - TEN ,7.00,Jets DEF ,-3.00,J. Cook TE - LV ,0.00,M. Stafford QB - DET ,17.58,A. Blue RB - HOU ,2.80,R. Anderson WR - NYJ ,4.40,J. Smith-Schuster WR - PIT ,0.00,K. Coutee WR - HOU ,0.30,-,-,88.84,michael,68.24
david,5,C. Newton QB - CAR ,25.66,L. McCoy RB - BUF ,0.10,M. Mack RB - IND ,29.90,D. Hopkins WR - HOU ,11.00,R. Woods WR - LA ,8.40,Z. Ertz TE - PHI ,13.80,J. Edelman WR - NE ,9.60,G. Gano K - CAR ,1.00,Patriots DEF ,17.00,D. Jackson WR - TB ,9.30,D. Amendola WR - MIA ,14.40,M. Sanu WR - ATL ,2.10,G. Bernard RB - CIN ,0.00,J. Allen RB - BAL ,2.40,M. Bryant K - ATL ,0.00,-,-,116.46,Ryan,85.22
Ryan,6,A. Dalton QB - CIN ,7.92,J. Mixon RB - CIN ,5.10,M. Breida RB - SF ,-0.50,J. Jones WR - ATL ,8.40,K. Golladay WR - DET ,3.70,D. Njoku TE - CLE ,11.20,S. Barkley RB - NYG ,17.40,G. Zuerlein K - LA ,13.00,Colts DEF ,19.00,D. Baldwin WR - SEA ,0.00,R. Wilson QB - SEA ,0.00,M. Goodwin WR - SF ,2.40,J. Reed TE - WAS ,4.30,J. Conner RB - PIT ,0.00,N. Chubb RB - CLE ,14.00,-,-,85.22,david,116.46
alex,1,J. Goff QB - LA ,16.48,E. Elliott RB - DAL ,4.20,P. Barber RB - TB ,3.00,A. Green WR - CIN ,11.70,T. Hill WR - KC ,13.60,E. Ebron TE - IND ,3.10,I. Smith RB - ATL ,4.50,J. Tucker K - BAL ,5.00,Vikings DEF ,12.00,R. Cobb WR - GB ,0.00,M. Lynch RB - LV ,0.00,D. Martin RB - LV ,0.00,C. Davis WR - TEN ,1.00,C. Carson RB - SEA ,0.00,Ravens DEF ,3.00,-,-,73.58,Greg,104.60
Alessandro,3,C. Wentz QB - PHI ,18.70,M. Ingram RB - NO ,4.20,A. Kamara RB - NO ,13.50,K. Allen WR - LAC ,7.20,A. Thielen WR - MIN ,17.00,O. Howard TE - TB ,6.70,D. Thomas WR - HOU ,4.20,S. Gostkowski K - NE ,8.00,Jaguars DEF ,2.00,C. Thompson RB - WAS ,0.00,T. Gabriel WR - CHI ,2.60,J. James TE - PIT ,0.00,G. Allison WR - GB ,0.00,E. Engram TE - NYG ,2.60,P. Lindsay RB - DEN ,15.60,-,-,81.50,Peter,128.32
Daniel,12,D. Prescott QB - DAL ,20.22,F. Gore RB - MIA ,3.30,T. Riddick RB - DET ,0.00,M. Crabtree WR - BAL ,6.60,M. Jones WR - DET ,2.90,T. Kelce TE - KC ,9.50,W. Fuller WR - HOU ,6.80,J. Lambo K - JAX ,1.00,Saints DEF ,1.00,B. Roethlisberger QB - PIT ,0.00,J. Gordon WR - NE ,10.00,L. Bell RB - PIT ,0.00,P. Richardson WR - WAS ,0.00,M. Davis RB - SEA ,0.00,Chargers DEF ,5.00,-,-,51.32,Jeremy,106.80
Neil,8,M. Ryan QB - ATL ,19.26,T. Gurley RB - LA ,26.60,S. Michel RB - NE ,1.50,M. Evans WR - TB ,10.70,A. Robinson WR - CHI ,0.40,C. Brate TE - TB ,0.30,J. Howard RB - CHI ,10.80,D. Bailey K - MIN ,13.00,Broncos DEF ,32.00,D. Brees QB - NO ,16.78,J. Doyle TE - IND ,0.00,S. Watkins WR - KC ,7.40,J. Williams RB - GB ,0.00,R. Freeman RB - DEN ,9.70,M. Prater K - DET ,16.00,-,-,114.56,Kevin,135.22
michael,9,P. Rivers QB - LAC ,20.14,I. Crowell RB - NYJ ,5.00,C. McCaffrey RB - CAR ,8.00,A. Jeffery WR - PHI ,14.80,--empty--,-,A. Hooper TE - ATL ,4.80,B. Powell RB - NYJ ,2.50,R. Gould K - SF ,6.00,Panthers DEF ,7.00,J. Graham TE - GB ,0.00,D. Bryant WR - NO ,0.00,L. Fitzgerald WR - ARI ,10.00,A. Brown WR - PIT ,0.00,A. Luck QB - IND ,22.74,J. White RB - NE ,21.70,Seahawks DEF ,0.00,68.24,Peter,88.84
Kevin,4,P. Mahomes QB - KC ,32.82,D. Lewis RB - TEN ,15.50,K. Hunt RB ,32.10,G. Tate WR - PHI ,6.60,T. Hilton WR - IND ,14.50,G. Kittle TE - SF ,15.80,C. Godwin WR - TB ,5.90,H. Butker K - KC ,9.00,Bears DEF ,3.00,C. Hyde RB - JAX ,0.00,J. Richard RB - LV ,0.00,C. Kupp WR - LA ,0.00,D. Cook RB - MIN ,0.00,M. Williams WR - LAC ,11.80,R. Jones RB - TB ,8.80,-,-,135.22,Neil,114.56
Jeremy,10,B. Mayfield QB - CLE ,20.90,L. Murray RB - MIN ,20.30,T. Yeldon RB - JAX ,12.80,S. Diggs WR - MIN ,2.60,M. Thomas WR - NO ,12.90,K. Rudolph TE - MIN ,1.60,J. Landry WR - CLE ,15.70,W. Lutz K - NO ,6.00,Texans DEF ,14.00,J. Nelson WR - LV ,0.00,D. Johnson RB - CLE ,1.90,W. Smallwood RB - PHI ,3.70,D. Henry RB - TEN ,12.50,L. Fournette RB - JAX ,0.00,D. Watson QB - HOU ,10.86,-,-,106.80,Daniel,51.32
