Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,3,K. Cousins QB - MIN ,16.62,L. Miller RB - HOU ,7.10,T. Coleman RB - ATL ,10.10,O. Beckham WR - NYG ,4.40,T. Boyd WR - CIN ,18.20,J. Cook TE - LV ,1.00,J. Smith-Schuster WR - PIT ,13.10,R. Succop K - TEN ,0.00,Jets DEF ,13.00,M. Stafford QB - DET ,0.00,B. Cooks WR - LA ,5.30,D. Freeman RB - ATL ,0.00,A. Blue RB - HOU ,4.30,K. Cole WR - JAX ,2.10,K. Coutee WR - HOU ,3.30,83.52,Neil,133.20
david,6,C. Newton QB - CAR ,23.30,L. McCoy RB - BUF ,9.40,J. Allen RB - BAL ,1.90,D. Hopkins WR - HOU ,12.30,R. Woods WR - LA ,12.10,Z. Ertz TE - PHI ,10.30,J. Edelman WR - NE ,12.10,M. Bryant K - ATL ,12.00,Patriots DEF ,0.00,J. Flacco QB - BAL ,11.92,D. Jackson WR - TB ,8.40,D. Amendola WR - MIA ,5.90,M. Sanu WR - ATL ,10.60,G. Bernard RB - CIN ,0.00,M. Mack RB - IND ,9.30,93.40,Greg,84.10
Ryan,4,J. Winston QB - TB ,30.70,J. Conner RB - PIT ,24.90,S. Barkley RB - NYG ,28.90,J. Jones WR - ATL ,14.40,D. Baldwin WR - SEA ,9.10,J. Reed TE - WAS ,3.60,J. Mixon RB - CIN ,14.40,C. Santos K - TB ,11.00,Packers DEF ,7.00,R. Wilson QB - SEA ,20.88,Q. Enunwa WR - NYJ ,-1.10,D. Njoku TE - CLE ,11.50,K. Golladay WR - DET ,0.00,M. Breida RB - SF ,12.10,G. Zuerlein K - LA ,0.00,144.00,Peter,130.50
alex,1,J. Goff QB - LA ,7.44,M. Lynch RB - LV ,5.90,E. Elliott RB - DAL ,17.70,A. Green WR - CIN ,8.50,T. Hill WR - KC ,32.20,E. Ebron TE - IND ,13.00,C. Carson RB - SEA ,5.90,J. Tucker K - BAL ,3.00,Vikings DEF ,12.00,R. Cobb WR - GB ,0.00,G. Olsen TE - CAR ,4.80,B. Bortles QB - JAX ,10.16,P. Barber RB - TB ,16.60,C. Davis WR - TEN ,2.40,Ravens DEF ,21.00,105.64,Jeremy,74.18
Alessandro,2,C. Wentz QB - PHI ,24.52,C. Thompson RB - WAS ,0.00,P. Lindsay RB - DEN ,6.60,K. Allen WR - LAC ,10.30,A. Thielen WR - MIN ,18.30,J. James TE - PIT ,2.60,D. Thomas WR - HOU ,11.70,S. Gostkowski K - NE ,21.00,Jaguars DEF ,-1.00,M. Ingram RB - NO ,0.00,J. Doctson WR - WAS ,2.00,G. Allison WR - GB ,0.00,E. Engram TE - NYG ,0.00,A. Kamara RB - NO ,0.00,Steelers DEF ,3.00,94.02,Kevin,81.48
Daniel,12,B. Roethlisberger QB - PIT ,20.56,F. Gore RB - MIA ,11.90,M. Davis RB - SEA ,2.60,M. Crabtree WR - BAL ,15.30,W. Fuller WR - HOU ,3.30,T. Kelce TE - KC ,6.10,P. Richardson WR - WAS ,9.30,J. Lambo K - JAX ,1.00,Chargers DEF ,10.00,M. Jones WR - DET ,0.00,J. Gordon WR - NE ,4.20,T. Riddick RB - DET ,0.00,L. Bell RB - PIT ,0.00,D. Prescott QB - DAL ,29.52,Saints DEF ,0.00,80.06,michael,110.58
Neil,8,M. Ryan QB - ATL ,27.50,T. Gurley RB - LA ,36.50,S. Michel RB - NE ,22.60,M. Evans WR - TB ,5.80,A. Robinson WR - CHI ,12.40,C. Brate TE - TB ,7.50,J. Howard RB - CHI ,4.90,D. Bailey K - MIN ,9.00,Broncos DEF ,7.00,D. Brees QB - NO ,0.00,J. Doyle TE - IND ,0.00,S. Watkins WR - KC ,1.70,J. Williams RB - GB ,3.90,R. Freeman RB - DEN ,2.20,M. Prater K - DET ,0.00,133.20,Peter,83.52
michael,9,P. Rivers QB - LAC ,14.28,I. Crowell RB - NYJ ,5.20,C. McCaffrey RB - CAR ,6.60,A. Brown WR - PIT ,16.50,A. Jeffery WR - PHI ,19.40,J. Graham TE - GB ,10.40,J. White RB - NE ,9.20,R. Gould K - SF ,12.00,Seahawks DEF ,17.00,D. Bryant WR - NO ,0.00,B. Powell RB - NYJ ,5.90,L. Fitzgerald WR - ARI ,3.90,A. Luck QB - IND ,22.74,A. Hooper TE - ATL ,13.10,Panthers DEF ,3.00,110.58,Daniel,80.06
Kevin,5,P. Mahomes QB - KC ,26.98,C. Hyde RB - JAX ,3.40,K. Hunt RB ,24.50,C. Kupp WR - LA ,1.20,M. Williams WR - LAC ,1.40,G. Kittle TE - SF ,3.00,A. Morris RB - SF ,0.00,H. Butker K - KC ,16.00,Bears DEF ,5.00,G. Tate WR - PHI ,0.00,D. Lewis RB - TEN ,1.40,T. Hilton WR - IND ,0.00,D. Cook RB - MIN ,0.00,C. Godwin WR - TB ,11.60,R. Jones RB - TB ,1.90,81.48,Alessandro,94.02
Jeremy,10,D. Watson QB - HOU ,5.28,T. Yeldon RB - JAX ,7.00,W. Smallwood RB - PHI ,5.10,J. Landry WR - CLE ,1.10,S. Diggs WR - MIN ,4.20,K. Rudolph TE - MIN ,3.70,L. Murray RB - MIN ,21.80,K. Fairbairn K - HOU ,8.00,Texans DEF ,18.00,J. Nelson WR - LV ,0.60,D. Moncrief WR - JAX ,0.00,D. Henry RB - TEN ,2.60,M. Thomas WR - NO ,0.00,L. Fournette RB - JAX ,0.00,W. Lutz K - NO ,0.00,74.18,alex,105.64
Peter,7,A. Rodgers QB - GB ,30.40,M. Gordon RB - LAC ,33.00,A. Jones RB - GB ,4.10,D. Adams WR - GB ,25.20,C. Ridley WR - ATL ,4.70,T. Burton TE - CHI ,8.30,J. Brown WR - BAL ,2.80,M. Crosby K - GB ,17.00,Rams DEF ,5.00,A. Peterson RB - WAS ,9.70,V. McDonald TE - PIT ,6.80,N. Agholor WR - PHI ,9.10,A. Collins RB - BAL ,17.40,A. Ekeler RB - LAC ,6.00,K. Johnson RB - DET ,0.00,130.50,Ryan,144.00
Greg,11,T. Brady QB - NE ,21.80,D. Johnson RB - ARI ,10.90,N. Hines RB - IND ,3.50,E. Sanders WR - DEN ,17.50,S. Shepard WR - NYG ,3.70,R. Gronkowski TE - NE ,9.70,T. Lockett WR - SEA ,8.00,J. Elliott K - PHI ,10.00,Browns DEF ,-1.00,T. Ginn WR - NO ,0.00,D. Funchess WR - CAR ,13.40,A. Cooper WR - DAL ,0.00,K. Drake RB - MIA ,5.80,T. Cohen RB - CHI ,16.10,C. Clement RB - PHI ,12.90,84.10,david,93.40
