Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,2,K. Cousins QB - MIN ,22.22,T. Coleman RB - ATL ,5.10,K. Ballage RB - MIA ,4.90,B. Cooks WR - LA ,6.20,J. Smith-Schuster WR - PIT ,9.50,J. Cook TE - LV ,2.00,J. Samuels RB - PIT ,12.40,M. Bryant K - ATL ,6.00,Dolphins DEF ,12.00,M. Stafford QB - DET ,4.64,L. Miller RB - HOU ,0.00,O. Beckham WR - NYG ,0.00,A. Blue RB - HOU ,4.00,T. Boyd WR - CIN ,0.00,Redskins DEF ,4.00,80.32,alex,109.14
david,3,C. Newton QB - CAR ,0.00,M. Mack RB - IND ,9.80,J. Adams RB - PHI ,0.10,J. Edelman WR - NE ,13.00,D. Hopkins WR - HOU ,10.40,Z. Ertz TE - PHI ,23.00,R. Woods WR - LA ,22.40,J. Elliott K - PHI ,8.00,Patriots DEF ,10.00,L. McCoy RB - BUF ,1.90,G. Tate WR - PHI ,1.30,M. Sanu WR - ATL ,17.00,G. Bernard RB - CIN ,0.00,J. Allen RB - BAL ,0.00,G. Gano K - CAR ,0.00,96.70,Alessandro,61.70
Ryan,5,D. Brees QB - NO ,16.94,S. Barkley RB - NYG ,13.70,N. Chubb RB - CLE ,11.50,J. Jones WR - ATL ,8.80,R. Anderson WR - NYJ ,20.00,E. Engram TE - NYG ,11.30,J. Mixon RB - CIN ,7.80,G. Zuerlein K - LA ,7.00,Titans DEF ,13.00,J. Landry WR - CLE ,7.82,C. Brate TE - TB ,0.80,J. Conner RB - PIT ,0.00,D. Njoku TE - CLE ,13.30,K. Golladay WR - DET ,5.80,J. Williams RB - GB ,21.60,110.04,Kevin,120.82
alex,1,J. Goff QB - LA ,17.24,E. Elliott RB - DAL ,10.90,C. Carson RB - SEA ,23.60,A. Humphries WR - TB ,7.90,T. Hill WR - KC ,9.10,E. Ebron TE - IND ,2.80,P. Barber RB - TB ,5.60,J. Tucker K - BAL ,12.00,Ravens DEF ,20.00,D. Martin RB - LV ,17.60,J. Gordon WR - NE ,0.00,J. Reed TE - WAS ,0.00,J. Winston QB - TB ,14.84,J. Ross WR - CIN ,7.00,Chiefs DEF ,-1.00,109.14,Peter,80.32
Alessandro,4,C. Wentz QB - PHI ,0.00,M. Ingram RB - NO ,10.30,A. Kamara RB - NO ,22.50,K. Allen WR - LAC ,5.80,A. Thielen WR - MIN ,8.30,A. Gates TE - LAC ,0.10,P. Lindsay RB - DEN ,5.70,S. Gostkowski K - NE ,6.00,Steelers DEF ,3.00,D. Thomas WR - HOU ,3.70,Z. Jones WR - BUF ,12.70,D. Westbrook WR - JAX ,5.40,C. Samuel WR - CAR ,4.10,J. Jackson RB - LAC ,4.60,J. Allen QB - BUF ,11.68,61.70,david,96.70
Daniel,11,B. Roethlisberger QB - PIT ,29.60,T. Riddick RB - DET ,0.50,D. Henry RB - TEN ,15.20,L. Fitzgerald WR - ARI ,10.58,C. Davis WR - TEN ,4.60,T. Kelce TE - KC ,5.40,M. Crabtree WR - BAL ,2.00,B. Maher K - DAL ,11.00,Vikings DEF ,7.00,L. Blount RB - DET ,2.40,M. Goodwin WR - SF ,2.90,L. Bell RB - PIT ,0.00,M. Davis RB - SEA ,3.10,D. Prescott QB - DAL ,16.64,Saints DEF ,6.00,85.88,Greg,53.34
Neil,7,R. Wilson QB - SEA ,28.54,S. Michel RB - NE ,17.60,G. Edwards RB - BAL ,10.50,M. Evans WR - TB ,15.00,A. Robinson WR - CHI ,7.40,V. McDonald TE - PIT ,4.90,T. Gurley RB - LA ,0.00,M. Prater K - DET ,9.00,Broncos DEF ,1.00,M. Ryan QB - ATL ,19.46,J. Doyle TE - IND ,0.00,S. Watkins WR - KC ,0.00,J. Howard RB - CHI ,13.00,C. Sutton WR - DEN ,12.50,Jaguars DEF ,17.00,93.94,Peter,75.98
michael,10,A. Luck QB - IND ,21.58,J. White RB - NE ,11.40,C. McCaffrey RB - CAR ,17.80,A. Brown WR - PIT ,30.50,A. Jeffery WR - PHI ,8.20,J. Graham TE - GB ,3.40,T. Williams WR - LAC ,1.20,K. Fairbairn K - HOU ,6.00,Panthers DEF ,5.00,B. Powell RB - NYJ ,0.00,P. Rivers QB - LAC ,3.34,I. Crowell RB - NYJ ,0.00,A. Hooper TE - ATL ,3.60,J. Richard RB - LV ,11.10,Giants DEF ,2.00,105.08,Jeremy,131.86
Kevin,6,P. Mahomes QB - KC ,28.22,E. McGuire RB - NYJ ,20.50,D. Cook RB - MIN ,10.80,T. Hilton WR - IND ,13.80,D. Pettis WR - SF ,2.10,G. Kittle TE - SF ,7.40,D. Williams RB - KC ,18.00,H. Butker K - KC ,13.00,Bears DEF ,7.00,D. Lewis RB - TEN ,2.50,S. Ware RB - KC ,0.00,C. Godwin WR - TB ,3.90,J. Reynolds WR - LA ,4.40,R. Foster WR - BUF ,5.20,L. Jackson QB - BAL ,16.06,120.82,Ryan,110.04
Jeremy,9,D. Watson QB - HOU ,36.46,L. Fournette RB - JAX ,13.10,M. Breida RB - SF ,2.60,S. Diggs WR - MIN ,7.00,M. Thomas WR - NO ,16.90,K. Rudolph TE - MIN ,24.20,D. Baldwin WR - SEA ,18.60,W. Lutz K - NO ,7.00,Texans DEF ,6.00,L. Murray RB - MIN ,2.80,T. Yeldon RB - JAX ,0.00,I. Smith RB - ATL ,0.00,B. Mayfield QB - CLE ,24.96,R. Penny RB - SEA ,0.00,K. Coutee WR - HOU ,0.00,131.86,michael,105.08
