Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,2,K. Cousins QB - MIN ,10.82,L. Miller RB - HOU ,11.20,T. Coleman RB - ATL ,4.10,O. Beckham WR - NYG ,0.00,B. Cooks WR - LA ,2.20,J. Cook TE - LV ,11.60,J. Smith-Schuster WR - PIT ,25.00,M. Bryant K - ATL ,2.00,Lions DEF ,18.00,M. Stafford QB - DET ,4.74,F. Gore RB - MIA ,11.60,A. Blue RB - HOU ,8.10,T. Boyd WR - CIN ,5.20,J. Samuels RB - PIT ,9.20,Redskins DEF ,3.00,84.92,-,-
david,3,C. Newton QB - CAR ,10.90,L. McCoy RB - BUF ,0.10,M. Mack RB - IND ,9.30,J. Edelman WR - NE ,14.60,D. Hopkins WR - HOU ,9.60,Z. Ertz TE - PHI ,3.80,R. Woods WR - LA ,6.10,J. Elliott K - PHI ,5.00,Patriots DEF ,4.00,G. Tate WR - PHI ,0.70,M. Sanu WR - ATL ,5.40,G. Bernard RB - CIN ,2.00,J. Allen RB - BAL ,0.00,J. Adams RB - PHI ,3.60,G. Gano K - CAR ,0.00,63.40,Kevin,130.78
Ryan,5,D. Brees QB - NO ,13.94,S. Barkley RB - NYG ,25.70,N. Chubb RB - CLE ,14.30,J. Jones WR - ATL ,22.60,K. Golladay WR - DET ,0.50,D. Njoku TE - CLE ,3.50,J. Mixon RB - CIN ,19.80,G. Zuerlein K - LA ,8.00,Chargers DEF ,3.00,J. Landry WR - CLE ,21.10,C. Brate TE - TB ,13.20,D. Johnson RB - CLE ,-0.60,J. Conner RB - PIT ,0.00,Titans DEF ,10.00,Seahawks DEF ,14.00,111.34,Alessandro,90.42
alex,1,J. Goff QB - LA ,-0.30,E. Elliott RB - DAL ,19.20,C. Carson RB - SEA ,15.00,J. Gordon WR - NE ,9.60,T. Hill WR - KC ,14.50,E. Ebron TE - IND ,12.50,D. Martin RB - LV ,9.20,J. Tucker K - BAL ,6.00,Ravens DEF ,5.00,J. Reed TE - WAS ,0.00,J. Winston QB - TB ,19.22,A. Humphries WR - TB ,4.20,P. Barber RB - TB ,4.40,J. Ross WR - CIN ,7.10,Chiefs DEF ,4.00,90.70,-,-
Alessandro,4,C. Wentz QB - PHI ,18.82,M. Ingram RB - NO ,11.30,A. Kamara RB - NO ,10.70,K. Allen WR - LAC ,13.80,A. Thielen WR - MIN ,7.80,A. Gates TE - LAC ,1.90,P. Lindsay RB - DEN ,11.10,S. Gostkowski K - NE ,9.00,Steelers DEF ,6.00,D. Thomas WR - HOU ,4.80,Z. Jones WR - BUF ,2.20,D. Westbrook WR - JAX ,14.80,C. Samuel WR - CAR ,8.00,J. Jackson RB - LAC ,3.50,J. Allen QB - BUF ,18.34,90.42,Ryan,111.34
Daniel,11,B. Roethlisberger QB - PIT ,19.28,L. Blount RB - DET ,3.10,D. Henry RB - TEN ,49.80,M. Goodwin WR - SF ,2.00,C. Davis WR - TEN ,2.10,T. Kelce TE - KC ,13.70,L. Fitzgerald WR - ARI ,5.50,B. Maher K - DAL ,13.00,Saints DEF ,7.00,M. Crabtree WR - BAL ,3.10,T. Riddick RB - DET ,5.80,L. Bell RB - PIT ,0.00,M. Davis RB - SEA ,2.70,D. Prescott QB - DAL ,26.40,Vikings DEF ,5.00,115.48,michael,62.90
Neil,7,M. Ryan QB - ATL ,20.48,S. Michel RB - NE ,5.70,G. Edwards RB - BAL ,6.70,M. Evans WR - TB ,8.60,A. Robinson WR - CHI ,4.20,V. McDonald TE - PIT ,3.70,T. Gurley RB - LA ,5.80,M. Prater K - DET ,5.00,Cowboys DEF ,4.00,R. Wilson QB - SEA ,8.98,J. Doyle TE - IND ,0.00,S. Watkins WR - KC ,0.00,J. Howard RB - CHI ,10.30,C. Sutton WR - DEN ,1.30,Broncos DEF ,6.00,64.18,-,-
michael,10,P. Rivers QB - LAC ,13.50,J. White RB - NE ,2.80,C. McCaffrey RB - CAR ,22.10,A. Brown WR - PIT ,3.50,A. Jeffery WR - PHI ,11.00,J. Graham TE - GB ,1.30,I. Crowell RB - NYJ ,0.70,K. Fairbairn K - HOU ,3.00,Panthers DEF ,5.00,B. Powell RB - NYJ ,0.00,A. Luck QB - IND ,23.56,T. Williams WR - LAC ,1.40,A. Hooper TE - ATL ,3.70,J. Richard RB - LV ,2.90,Giants DEF ,18.00,62.90,Daniel,115.48
Kevin,6,P. Mahomes QB - KC ,20.78,S. Ware RB - KC ,12.90,D. Cook RB - MIN ,14.30,T. Hilton WR - IND ,19.90,J. Reynolds WR - LA ,3.60,G. Kittle TE - SF ,29.00,C. Godwin WR - TB ,1.30,H. Butker K - KC ,9.00,Bears DEF ,20.00,D. Jackson WR - TB ,0.00,D. Lewis RB - TEN ,5.20,S. Ridley RB - PIT ,6.40,J. Smith TE - TEN ,0.00,L. Jackson QB - BAL ,18.58,A. Miller WR - CHI ,0.00,130.78,david,63.40
Jeremy,9,D. Watson QB - HOU ,18.18,L. Murray RB - MIN ,0.40,L. Fournette RB - JAX ,4.10,S. Diggs WR - MIN ,8.10,M. Thomas WR - NO ,9.80,K. Rudolph TE - MIN ,0.70,D. Baldwin WR - SEA ,0.00,W. Lutz K - NO ,8.00,Texans DEF ,4.00,G. Olsen TE - CAR ,0.00,T. Yeldon RB - JAX ,1.70,M. Breida RB - SF ,0.00,B. Mayfield QB - CLE ,13.72,R. Penny RB - SEA ,4.40,K. Coutee WR - HOU ,0.00,53.28,Greg,135.52
Peter,8,A. Rodgers QB - GB ,20.24,A. Jones RB - GB ,16.60,A. Ekeler RB - LAC ,15.40,D. Adams WR - GB ,14.10,D. Moore WR - CAR ,6.70,T. Burton TE - CHI ,2.20,M. Williams WR - LAC ,4.50,A. Vinatieri K - IND ,8.00,Rams DEF ,11.00,A. Peterson RB - WAS ,1.90,M. Gordon RB - LAC ,0.00,M. Trubisky QB - CHI ,4.70,K. Johnson RB - DET ,0.00,C. Ridley WR - ATL ,1.00,D. Williams RB - KC ,0.80,98.74,-,-
