Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,1,K. Cousins QB - MIN ,6.86,L. Miller RB - HOU ,4.80,T. Coleman RB - ATL ,27.60,B. Cooks WR - LA ,17.40,J. Smith-Schuster WR - PIT ,7.80,J. Cook TE - LV ,2.00,T. Smith WR - NO ,8.30,D. Bailey K - MIN ,6.00,Cowboys DEF ,7.00,M. Stafford QB - DET ,6.56,O. Beckham WR - NYG ,0.00,A. Blue RB - HOU ,3.90,T. Boyd WR - CIN ,0.00,E. McGuire RB - NYJ ,6.70,K. Coutee WR - HOU ,0.00,-,-,87.76,Jeremy,102.92
david,4,C. Newton QB - CAR ,21.18,L. McCoy RB - BUF ,2.90,J. Allen RB - BAL ,1.40,D. Hopkins WR - HOU ,16.50,R. Woods WR - LA ,7.50,M. Andrews TE - BAL ,5.00,J. Edelman WR - NE ,11.38,G. Gano K - CAR ,6.00,Patriots DEF ,4.00,G. Tate WR - PHI ,0.00,M. Sanu WR - ATL ,4.50,G. Bernard RB - CIN ,0.00,Z. Ertz TE - PHI ,0.00,M. Mack RB - IND ,0.00,J. Adams RB - PHI ,0.00,-,-,75.86,Neil,83.10
Ryan,6,D. Brees QB - NO ,31.44,J. Conner RB - PIT ,22.30,N. Chubb RB - CLE ,15.00,J. Jones WR - ATL ,18.10,K. Golladay WR - DET ,5.40,D. Njoku TE - CLE ,5.30,J. Landry WR - CLE ,5.00,G. Zuerlein K - LA ,11.00,Chiefs DEF ,4.00,J. Reed TE - WAS ,3.40,D. Johnson RB - CLE ,20.60,J. Mixon RB - CIN ,0.00,D. Moore WR - CAR ,4.80,M. Valdes-Scantling WR - GB ,10.10,S. Barkley RB - NYG ,0.00,-,-,117.54,Daniel,100.30
alex,2,J. Goff QB - LA ,29.34,E. Elliott RB - DAL ,11.20,P. Barber RB - TB ,4.00,J. Gordon WR - NE ,19.00,T. Hill WR - KC ,8.50,C. Herndon TE - NYJ ,6.20,D. Martin RB - LV ,6.90,J. Tucker K - BAL ,10.00,Ravens DEF ,1.00,R. Cobb WR - GB ,2.40,A. Green WR - CIN ,0.00,R. Fitzpatrick QB - TB ,24.02,E. Ebron TE - IND ,0.00,C. Carson RB - SEA ,4.00,I. Smith RB - ATL ,12.40,-,-,96.14,Alessandro,107.24
Alessandro,3,A. Smith QB - WAS ,16.44,A. Kamara RB - NO ,29.60,P. Lindsay RB - DEN ,8.40,K. Allen WR - LAC ,15.20,A. Thielen WR - MIN ,8.70,O. Howard TE - TB ,17.30,M. Ingram RB - NO ,1.60,S. Gostkowski K - NE ,7.00,Steelers DEF ,3.00,D. Thomas WR - HOU ,6.10,C. Thompson RB - WAS ,0.00,T. Gabriel WR - CHI ,4.50,C. Wentz QB - PHI ,0.00,G. Allison WR - GB ,0.00,Cardinals DEF ,0.00,-,-,107.24,alex,96.14
Daniel,12,B. Roethlisberger QB - PIT ,25.20,F. Gore RB - MIA ,5.90,C. Ivory RB - BUF ,5.50,M. Jones WR - DET ,6.60,C. Davis WR - TEN ,6.00,T. Kelce TE - KC ,21.90,M. Crabtree WR - BAL ,3.20,C. Catanzaro K - CAR ,4.00,Vikings DEF ,22.00,L. Bell RB - PIT ,0.00,P. Richardson WR - WAS ,1.60,T. Montgomery RB - BAL ,0.00,M. Davis RB - SEA ,10.70,D. Prescott QB - DAL ,14.82,Saints DEF ,-2.00,-,-,100.30,Ryan,117.54
Neil,7,M. Ryan QB - ATL ,28.00,T. Gurley RB - LA ,13.90,--empty--,-,S. Watkins WR - KC ,6.40,M. Evans WR - TB ,1.60,V. McDonald TE - PIT ,2.50,J. Howard RB - CHI ,16.70,M. Prater K - DET ,9.00,Broncos DEF ,5.00,R. Wilson QB - SEA ,19.50,J. Doyle TE - IND ,0.00,A. Robinson WR - CHI ,0.00,R. Freeman RB - DEN ,0.00,S. Michel RB - NE ,0.00,C. Sutton WR - DEN ,5.70,Eagles DEF ,0.00,83.10,david,75.86
michael,10,P. Rivers QB - LAC ,17.12,J. White RB - NE ,22.30,I. Crowell RB - NYJ ,6.00,A. Brown WR - PIT ,10.20,T. Williams WR - LAC ,8.30,J. Graham TE - GB ,11.50,C. McCaffrey RB - CAR ,27.70,R. Gould K - SF ,10.00,Seahawks DEF ,3.00,B. Powell RB - NYJ ,0.00,A. Luck QB - IND ,0.00,A. Jeffery WR - PHI ,0.00,A. Hooper TE - ATL ,4.10,C. Kirk WR - ARI ,0.00,Panthers DEF ,6.00,-,-,116.12,Greg,36.76
Kevin,5,P. Mahomes QB - KC ,26.80,D. Lewis RB - TEN ,18.20,K. Hunt RB ,32.10,D. Jackson WR - TB ,3.20,C. Kupp WR - LA ,14.90,G. Kittle TE - SF ,16.80,J. Richard RB - LV ,4.90,H. Butker K - KC ,7.00,Bears DEF ,28.00,T. Hilton WR - IND ,0.00,C. Hyde RB - JAX ,0.00,D. Cook RB - MIN ,10.90,C. Godwin WR - TB ,4.00,M. Williams WR - LAC ,9.00,R. Jones RB - TB ,0.00,-,-,151.90,Peter,77.56
Jeremy,9,D. Watson QB - HOU ,20.32,L. Murray RB - MIN ,10.70,M. Breida RB - SF ,4.70,D. Parker WR - MIA ,0.80,M. Thomas WR - NO ,29.10,G. Olsen TE - CAR ,13.60,D. Baldwin WR - SEA ,7.70,W. Lutz K - NO ,11.00,Texans DEF ,5.00,K. Rudolph TE - MIN ,2.80,T. Yeldon RB - JAX ,0.00,S. Diggs WR - MIN ,0.00,W. Smallwood RB - PHI ,0.00,D. Henry RB - TEN ,9.20,L. Fournette RB - JAX ,0.00,-,-,102.92,Peter,87.76
