Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,4,C. Wentz QB - PHI ,17.14,J. McKinnon RB - MIN ,20.20,C. McCaffrey RB - CAR ,5.20,D. Bryant WR - DAL ,3.90,T. Hill WR - KC ,1.80,A. Seferian-Jenkins TE - NYJ ,2.80,T. Ginn WR - NO ,6.80,G. Gano K - CAR ,5.00,Saints DEF ,8.00,J. Nelson WR - GB ,0.00,J. Graham TE - SEA ,15.90,F. Gore RB - IND ,10.10,J. Winston QB - TB ,3.70,J. Doctson WR - WAS ,6.10,G. Zuerlein K - LA ,0.00,70.84,Kevin,122.68
david,7,C. Newton QB - CAR ,12.56,M. Ingram RB - NO ,11.90,J. Richard RB - LV ,3.60,A. Brown WR - PIT ,7.00,B. Cooks WR - NE ,2.60,J. Reed TE - WAS ,0.50,M. Sanu WR - ATL ,13.40,K. Forbath K - MIN ,15.00,Patriots DEF ,9.00,K. Britt WR - NE ,0.00,J. Maclin WR - BAL ,11.30,E. Decker WR - TEN ,0.00,T. Taylor QB - BUF ,16.70,M. Lynch RB - LV ,0.00,G. Bernard RB - CIN ,0.50,75.56,Alessandro,57.52
Ryan,9,T. Brady QB - NE ,17.52,L. Murray RB - MIN ,4.70,T. Coleman RB - ATL ,10.40,D. Baldwin WR - SEA ,5.40,K. Benjamin WR - BUF ,9.90,Z. Ertz TE - PHI ,9.40,M. Forte RB - NYJ ,5.20,M. Bryant K - ATL ,13.00,Ravens DEF ,29.00,M. Bryant WR - PIT ,0.00,I. Crowell RB - CLE ,15.80,D. Johnson RB - ARI ,0.00,D. Foreman RB - HOU ,0.00,J. Smith-Schuster WR - PIT ,25.30,M. Williams WR - LAC ,0.70,104.52,alex,78.08
alex,11,J. McCown QB - NYJ ,18.28,D. Freeman RB - ATL ,6.10,J. Mixon RB - CIN ,8.90,E. Sanders WR - DEN ,0.00,K. Wright WR - CHI ,2.30,J. Witten TE - DAL ,3.10,C. Thompson RB - WAS ,7.40,J. Tucker K - BAL ,12.00,Chiefs DEF ,20.00,A. Luck QB - IND ,0.00,A. Hurns WR - JAX ,0.00,J. Ajayi RB - PHI ,4.10,J. Allen RB - BAL ,5.70,J. Goff QB - LA ,0.00,Lions DEF ,5.00,78.08,Ryan,104.52
Alessandro,12,K. Cousins QB - WAS ,10.52,C. Anderson RB - DEN ,8.50,A. Abdullah RB - DET ,3.80,A. Jeffery WR - PHI ,14.20,M. Thomas WR - NO ,7.70,E. Dickson TE - CAR ,2.40,W. Smallwood RB - PHI ,1.40,J. Elliott K - PHI ,9.00,Rams DEF ,0.00,J. Stewart RB - CAR ,9.40,D. Murray RB - TEN ,0.00,S. Watkins WR - LA ,0.00,J. Nelson WR - ARI ,0.00,E. McGuire RB - NYJ ,0.20,T. Cohen RB - CHI ,6.80,57.52,david,75.56
Daniel,10,B. Roethlisberger QB - PIT ,14.48,L. McCoy RB - BUF ,23.30,B. Powell RB - NYJ ,6.10,T. Hilton WR - IND ,1.50,R. Matthews WR - TEN ,0.00,J. Cook TE - LV ,5.70,T. Lockett WR - SEA ,11.90,S. Gostkowski K - NE ,13.00,Seahawks DEF ,13.00,D. Thomas WR - DEN ,6.60,G. Olsen TE - CAR ,0.00,R. Woods WR - LA ,0.00,D. Moncrief WR - IND ,0.00,D. Johnson RB - CLE ,4.30,M. Mariota QB - TEN ,0.00,88.98,Greg,88.16
Neil,1,R. Wilson QB - SEA ,37.08,D. Lewis RB - NE ,5.40,D. Washington RB - LV ,12.80,J. Kearse WR - NYJ ,1.40,D. Hopkins WR - HOU ,30.40,T. Kroft TE - CIN ,4.60,S. Diggs WR - MIN ,2.60,M. Prater K - DET ,17.00,Panthers DEF ,16.00,A. Ellington RB - HOU ,0.00,D. Adams WR - GB ,0.00,T. Montgomery RB - GB ,0.00,T. Gurley RB - LA ,0.00,E. Engram TE - NYG ,0.00,Jaguars DEF ,0.00,127.28,Peter,66.08
michael,6,D. Prescott QB - DAL ,7.32,L. Bell RB - PIT ,12.10,A. Kamara RB - NO ,13.60,J. Landry WR - MIA ,3.30,N. Agholor WR - PHI ,2.60,T. Kelce TE - KC ,19.30,L. Miller RB - HOU ,19.30,S. Hauschka K - BUF ,10.00,Broncos DEF ,5.00,M. Stafford QB - DET ,20.02,A. Peterson RB - ARI ,0.00,A. Cooper WR - LV ,5.20,J. Williams RB - GB ,0.00,R. Succop K - TEN ,0.00,Jets DEF ,5.00,92.52,Jeremy,109.26
Kevin,2,D. Watson QB - HOU ,34.78,J. Howard RB - CHI ,12.10,K. Hunt RB - KC ,6.80,D. Jackson WR - TB ,3.70,A. Green WR - CIN ,8.70,H. Henry TE - LAC ,1.10,W. Fuller WR - HOU ,24.50,H. Butker K - KC ,19.00,Bengals DEF ,12.00,G. Tate WR - DET ,6.60,D. Carr QB - LV ,12.52,O. Darkwa RB - NYG ,0.00,D. Parker WR - MIA ,0.00,A. Collins RB - BAL ,14.30,C. Davis WR - TEN ,0.00,122.68,Peter,70.84
Jeremy,3,D. Brees QB - NO ,11.76,M. Gordon RB - LAC ,19.90,E. Elliott RB - DAL ,25.40,K. Allen WR - LAC ,6.10,A. Thielen WR - MIN ,15.80,C. Brate TE - TB ,6.40,R. Kelley RB - WAS ,7.90,B. Walsh K - SEA ,11.00,Steelers DEF ,5.00,L. Fitzgerald WR - ARI ,0.00,T. Pryor WR - WAS ,0.00,B. Bortles QB - JAX ,0.00,W. Snead WR - NO ,0.00,S. Shepard WR - NYG ,0.00,D. Henry RB - TEN ,0.00,109.26,michael,92.52
Peter,5,P. Rivers QB - LAC ,10.48,D. Martin RB - TB ,7.50,T. Rawls RB - SEA ,-0.10,P. Garcon WR - SF ,1.70,M. Evans WR - TB ,6.00,R. Gronkowski TE - NE ,11.70,M. Jones WR - DET ,12.80,W. Lutz K - NO ,8.00,Vikings DEF ,8.00,J. Charles RB - DEN ,2.40,A. Rodgers QB - GB ,0.00,M. Gillislee RB - NE ,3.40,C. Kupp WR - LA ,0.00,A. Jones RB - GB ,0.00,Texans DEF ,0.00,66.08,Neil,127.28
Greg,8,M. Ryan QB - ATL ,15.86,L. Blount RB - PHI ,11.20,C. Hyde RB - SF ,4.70,J. Jones WR - ATL ,7.40,C. Hogan WR - NE ,6.00,K. Rudolph TE - MIN ,8.70,M. Crabtree WR - LV ,8.30,C. Boswell K - PIT ,8.00,Eagles DEF ,18.00,C. Palmer QB - ARI ,0.00,A. Smith QB - KC ,13.38,J. White RB - NE ,8.70,T. Gabriel WR - ATL ,-0.30,D. Funchess WR - CAR ,1.10,L. Fournette RB - JAX ,0.00,88.16,Daniel,88.98
