Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,3,C. Wentz QB - PHI ,27.24,K. Drake RB - MIA ,19.30,C. McCaffrey RB - CAR ,5.30,D. Bryant WR - DAL ,13.30,T. Hill WR - KC ,7.50,J. Graham TE - SEA ,0.00,F. Gore RB - IND ,14.00,G. Zuerlein K - LA ,5.00,Chargers DEF ,8.00,J. Nelson WR - GB ,3.30,J. Thomas TE - MIA ,1.10,A. Seferian-Jenkins TE - NYJ ,0.10,J. McKinnon RB - MIN ,5.50,J. Winston QB - TB ,14.40,C. Coleman WR - CLE ,12.20,99.64,Peter,62.46
david,5,C. Newton QB - CAR ,14.48,M. Ingram RB - NO ,9.20,M. Lynch RB - LV ,12.40,A. Brown WR - PIT ,23.30,M. Sanu WR - ATL ,14.30,J. Doyle TE - IND ,6.40,B. Cooks WR - NE ,3.80,K. Forbath K - MIN ,10.00,Patriots DEF ,2.00,J. Stewart RB - CAR ,28.30,J. Maclin WR - BAL ,2.70,E. Decker WR - TEN ,5.60,T. Taylor QB - BUF ,0.00,J. Reed TE - WAS ,0.00,Bills DEF ,5.00,95.88,Jeremy,80.74
Ryan,7,T. Brady QB - NE ,9.32,T. Coleman RB - ATL ,3.20,D. Johnson RB - ARI ,0.00,D. Baldwin WR - SEA ,13.80,R. Anderson WR - NYJ ,2.70,Z. Ertz TE - PHI ,0.00,C. Kupp WR - LA ,17.80,M. Bryant K - ATL ,10.00,Ravens DEF ,-1.00,M. Forte RB - NYJ ,3.40,D. Woodhead RB - BAL ,3.60,D. Walker TE - TEN ,4.20,I. Crowell RB - CLE ,13.10,S. Shepard WR - NYG ,0.70,J. Smith-Schuster WR - PIT ,0.00,55.82,-,-
alex,12,J. Goff QB - LA ,14.16,K. Williams RB - ARI ,8.80,J. Ajayi RB - PHI ,8.00,K. Stills WR - MIA ,1.80,M. Bryant WR - PIT ,3.30,J. Witten TE - DAL ,8.00,D. Freeman RB - ATL ,15.10,J. Tucker K - BAL ,8.00,Lions DEF ,13.00,E. Sanders WR - DEN ,1.60,J. McCown QB - NYJ ,-1.46,A. Hurns WR - JAX ,0.00,J. Allen RB - BAL ,17.70,J. Mixon RB - CIN ,0.00,Chiefs DEF ,10.00,80.16,Greg,91.82
Alessandro,10,A. Dalton QB - CIN ,7.64,D. Murray RB - TEN ,4.70,C. Anderson RB - DEN ,7.30,A. Jeffery WR - PHI ,11.20,M. Thomas WR - NO ,17.70,A. Hooper TE - ATL ,2.30,J. Gordon WR - CLE ,12.90,C. Boswell K - PIT ,17.00,Rams DEF ,6.00,C. Ivory RB - JAX ,4.80,T. Benjamin WR - LAC ,4.30,K. Cousins QB - WAS ,8.84,D. Williams RB - MIA ,0.00,A. Abdullah RB - DET ,0.00,T. Cohen RB - CHI ,8.50,86.74,Daniel,106.04
Daniel,11,B. Roethlisberger QB - PIT ,30.74,L. McCoy RB - BUF ,21.60,B. Powell RB - NYJ ,3.50,D. Thomas WR - DEN ,15.30,R. Matthews WR - TEN ,1.90,H. Henry TE - LAC ,11.00,T. Hilton WR - IND ,2.00,S. Gostkowski K - NE ,8.00,Titans DEF ,12.00,G. Olsen TE - CAR ,0.00,R. Woods WR - LA ,0.00,D. Johnson RB - CLE ,10.90,M. Mariota QB - TEN ,3.46,P. Barber RB - TB ,6.30,Seahawks DEF ,1.00,106.04,Alessandro,86.74
Neil,1,R. Wilson QB - SEA ,21.84,D. Lewis RB - NE ,6.70,T. Gurley RB - LA ,25.50,D. Hopkins WR - HOU ,24.90,D. Adams WR - GB ,20.40,E. Engram TE - NYG ,5.40,L. Murray RB - MIN ,2.00,M. Prater K - DET ,6.00,Jaguars DEF ,8.00,J. Kearse WR - NYJ ,0.40,T. Montgomery RB - GB ,0.00,T. Kroft TE - CIN ,0.00,S. Diggs WR - MIN ,6.40,D. Washington RB - LV ,1.90,Panthers DEF ,12.00,120.74,-,-
michael,8,D. Prescott QB - DAL ,26.58,L. Miller RB - HOU ,6.00,A. Kamara RB - NO ,2.70,J. Landry WR - MIA ,16.60,N. Agholor WR - PHI ,6.40,T. Kelce TE - KC ,7.40,L. Bell RB - PIT ,30.50,S. Hauschka K - BUF ,1.00,Jets DEF ,2.00,A. Peterson RB - ARI ,0.00,C. Fiedorowicz TE - HOU ,0.00,A. Cooper WR - LV ,0.00,W. Fuller WR - HOU ,2.60,J. Williams RB - GB ,23.80,Broncos DEF ,18.00,99.18,-,-
Kevin,2,M. Stafford QB - DET ,15.24,J. Howard RB - CHI ,27.50,K. Hunt RB - KC ,19.80,A. Green WR - CIN ,4.40,J. Crowder WR - WAS ,3.40,C. Clay TE - BUF ,1.10,A. Collins RB - BAL ,22.60,H. Butker K - KC ,16.00,Eagles DEF ,8.00,G. Tate WR - DET ,14.50,G. Bernard RB - CIN ,13.00,B. Bortles QB - JAX ,18.52,D. Carr QB - LV ,10.44,O. Darkwa RB - NYG ,4.40,D. Parker WR - MIA ,4.00,118.04,-,-
Jeremy,4,D. Brees QB - NO ,17.04,R. Burkhead RB - NE ,11.30,M. Gordon RB - LAC ,14.30,K. Allen WR - LAC ,11.10,A. Thielen WR - MIN ,16.50,C. Brate TE - TB ,1.10,L. Fitzgerald WR - ARI ,4.40,K. Fairbairn K - HOU ,6.00,Steelers DEF ,-1.00,A. Morris RB - DAL ,8.50,P. Richardson WR - SEA ,13.20,E. Elliott RB - DAL ,0.00,D. Henry RB - TEN ,8.00,S. Perine RB - WAS ,5.20,R. Seals-Jones TE - ARI ,2.00,80.74,david,95.88
