Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,3,C. Wentz QB - PHI ,24.76,F. Gore RB - IND ,7.70,C. McCaffrey RB - CAR ,15.40,D. Bryant WR - DAL ,7.30,T. Hill WR - KC ,13.30,J. Graham TE - SEA ,5.90,T. Ginn WR - NO ,11.90,G. Zuerlein K - LA ,15.00,Cardinals DEF ,13.00,J. Nelson WR - GB ,3.50,A. Seferian-Jenkins TE - NYJ ,2.00,J. McKinnon RB - MIN ,0.00,D. Williams RB - MIA ,12.10,J. Winston QB - TB ,3.48,K. Drake RB - MIA ,10.40,114.26,Jeremy,72.42
david,7,T. Taylor QB - BUF ,26.90,M. Ingram RB - NO ,7.90,M. Lynch RB - LV ,18.30,J. Maclin WR - BAL ,9.80,M. Sanu WR - ATL ,8.30,O. Howard TE - TB ,-1.40,J. Richard RB - LV ,1.40,A. Vinatieri K - IND ,10.00,Bills DEF ,0.00,E. Decker WR - TEN ,8.10,C. Newton QB - CAR ,20.08,A. Brown WR - PIT ,0.00,J. Reed TE - WAS ,0.00,B. Cooks WR - NE ,0.00,K. Forbath K - MIN ,0.00,81.20,Neil,111.78
Ryan,8,J. Brissett QB - IND ,19.52,M. Forte RB - NYJ ,21.60,T. Coleman RB - ATL ,8.40,S. Shepard WR - NYG ,7.00,R. Anderson WR - NYJ ,10.80,D. Walker TE - TEN ,7.10,D. Baldwin WR - SEA ,16.80,M. Bryant K - ATL ,7.00,Ravens DEF ,5.00,T. Brady QB - NE ,0.00,Z. Ertz TE - PHI ,0.00,K. Benjamin WR - BUF ,0.00,I. Crowell RB - CLE ,0.00,D. Johnson RB - ARI ,0.00,J. Smith-Schuster WR - PIT ,0.00,103.22,Daniel,94.32
alex,11,J. Goff QB - LA ,28.44,D. Freeman RB - ATL ,6.40,J. Mixon RB - CIN ,10.60,E. Sanders WR - DEN ,3.00,A. Hurns WR - JAX ,3.10,J. Witten TE - DAL ,0.50,C. Thompson RB - WAS ,3.10,J. Tucker K - BAL ,8.00,Lions DEF ,4.00,J. McCown QB - NYJ ,16.90,T. Pryor WR - WAS ,1.70,K. Stills WR - MIA ,2.80,J. Ajayi RB - PHI ,13.70,J. Allen RB - BAL ,12.50,Chiefs DEF ,0.00,67.14,Alessandro,80.98
Alessandro,12,K. Cousins QB - WAS ,8.28,D. Murray RB - TEN ,4.10,A. Abdullah RB - DET ,9.70,A. Jeffery WR - PHI ,20.40,M. Thomas WR - NO ,6.50,A. Hooper TE - ATL ,3.60,C. Ivory RB - JAX ,10.40,J. Elliott K - PHI ,9.00,Rams DEF ,9.00,J. Stewart RB - CAR ,-1.90,D. Amendola WR - NE ,0.00,T. Benjamin WR - LAC ,0.00,C. Anderson RB - DEN ,1.30,M. Mack RB - IND ,2.90,T. Cohen RB - CHI ,0.00,80.98,alex,67.14
Daniel,10,M. Mariota QB - TEN ,15.32,L. McCoy RB - BUF ,2.50,B. Powell RB - NYJ ,7.40,T. Hilton WR - IND ,29.50,R. Matthews WR - TEN ,13.00,J. Cook TE - LV ,12.60,T. Lockett WR - SEA ,1.00,K. Fairbairn K - HOU ,2.00,Seahawks DEF ,11.00,D. Thomas WR - DEN ,13.00,G. Olsen TE - CAR ,0.00,B. Roethlisberger QB - PIT ,0.00,R. Woods WR - LA ,19.00,D. Johnson RB - CLE ,0.00,S. Gostkowski K - NE ,0.00,94.32,Ryan,103.22
Neil,1,R. Wilson QB - SEA ,23.58,T. Montgomery RB - GB ,5.10,T. Gurley RB - LA ,22.40,D. Hopkins WR - HOU ,14.60,D. Adams WR - GB ,5.30,E. Engram TE - NYG ,13.00,J. Kearse WR - NYJ ,3.80,M. Prater K - DET ,12.00,Jaguars DEF ,12.00,D. Lewis RB - NE ,0.00,A. Ellington RB - HOU ,1.40,T. Kroft TE - CIN ,7.90,S. Diggs WR - MIN ,0.00,D. Washington RB - LV ,1.40,Panthers DEF ,5.00,111.78,david,81.20
michael,6,D. Prescott QB - DAL ,26.66,A. Peterson RB - ARI ,14.70,A. Kamara RB - NO ,25.20,J. Landry WR - MIA ,9.20,N. Agholor WR - PHI ,3.60,T. Kelce TE - KC ,13.30,L. Miller RB - HOU ,9.10,S. Hauschka K - BUF ,3.00,Broncos DEF ,6.00,M. Stafford QB - DET ,22.44,L. Bell RB - PIT ,0.00,A. Cooper WR - LV ,5.80,J. Williams RB - GB ,9.20,R. Succop K - TEN ,5.00,Jets DEF ,13.00,110.76,Greg,80.22
Kevin,2,D. Carr QB - LV ,13.70,O. Darkwa RB - NYG ,7.90,K. Hunt RB - KC ,6.10,G. Tate WR - DET ,11.30,A. Green WR - CIN ,0.60,J. Doyle TE - IND ,6.30,A. Collins RB - BAL ,4.60,H. Butker K - KC ,5.00,Bengals DEF ,2.00,D. Jackson WR - TB ,3.30,D. Parker WR - MIA ,7.60,B. Hundley QB - GB ,18.00,W. Fuller WR - HOU ,3.20,J. Howard RB - CHI ,0.00,C. Davis WR - TEN ,2.80,57.50,Peter,37.70
Jeremy,4,D. Brees QB - NO ,18.72,E. Elliott RB - DAL ,15.30,D. Henry RB - TEN ,9.60,L. Fitzgerald WR - ARI ,7.00,P. Richardson WR - SEA ,4.10,C. Brate TE - TB ,0.90,R. Kelley RB - WAS ,13.80,B. Walsh K - SEA ,0.00,Raiders DEF ,3.00,A. Morris RB - DAL ,1.10,K. Allen WR - LAC ,0.00,A. Thielen WR - MIN ,0.00,W. Snead WR - NO ,-2.00,M. Gordon RB - LAC ,0.00,Steelers DEF ,0.00,72.42,Peter,114.26
Peter,5,P. Rivers QB - LAC ,0.00,D. Martin RB - TB ,0.70,T. Rawls RB - SEA ,7.00,P. Garcon WR - SF ,0.00,M. Evans WR - TB ,1.30,R. Gronkowski TE - NE ,0.00,M. Jones WR - DET ,22.70,W. Lutz K - NO ,6.00,Vikings DEF ,0.00,J. Charles RB - DEN ,2.40,A. Rodgers QB - GB ,0.00,M. Gillislee RB - NE ,0.00,C. Kupp WR - LA ,5.40,A. Jones RB - GB ,1.10,Texans DEF ,12.00,37.70,Kevin,57.50
Greg,9,A. Smith QB - KC ,18.42,L. Blount RB - PHI ,3.70,C. Hyde RB - SF ,12.50,M. Crabtree WR - LV ,4.00,J. Jones WR - ATL ,11.80,V. Davis TE - WAS ,7.20,D. Funchess WR - CAR ,8.60,P. Murray K - TB ,6.00,Eagles DEF ,8.00,M. Ryan QB - ATL ,18.42,K. Rudolph TE - MIN ,0.00,C. Palmer QB - ARI ,0.00,C. Hogan WR - NE ,0.00,J. White RB - NE ,0.00,L. Fournette RB - JAX ,0.00,80.22,michael,110.76
