Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,4,B. Roethlisberger QB - PIT ,10.54,F. Gore RB - IND ,8.00,C. McCaffrey RB - CAR ,4.90,J. Nelson WR - GB ,19.50,D. Bryant WR - DAL ,9.80,J. Graham TE - SEA ,6.10,T. Hill WR - KC ,3.50,G. Tavecchio K - LV ,4.00,Packers DEF ,10.00,R. Cobb WR - GB ,10.40,T. Ginn WR - NO ,3.40,R. Matthews WR - TEN ,4.90,K. Williams RB - ARI ,0.90,T. West RB - BAL ,-0.70,J. Winston QB - TB ,26.48,-,-,76.34,Alessandro,75.80
david,11,T. Taylor QB - BUF ,12.48,M. Ingram RB - NO ,6.20,M. Lynch RB - LV ,1.20,A. Brown WR - PIT ,3.40,B. Cooks WR - NE ,4.20,J. Reed TE - WAS ,2.10,M. Sanu WR - ATL ,0.70,M. Bryant K - ATL ,5.00,Patriots DEF ,5.00,K. Britt WR - NE ,5.20,E. Decker WR - TEN ,1.30,C. Newton QB - CAR ,33.04,V. Davis TE - WAS ,8.90,G. Bernard RB - CIN ,13.90,B. Perriman WR - BAL ,0.60,-,-,40.28,michael,130.38
Ryan,7,T. Brady QB - NE ,20.48,J. Charles RB - DEN ,4.70,T. Coleman RB - ATL ,14.20,J. Maclin WR - BAL ,2.10,M. Bryant WR - PIT ,4.80,Z. Ertz TE - PHI ,8.10,D. Baldwin WR - SEA ,5.50,R. Succop K - TEN ,2.00,--empty--,-,C. Johnson RB ,6.30,I. Crowell RB - CLE ,2.70,W. Snead WR - NO ,0.00,D. Johnson RB - ARI ,0.00,J. Doctson WR - WAS ,2.70,R. Kelley RB - WAS ,2.30,D. Foreman RB - HOU ,4.50,61.88,Neil,117.10
alex,10,J. Cutler QB - MIA ,5.06,D. Freeman RB - ATL ,13.80,J. Ajayi RB - PHI ,5.40,E. Sanders WR - DEN ,2.70,A. Hurns WR - JAX ,4.20,D. Walker TE - TEN ,5.10,J. Mixon RB - CIN ,4.80,J. Tucker K - BAL ,3.00,Chiefs DEF ,9.00,J. Kearse WR - NYJ ,1.70,K. Wright WR - CHI ,11.10,A. Luck QB - IND ,0.00,C. Thompson RB - WAS ,0.70,T. Riddick RB - DET ,1.20,Lions DEF ,12.00,-,-,53.06,Daniel,105.04
Alessandro,12,K. Cousins QB - WAS ,20.60,D. Murray RB - TEN ,3.50,C. Anderson RB - DEN ,11.20,A. Jeffery WR - PHI ,8.90,M. Thomas WR - NO ,14.90,J. Witten TE - DAL ,0.90,J. Stewart RB - CAR ,4.80,D. Bailey K - DAL ,6.00,Rams DEF ,5.00,K. Stills WR - MIA ,1.30,S. Watkins WR - LA ,1.70,A. Abdullah RB - DET ,16.90,J. Nelson WR - ARI ,3.40,W. Smallwood RB - PHI ,13.90,T. Cohen RB - CHI ,4.80,-,-,75.80,Peter,76.34
Daniel,9,M. Mariota QB - TEN ,15.74,L. McCoy RB - BUF ,10.80,B. Powell RB - NYJ ,25.00,D. Thomas WR - DEN ,1.10,T. Hilton WR - IND ,3.00,J. Cook TE - LV ,4.60,J. Rodgers RB - TB ,10.80,S. Gostkowski K - NE ,14.00,Seahawks DEF ,20.00,G. Olsen TE - CAR ,0.00,D. Moncrief WR - IND ,9.00,T. Lockett WR - SEA ,9.10,D. Johnson RB - CLE ,12.00,C. Wentz QB - PHI ,15.08,S. Perine RB - WAS ,2.70,-,-,105.04,alex,53.06
Neil,1,R. Wilson QB - SEA ,27.60,T. Montgomery RB - GB ,2.80,T. Gurley RB - LA ,27.50,D. Hopkins WR - HOU ,16.70,O. Beckham WR - NYG ,9.00,E. Ebron TE - DET ,2.70,S. Diggs WR - MIN ,9.80,M. Prater K - DET ,6.00,Jaguars DEF ,15.00,D. Adams WR - GB ,7.30,J. Matthews WR - BUF ,7.00,J. Hill RB - CIN ,2.60,J. Crowder WR - WAS ,-0.70,T. Williams WR - LAC ,17.50,C. Prosise RB - SEA ,0.00,-,-,117.10,Ryan,61.88
michael,8,D. Prescott QB - DAL ,22.58,L. Miller RB - HOU ,25.10,L. Bell RB - PIT ,30.60,J. Landry WR - MIA ,4.00,A. Cooper WR - LV ,0.90,T. Kelce TE - KC ,17.40,N. Agholor WR - PHI ,5.80,S. Hauschka K - BUF ,15.00,Broncos DEF ,9.00,M. Forte RB - NYJ ,0.00,M. Stafford QB - DET ,10.06,A. Peterson RB - ARI ,0.40,A. Kamara RB - NO ,15.60,J. Williams RB - GB ,1.30,Buccaneers DEF ,0.00,-,-,130.38,david,40.28
Kevin,2,D. Carr QB - LV ,9.72,K. Hunt RB - KC ,12.10,D. Cook RB - MIN ,11.40,G. Tate WR - DET ,3.10,A. Green WR - CIN ,12.30,C. Clay TE - BUF ,11.20,D. Parker WR - MIA ,6.90,G. Zuerlein K - LA ,23.00,Bengals DEF ,8.00,M. Bennett TE - NE ,3.90,D. Jackson WR - TB ,2.00,S. Bradford QB - MIN ,0.00,J. Allen RB - BAL ,4.40,J. Howard RB - CHI ,12.30,Z. Jones WR - BUF ,1.80,-,-,97.72,Greg,79.68
Jeremy,6,D. Brees QB - NO ,19.02,M. Gordon RB - LAC ,2.90,E. Elliott RB - DAL ,25.90,L. Fitzgerald WR - ARI ,9.20,A. Thielen WR - MIN ,3.90,C. Fleener TE - NO ,2.10,T. Pryor WR - WAS ,13.00,D. Hopkins K - WAS ,8.00,Steelers DEF ,14.00,D. McFadden RB ,0.00,A. Smith QB - KC ,27.32,K. Benjamin WR - BUF ,10.40,C. Brate TE - TB ,14.00,S. Shepard WR - NYG ,5.40,D. Henry RB - TEN ,0.70,-,-,98.02,Peter,97.86
