Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,3,N. Foles QB - PHI ,25.48,K. Drake RB - MIA ,17.30,C. McCaffrey RB - CAR ,19.60,D. Bryant WR - DAL ,5.50,T. Hill WR - KC ,14.80,J. Graham TE - SEA ,-0.10,J. Nelson WR - GB ,2.80,G. Zuerlein K - LA ,10.00,Redskins DEF ,10.00,F. Gore RB - IND ,6.80,K. Williams RB - ARI ,6.10,A. Seferian-Jenkins TE - NYJ ,1.30,J. Winston QB - TB ,25.76,C. Coleman WR - CLE ,1.60,Chargers DEF ,0.00,105.38,Kevin,85.48
david,5,C. Newton QB - CAR ,31.48,M. Ingram RB - NO ,27.10,M. Lynch RB - LV ,9.20,A. Brown WR - PIT ,2.40,M. Sanu WR - ATL ,2.60,J. Doyle TE - IND ,4.70,J. Stewart RB - CAR ,3.60,K. Forbath K - MIN ,12.00,Patriots DEF ,4.00,J. Maclin WR - BAL ,2.20,E. Decker WR - TEN ,6.30,T. Taylor QB - BUF ,23.16,J. Reed TE - WAS ,0.00,B. Cooks WR - NE ,12.00,Bills DEF ,10.00,97.08,Neil,137.78
Ryan,7,T. Brady QB - NE ,15.72,T. Coleman RB - ATL ,0.00,D. Johnson RB - ARI ,0.00,D. Baldwin WR - SEA ,0.60,R. Anderson WR - NYJ ,4.00,Z. Ertz TE - PHI ,11.60,C. Kupp WR - LA ,2.10,M. Bryant K - ATL ,8.00,Ravens DEF ,20.00,M. Forte RB - NYJ ,3.40,D. Woodhead RB - BAL ,3.20,D. Walker TE - TEN ,7.70,I. Crowell RB - CLE ,6.50,S. Shepard WR - NYG ,19.90,J. Smith-Schuster WR - PIT ,11.40,62.02,Daniel,89.54
alex,12,J. Goff QB - LA ,10.80,D. Freeman RB - ATL ,25.40,J. Ajayi RB - PHI ,8.90,R. Cobb WR - GB ,14.40,K. Stills WR - MIA ,0.80,J. Witten TE - DAL ,4.70,J. Mixon RB - CIN ,0.00,J. Tucker K - BAL ,9.00,Lions DEF ,12.00,E. Sanders WR - DEN ,6.80,J. Cutler QB - MIA ,5.76,M. Bryant WR - PIT ,11.90,A. Hurns WR - JAX ,0.00,J. Allen RB - BAL ,7.40,Chiefs DEF ,14.00,86.00,-,-
Alessandro,10,K. Cousins QB - WAS ,15.84,D. Murray RB - TEN ,6.30,C. Anderson RB - DEN ,15.80,A. Jeffery WR - PHI ,10.90,M. Thomas WR - NO ,15.30,O. Howard TE - TB ,9.00,J. Gordon WR - CLE ,4.70,C. Boswell K - PIT ,8.00,Rams DEF ,17.00,A. Dalton QB - CIN ,0.52,C. Ivory RB - JAX ,4.20,T. Benjamin WR - LAC ,1.40,D. Williams RB - MIA ,0.00,A. Abdullah RB - DET ,2.10,T. Cohen RB - CHI ,1.70,102.84,-,-
Daniel,11,B. Roethlisberger QB - PIT ,18.24,L. McCoy RB - BUF ,21.60,B. Powell RB - NYJ ,10.40,D. Thomas WR - DEN ,6.90,R. Matthews WR - TEN ,15.50,H. Henry TE - LAC ,2.80,T. Hilton WR - IND ,4.10,S. Gostkowski K - NE ,7.00,Titans DEF ,3.00,G. Olsen TE - CAR ,17.60,R. Woods WR - LA ,10.50,D. Johnson RB - CLE ,10.30,M. Mariota QB - TEN ,18.04,P. Barber RB - TB ,4.80,Seahawks DEF ,0.00,89.54,Ryan,62.02
Neil,1,R. Wilson QB - SEA ,11.58,D. Lewis RB - NE ,14.00,T. Gurley RB - LA ,42.00,D. Hopkins WR - HOU ,14.00,D. Adams WR - GB ,11.70,E. Engram TE - NYG ,10.10,L. Murray RB - MIN ,16.40,M. Prater K - DET ,8.00,Jaguars DEF ,10.00,J. Kearse WR - NYJ ,2.80,T. Montgomery RB - GB ,0.00,T. Kroft TE - CIN ,0.10,S. Diggs WR - MIN ,9.70,D. Washington RB - LV ,1.90,Panthers DEF ,11.00,137.78,david,97.08
michael,8,D. Prescott QB - DAL ,13.68,L. Miller RB - HOU ,3.30,A. Kamara RB - NO ,14.90,J. Landry WR - MIA ,9.90,N. Agholor WR - PHI ,11.90,T. Kelce TE - KC ,4.60,L. Bell RB - PIT ,22.50,S. Hauschka K - BUF ,6.00,Jets DEF ,5.00,A. Peterson RB - ARI ,0.00,C. Fiedorowicz TE - HOU ,0.00,A. Cooper WR - LV ,0.00,W. Fuller WR - HOU ,4.40,J. Williams RB - GB ,3.00,Broncos DEF ,5.00,91.78,Greg,63.54
Kevin,2,M. Stafford QB - DET ,17.38,J. Howard RB - CHI ,6.30,K. Hunt RB - KC ,32.60,G. Tate WR - DET ,3.30,A. Green WR - CIN ,3.00,J. Cook TE - LV ,1.70,A. Collins RB - BAL ,5.20,H. Butker K - KC ,14.00,Eagles DEF ,2.00,C. Keenum QB - MIN ,19.44,G. Bernard RB - CIN ,10.30,B. Bortles QB - JAX ,25.04,D. Carr QB - LV ,17.54,O. Darkwa RB - NYG ,7.60,J. Crowder WR - WAS ,11.50,85.48,Peter,105.38
Jeremy,4,D. Brees QB - NO ,17.14,R. Burkhead RB - NE ,7.70,M. Gordon RB - LAC ,22.90,K. Allen WR - LAC ,5.40,A. Thielen WR - MIN ,3.00,C. Brate TE - TB ,4.90,L. Fitzgerald WR - ARI ,6.00,K. Fairbairn K - HOU ,1.00,Steelers DEF ,4.00,A. Morris RB - DAL ,6.10,P. Richardson WR - SEA ,1.80,E. Elliott RB - DAL ,0.00,D. Henry RB - TEN ,2.80,S. Perine RB - WAS ,6.60,R. Seals-Jones TE - ARI ,1.10,72.04,-,-
Peter,6,P. Rivers QB - LAC ,7.08,D. Martin RB - TB ,0.00,C. Clement RB - PHI ,1.80,M. Goodwin WR - SF ,12.40,M. Evans WR - TB ,13.90,R. Gronkowski TE - NE ,18.80,M. Jones WR - DET ,8.50,W. Lutz K - NO ,7.00,Vikings DEF ,17.00,A. Rodgers QB - GB ,21.90,M. Gillislee RB - NE ,0.00,S. Watkins WR - LA ,1.40,T. Rawls RB - SEA ,0.00,A. Jones RB - GB ,5.30,Texans DEF ,-3.00,86.48,-,-
Greg,9,A. Smith QB - KC ,18.54,L. Blount RB - PHI ,2.10,C. Hyde RB - SF ,3.90,J. Jones WR - ATL ,5.40,D. Funchess WR - CAR ,1.90,V. Davis TE - WAS ,-0.20,M. Crabtree WR - LV ,15.90,J. Elliott K - PHI ,10.00,Saints DEF ,6.00,M. Ryan QB - ATL ,15.38,D. Jackson WR - TB ,1.80,D. Amendola WR - NE ,2.30,K. Rudolph TE - MIN ,7.70,C. Hogan WR - NE ,0.00,L. Fournette RB - JAX ,0.00,63.54,michael,91.78
