Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,1,T. Brady QB - NE ,25.64,D. Freeman RB - ATL ,1.10,S. Barkley RB - NYG ,13.90,A. Thielen WR - MIN ,10.30,K. Golladay WR - DET ,10.20,G. Kittle TE - SF ,5.40,A. Ekeler RB - LAC ,33.40,G. Zuerlein K - LA ,14.00,Seahawks DEF ,12.00,A. Peterson RB - WAS ,0.00,C. Davis WR - TEN ,0.00,C. Ridley WR - ATL ,12.40,C. Sutton WR - DEN ,12.00,G. Edwards RB - BAL ,5.60,D. Metcalf WR - SEA ,8.90,125.94,michael,73.44
david,7,P. Mahomes QB - KC ,27.32,K. Drake RB - ARI ,2.70,A. Kamara RB - NO ,16.90,A. Jeffery WR - PHI ,17.10,C. Kupp WR - LA ,4.60,Z. Ertz TE - PHI ,5.40,A. Robinson WR - CHI ,10.20,W. Lutz K - NO ,14.00,Saints DEF ,7.00,D. Amendola WR - DET ,16.40,E. Sanders WR - SF ,14.60,J. Witten TE - DAL ,7.50,M. Sanu WR - NE ,5.70,C. Anderson RB ,3.50,K. Hunt RB - CLE ,0.00,105.22,Alessandro,110.12
Ryan,5,L. Jackson QB - BAL ,33.56,L. Fournette RB - JAX ,7.40,C. McCaffrey RB - CAR ,32.90,T. Boyd WR - CIN ,6.30,R. Anderson WR - NYJ ,2.30,M. Andrews TE - BAL ,16.80,S. Michel RB - NE ,1.40,J. Myers K - SEA ,3.00,Broncos DEF ,0.00,M. Ryan QB - ATL ,18.56,A. Brown WR ,0.00,D. Waller TE - LV ,7.00,M. Breida RB - SF ,3.70,M. Gallup WR - DAL ,15.80,J. Jackson RB - LAC ,6.10,103.66,Jeremy,44.96
alex,8,C. Newton QB - CAR ,5.36,M. Ingram RB - BAL ,22.70,D. Williams RB - KC ,12.50,D. Hopkins WR - HOU ,23.10,S. Shepard WR - NYG ,4.20,T. Kelce TE - KC ,8.80,T. Coleman RB - SF ,5.60,B. Maher K ,5.00,Ravens DEF ,13.00,A. Green WR - CIN ,0.00,F. Gore RB - BUF ,2.00,K. Cousins QB - MIN ,14.32,D. Moncrief WR ,0.70,A. Hooper TE - ATL ,7.70,D. Guice RB - WAS ,3.80,100.26,Daniel,105.80
Alessandro,3,C. Wentz QB - PHI ,25.02,J. White RB - NE ,8.20,E. Elliott RB - DAL ,12.30,K. Allen WR - LAC ,18.30,M. Evans WR - TB ,2.80,E. Ebron TE - IND ,0.80,T. Hilton WR - IND ,20.70,H. Butker K - KC ,16.00,Cowboys DEF ,6.00,S. Watkins WR - KC ,37.80,G. Allison WR - GB ,0.00,P. Barber RB - TB ,4.50,M. Trubisky QB - CHI ,8.22,R. Freeman RB - DEN ,6.10,D. Moore WR - CAR ,5.60,110.12,david,105.22
Daniel,4,B. Mayfield QB - CLE ,9.40,L. Bell RB - NYJ ,17.20,M. Mack RB - IND ,25.40,S. Diggs WR - MIN ,3.70,J. Smith-Schuster WR - PIT ,7.80,E. Engram TE - NYG ,17.60,D. Pettis WR - SF ,0.70,S. Gostkowski K - NE ,15.00,Rams DEF ,9.00,D. Lewis RB - TEN ,1.30,T. Ginn WR - NO ,10.10,M. Goodwin WR - SF ,0.70,J. Richard RB - LV ,0.30,A. Miller WR - CHI ,0.00,D. Singletary RB - BUF ,9.80,105.80,alex,100.26
Neil,2,D. Watson QB - HOU ,30.72,T. Gurley RB - LA ,10.10,D. Johnson RB - ARI ,19.70,J. Edelman WR - NE ,10.38,A. Cooper WR - DAL ,16.60,D. Njoku TE - CLE ,9.70,D. Montgomery RB - CHI ,4.50,J. Tucker K - BAL ,11.00,Chargers DEF ,2.00,D. Walker TE - TEN ,17.50,B. Roethlisberger QB - PIT ,9.74,J. Gordon WR - SEA ,13.30,D. Westbrook WR - JAX ,9.20,R. Jones RB - TB ,9.30,K. Ballage RB - MIA ,1.20,114.70,Kevin,79.32
michael,11,J. Goff QB - LA ,9.44,J. Howard RB - PHI ,5.50,D. Henry RB - TEN ,27.90,W. Fuller WR - HOU ,6.90,T. Hill WR - KC ,2.10,J. Cook TE - NO ,3.70,T. Cohen RB - CHI ,4.90,A. Vinatieri K - IND ,4.00,Bears DEF ,9.00,G. Tate WR - NYG ,0.00,T. Burton TE - CHI ,0.00,M. Gordon RB - LAC ,0.00,D. Prescott QB - DAL ,35.40,I. Smith RB - ATL ,4.00,N. Hines RB - IND ,1.70,73.44,Peter,125.94
Kevin,10,P. Rivers QB - LAC ,23.92,J. Mixon RB - CIN ,1.70,A. Jones RB - GB ,3.90,R. Woods WR - LA ,8.60,D. Adams WR - GB ,3.60,H. Henry TE - LAC ,6.00,P. Lindsay RB - DEN ,6.60,R. Gould K - SF ,11.00,Vikings DEF ,14.00,C. Hyde RB - HOU ,8.50,D. Johnson RB - HOU ,9.00,C. Samuel WR - CAR ,3.20,J. Washington WR - PIT ,5.10,K. Murray QB - ARI ,21.62,D. Henderson RB - LA ,0.00,79.32,Neil,114.70
Jeremy,12,J. Winston QB - TB ,7.06,K. Johnson RB - DET ,6.20,N. Chubb RB - CLE ,8.50,O. Beckham WR - CLE ,7.10,B. Cooks WR - LA ,3.90,O. Howard TE - TB ,1.20,M. Jones WR - DET ,6.00,M. Crosby K - GB ,4.00,Eagles DEF ,1.00,D. Jackson WR - PHI ,27.40,L. Fitzgerald WR - ARI ,17.30,L. Murray RB - NO ,10.70,M. Brown RB - LA ,17.30,R. Penny RB - SEA ,1.80,J. Hill RB - BAL ,2.70,44.96,Ryan,103.66
Peter,6,A. Rodgers QB - GB ,12.92,D. Cook RB - MIN ,24.00,J. Jacobs RB - LV ,23.30,J. Jones WR - ATL ,9.10,C. Godwin WR - TB ,11.30,T. Hockenson TE - DET ,19.10,M. Williams WR - LAC ,2.90,K. Fairbairn K - HOU ,4.00,Jaguars DEF ,-4.00,L. McCoy RB - KC ,9.30,R. Wilson QB - SEA ,16.60,A. Wilson WR - MIA ,1.40,C. Kirk WR - ARI ,6.40,M. Hardman WR - KC ,0.00,D. Samuel WR - SF ,1.70,102.62,Greg,95.70
Greg,9,D. Brees QB - NO ,20.80,J. Conner RB - PIT ,6.50,C. Carson RB - SEA ,18.00,T. Lockett WR - SEA ,10.40,M. Thomas WR - NO ,12.30,V. McDonald TE - PIT ,4.00,J. Landry WR - CLE ,7.70,J. Elliott K - PHI ,6.00,Patriots DEF ,10.00,D. Thomas WR - NYJ ,0.00,T. Williams WR - LV ,16.50,J. Samuels RB - PIT ,0.60,M. Valdes-Scantling WR - GB ,5.20,K. Coutee WR - HOU ,0.00,M. Sanders RB - PHI ,2.70,95.70,Peter,102.62
