Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,2,R. Tannehill QB - TEN ,18.94,A. Ekeler RB - LAC ,10.80,S. Barkley RB - NYG ,3.10,K. Golladay WR - DET ,11.70,D. Metcalf WR - SEA ,5.00,M. Gesicki TE - MIA ,0.80,D. Freeman RB - ATL ,4.80,G. Zuerlein K - LA ,4.00,Bills DEF ,5.00,T. Brady QB - NE ,0.00,A. Thielen WR - MIN ,0.00,K. Hunt RB - CLE ,7.40,G. Kittle TE - SF ,0.00,C. Ridley WR - ATL ,4.70,T. Johnson RB - DET ,1.90,-,-,64.14,Neil,70.40
david,11,P. Mahomes QB - KC ,31.84,K. Drake RB - ARI ,4.10,A. Kamara RB - NO ,7.40,A. Robinson WR - CHI ,8.60,C. Kupp WR - LA ,0.00,J. Witten TE - DAL ,1.70,D. Amendola WR - DET ,2.90,W. Lutz K - NO ,9.00,Chiefs DEF ,5.00,A. Jeffery WR - PHI ,0.00,M. Sanu WR - NE ,0.00,Z. Ertz TE - PHI ,0.00,C. Hyde RB - HOU ,0.00,D. Jones QB - NYG ,30.32,D. Bailey K - MIN ,8.00,-,-,70.54,Jeremy,80.34
Ryan,1,L. Jackson QB - BAL ,33.42,L. Bell RB - NYJ ,12.80,C. McCaffrey RB - CAR ,20.10,G. Tate WR - NYG ,19.50,K. Allen WR - LAC ,8.60,J. Smith TE - TEN ,3.00,M. Gallup WR - DAL ,13.60,M. Badgley K - LAC ,6.00,Ravens DEF ,24.00,M. Ryan QB - ATL ,14.58,R. Woods WR - LA ,9.50,E. Engram TE - NYG ,0.00,M. Breida RB - SF ,2.50,D. Moore WR - CAR ,12.00,Steelers DEF ,25.00,-,-,141.02,Kevin,123.76
alex,9,J. Garoppolo QB - SF ,10.02,M. Ingram RB - BAL ,9.40,T. Coleman RB - SF ,7.20,D. Parker WR - MIA ,6.90,A. Brown WR - TEN ,1.70,T. Kelce TE - KC ,13.50,D. Williams RB - KC ,8.90,A. Rosas K - NYG ,1.00,Giants DEF ,1.00,A. Green WR - CIN ,0.00,K. Cousins QB - MIN ,19.30,D. Hopkins WR - HOU ,0.00,A. Hooper TE - ATL ,7.70,T. McLaurin WR - WAS ,0.00,Redskins DEF ,0.00,-,-,59.62,Peter,114.78
Alessandro,5,B. Hoyer QB - IND ,6.16,E. Elliott RB - DAL ,6.30,P. Barber RB - TB ,10.70,M. Jones WR - DET ,7.70,M. Evans WR - TB ,8.20,G. Olsen TE - CAR ,9.80,S. Watkins WR - KC ,5.10,H. Butker K - KC ,14.00,49ers DEF ,19.00,T. Hilton WR - IND ,0.00,D. Fells TE - HOU ,0.00,C. Wentz QB - PHI ,0.00,R. Freeman RB - DEN ,0.00,S. Michel RB - NE ,0.00,D. Chark WR - JAX ,0.00,-,-,86.96,michael,122.28
Daniel,8,M. Rudolph QB - PIT ,13.58,M. Mack RB - IND ,8.20,D. Singletary RB - BUF ,5.00,S. Diggs WR - MIN ,4.90,J. Smith-Schuster WR - PIT ,4.40,D. Waller TE - LV ,4.00,J. Brown WR - BUF ,7.70,M. Gay K - TB ,12.00,Rams DEF ,19.00,M. Stafford QB - DET ,0.00,T. Ginn WR - NO ,0.50,N. Agholor WR - PHI ,0.00,G. Everett TE - LA ,6.80,L. Fournette RB - JAX ,0.00,D. Johnson WR - PIT ,6.40,-,-,78.78,Greg,72.18
Neil,6,--empty--,-,R. Jones RB - TB ,14.60,D. Montgomery RB - CHI ,6.00,A. Cooper WR - DAL ,20.70,C. Samuel WR - CAR ,9.50,V. McDonald TE - PIT ,1.30,T. Gurley RB - LA ,7.30,J. Tucker K - BAL ,7.00,Chargers DEF ,4.00,J. Edelman WR - NE ,0.00,J. Gordon WR - SEA ,2.70,J. Winston QB - TB ,18.32,D. Johnson RB - HOU ,0.00,D. Johnson RB - ARI ,-1.00,D. Watson QB - HOU ,0.00,Panthers DEF ,2.00,70.40,Peter,64.14
michael,12,D. Prescott QB - DAL ,25.88,J. Howard RB - PHI ,0.00,D. Henry RB - TEN ,31.10,T. Hill WR - KC ,22.00,T. Quinn WR - WAS ,0.00,T. Burton TE - CHI ,0.00,M. Gordon RB - LAC ,19.30,A. Vinatieri K - IND ,6.00,Seahawks DEF ,18.00,J. Cook TE - NO ,7.40,A. Brown WR ,0.00,J. Goff QB - LA ,3.72,T. Cohen RB - CHI ,9.70,C. Boswell K - PIT ,5.00,Bears DEF ,8.00,-,-,122.28,Alessandro,86.96
Kevin,7,K. Murray QB - ARI ,26.76,J. Mixon RB - CIN ,15.10,A. Jones RB - GB ,27.30,E. Sanders WR - SF ,2.40,D. Adams WR - GB ,11.80,M. Andrews TE - BAL ,17.30,J. Crowder WR - NYJ ,14.10,J. Slye K - CAR ,6.00,Vikings DEF ,3.00,E. Ebron TE - IND ,5.60,T. Boyd WR - CIN ,6.20,J. Williams RB - GB ,6.30,P. Lindsay RB - DEN ,0.00,D. Henderson RB - LA ,0.40,Jaguars DEF ,0.00,-,-,123.76,Ryan,141.02
Jeremy,10,J. Allen QB - BUF ,25.44,K. Ballage RB - MIA ,4.50,N. Chubb RB - CLE ,12.10,O. Beckham WR - CLE ,5.70,T. Williams WR - LV ,2.50,H. Henry TE - LAC ,9.00,L. Fitzgerald WR - ARI ,7.10,Z. Gonzalez K - ARI ,11.00,Saints DEF ,3.00,A. Peterson RB - WAS ,0.00,K. Stills WR - HOU ,0.00,B. Cooks WR - LA ,0.00,J. White RB - NE ,0.00,D. Guice RB - WAS ,0.00,A. Mattison RB - MIN ,5.40,-,-,80.34,david,70.54
Peter,3,R. Wilson QB - SEA ,16.58,D. Cook RB - MIN ,24.30,J. Jacobs RB - LV ,16.10,J. Jones WR - ATL ,7.90,C. Godwin WR - TB ,7.40,T. Hockenson TE - DET ,4.70,C. Kirk WR - ARI ,31.80,B. Maher K ,6.00,Cowboys DEF ,0.00,L. McCoy RB - KC ,0.00,A. Rodgers QB - GB ,10.02,P. Dorsett WR - NE ,0.00,M. Williams WR - LAC ,5.50,M. Brown WR - BAL ,14.00,M. Hardman WR - KC ,12.30,-,-,114.78,alex,59.62
Greg,4,D. Brees QB - NO ,11.48,C. Carson RB - SEA ,16.10,J. Samuels RB - PIT ,4.00,T. Lockett WR - SEA ,2.90,M. Thomas WR - NO ,15.20,J. Graham TE - GB ,5.90,Z. Pascal WR - IND ,2.60,M. Crosby K - GB ,6.00,Colts DEF ,8.00,L. Murray RB - NO ,1.90,J. Landry WR - CLE ,15.70,J. Conner RB - PIT ,0.00,C. Sutton WR - DEN ,0.00,M. Sanders RB - PHI ,0.00,Patriots DEF ,0.00,-,-,72.18,Daniel,78.78
