Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,3,T. Brady QB - NE ,3.70,D. Freeman RB - ATL ,10.00,A. Ekeler RB - LAC ,24.20,A. Thielen WR - MIN ,0.60,K. Golladay WR - DET ,18.70,E. Ebron TE - IND ,10.80,A. Peterson RB - WAS ,2.80,G. Zuerlein K - LA ,12.00,Colts DEF ,3.00,F. Gore RB - BUF ,10.90,J. Ajayi RB ,0.00,G. Kittle TE - SF ,0.00,C. Ridley WR - ATL ,3.20,S. Barkley RB - NYG ,0.00,D. Metcalf WR - SEA ,0.60,85.80,Greg,97.18
david,4,P. Mahomes QB - KC ,18.00,C. Hyde RB - HOU ,6.40,A. Kamara RB - NO ,8.90,A. Robinson WR - CHI ,7.70,C. Kupp WR - LA ,17.90,Z. Ertz TE - PHI ,6.50,A. Jeffery WR - PHI ,9.80,W. Lutz K - NO ,12.00,Saints DEF ,11.00,D. Amendola WR - DET ,0.00,J. Witten TE - DAL ,3.00,D. Sproles RB - PHI ,0.40,M. Sanu WR - NE ,9.10,K. Drake RB - ARI ,7.30,K. Hunt RB - CLE ,0.00,98.20,michael,76.42
Ryan,2,L. Jackson QB - BAL ,24.48,C. McCaffrey RB - CAR ,23.90,S. Michel RB - NE ,6.30,R. Woods WR - LA ,16.40,P. Richardson WR - WAS ,1.40,D. Waller TE - LV ,5.30,L. Fournette RB - JAX ,26.50,M. Bryant K ,4.00,Packers DEF ,-1.00,M. Ryan QB - ATL ,15.68,G. Tate WR - NYG ,0.00,J. Brown WR - BUF ,6.90,R. Anderson WR - NYJ ,0.00,M. Breida RB - SF ,0.00,M. Gallup WR - DAL ,0.00,107.28,Daniel,64.48
alex,11,C. Keenum QB - WAS ,-0.52,M. Ingram RB - BAL ,7.10,C. Thompson RB - WAS ,6.00,D. Hopkins WR - HOU ,2.10,T. McLaurin WR - WAS ,0.00,T. Kelce TE - KC ,8.50,S. Shepard WR - NYG ,9.90,J. Lambo K - JAX ,14.00,Ravens DEF ,-1.00,A. Green WR - CIN ,0.00,C. Newton QB - CAR ,0.00,D. Williams RB - KC ,0.00,T. Coleman RB - SF ,0.00,R. Mostert RB - SF ,0.00,A. Hooper TE - ATL ,13.00,46.08,Neil,73.30
Alessandro,1,C. Wentz QB - PHI ,19.70,E. Elliott RB - DAL ,10.50,P. Barber RB - TB ,7.90,K. Allen WR - LAC ,4.80,M. Evans WR - TB ,14.90,W. Dissly TE - SEA ,11.70,S. Watkins WR - KC ,3.40,H. Butker K - KC ,10.00,Seahawks DEF ,16.00,T. Hilton WR - IND ,0.00,J. White RB - NE ,5.80,R. Freeman RB - DEN ,5.00,D. Moore WR - CAR ,4.40,D. Chark WR - JAX ,4.40,49ers DEF ,0.00,98.90,Kevin,88.90
Daniel,9,B. Mayfield QB - CLE ,15.78,M. Mack RB - IND ,3.90,D. Williams RB - KC ,15.60,D. Robinson WR - KC ,3.50,J. Smith-Schuster WR - PIT ,1.50,E. Engram TE - NYG ,5.40,S. Diggs WR - MIN ,8.80,S. Gostkowski K - NE ,4.00,Rams DEF ,6.00,M. Stafford QB - DET ,23.44,T. Ginn WR - NO ,1.90,M. Goodwin WR - SF ,0.00,L. Bell RB - NYJ ,0.00,C. Davis WR - TEN ,15.10,D. Singletary RB - BUF ,0.00,64.48,Ryan,107.28
Neil,7,D. Watson QB - HOU ,11.60,T. Gurley RB - LA ,19.00,D. Johnson RB - ARI ,13.90,J. Edelman WR - NE ,3.00,J. Gordon WR - SEA ,4.60,D. Walker TE - TEN ,0.40,A. Cooper WR - DAL ,4.80,J. Tucker K - BAL ,5.00,Chargers DEF ,11.00,B. Roethlisberger QB - PIT ,0.00,D. Johnson RB - HOU ,7.80,D. Njoku TE - CLE ,0.00,C. Samuel WR - CAR ,3.30,R. Jones RB - TB ,14.20,D. Montgomery RB - CHI ,6.70,73.30,alex,46.08
michael,12,D. Prescott QB - DAL ,7.62,J. Howard RB - PHI ,29.50,D. Henry RB - TEN ,10.80,K. Stills WR - HOU ,2.40,T. Quinn WR - WAS ,1.00,J. Cook TE - NO ,2.10,M. Gordon RB - LAC ,0.00,A. Vinatieri K - IND ,6.00,Bears DEF ,17.00,A. Brown WR ,0.00,T. Burton TE - CHI ,1.60,J. Goff QB - LA ,22.68,T. Hill WR - KC ,0.00,T. Cohen RB - CHI ,7.80,Chiefs DEF ,13.00,76.42,david,98.20
Kevin,6,P. Rivers QB - LAC ,20.40,J. Mixon RB - CIN ,6.30,A. Jones RB - GB ,11.80,D. Adams WR - GB ,18.00,T. Boyd WR - CIN ,3.30,M. Andrews TE - BAL ,9.10,P. Lindsay RB - DEN ,6.00,J. Slye K - CAR ,12.00,Vikings DEF ,2.00,E. Sanders WR - SF ,10.40,G. Olsen TE - CAR ,0.50,G. Bernard RB - CIN ,1.90,W. Gallman RB - NYG ,21.80,K. Murray QB - ARI ,16.34,R. Gould K - SF ,0.00,88.90,Alessandro,98.90
Jeremy,10,D. Jones QB - NYG ,12.30,K. Johnson RB - DET ,13.70,N. Chubb RB - CLE ,36.30,O. Beckham WR - CLE ,2.00,B. Cooks WR - LA ,7.10,O. Howard TE - TB ,3.30,L. Fitzgerald WR - ARI ,4.70,Z. Gonzalez K - ARI ,4.00,Steelers DEF ,19.00,D. Jackson WR - PHI ,0.00,M. Jones WR - DET ,7.70,L. Murray RB - NO ,2.00,J. Winston QB - TB ,29.30,M. Brown RB - LA ,1.40,R. Penny RB - SEA ,0.00,102.40,Peter,72.38
