Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,2,--empty--,-,--empty--,-,--empty--,-,--empty--,-,--empty--,-,--empty--,-,--empty--,-,--empty--,-,--empty--,-,T. Brady QB - NE ,10.76,R. Fitzpatrick QB - MIA ,14.30,R. Woods WR - LA ,18.70,A. Thielen WR - MIN ,0.00,D. Freeman RB - ATL ,15.40,K. Hunt RB - CLE ,12.80,K. Golladay WR - DET ,11.80,G. Kittle TE - SF ,12.70,A. Ekeler RB - LAC ,27.30,C. Ridley WR - ATL ,13.60,S. Barkley RB - NYG ,6.70,D. Metcalf WR - SEA ,7.80,D. Samuel WR - SF ,10.90,G. Zuerlein K - LA ,4.00,Giants DEF ,5.00,0.00,-,-
david,11,P. Mahomes QB - KC ,13.92,C. Hyde RB - HOU ,7.80,A. Kamara RB - NO ,2.30,A. Robinson WR - CHI ,16.80,C. Kupp WR - LA ,10.50,Z. Ertz TE - PHI ,21.10,A. Jeffery WR - PHI ,0.00,W. Lutz K - NO ,12.00,Chiefs DEF ,6.00,D. Amendola WR - DET ,3.40,J. Witten TE - DAL ,3.70,M. Sanu WR - NE ,1.30,K. Drake RB - ARI ,6.70,D. Jones QB - NYG ,0.00,Browns DEF ,11.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90.42,Jeremy,55.34
Ryan,1,--empty--,-,--empty--,-,--empty--,-,--empty--,-,--empty--,-,--empty--,-,--empty--,-,--empty--,-,--empty--,-,G. Tate WR - NYG ,1.10,B. Powell RB - NYJ ,8.80,K. Allen WR - LAC ,8.30,L. Bell RB - NYJ ,0.00,E. Engram TE - NYG ,0.00,C. McCaffrey RB - CAR ,13.50,M. Breida RB - SF ,5.80,M. Gallup WR - DAL ,10.90,L. Jackson QB - BAL ,19.80,D. Moore WR - CAR ,8.10,B. Scarbrough RB - DET ,7.00,D. Goedert TE - PHI ,4.10,Z. Gonzalez K - ARI ,5.00,Ravens DEF ,9.00,Steelers DEF ,18.00,0.00,-,-
alex,8,K. Cousins QB - MIN ,13.58,M. Ingram RB - BAL ,7.90,T. Coleman RB - SF ,0.60,D. Hopkins WR - HOU ,19.20,T. McLaurin WR - WAS ,11.70,T. Kelce TE - KC ,11.00,D. Parker WR - MIA ,2.80,J. Lambo K - JAX ,4.00,Eagles DEF ,3.00,A. Green WR - CIN ,0.00,J. Garoppolo QB - SF ,28.06,D. Williams RB - KC ,0.00,A. Hooper TE - ATL ,3.20,B. Hill RB - ATL ,12.20,N. Fant TE - DEN ,17.30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73.78,-,-
Alessandro,4,C. Wentz QB - PHI ,19.90,E. Elliott RB - DAL ,21.30,R. Penny RB - SEA ,1.60,M. Evans WR - TB ,12.10,D. Chark WR - JAX ,7.50,K. Rudolph TE - MIN ,1.10,M. Jones WR - DET ,3.80,H. Butker K - KC ,11.00,49ers DEF ,-2.00,T. Hilton WR - IND ,0.00,R. Tannehill QB - TEN ,27.54,D. Fells TE - HOU ,0.20,P. Barber RB - TB ,5.30,J. Williams RB - GB ,2.40,S. Michel RB - NE ,0.90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76.30,Peter,73.50
Daniel,9,G. Minshew QB - JAX ,13.58,L. Fournette RB - JAX ,6.30,D. Singletary RB - BUF ,11.80,J. Brown WR - BUF ,2.60,S. Diggs WR - MIN ,9.20,D. Waller TE - LV ,5.20,M. Mack RB - IND ,9.80,M. Gay K - TB ,8.00,Rams DEF ,14.00,D. Carr QB - LV ,20.18,J. Williams RB - IND ,0.00,W. Fuller WR - HOU ,0.00,G. Everett TE - LA ,0.00,J. Smith-Schuster WR - PIT ,0.00,D. Johnson WR - PIT ,19.60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80.48,michael,109.06
Neil,6,D. Watson QB - HOU ,28.08,T. Gurley RB - LA ,17.30,D. Montgomery RB - CHI ,6.60,J. Edelman WR - NE ,16.30,C. Samuel WR - CAR ,4.20,V. McDonald TE - PIT ,0.30,A. Cooper WR - DAL ,14.30,J. Tucker K - BAL ,6.00,Panthers DEF ,-3.00,J. Gordon WR - SEA ,3.40,J. Winston QB - TB ,36.74,D. Johnson RB - HOU ,4.50,D. Johnson RB - ARI ,11.30,R. Jones RB - TB ,5.90,Chargers DEF ,6.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90.08,Greg,108.96
michael,12,D. Prescott QB - DAL ,17.46,M. Gordon RB - LAC ,14.40,D. Henry RB - TEN ,22.90,C. Beasley WR - BUF ,10.90,T. Hill WR - KC ,7.00,J. Cook TE - NO ,18.40,S. Watkins WR - KC ,5.00,C. Boswell K - PIT ,11.00,Bears DEF ,2.00,T. Burton TE - CHI ,0.00,J. Goff QB - LA ,16.12,J. Howard RB - PHI ,0.00,T. Cohen RB - CHI ,3.10,A. Vinatieri K - IND ,0.00,Seahawks DEF ,9.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,109.06,Daniel,80.48
Kevin,7,K. Murray QB - ARI ,9.96,J. Mixon RB - CIN ,24.60,A. Jones RB - GB ,25.20,D. Adams WR - GB ,4.10,T. Boyd WR - CIN ,8.20,M. Andrews TE - BAL ,1.40,P. Lindsay RB - DEN ,11.50,M. Prater K - DET ,1.00,Jets DEF ,4.00,E. Sanders WR - SF ,27.10,J. Crowder WR - NYJ ,2.90,J. Brissett QB - IND ,22.64,A. Brown WR - TEN ,28.60,B. Snell RB - PIT ,2.10,Vikings DEF ,13.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89.96,-,-
Jeremy,10,J. Allen QB - BUF ,10.74,D. Guice RB - WAS ,4.20,N. Chubb RB - CLE ,11.70,O. Beckham WR - CLE ,3.90,T. Williams WR - LV ,3.50,H. Henry TE - LAC ,9.90,J. White RB - NE ,7.40,D. Carlson K - LV ,3.00,Saints DEF ,1.00,L. Fitzgerald WR - ARI ,2.00,B. Cooks WR - LA ,0.00,S. Shepard WR - NYG ,3.60,O. Howard TE - TB ,7.30,K. Ballage RB - MIA ,0.00,A. Mattison RB - MIN ,6.40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55.34,david,90.42
Peter,5,R. Wilson QB - SEA ,10.60,D. Cook RB - MIN ,13.50,J. Jacobs RB - LV ,0.00,C. Godwin WR - TB ,9.10,M. Williams WR - LAC ,12.30,J. Hollister TE - SEA ,3.40,J. Jones WR - ATL ,6.60,A. Seibert K - CLE ,11.00,Packers DEF ,7.00,L. McCoy RB - KC ,4.30,A. Rodgers QB - GB ,11.40,R. Griffin TE - NYJ ,0.80,C. Kirk WR - ARI ,8.90,M. Brown WR - BAL ,-0.20,Bills DEF ,3.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73.50,Alessandro,76.30
Greg,3,D. Brees QB - NO ,40.06,C. Carson RB - SEA ,9.10,M. Sanders RB - PHI ,6.90,T. Lockett WR - SEA ,4.30,M. Thomas WR - NO ,19.40,T. Higbee TE - LA ,11.60,J. Landry WR - CLE ,7.60,J. Elliott K - PHI ,5.00,Patriots DEF ,5.00,L. Murray RB - NO ,9.40,R. Mostert RB - SF ,22.90,J. Conner RB - PIT ,0.00,C. Sutton WR - DEN ,3.40,D. Williams RB - KC ,0.00,M. Gesicki TE - MIA ,0.60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,108.96,Neil,90.08
