Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,2,T. Brady QB - NE ,20.14,A. Ekeler RB - LAC ,8.10,S. Barkley RB - NYG ,3.70,A. Thielen WR - MIN ,17.60,K. Golladay WR - DET ,1.70,G. Kittle TE - SF ,5.70,F. Gore RB - BUF ,14.90,G. Zuerlein K - LA ,10.00,Bills DEF ,11.00,A. Peterson RB - WAS ,3.40,D. Freeman RB - ATL ,9.50,N. Agholor WR - PHI ,15.00,C. Ridley WR - ATL ,0.60,C. Sutton WR - DEN ,8.70,D. Metcalf WR - SEA ,6.70,92.84,Peter,83.80
david,6,P. Mahomes QB - KC ,27.86,C. Hyde RB - HOU ,7.90,A. Kamara RB - NO ,28.10,A. Robinson WR - CHI ,6.00,C. Kupp WR - LA ,22.10,Z. Ertz TE - PHI ,6.40,D. Amendola WR - DET ,3.70,W. Lutz K - NO ,3.00,Saints DEF ,14.00,J. Witten TE - DAL ,5.40,D. Sproles RB - PHI ,0.40,A. Jeffery WR - PHI ,0.00,M. Sanu WR - NE ,7.70,K. Drake RB - ARI ,5.20,K. Hunt RB - CLE ,0.00,119.06,Greg,78.78
Ryan,3,L. Jackson QB - BAL ,21.28,L. Fournette RB - JAX ,9.20,S. Michel RB - NE ,7.10,R. Woods WR - LA ,5.80,J. Brown WR - BUF ,5.50,D. Waller TE - LV ,14.10,C. McCaffrey RB - CAR ,24.80,M. Bryant K ,6.00,Packers DEF ,13.00,M. Ryan QB - ATL ,22.46,R. Anderson WR - NYJ ,1.10,M. Breida RB - SF ,8.80,M. Gallup WR - DAL ,0.00,J. Jackson RB - LAC ,3.00,P. Williams WR - MIA ,6.80,106.78,michael,65.04
alex,9,K. Cousins QB - MIN ,12.56,M. Ingram RB - BAL ,31.50,R. Mostert RB - SF ,5.90,D. Hopkins WR - HOU ,6.70,T. McLaurin WR - WAS ,13.00,T. Kelce TE - KC ,8.90,S. Shepard WR - NYG ,20.10,B. Maher K ,7.00,Ravens DEF ,0.00,A. Green WR - CIN ,0.00,C. Newton QB - CAR ,0.00,D. Williams RB - KC ,0.00,T. Coleman RB - SF ,0.00,C. Conley WR - JAX ,3.00,A. Hooper TE - ATL ,18.60,105.66,Jeremy,95.52
Alessandro,1,C. Wentz QB - PHI ,21.66,E. Elliott RB - DAL ,13.90,R. Freeman RB - DEN ,7.30,K. Allen WR - LAC ,30.60,M. Evans WR - TB ,37.00,W. Dissly TE - SEA ,12.20,S. Watkins WR - KC ,6.40,H. Butker K - KC ,9.00,49ers DEF ,7.00,T. Hilton WR - IND ,12.50,J. White RB - NE ,0.00,T. Montgomery RB - NYJ ,0.10,P. Barber RB - TB ,5.50,D. Moore WR - CAR ,12.40,D. Chark WR - JAX ,13.60,145.06,Neil,98.14
Daniel,10,M. Stafford QB - DET ,12.14,L. Bell RB - NYJ ,6.30,M. Mack RB - IND ,14.80,D. Robinson WR - KC ,10.30,J. Smith-Schuster WR - PIT ,14.10,E. Engram TE - NYG ,17.30,S. Diggs WR - MIN ,1.50,S. Gostkowski K - NE ,6.00,Rams DEF ,9.00,D. Lewis RB - TEN ,2.00,T. Ginn WR - NO ,1.50,M. Goodwin WR - SF ,4.10,C. Davis WR - TEN ,4.40,B. Mayfield QB - CLE ,9.70,D. Singletary RB - BUF ,0.00,91.44,Kevin,101.22
Neil,7,D. Watson QB - HOU ,25.84,T. Gurley RB - LA ,4.30,D. Johnson RB - ARI ,12.50,J. Edelman WR - NE ,12.20,A. Cooper WR - DAL ,20.80,D. Walker TE - TEN ,6.40,D. Montgomery RB - CHI ,8.10,J. Tucker K - BAL ,4.00,Chargers DEF ,4.00,B. Roethlisberger QB - PIT ,0.00,J. Gordon WR - SEA ,8.40,D. Njoku TE - CLE ,0.00,C. Samuel WR - CAR ,11.30,R. Jones RB - TB ,12.10,K. Ballage RB - MIA ,2.70,98.14,Alessandro,145.06
michael,12,D. Prescott QB - DAL ,22.54,J. Howard RB - PHI ,9.70,D. Henry RB - TEN ,10.60,W. Fuller WR - HOU ,5.10,T. Quinn WR - WAS ,3.00,J. Cook TE - NO ,0.70,T. Cohen RB - CHI ,2.40,A. Vinatieri K - IND ,9.00,Chiefs DEF ,2.00,T. Burton TE - CHI ,2.00,M. Gordon RB - LAC ,0.00,J. Goff QB - LA ,14.12,T. Hill WR - KC ,0.00,T. Smith WR - NO ,0.00,Bears DEF ,21.00,65.04,Ryan,106.78
Kevin,5,P. Rivers QB - LAC ,19.62,J. Mixon RB - CIN ,15.40,A. Jones RB - GB ,14.30,D. Adams WR - GB ,5.60,T. Boyd WR - CIN ,6.80,M. Andrews TE - BAL ,1.50,P. Lindsay RB - DEN ,25.00,R. Gould K - SF ,6.00,Vikings DEF ,7.00,E. Sanders WR - SF ,1.00,G. Olsen TE - CAR ,19.50,G. Bernard RB - CIN ,1.20,D. Johnson RB - HOU ,2.40,K. Murray QB - ARI ,17.82,D. Samuel WR - SF ,4.40,101.22,Daniel,91.44
Jeremy,11,J. Allen QB - BUF ,18.32,K. Johnson RB - DET ,10.30,N. Chubb RB - CLE ,13.10,O. Beckham WR - CLE ,5.60,B. Cooks WR - LA ,12.00,O. Howard TE - TB ,6.60,L. Fitzgerald WR - ARI ,9.60,Z. Gonzalez K - ARI ,8.00,Cowboys DEF ,12.00,D. Jackson WR - PHI ,0.00,M. Jones WR - DET ,16.10,L. Murray RB - NO ,0.20,J. Winston QB - TB ,25.50,M. Brown RB - LA ,0.70,R. Penny RB - SEA ,0.00,95.52,alex,105.66
Peter,4,A. Rodgers QB - GB ,13.30,D. Cook RB - MIN ,20.30,J. Jacobs RB - LV ,4.40,J. Jones WR - ATL ,18.80,M. Brown WR - BAL ,4.90,T. Hockenson TE - DET ,0.10,C. Godwin WR - TB ,4.00,K. Fairbairn K - HOU ,3.00,Jaguars DEF ,15.00,L. McCoy RB - KC ,20.00,R. Wilson QB - SEA ,43.34,P. Dorsett WR - NE ,12.50,M. Williams WR - LAC ,4.50,C. Kirk WR - ARI ,5.90,M. Hardman WR - KC ,16.40,83.80,Peter,92.84
