Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,2,T. Brady QB - NE ,24.34,A. Ekeler RB - LAC ,12.70,S. Barkley RB - NYG ,11.50,C. Ridley WR - ATL ,9.10,D. Metcalf WR - SEA ,5.50,G. Kittle TE - SF ,1.40,R. Woods WR - LA ,17.20,G. Zuerlein K - LA ,10.00,Packers DEF ,10.00,A. Thielen WR - MIN ,0.00,D. Freeman RB - ATL ,6.40,K. Hunt RB - CLE ,12.50,K. Golladay WR - DET ,21.80,B. Mayfield QB - CLE ,8.04,D. Samuel WR - SF ,12.10,101.74,Greg,86.76
david,11,P. Mahomes QB - KC ,19.50,C. Hyde RB - HOU ,2.20,A. Kamara RB - NO ,8.40,A. Robinson WR - CHI ,14.60,C. Kupp WR - LA ,12.50,Z. Ertz TE - PHI ,2.40,A. Jeffery WR - PHI ,19.70,W. Lutz K - NO ,14.00,Chiefs DEF ,18.00,D. Amendola WR - DET ,3.20,J. Witten TE - DAL ,12.20,M. Sanu WR - NE ,1.40,K. Drake RB - ARI ,5.10,D. Jones QB - NYG ,8.20,Browns DEF ,4.00,111.30,michael,82.30
Ryan,1,L. Jackson QB - BAL ,22.30,L. Bell RB - NYJ ,6.70,C. McCaffrey RB - CAR ,10.20,M. Gallup WR - DAL ,6.30,D. Moore WR - CAR ,13.20,D. Goedert TE - PHI ,6.60,K. Allen WR - LAC ,12.80,Z. Gonzalez K - ARI ,1.00,Steelers DEF ,13.00,M. Ryan QB - ATL ,16.58,G. Tate WR - NYG ,0.00,E. Engram TE - NYG ,0.00,M. Breida RB - SF ,0.00,B. Scarbrough RB - DET ,8.30,Ravens DEF ,5.00,92.10,Peter,68.90
alex,8,K. Cousins QB - MIN ,17.04,M. Ingram RB - BAL ,6.20,T. Coleman RB - SF ,1.50,D. Hopkins WR - HOU ,10.64,T. McLaurin WR - WAS ,0.80,T. Kelce TE - KC ,9.00,D. Parker WR - MIA ,27.90,J. Lambo K - JAX ,5.00,Eagles DEF ,1.00,A. Green WR - CIN ,0.00,J. Garoppolo QB - SF ,9.10,D. Williams RB - KC ,0.00,A. Hooper TE - ATL ,0.00,B. Hill RB - ATL ,3.70,N. Fant TE - DEN ,0.50,79.08,Jeremy,83.34
Alessandro,4,S. Darnold QB - NYJ ,10.46,E. Elliott RB - DAL ,13.70,S. Michel RB - NE ,4.50,M. Evans WR - TB ,5.30,D. Chark WR - JAX ,4.70,G. Olsen TE - CAR ,2.20,J. Williams RB - GB ,6.70,H. Butker K - KC ,10.00,49ers DEF ,4.00,T. Hilton WR - IND ,0.00,M. Jones WR - DET ,10.00,R. Tannehill QB - TEN ,13.78,D. Fells TE - HOU ,8.30,P. Barber RB - TB ,18.40,R. Penny RB - SEA ,22.70,61.56,Kevin,86.92
Daniel,9,D. Carr QB - LV ,9.58,L. Fournette RB - JAX ,9.10,D. Singletary RB - BUF ,16.10,J. Brown WR - BUF ,7.72,S. Diggs WR - MIN ,5.20,D. Waller TE - LV ,10.00,J. Williams RB - IND ,2.50,M. Gay K - TB ,8.00,Rams DEF ,18.00,M. Stafford QB - DET ,0.00,W. Fuller WR - HOU ,0.80,G. Everett TE - LA ,0.00,M. Mack RB - IND ,0.00,J. Smith-Schuster WR - PIT ,0.00,D. Johnson WR - PIT ,3.10,86.20,Neil,111.06
Neil,6,D. Watson QB - HOU ,27.86,T. Gurley RB - LA ,17.50,D. Montgomery RB - CHI ,14.70,J. Edelman WR - NE ,15.90,C. Samuel WR - CAR ,12.50,V. McDonald TE - PIT ,2.10,A. Cooper WR - DAL ,8.50,J. Tucker K - BAL ,8.00,Panthers DEF ,4.00,J. Gordon WR - SEA ,1.00,J. Winston QB - TB ,10.72,D. Johnson RB - HOU ,15.00,D. Johnson RB - ARI ,2.40,R. Jones RB - TB ,0.80,Chargers DEF ,2.00,111.06,Daniel,86.20
michael,12,D. Prescott QB - DAL ,22.70,J. Howard RB - PHI ,0.00,D. Henry RB - TEN ,20.60,C. Beasley WR - BUF ,17.00,T. Quinn WR - WAS ,0.00,J. Cook TE - NO ,8.50,T. Cohen RB - CHI ,3.50,A. Vinatieri K - IND ,5.00,Bears DEF ,5.00,T. Burton TE - CHI ,0.00,M. Gordon RB - LAC ,11.00,J. Goff QB - LA ,26.96,T. Hill WR - KC ,5.10,C. Boswell K - PIT ,8.00,Seahawks DEF ,6.00,82.30,david,111.30
Kevin,7,K. Murray QB - ARI ,13.32,J. Mixon RB - CIN ,13.00,A. Jones RB - GB ,3.10,D. Adams WR - GB ,18.40,T. Boyd WR - CIN ,11.90,M. Andrews TE - BAL ,11.00,P. Lindsay RB - DEN ,6.20,M. Prater K - DET ,8.00,Jets DEF ,2.00,E. Sanders WR - SF ,4.10,J. Crowder WR - NYJ ,0.80,J. Brissett QB - IND ,12.66,A. Brown WR - TEN ,4.50,B. Snell RB - PIT ,12.70,Vikings DEF ,8.00,86.92,Alessandro,61.56
Jeremy,10,J. Allen QB - BUF ,23.54,D. Guice RB - WAS ,25.70,N. Chubb RB - CLE ,7.90,O. Beckham WR - CLE ,2.90,T. Williams WR - LV ,0.90,H. Henry TE - LAC ,1.00,B. Cooks WR - LA ,2.40,D. Carlson K - LV ,3.00,Saints DEF ,16.00,L. Fitzgerald WR - ARI ,5.60,J. White RB - NE ,29.70,O. Howard TE - TB ,6.10,K. Ballage RB - MIA ,0.00,A. Mattison RB - MIN ,7.30,D. Slayton WR - NYG ,4.40,83.34,alex,79.08
