Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,2,R. Fitzpatrick QB - MIA ,33.66,A. Ekeler RB - LAC ,6.90,S. Barkley RB - NYG ,39.90,R. Woods WR - LA ,12.30,K. Golladay WR - DET ,12.60,G. Kittle TE - SF ,13.90,D. Samuel WR - SF ,11.90,Y. Koo K - ATL ,6.00,Redskins DEF ,-3.00,T. Brady QB - NE ,17.24,A. Thielen WR - MIN ,0.20,D. Freeman RB - ATL ,24.70,K. Hunt RB - CLE ,4.10,D. Metcalf WR - SEA ,0.00,G. Zuerlein K - LA ,9.00,134.16,Ryan,103.02
david,11,P. Mahomes QB - KC ,25.44,C. Hyde RB - HOU ,9.70,A. Kamara RB - NO ,23.00,A. Robinson WR - CHI ,5.30,C. Kupp WR - LA ,9.10,Z. Ertz TE - PHI ,2.80,K. Drake RB - ARI ,30.40,W. Lutz K - NO ,8.00,Chiefs DEF ,10.00,D. Amendola WR - DET ,2.10,J. Witten TE - DAL ,1.40,A. Jeffery WR - PHI ,0.00,M. Sanu WR - NE ,2.40,D. Jones QB - NYG ,35.28,Browns DEF ,1.00,123.74,alex,80.68
Ryan,1,L. Jackson QB - BAL ,29.82,L. Bell RB - NYJ ,9.30,C. McCaffrey RB - CAR ,17.30,K. Allen WR - LAC ,6.60,D. Moore WR - CAR ,0.10,D. Goedert TE - PHI ,15.10,M. Gallup WR - DAL ,9.80,R. Gould K - SF ,10.00,Steelers DEF ,5.00,J. Doyle TE - IND ,1.70,E. Engram TE - NYG ,0.00,Z. Pascal WR - IND ,0.60,M. Breida RB - SF ,0.00,B. Scarbrough RB - DET ,3.40,Ravens DEF ,4.00,103.02,Peter,134.16
alex,8,K. Cousins QB - MIN ,6.88,M. Ingram RB - BAL ,15.10,T. Coleman RB - SF ,3.30,D. Hopkins WR - HOU ,2.30,T. McLaurin WR - WAS ,8.60,T. Kelce TE - KC ,13.40,D. Parker WR - MIA ,17.10,J. Lambo K - JAX ,6.00,Eagles DEF ,8.00,A. Green WR - CIN ,0.00,J. Garoppolo QB - SF ,10.42,D. Williams RB - KC ,15.20,A. Hooper TE - ATL ,8.20,B. Hill RB - ATL ,6.60,N. Fant TE - DEN ,1.00,80.68,david,123.74
Alessandro,4,R. Tannehill QB - TEN ,23.68,A. Peterson RB - WAS ,11.50,E. Elliott RB - DAL ,8.40,B. Perriman WR - TB ,10.20,D. Chark WR - JAX ,1.80,K. Rudolph TE - MIN ,0.70,T. Hilton WR - IND ,2.60,H. Butker K - KC ,10.00,49ers DEF ,7.00,D. Lewis RB - TEN ,8.70,D. Fells TE - HOU ,2.70,C. Conley WR - JAX ,11.60,S. Michel RB - NE ,10.10,D. Slayton WR - NYG ,0.00,P. Laird RB - MIA ,1.80,75.88,Greg,106.96
Daniel,9,G. Minshew QB - JAX ,14.84,L. Fournette RB - JAX ,10.50,D. Singletary RB - BUF ,4.80,J. Brown WR - BUF ,11.60,S. Diggs WR - MIN ,11.70,D. Waller TE - LV ,3.70,M. Mack RB - IND ,16.10,M. Gay K - TB ,10.00,Rams DEF ,9.00,D. Carr QB - LV ,21.94,J. Williams RB - IND ,0.00,W. Fuller WR - HOU ,1.10,G. Everett TE - LA ,0.00,J. Smith-Schuster WR - PIT ,2.20,D. Johnson WR - PIT ,14.10,92.24,Jeremy,78.46
Neil,6,D. Watson QB - HOU ,9.06,T. Gurley RB - LA ,16.80,D. Montgomery RB - CHI ,5.90,J. Edelman WR - NE ,9.20,C. Samuel WR - CAR ,2.10,V. McDonald TE - PIT ,0.90,A. Cooper WR - DAL ,2.40,J. Tucker K - BAL ,7.00,Panthers DEF ,-1.00,J. Gordon WR - SEA ,0.00,J. Winston QB - TB ,11.00,D. Johnson RB - HOU ,-0.40,D. Johnson RB - ARI ,0.70,R. Jones RB - TB ,16.90,Chargers DEF ,3.00,52.36,Peter,53.06
michael,12,D. Prescott QB - DAL ,11.30,M. Gordon RB - LAC ,16.70,D. Henry RB - TEN ,0.00,C. Beasley WR - BUF ,10.80,T. Hill WR - KC ,7.20,J. Cook TE - NO ,20.40,S. Watkins WR - KC ,2.80,C. Boswell K - PIT ,4.00,Bears DEF ,1.00,T. Burton TE - CHI ,0.00,J. Goff QB - LA ,20.12,J. Howard RB - PHI ,0.00,T. Cohen RB - CHI ,3.30,A. Vinatieri K - IND ,0.00,Seahawks DEF ,2.00,74.20,Kevin,114.82
Kevin,7,K. Murray QB - ARI ,12.72,J. Mixon RB - CIN ,7.30,A. Jones RB - GB ,26.00,E. Sanders WR - SF ,6.10,D. Adams WR - GB ,9.60,M. Andrews TE - BAL ,21.30,P. Lindsay RB - DEN ,17.80,M. Prater K - DET ,5.00,Vikings DEF ,9.00,J. Crowder WR - NYJ ,6.00,J. Brissett QB - IND ,14.66,T. Boyd WR - CIN ,24.80,A. Brown WR - TEN ,14.30,B. Snell RB - PIT ,1.40,Jets DEF ,12.00,114.82,michael,74.20
Jeremy,10,M. Ryan QB - ATL ,15.96,D. Washington RB - LV ,16.60,N. Chubb RB - CLE ,4.50,O. Beckham WR - CLE ,10.40,S. Shepard WR - NYG ,13.60,H. Henry TE - LAC ,4.50,J. White RB - NE ,2.90,D. Bailey K - MIN ,4.00,Saints DEF ,6.00,L. Fitzgerald WR - ARI ,10.80,T. Williams WR - LV ,8.20,O. Howard TE - TB ,4.60,J. Williams RB - GB ,5.20,J. Washington WR - PIT ,4.10,A. Mattison RB - MIN ,0.00,78.46,Daniel,92.24
