Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,1,T. Brady QB - NE ,18.36,D. Freeman RB - ATL ,8.20,S. Barkley RB - NYG ,20.30,K. Golladay WR - DET ,22.30,D. Metcalf WR - SEA ,13.30,G. Kittle TE - SF ,8.60,A. Ekeler RB - LAC ,8.20,G. Zuerlein K - LA ,6.00,Bills DEF ,4.00,F. Gore RB - BUF ,3.40,A. Thielen WR - MIN ,0.00,C. Davis WR - TEN ,0.90,K. Hunt RB - CLE ,0.00,C. Ridley WR - ATL ,9.00,T. Johnson RB - DET ,3.80,-,-,109.26,alex,105.70
david,10,P. Rivers QB - LAC ,10.04,C. Hyde RB - HOU ,8.30,C. Edmonds RB - ARI ,1.30,A. Robinson WR - CHI ,6.20,C. Kupp WR - LA ,30.00,Z. Ertz TE - PHI ,2.00,M. Sanu WR - NE ,2.30,W. Lutz K - NO ,7.00,Saints DEF ,8.00,D. Amendola WR - DET ,9.50,J. Witten TE - DAL ,0.00,A. Jeffery WR - PHI ,6.40,K. Drake RB - ARI ,0.00,A. Kamara RB - NO ,0.00,P. Mahomes QB - KC ,0.00,-,-,75.14,Ryan,100.52
Ryan,2,R. Tannehill QB - TEN ,19.42,L. Bell RB - NYJ ,3.50,C. McCaffrey RB - CAR ,23.50,G. Tate WR - NYG ,8.50,R. Woods WR - LA ,4.20,E. Engram TE - NYG ,10.00,S. Michel RB - NE ,7.40,R. Gould K - SF ,9.00,Jaguars DEF ,15.00,M. Ryan QB - ATL ,0.00,R. Anderson WR - NYJ ,4.30,M. Breida RB - SF ,5.00,M. Gallup WR - DAL ,0.00,L. Jackson QB - BAL ,0.00,D. Moore WR - CAR ,3.80,-,-,100.52,david,75.14
alex,9,K. Cousins QB - MIN ,11.60,D. Williams RB - KC ,9.00,T. Coleman RB - SF ,35.80,D. Hopkins WR - HOU ,10.90,T. McLaurin WR - WAS ,3.90,A. Hooper TE - ATL ,12.50,D. Westbrook WR - JAX ,0.00,J. Lambo K - JAX ,11.00,Titans DEF ,11.00,A. Green WR - CIN ,0.00,C. Newton QB - CAR ,0.00,M. Ingram RB - BAL ,0.00,T. Kelce TE - KC ,12.30,J. Garoppolo QB - SF ,13.00,S. Shepard WR - NYG ,0.00,-,-,105.70,Peter,109.26
Alessandro,4,J. Brissett QB - IND ,9.48,P. Barber RB - TB ,2.80,R. Freeman RB - DEN ,10.50,M. Evans WR - TB ,31.80,D. Chark WR - JAX ,13.90,D. Fells TE - HOU ,17.80,T. Hilton WR - IND ,5.40,H. Butker K - KC ,6.00,49ers DEF ,17.00,M. Jones WR - DET ,2.20,K. Allen WR - LAC ,5.30,S. Watkins WR - KC ,4.50,E. Elliott RB - DAL ,0.00,C. Wentz QB - PHI ,14.38,Z. Pascal WR - IND ,0.60,-,-,114.68,Jeremy,80.96
Daniel,8,M. Stafford QB - DET ,23.38,L. Fournette RB - JAX ,13.60,M. Mack RB - IND ,15.00,J. Brown WR - BUF ,5.40,S. Diggs WR - MIN ,12.30,D. Waller TE - LV ,7.10,J. Smith-Schuster WR - PIT ,16.30,M. Bryant K ,6.00,Rams DEF ,9.00,T. Ginn WR - NO ,4.20,N. Agholor WR - PHI ,1.40,D. Robinson WR - KC ,0.60,G. Everett TE - LA ,1.50,D. Singletary RB - BUF ,10.90,M. Gay K - TB ,9.00,-,-,108.08,Neil,97.16
Neil,6,D. Watson QB - HOU ,27.76,T. Gurley RB - LA ,10.40,D. Montgomery RB - CHI ,20.70,J. Edelman WR - NE ,19.50,C. Samuel WR - CAR ,4.60,D. Walker TE - TEN ,0.00,R. Jones RB - TB ,5.20,--empty--,-,Chargers DEF ,9.00,J. Gordon WR - SEA ,0.00,V. McDonald TE - PIT ,1.90,D. Johnson RB - HOU ,9.40,A. Cooper WR - DAL ,0.00,D. Johnson RB - ARI ,0.00,J. Tucker K - BAL ,0.00,Panthers DEF ,3.00,97.16,Daniel,108.08
michael,12,J. Goff QB - LA ,22.88,J. Howard RB - PHI ,17.10,D. Henry RB - TEN ,6.30,T. Hill WR - KC ,8.10,T. Quinn WR - WAS ,1.50,T. Burton TE - CHI ,1.60,M. Gordon RB - LAC ,9.40,A. Vinatieri K - IND ,13.00,Bears DEF ,4.00,J. Cook TE - NO ,0.00,A. Brown WR ,0.00,D. Prescott QB - DAL ,0.00,T. Cohen RB - CHI ,4.60,C. Boswell K - PIT ,9.00,Seahawks DEF ,9.00,-,-,83.88,Peter,87.78
Kevin,7,K. Murray QB - ARI ,10.10,A. Jones RB - GB ,34.60,P. Lindsay RB - DEN ,7.60,E. Sanders WR - SF ,8.50,T. Boyd WR - CIN ,6.80,E. Ebron TE - IND ,2.60,J. Mixon RB - CIN ,13.70,J. Slye K - CAR ,3.00,Vikings DEF ,12.00,G. Olsen TE - CAR ,1.30,D. Adams WR - GB ,0.00,J. Crowder WR - NYJ ,2.40,J. Williams RB - GB ,15.60,M. Walton RB ,3.40,M. Andrews TE - BAL ,0.00,-,-,98.90,Greg,144.92
Jeremy,11,J. Allen QB - BUF ,17.26,J. White RB - NE ,7.90,N. Chubb RB - CLE ,9.80,B. Cooks WR - LA ,0.00,T. Williams WR - LV ,15.10,H. Henry TE - LAC ,4.70,K. Stills WR - HOU ,2.20,Z. Gonzalez K - ARI ,11.00,Steelers DEF ,13.00,L. Fitzgerald WR - ARI ,0.80,O. Beckham WR - CLE ,5.20,J. Winston QB - TB ,19.34,O. Howard TE - TB ,0.00,A. Mattison RB - MIN ,6.40,B. Snell RB - PIT ,1.30,-,-,80.96,Alessandro,114.68
