Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,6,M. Ryan QB - ATL ,22.96,M. Jones-Drew RB - JAX ,2.80,T. Richardson RB - IND ,7.90,J. Jones WR - ATL ,24.20,A. Johnson WR - HOU ,7.60,O. Daniels TE - HOU ,8.40,J. Edelman WR - NE ,8.20,J. Brown K - NYG ,11.00,Cowboys DEF ,5.00,E. Decker WR - DEN ,8.70,A. Dalton QB - CIN ,16.20,A. Gates TE - LAC ,10.40,P. Thomas RB - NO ,4.80,T. Hilton WR - IND ,12.40,Broncos DEF ,15.00,98.06,Daniel,70.70
david,4,P. Manning QB - DEN ,19.98,M. Forte RB - CHI ,14.10,R. Rice RB - BAL ,2.50,M. Colston WR - NO ,6.30,L. Fitzgerald WR - ARI ,3.30,B. Pettigrew TE - DET ,3.20,J. Jones WR - GB ,15.80,S. Gostkowski K - NE ,7.00,Seahawks DEF ,22.00,R. Mendenhall RB - ARI ,15.40,J. Dwyer RB - PIT ,0.20,R. Gronkowski TE - NE ,0.00,J. Cameron TE - CLE ,9.50,M. Schaub QB - HOU ,19.92,A. Brown WR - PIT ,5.70,94.18,alex,128.60
Daniel,7,T. Brady QB - NE ,11.20,D. Sproles RB - NO ,6.20,A. Peterson RB - MIN ,8.70,W. Welker WR - DEN ,9.90,V. Jackson WR - TB ,7.70,T. Gonzalez TE - ATL ,3.30,A. Boldin WR - SF ,0.70,M. Bryant K - ATL ,7.00,Patriots DEF ,16.00,J. Stewart RB - CAR ,0.00,M. Bennett TE - CHI ,19.60,D. Moore WR - LV ,0.00,J. Rodgers RB - ATL ,4.50,F. Jackson RB - BUF ,12.50,R. Griffin QB - WAS ,22.90,70.70,Peter,98.06
alex,5,A. Rodgers QB - GB ,36.90,R. Bush RB - DET ,6.90,A. Morris RB - WAS ,12.00,D. Bowe WR - KC ,11.60,C. Johnson WR - DET ,23.60,J. Cook TE - STL ,1.00,J. Nelson WR - GB ,18.60,M. Crosby K - GB ,8.00,Bengals DEF ,10.00,J. Flacco QB - BAL ,13.04,E. Sanders WR - PIT ,7.80,J. Thomas TE - DEN ,10.70,D. Wilson RB - NYG ,1.70,G. Bernard RB - CIN ,18.50,L. Bell RB - PIT ,0.00,128.60,david,94.18
Alessandro,8,A. Luck QB - IND ,18.64,J. Charles RB - KC ,16.30,S. Ridley RB - NE ,4.00,B. Hartline WR - MIA ,6.80,D. Bryant WR - DAL ,20.10,J. Witten TE - DAL ,1.20,L. Miller RB - MIA ,13.50,B. Walsh K - MIN ,12.00,49ers DEF ,6.00,S. Johnson WR - BUF ,17.10,D. Amendola WR - NE ,0.00,K. Britt WR - TEN ,2.80,B. Myers TE - NYG ,7.40,E. Manning QB - NYG ,10.48,I. Pead RB - STL ,1.90,98.54,Raed,93.36
johnny,2,C. Kaepernick QB - SF ,5.78,C. Johnson RB - TEN ,9.70,M. Lynch RB - SEA ,31.50,H. Nicks WR - NYG ,8.30,T. Smith WR - BAL ,8.50,J. Graham TE - NO ,23.90,T. Austin WR - STL ,17.50,P. Dawson K - SF ,3.00,Rams DEF ,2.00,J. Gresham TE - CIN ,6.60,C. Shorts WR - JAX ,9.30,B. Roethlisberger QB - PIT ,12.64,M. Wallace WR - MIA ,17.50,E. Lacy RB - GB ,1.00,Cardinals DEF ,4.00,110.18,Kevin,96.82
christian,10,D. Brees QB - NO ,12.88,B. Green-Ellis RB - CIN ,8.00,A. Foster RB - HOU ,16.50,R. Wayne WR - IND ,4.60,R. White WR - ATL ,2.10,V. Davis TE - SF ,2.00,M. Austin WR - DAL ,3.10,S. Hauschka K - SEA ,9.00,Ravens DEF ,12.00,M. Ingram RB - NO ,2.00,S. Rice WR - SEA ,1.30,L. Moore WR - NO ,1.50,A. Smith QB - KC ,22.62,C. Ivory RB - NYJ ,5.20,Packers DEF ,4.00,70.18,michael,91.58
michael,1,R. Wilson QB - SEA ,10.98,L. McCoy RB - PHI ,16.70,F. Gore RB - SF ,3.00,B. Marshall WR - CHI ,17.30,V. Cruz WR - NYG ,11.80,Z. Miller TE - SEA ,2.20,R. Mathews RB - LAC ,5.60,M. Prater K - DEN ,11.00,Bears DEF ,13.00,J. Freeman QB - MIN ,6.60,K. Rudolph TE - MIN ,10.20,A. Bradshaw RB - IND ,14.40,M. Williams WR - TB ,0.90,B. Pierce RB - BAL ,11.50,D. Richardson RB - STL ,8.00,91.58,christian,70.18
Kevin,3,M. Stafford QB - DET ,17.22,C. Spiller RB - BUF ,11.70,S. Jackson RB - ATL ,6.80,A. Green WR - CIN ,4.10,S. Smith WR - CAR ,5.20,J. Finley TE - GB ,12.50,D. Jackson WR - PHI ,25.30,G. Zuerlein K - STL ,6.00,Chiefs DEF ,8.00,D. McFadden RB - LV ,13.70,G. Jennings WR - MIN ,8.40,D. Williams RB - CAR ,8.50,M. Vick QB - PHI ,36.32,A. Jeffery WR - CHI ,4.10,Giants DEF ,-2.00,96.82,johnny,110.18
Raed,9,C. Newton QB - CAR ,16.66,D. Murray RB - DAL ,7.40,D. Martin RB - TB ,14.40,D. Thomas WR - DEN ,5.20,R. Cobb WR - GB ,18.80,K. Winslow TE - NYJ ,1.60,P. Garcon WR - WAS ,20.30,J. Tucker K - BAL ,2.00,Texans DEF ,7.00,D. Woodhead RB - LAC ,6.40,B. Tate RB - HOU ,10.10,G. Olsen TE - CAR ,14.40,T. Romo QB - DAL ,14.22,M. Floyd WR - ARI ,2.20,K. Thompkins WR - NE ,4.70,93.36,Alessandro,98.54
