Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,8,N. Foles QB - PHI ,19.46,M. Jones-Drew RB - JAX ,12.30,D. Brown RB - IND ,2.90,D. Bowe WR - KC ,13.00,A. Johnson WR - HOU ,15.40,A. Gates TE - LAC ,5.00,E. Decker WR - DEN ,17.70,M. Prater K - DEN ,17.00,Raiders DEF ,-1.00,M. Ryan QB - ATL ,12.24,T. Hilton WR - IND ,0.70,C. Keenum QB - HOU ,9.66,T. Richardson RB - IND ,8.80,R. Randle WR - NYG ,2.70,Cowboys DEF ,-3.00,101.76,johnny,112.20
david,5,P. Manning QB - DEN ,31.78,M. Forte RB - CHI ,23.50,R. Rice RB - BAL ,10.90,J. Jones WR - GB ,1.90,A. Brown WR - PIT ,19.80,R. Gronkowski TE - NE ,3.20,L. Fitzgerald WR - ARI ,15.60,S. Gostkowski K - NE ,9.00,Seahawks DEF ,5.00,J. Flacco QB - BAL ,20.00,R. Mendenhall RB - ARI ,10.10,J. Cameron TE - CLE ,18.10,M. Colston WR - NO ,24.50,B. Celek TE - PHI ,2.90,Texans DEF ,1.00,120.68,Raed,70.20
Daniel,7,T. Brady QB - NE ,24.82,A. Peterson RB - MIN ,1.70,L. Bell RB - PIT ,8.00,E. Royal WR - LAC ,1.30,W. Welker WR - DEN ,12.10,M. Bennett TE - CHI ,4.30,A. Boldin WR - SF ,9.30,M. Bryant K - ATL ,3.00,Broncos DEF ,5.00,E. Sanders WR - PIT ,12.50,T. Gonzalez TE - ATL ,8.50,D. Sproles RB - NO ,6.10,F. Jackson RB - BUF ,3.80,R. Griffin QB - WAS ,11.46,Patriots DEF ,1.00,69.52,Kevin,119.24
alex,4,R. Fitzpatrick QB - TEN ,9.28,A. Morris RB - WAS ,3.10,G. Bernard RB - CIN ,14.80,C. Johnson WR - DET ,5.20,V. Jackson WR - TB ,13.00,J. Cook TE - STL ,4.90,J. Nelson WR - GB ,8.50,M. Crosby K - GB ,10.00,Rams DEF ,3.00,H. Douglas WR - ATL ,2.00,J. Thomas TE - DEN ,9.50,S. Ridley RB - NE ,3.70,A. Rodgers QB - GB ,0.00,R. Bush RB - DET ,0.00,Bengals DEF ,-1.00,71.78,michael,99.16
Alessandro,6,P. Rivers QB - LAC ,19.96,J. Charles RB - KC ,27.80,K. Moreno RB - DEN ,16.90,D. Bryant WR - DAL ,7.20,J. Gordon WR - CLE ,24.50,J. Witten TE - DAL ,7.00,R. Jennings RB - LV ,0.00,D. Bailey K - DAL ,4.00,49ers DEF ,5.00,D. McFadden RB - LV ,0.00,D. Amendola WR - NE ,9.60,R. Cooper WR - PHI ,9.40,J. Cotchery WR - PIT ,11.70,A. Luck QB - IND ,32.24,T. Williams WR - DAL ,3.60,112.36,christian,102.32
johnny,2,C. Kaepernick QB - SF ,12.10,C. Johnson RB - TEN ,9.50,E. Lacy RB - GB ,15.00,H. Nicks WR - NYG ,13.50,T. Smith WR - BAL ,3.10,J. Graham TE - NO ,17.80,M. Lynch RB - SEA ,13.20,R. Bullock K - HOU ,8.00,Cardinals DEF ,20.00,P. Harvin WR - SEA ,0.00,J. Gresham TE - CIN ,10.10,C. Shorts WR - JAX ,7.30,M. Wallace WR - MIA ,1.90,T. Pryor QB - LV ,1.20,T. Austin WR - STL ,6.50,112.20,Peter,101.76
christian,10,D. Brees QB - NO ,28.82,B. Green-Ellis RB - CIN ,16.80,P. Thomas RB - NO ,2.80,R. White WR - ATL ,7.40,A. Jeffery WR - CHI ,13.70,V. Davis TE - SF ,8.10,M. Jones WR - CIN ,11.70,S. Hauschka K - SEA ,5.00,Ravens DEF ,8.00,A. Foster RB - HOU ,0.00,D. Moore WR - LV ,0.00,A. Smith QB - KC ,14.18,M. Tolbert RB - CAR ,2.90,C. Fleener TE - IND ,3.10,Packers DEF ,6.00,102.32,Alessandro,112.36
michael,1,R. Wilson QB - SEA ,10.16,J. Bell RB - DET ,16.70,F. Gore RB - SF ,11.00,B. Marshall WR - CHI ,12.00,V. Cruz WR - NYG ,4.20,D. Walker TE - TEN ,0.00,L. McCoy RB - PHI ,36.10,A. Vinatieri K - IND ,4.00,Dolphins DEF ,5.00,R. Mathews RB - LAC ,19.50,B. Powell RB - NYJ ,3.80,E. Manning QB - NYG ,10.36,Z. Miller TE - SEA ,1.30,K. Stills WR - NO ,2.20,Panthers DEF ,1.00,99.16,alex,71.78
Kevin,3,M. Stafford QB - DET ,5.94,S. Vereen RB - NE ,22.20,A. Brown RB - NYG ,7.60,D. Jackson WR - PHI ,10.90,A. Green WR - CIN ,13.20,T. Wright TE - TB ,8.10,B. Rainey RB - TB ,18.30,G. Hartley K ,7.00,Chiefs DEF ,26.00,C. Spiller RB - BUF ,4.80,L. Miller RB - MIA ,3.30,K. Allen WR - LAC ,17.90,J. Reed TE - WAS ,0.00,Z. Stacy RB - STL ,8.20,B. Cunningham RB - STL ,2.50,119.24,Daniel,69.52
Raed,9,C. Newton QB - CAR ,15.20,D. Woodhead RB - LAC ,15.40,D. Murray RB - DAL ,15.50,D. Thomas WR - DEN ,14.80,M. Floyd WR - ARI ,2.60,G. Olsen TE - CAR ,4.00,P. Garcon WR - WAS ,3.70,J. Tucker K - BAL ,3.00,Colts DEF ,-4.00,B. Tate RB - HOU ,5.60,G. Tate WR - SEA ,6.50,R. Cobb WR - GB ,0.00,D. Williams RB - CAR ,6.30,T. Romo QB - DAL ,16.06,K. Wright WR - TEN ,1.70,70.20,david,120.68
