Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,8,N. Foles QB - PHI ,35.22,M. Jones-Drew RB - JAX ,0.00,D. Brown RB - IND ,3.80,D. Bowe WR - KC ,2.40,A. Johnson WR - HOU ,1.80,A. Gates TE - LAC ,2.30,E. Decker WR - DEN ,4.20,M. Prater K - DEN ,8.00,Raiders DEF ,0.00,M. Ryan QB - ATL ,8.30,T. Hilton WR - IND ,7.80,C. Keenum QB - HOU ,2.92,T. Richardson RB - IND ,16.20,R. Randle WR - NYG ,0.00,Cowboys DEF ,0.00,57.72,david,99.86
david,5,P. Manning QB - DEN ,17.56,M. Forte RB - CHI ,13.10,R. Rice RB - BAL ,6.40,J. Jones WR - GB ,10.90,A. Brown WR - PIT ,12.70,J. Cameron TE - CLE ,2.30,L. Fitzgerald WR - ARI ,4.90,S. Gostkowski K - NE ,8.00,Seahawks DEF ,24.00,J. Flacco QB - BAL ,10.18,R. Mendenhall RB - ARI ,19.80,R. Gronkowski TE - NE ,0.00,M. Colston WR - NO ,15.20,B. Celek TE - PHI ,2.50,Texans DEF ,3.00,99.86,Peter,57.72
Daniel,7,T. Brady QB - NE ,20.56,A. Peterson RB - MIN ,0.00,L. Bell RB - PIT ,16.70,E. Royal WR - LAC ,4.60,W. Welker WR - DEN ,0.00,M. Bennett TE - CHI ,5.10,A. Boldin WR - SF ,4.30,M. Bryant K - ATL ,11.00,Broncos DEF ,2.00,E. Sanders WR - PIT ,3.80,T. Gonzalez TE - ATL ,12.20,D. Sproles RB - NO ,6.20,F. Jackson RB - BUF ,8.80,R. Griffin QB - WAS ,0.00,Patriots DEF ,6.00,64.26,Alessandro,161.54
alex,4,M. Flynn QB - GB ,25.66,A. Morris RB - WAS ,6.60,G. Bernard RB - CIN ,10.60,J. Edelman WR - NE ,19.90,C. Johnson WR - DET ,9.80,J. Thomas TE - DEN ,4.90,J. Nelson WR - GB ,12.10,M. Crosby K - GB ,9.00,Bills DEF ,14.00,H. Douglas WR - ATL ,3.70,A. Rodgers QB - GB ,0.00,V. Jackson WR - TB ,11.80,R. Bush RB - DET ,16.10,R. Tannehill QB - MIA ,24.38,Bengals DEF ,2.00,112.56,michael,82.74
Alessandro,6,P. Rivers QB - LAC ,15.54,J. Charles RB - KC ,51.50,K. Moreno RB - DEN ,5.50,D. Bryant WR - DAL ,21.30,J. Gordon WR - CLE ,12.70,J. Witten TE - DAL ,13.10,R. Cooper WR - PHI ,4.90,D. Bailey K - DAL ,22.00,49ers DEF ,15.00,D. McFadden RB - LV ,0.00,D. Amendola WR - NE ,13.10,R. Jennings RB - LV ,22.30,J. Cotchery WR - PIT ,0.20,A. Luck QB - IND ,16.10,T. Williams WR - DAL ,4.60,161.54,Daniel,64.26
johnny,2,C. Kaepernick QB - SF ,20.32,C. Johnson RB - TEN ,15.10,E. Lacy RB - GB ,23.10,T. Smith WR - BAL ,6.90,M. Wallace WR - MIA ,17.80,J. Graham TE - NO ,2.50,M. Lynch RB - SEA ,18.00,R. Bullock K - HOU ,3.00,Cardinals DEF ,14.00,P. Harvin WR - SEA ,0.00,H. Nicks WR - NYG ,0.50,J. Gresham TE - CIN ,0.30,C. Shorts WR - JAX ,0.00,T. Pryor QB - LV ,0.38,T. Austin WR - STL ,0.00,120.72,Kevin,109.80
christian,10,D. Brees QB - NO ,20.52,B. Green-Ellis RB - CIN ,0.40,P. Thomas RB - NO ,8.30,R. White WR - ATL ,5.30,A. Jeffery WR - CHI ,12.90,V. Davis TE - SF ,13.90,M. Jones WR - CIN ,10.80,S. Hauschka K - SEA ,11.00,Ravens DEF ,8.00,A. Foster RB - HOU ,0.00,D. Moore WR - LV ,4.60,A. Smith QB - KC ,31.18,M. Tolbert RB - CAR ,8.50,C. Fleener TE - IND ,0.00,Packers DEF ,3.00,91.12,-,-
michael,1,R. Wilson QB - SEA ,15.24,J. Bell RB - DET ,4.70,F. Gore RB - SF ,8.60,B. Marshall WR - CHI ,15.50,V. Cruz WR - NYG ,2.50,C. Clay TE - MIA ,0.60,L. McCoy RB - PHI ,10.60,G. Gano K - CAR ,12.00,Panthers DEF ,13.00,R. Mathews RB - LAC ,18.80,B. Powell RB - NYJ ,5.60,E. Manning QB - NYG ,-3.76,Z. Miller TE - SEA ,0.80,K. Stills WR - NO ,5.00,Dolphins DEF ,4.00,82.74,alex,112.56
Kevin,3,M. Stafford QB - DET ,8.30,S. Vereen RB - NE ,2.10,Z. Stacy RB - STL ,20.30,D. Jackson WR - PHI ,25.50,A. Green WR - CIN ,9.30,D. Pitta TE - BAL ,2.40,K. Allen WR - LAC ,14.90,R. Gould K - CHI ,8.00,Chiefs DEF ,19.00,C. Spiller RB - BUF ,6.80,A. Brown RB - NYG ,2.60,L. Miller RB - MIA ,6.10,B. Rainey RB - TB ,3.00,J. Reed TE - WAS ,0.00,B. Cunningham RB - STL ,0.00,109.80,johnny,120.72
Raed,9,C. Newton QB - CAR ,16.12,D. Woodhead RB - LAC ,4.20,D. Murray RB - DAL ,21.30,D. Thomas WR - DEN ,4.50,M. Floyd WR - ARI ,3.30,G. Olsen TE - CAR ,8.80,P. Garcon WR - WAS ,18.90,J. Tucker K - BAL ,22.00,Colts DEF ,17.00,B. Tate RB - HOU ,9.20,G. Tate WR - SEA ,2.50,R. Cobb WR - GB ,0.00,D. Williams RB - CAR ,22.80,T. Romo QB - DAL ,18.32,K. Wright WR - TEN ,15.00,116.12,-,-
