Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,7,M. Ryan QB - ATL ,24.84,M. Jones-Drew RB - JAX ,2.80,T. Richardson RB - IND ,12.60,J. Jones WR - ATL ,10.80,A. Johnson WR - HOU ,11.00,A. Gates TE - LAC ,19.60,E. Decker WR - DEN ,8.80,J. Brown K - NYG ,1.00,Colts DEF ,23.00,J. Edelman WR - NE ,11.80,A. Dalton QB - CIN ,5.54,J. Snelling RB - ATL ,3.40,O. Daniels TE - HOU ,7.20,T. Hilton WR - IND ,5.10,Cowboys DEF ,8.00,114.44,Alessandro,112.58
david,1,P. Manning QB - DEN ,29.08,M. Forte RB - CHI ,17.70,R. Rice RB - BAL ,1.70,M. Colston WR - NO ,9.60,L. Fitzgerald WR - ARI ,12.80,J. Cameron TE - CLE ,15.10,R. Mendenhall RB - ARI ,1.40,S. Gostkowski K - NE ,12.00,Seahawks DEF ,17.00,B. Pettigrew TE - DET ,5.40,J. Dwyer RB - PIT ,0.70,R. Gronkowski TE - NE ,0.00,M. Schaub QB - HOU ,18.70,J. Jones WR - GB ,0.00,A. Brown WR - PIT ,9.80,116.38,michael,100.62
Daniel,3,R. Griffin QB - WAS ,14.08,J. Rodgers RB - ATL ,8.80,A. Peterson RB - MIN ,26.00,W. Welker WR - DEN ,19.60,V. Jackson WR - TB ,2.70,M. Bennett TE - CHI ,9.00,A. Boldin WR - SF ,15.00,M. Bryant K - ATL ,11.00,Patriots DEF ,4.00,E. Royal WR - LAC ,4.20,T. Gonzalez TE - ATL ,26.90,T. Brady QB - NE ,20.44,D. Sproles RB - NO ,24.20,F. Jackson RB - BUF ,14.70,D. Bailey K - DAL ,3.00,110.18,christian,105.82
alex,5,J. Flacco QB - BAL ,11.88,A. Morris RB - WAS ,7.10,G. Bernard RB - CIN ,7.50,D. Bowe WR - KC ,11.80,C. Johnson WR - DET ,10.40,J. Thomas TE - DEN ,4.30,R. Bush RB - DET ,23.30,C. Sturgis K - MIA ,5.00,Bengals DEF ,4.00,J. Nelson WR - GB ,0.00,J. Cook TE - STL ,4.50,A. Rodgers QB - GB ,0.00,D. Wilson RB - NYG ,6.30,M. Brown WR - BAL ,9.40,L. Bell RB - PIT ,20.40,85.28,johnny,100.68
Alessandro,8,A. Luck QB - IND ,18.88,J. Charles RB - KC ,18.70,K. Moreno RB - DEN ,15.10,B. Hartline WR - MIA ,3.40,D. Bryant WR - DAL ,20.10,J. Witten TE - DAL ,4.30,J. Gordon WR - CLE ,7.10,B. Walsh K - MIN ,12.00,49ers DEF ,13.00,S. Johnson WR - BUF ,-0.10,D. Amendola WR - NE ,0.00,B. Myers TE - NYG ,0.00,S. Ridley RB - NE ,7.90,E. Manning QB - NYG ,7.88,L. Miller RB - MIA ,12.80,112.58,Peter,114.44
johnny,4,C. Kaepernick QB - SF ,13.78,C. Johnson RB - TEN ,3.10,M. Lynch RB - SEA ,18.30,H. Nicks WR - NYG ,3.30,T. Smith WR - BAL ,22.60,J. Graham TE - NO ,22.00,T. Austin WR - STL ,0.60,P. Dawson K - SF ,5.00,Cardinals DEF ,12.00,J. Gresham TE - CIN ,5.30,C. Shorts WR - JAX ,6.10,B. Roethlisberger QB - PIT ,15.32,M. Wallace WR - MIA ,2.40,E. Lacy RB - GB ,0.00,Rams DEF ,2.00,100.68,alex,85.28
christian,10,D. Brees QB - NO ,34.72,B. Green-Ellis RB - CIN ,1.30,A. Foster RB - HOU ,23.10,R. Wayne WR - IND ,16.00,R. White WR - ATL ,2.80,V. Davis TE - SF ,7.80,S. Rice WR - SEA ,1.10,S. Hauschka K - SEA ,11.00,Ravens DEF ,8.00,M. Ingram RB - NO ,0.00,M. Austin WR - DAL ,0.00,L. Moore WR - NO ,0.00,A. Smith QB - KC ,23.22,C. Ivory RB - NYJ ,0.00,Packers DEF ,0.00,105.82,Daniel,110.18
michael,2,R. Wilson QB - SEA ,10.62,L. McCoy RB - PHI ,9.40,F. Gore RB - SF ,19.30,B. Marshall WR - CHI ,9.90,V. Cruz WR - NYG ,22.40,Z. Miller TE - SEA ,0.70,R. Mathews RB - LAC ,10.30,M. Prater K - DEN ,12.00,Bears DEF ,6.00,J. Freeman QB - MIN ,0.00,J. Bell RB - DET ,2.20,K. Rudolph TE - MIN ,0.60,M. Williams WR - TB ,9.80,B. Pierce RB - BAL ,0.90,Panthers DEF ,0.00,100.62,david,116.38
Kevin,9,M. Vick QB - PHI ,14.02,D. McFadden RB - LV ,2.90,B. Powell RB - NYJ ,10.80,D. Jackson WR - PHI ,3.40,A. Green WR - CIN ,5.10,C. Clay TE - MIA ,10.20,C. Spiller RB - BUF ,7.70,G. Zuerlein K - STL ,3.00,Chiefs DEF ,19.00,J. Finley TE - GB ,0.00,M. Stafford QB - DET ,16.48,D. Williams RB - CAR ,0.00,S. Smith WR - CAR ,0.00,S. Jackson RB - ATL ,0.00,D. Hopkins WR - HOU ,2.70,76.12,Raed,113.04
Raed,6,T. Romo QB - DAL ,19.34,D. Murray RB - DAL ,9.20,D. Martin RB - TB ,6.10,P. Garcon WR - WAS ,11.90,D. Thomas WR - DEN ,20.60,K. Winslow TE - NYJ ,7.30,D. Woodhead RB - LAC ,20.60,J. Tucker K - BAL ,8.00,Texans DEF ,10.00,B. Tate RB - HOU ,2.50,R. Cobb WR - GB ,0.00,C. Newton QB - CAR ,0.00,G. Olsen TE - CAR ,0.00,M. Floyd WR - ARI ,8.70,K. Thompkins WR - NE ,18.70,113.04,Kevin,76.12
